name	distance_scaled	density_scaled	event_start	event_stop	grouping_size	max_distance	split	split_close	split_far	split_offset	spotlight	use_reverb	max_start_delay_near	max_start_delay_far	stop_delay	min_refire_time	size_game_parameter	grouping_switch	linked_group_sound	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	grouping	rtpc_1_max_grouping_difference	rtpc_2_max_grouping_difference	size_scaler	min_distance	dual_group_sound	min_size	one_shot_influence_duration	scaled_azimuth_rtpc	doppler_rtpc_name	obstruction_size	trigger_charge_time_to_target	disable_group_merging	grid_multiplier	focus_pool
wh2_dlc10_grp_melee_weapons_whips	false	false	Battle_Group_Melee_Weapons_Whips_Play	Battle_Group_Melee_Weapons_Whips_Stop	25.0000	190.0000	false	20.0000	28.0000	15.0000	false	true	0.0000	0.0000	1.0000	0.5000	Battle_Group_Melee_Size	Battle_Ground_Type							100.0000	100.0000	1.0000	0.0000		8.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc10_quest_abilitiy_insane_head	false	false	Battle_IND_Ability_Insane_Head_Start	Battle_IND_Ability_Insane_Head_Stop	1000.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_cst_negative_aoe_group	false	false	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Stop	300.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_cst_negative_group	false	false	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Debuff_Loop_Stop	35.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_cst_positive_aoe_group	false	false	Battle_IND_Magic_Vampire_Coast_Generic_Buff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Buff_Loop_Stop	300.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_cst_positive_group	false	false	Battle_IND_Magic_Vampire_Coast_Generic_Buff_Loop_Start	Battle_IND_Magic_Vampire_Coast_Generic_Buff_Loop_Stop	35.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_enthrallment_debuff_group	false	false	Battle_IND_Magic_Generic_Debuff_Loop_Start	Battle_IND_Magic_Generic_Debuff_Loop_Stop	300.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_fog_of_the_damned_debuff_group	false	false	Battle_IND_Magic_Generic_Debuff_Loop_Start	Battle_IND_Magic_Generic_Debuff_Loop_Stop	250.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_shanty_buff_group	false	false	Battle_IND_Magic_Shanty_Buff_Start	Battle_IND_Magic_Shanty_Buff_Stop	2000.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc11_ability_wraith_storm_impact	false	false	Battle_IND_Magic_Wraith_Storm_Impact		5.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.1000	0.3000	0.0000	0.2000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc11_cst_grp_necrofex_colossus_flamethrower_fire_loop	false	false	Battle_Individual_Small_Arms_Necrofex_Colossus_Flamethrower_Fire_Inflight_Start	Battle_Individual_Small_Arms_Necrofex_Colossus_Flamethrower_Fire_Inflight_Stop	50.0000	200.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.1500	0.3500	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc11_cst_grp_projectile_necrofex_cannonball_inflight	false	false	Battle_Individual_Projectile_Necrofex_Colossus_Cannon_InFlight_Play	Battle_Individual_Projectile_Necrofex_Colossus_Cannon_InFlight_Stop	30.0000	300.0000	false	0.0000	0.0000	0.0000	false	true	0.1000	0.6000	0.1500	0.5000	Battle_Group_Size			Battle_Projectile_Speed	Projectile_Speed	Battle_Projectile_Height	Projectile_Height		100.0000	40.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc11_cst_grp_projectile_necrofex_colossus_cannonball_impact	false	false	Battle_Individual_Projectile_Necrofex_Colossus_Cannon_Impact_Group		8.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.2000	0.4000	0.0000	0.5000	Battle_Group_Size	Battle_Projectile_Impact_Target							100.0000	100.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc11_spell_deep_spiteful_shot	false	false	Battle_IND_Magic_Deep_Spiteful_Shot_Start	Battle_IND_Magic_Deep_Spiteful_Shot_Stop	35.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.1000	0.3000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc12_ability_drop_sphere_of_tepok_debuff_group	false	false	Battle_IND_Magic_Drop_Sphere_Of_Tepok_Debuff_Start	Battle_IND_Magic_Drop_Sphere_Of_Tepok_Debuff_Stop	35.0000	300.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc12_ability_supreme_shield_of_the_old_ones_group	false	false	Battle_IND_Magic_Supreme_Shield_Of_The_Old_Ones_Loop_Start	Battle_IND_Magic_Supreme_Shield_Of_The_Old_Ones_Loop_Stop	400.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_foley_movement_ratling_gun_metal_equipment	false	false	Battle_Group_Foley_Humanoid_Metal_Equipment_ratling_gun_Play	Battle_Group_Foley_Humanoid_Metal_Equipment_ratling_gun_Stop	20.0000	100.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.1500	0.5000	Battle_Group_Movement_Humanoid_Size	Battle_Ground_Type		Battle_Group_Movement_Speed	Entity_Speed_Moving			wh_grp_movement_sync	0.8000	0.6000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_projectile_ability_storm_daemon	false	false	Battle_IND_Magic_Storm_Daemon_Impact		10.0000	800.0000	false	0.0000	0.0000	0.0000	false	true	0.1000	0.3000	0.0000	0.5500	Battle_Group_Size_Blasting_Charge								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_projectile_ratling_gun_bullet_impact	false	false	Battle_Group_Projectile_Bullet_Ratling_Gun_Impact_play	Battle_Group_Projectile_Bullet_Ratling_Gun_Impact_stop	20.0000	161.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.0000	1.0000	Battle_Group_Size_Ratling_Gun_Impact	Battle_Projectile_Impact_Target							100.0000	100.0000	1.0000	0.0000		6.0000	1.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_projectile_ratling_gun_bullet_impact_single	false	false	Battle_Group_Projectile_Bullet_Ratling_Gun_Impact_Single_Start	Battle_Group_Projectile_Bullet_Ratling_Gun_Impact_Single_Stop	23.0000	161.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.0000	0.0000	Battle_Group_Size_Ratling_Gun_Impact	Battle_Projectile_Impact_Target							100.0000	100.0000	1.0000	0.0000	wh2_dlc12_grp_projectile_ratling_gun_bullet_impact	1.0000	1.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_projectile_ratling_gun_bullet_inflight	false	false	Battle_Group_Projectile_Bullet_Ratling_Gun_InFlight_play	Battle_Group_Projectile_Bullet_Ratling_Gun_InFlight_stop	22.0000	75.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.1500	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		2.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_ripperdactyl_charge	false	false	Battle_Group_Vox_Oneshot_Ripperdactyl_Charge	Battle_Group_Vocalisation_do_nothing	32.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	6.0000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	4.0000	Battle_Group_Azimuth		0.0000	0.0000	true	0.0000	
wh2_dlc12_grp_vocalisation_ripperdactyl_unit_response	false	false	Battle_Group_Vox_Oneshot_Ripperdactyl_Response		32.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_charge	false	false	Battle_Group_Vocalisation_Skaven_Charge	Battle_Group_Vocalisation_do_nothing	32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	6.0000	Battle_Group_Size			Battle_Group_Vocalisation_Speed	Entity_Speed_Moving				20.0000	100.0000	1.0000	0.0000		5.0000	6.5000	Battle_Group_Azimuth		0.0000	0.0000	true	0.0000	
wh2_dlc12_grp_vocalisation_skaven_collision	false	false	Battle_Group_Vocalisation_Skaven_Collision		32.0000	300.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size			Battle_Group_Vocalisation_Cohesion	Entity_Cohesion				1.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_encouragement	false	false	Battle_Group_Vocalisation_Skaven_Encouragement_Play	Battle_Group_Vocalisation_Skaven_Encouragement_Stop	18.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size_Slew								100.0000	100.0000	1.0000	0.0000	wh2_grp_vocalisation_overlay_humanoid_nasal	5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_idle	false	false	Battle_Group_Vocalisation_Skaven_Idle_Play	Battle_Group_Vocalisation_Skaven_Idle_Stop	18.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size_Slew								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_idle_subtle	false	false	Battle_Group_Vocalisation_Skaven_Idle_Subtle_Play	Battle_Group_Vocalisation_Skaven_Idle_Subtle_Stop	18.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size_Slew								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_melee	false	false	Battle_Group_Vocalisation_Skaven_Melee_Play	Battle_Group_Vocalisation_Skaven_Melee_Stop	24.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.6000	0.5000	Battle_Group_Size_Slew			Battle_Unit_Morale	Unit_Morale_Level				100.0000	100.0000	1.0000	0.0000	wh2_grp_vocalisation_overlay_humanoid_nasal	6.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_moving_taunt	false	false	Battle_Group_Vocalisation_Skaven_Taunt_Play	Battle_Group_Vocalisation_Skaven_Taunt_Stop	35.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	5.0000			0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_pain	false	false	Battle_Group_Vocalisation_Skaven_Pain		18.0000	300.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_taunting	false	false	Battle_Group_Vocalisation_Skaven_Taunt_Play	Battle_Group_Vocalisation_Skaven_Taunt_Stop	32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000	wh2_dlc12_grp_vocalisation_skaven_encouragement	5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_unit_response	false	false	Battle_Group_Vocalisation_Skaven_Unit_Response		32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skaven_unit_selection	false	false	Battle_Group_Vocalisation_Skaven_Unit_Selection		32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_charge	false	false	Battle_Group_Vocalisation_Skink_Charge	Battle_Group_Vocalisation_do_nothing	32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	6.0000	Battle_Group_Size			Battle_Group_Vocalisation_Speed	Entity_Speed_Moving				20.0000	100.0000	1.0000	0.0000		5.0000	5.0000	Battle_Group_Azimuth		0.0000	0.0000	true	0.0000	
wh2_dlc12_grp_vocalisation_skink_collision	false	false	Battle_Group_Vocalisation_Skink_Collision		32.0000	300.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size			Battle_Group_Vocalisation_Cohesion	Entity_Cohesion				1.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_encouragement	false	false	Battle_Group_Vocalisation_Skink_Encouragement_Play	Battle_Group_Vocalisation_Skink_Encouragement_Stop	18.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size_Slew								100.0000	100.0000	1.0000	0.0000	wh2_grp_vocalisation_overlay_humanoid_nasal	5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_idle	false	false	Battle_Group_Vocalisation_Skink_Idle_Play	Battle_Group_Vocalisation_Skink_Idle_Stop	18.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size_Slew								100.0000	100.0000	1.0000	0.0000		6.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_melee	false	false	Battle_Group_Vocalisation_Skink_Melee_Play	Battle_Group_Vocalisation_Skink_Melee_Stop	24.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.6000	0.5000	Battle_Group_Size_Slew			Battle_Unit_Morale	Unit_Morale_Level				100.0000	100.0000	1.0000	0.0000	wh2_grp_vocalisation_overlay_humanoid_nasal	6.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_moving_taunt	false	false	Battle_Group_Vocalisation_Skink_Taunt_Play	Battle_Group_Vocalisation_Skink_Taunt_Stop	35.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	5.0000			0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_pain	false	false	Battle_Group_Vocalisation_Skink_Pain		18.0000	300.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_taunting	false	false	Battle_Group_Vocalisation_Skink_Taunt_Play	Battle_Group_Vocalisation_Skink_Taunt_Stop	32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.0000	0.0000	0.4000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000	wh2_dlc12_grp_vocalisation_skink_encouragement	5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_unit_response	false	false	Battle_Group_Vocalisation_Skink_Unit_Response		32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_skink_unit_selection	false	false	Battle_Group_Vocalisation_Skink_Unit_Selection		32.0000	400.0000	false	5.0000	15.0000	15.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc12_grp_vocalisation_terradon_charge	false	false	Battle_Group_Vox_Oneshot_Terradon_Charge	Battle_Group_Vocalisation_do_nothing	32.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	6.0000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	4.0000	Battle_Group_Azimuth		0.0000	0.0000	true	0.0000	
wh2_dlc12_grp_vocalisation_terradon_unit_response	false	false	Battle_Group_Vox_Oneshot_Terradon_Response		32.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.5000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		5.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc13_ability_hail_of_fire_group	false	false	Battle_IND_Magic_Hail_Of_Fire_Loop_Start	Battle_IND_Magic_Hail_Of_Fire_Loop_Stop	350.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc13_ability_miasma_of_despair_group	false	false	IND_Magic_Miasma_of_Despair_Start	IND_Magic_Miasma_of_Despair_Stop	300.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc13_ability_summon_unbinding_generic_large_phase_01	false	false	Summon_Unbinding_Generic_Large_Phase_01_Loop_Start	Summon_Unbinding_Generic_Large_Phase_01_Loop_Stop	35.0000	100.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Summon_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	true	0.0000	
wh2_dlc13_ability_summon_unbinding_generic_large_phase_02	false	false	Summon_Unbinding_Generic_Large_Phase_02_Loop_Start	Summon_Unbinding_Generic_Large_Phase_02_Loop_Stop	35.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Summon_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	true	0.0000	
wh2_dlc13_ability_summon_unbinding_generic_phase_03	false	false	Summon_Unbinding_Generic_Phase_03_Launch		35.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Summon_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	true	0.0000	
wh2_dlc13_ability_summon_unbinding_generic_small_phase_01	false	false	Summon_Unbinding_Generic_Small_Phase_01_Loop_Start	Summon_Unbinding_Generic_Small_Phase_01_Loop_Stop	35.0000	100.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Summon_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	true	0.0000	
wh2_dlc13_ability_summon_unbinding_generic_small_phase_02	false	false	Summon_Unbinding_Generic_Small_Phase_02_Loop_Start	Summon_Unbinding_Generic_Small_Phase_02_Loop_Stop	35.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Summon_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	true	0.0000	
wh2_dlc13_grp_ability_amber_bow_impact	false	false	Battle_IND_Magic_Amber_Bow_Impact		10.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.2000	0.3000	0.0000	1.0000	Battle_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
wh2_dlc13_grp_ability_amber_bow_inflight	false	false	Battle_IND_Magic_Amber_Bow_Inflight_Start	Battle_IND_Magic_Amber_Bow_Inflight_Stop	30.0000	300.0000	false	0.0000	0.0000	0.0000	false	true	0.1000	0.6000	0.1500	0.5000	Battle_Group_Size								100.0000	40.0000	1.0000	0.0000		1.0000	0.0000	Battle_Group_Azimuth		0.0000	0.0000	false	0.0000	
