base_battlefield_building	culture	prefab_path	settlement_gun_type	survival_gun_type	settlement_construction_delay	settlement_dismantle_delay	survival_construction_delay	survival_dismantle_delay
glb_barricade_ice_block_01	wh2_main_def_dark_elves	prefabs\def_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh2_main_def_dark_elves	prefabs\def_monument_lotus.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh2_main_def_dark_elves	prefabs\def_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh2_main_hef_high_elves	prefabs\hef_toggle_tower_01.bmd	wh3_settlement_tower_hef_bolt	wh3_survival_tower_hef_bolt	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh2_main_hef_high_elves	prefabs\hef_toggle_tower_02.bmd	wh3_settlement_tower_hef_bolt_improved	wh3_survival_tower_hef_bolt_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh2_main_hef_high_elves	prefabs\hef_toggle_tower_03.bmd	wh3_settlement_tower_hef_magic_missile	wh3_survival_tower_hef_magic_missile	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh2_main_hef_high_elves	prefabs\hef_toggle_tower_04.bmd	wh3_settlement_tower_hef_magic_missile_improved	wh3_survival_tower_hef_magic_missile_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh2_main_hef_high_elves	prefabs\hef_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh2_main_hef_high_elves	prefabs\hef_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh2_main_hef_high_elves	prefabs\hef_monument_ammo.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh2_main_hef_high_elves	prefabs\hef_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh2_main_lzd_lizardmen	prefabs\lzd_toggle_tower_01.bmd	wh3_settlement_tower_lzd_bolt	wh3_survival_tower_lzd_bolt	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh2_main_lzd_lizardmen	prefabs\lzd_toggle_tower_02.bmd	wh3_settlement_tower_lzd_bolt_improved	wh3_survival_tower_lzd_bolt_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh2_main_lzd_lizardmen	prefabs\lzd_toggle_tower_03.bmd	wh3_settlement_tower_lzd_magic_missile	wh3_survival_tower_lzd_magic_missile	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh2_main_lzd_lizardmen	prefabs\lzd_toggle_tower_04.bmd	wh3_settlement_tower_lzd_solar_engine_beam	wh3_survival_tower_lzd_solar_engine_beam	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh2_main_lzd_lizardmen	prefabs\lzd_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh2_main_lzd_lizardmen	prefabs\lzd_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh2_main_lzd_lizardmen	prefabs\lzd_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh2_main_lzd_lizardmen	prefabs\lzd_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh2_main_skv_skaven	prefabs\skv_toggle_tower_01.bmd	wh3_settlement_tower_skv_sniper_bullet	wh3_survival_tower_skv_sniper_bullet	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh2_main_skv_skaven	prefabs\skv_toggle_tower_02.bmd	wh3_settlement_tower_skv_sniper_bullet_improved	wh3_survival_tower_skv_sniper_bullet_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh2_main_skv_skaven	prefabs\skv_toggle_tower_03.bmd	wh3_settlement_tower_skv_warp_lightning	wh3_survival_tower_skv_warp_lightning	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh2_main_skv_skaven	prefabs\skv_toggle_tower_04.bmd	wh3_settlement_tower_skv_doomrocket	wh3_survival_tower_skv_doomrocket	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh2_main_skv_skaven	prefabs\skv_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh2_main_skv_skaven	prefabs\skv_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh2_main_skv_skaven	prefabs\skv_monument_burrow.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh2_main_skv_skaven	prefabs\skv_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_toggle_tower_01.bmd	wh3_dlc23_chd_settlement_tower_1_bullet	wh3_dlc23_chd_survival_tower_1_bullet	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_toggle_tower_02.bmd	wh3_dlc23_chd_settlement_tower_2_bullet_improved	wh3_dlc23_chd_survival_tower_2_bullet_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_toggle_tower_03.bmd	wh3_dlc23_chd_settlement_tower_3_shrieker_rocket	wh3_dlc23_chd_survival_tower_3_shrieker_rocket	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_toggle_tower_04.bmd	wh3_dlc23_chd_settlement_tower_4_magma_ball	wh3_dlc23_chd_survival_tower_4_magma_ball	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_dlc23_chd_chaos_dwarfs	prefabs\chd_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_cth_cathay	prefabs\cth_toggle_tower_01.bmd	wh3_settlement_tower_cth_bullet	wh3_survival_tower_cth_bullet	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_cth_cathay	prefabs\cth_toggle_tower_02.bmd	wh3_settlement_tower_cth_bullet_improved	wh3_survival_tower_cth_bullet_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_cth_cathay	prefabs\cth_toggle_tower_03.bmd	wh3_settlement_tower_cth_cannon	wh3_survival_tower_cth_cannon	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_cth_cathay	prefabs\cth_toggle_tower_04.bmd	wh3_settlement_tower_cth_rocket	wh3_survival_tower_cth_rocket	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_cth_cathay	prefabs\cth_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_cth_cathay	prefabs\cth_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_cth_cathay	prefabs\cth_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_cth_cathay	prefabs\cth_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_dae_daemons	prefabs\chs_toggle_tower_01.bmd	wh3_settlement_tower_chs_javelin	wh3_survival_tower_chs_javelin	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_dae_daemons	prefabs\chs_toggle_tower_02.bmd	wh3_settlement_tower_chs_javelin_improved	wh3_survival_tower_chs_javelin_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_dae_daemons	prefabs\chs_toggle_tower_03.bmd	wh3_settlement_tower_chs_hellcannon	wh3_survival_tower_chs_hellcannon	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_dae_daemons	prefabs\chs_toggle_tower_04.bmd	wh3_settlement_tower_chs_hellcannon_improved	wh3_survival_tower_chs_hellcannon_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_dae_daemons	prefabs\chs_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_dae_daemons	prefabs\chs_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_dae_daemons	prefabs\chs_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_dae_daemons	prefabs\chs_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_kho_khorne	prefabs\kho_toggle_tower_01.bmd	wh3_settlement_tower_kho_harvester_cannon	wh3_survival_tower_kho_harvester_cannon	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_kho_khorne	prefabs\kho_toggle_tower_02.bmd	wh3_settlement_tower_kho_harvester_cannon_improved	wh3_survival_tower_kho_harvester_cannon_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_kho_khorne	prefabs\kho_toggle_tower_03.bmd	wh3_settlement_tower_kho_skullcannon	wh3_survival_tower_kho_skullcannon	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_kho_khorne	prefabs\kho_toggle_tower_04.bmd	wh3_settlement_tower_kho_skullcannon_improved	wh3_survival_tower_kho_skullcannon_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_kho_khorne	prefabs\kho_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_kho_khorne	prefabs\kho_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_kho_khorne	prefabs\kho_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_kho_khorne	prefabs\kho_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_ksl_kislev	prefabs\ksl_toggle_tower_01.bmd	wh3_settlement_tower_ksl_crossbow	wh3_survival_tower_ksl_crossbow	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_ksl_kislev	prefabs\ksl_toggle_tower_02.bmd	wh3_settlement_tower_ksl_crossbow_improved	wh3_survival_tower_ksl_crossbow_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_ksl_kislev	prefabs\ksl_toggle_tower_03.bmd	wh3_settlement_tower_ksl_lightning	wh3_survival_tower_ksl_lightning	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_ksl_kislev	prefabs\ksl_toggle_tower_04.bmd	wh3_settlement_tower_ksl_ice_shards	wh3_survival_tower_ksl_ice_shard	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_ksl_kislev	prefabs\ksl_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_ksl_kislev	prefabs\ksl_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_ksl_kislev	prefabs\ksl_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_ksl_kislev	prefabs\ksl_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_nur_nurgle	prefabs\nur_toggle_tower_01.bmd	wh3_settlement_tower_nur_nurgling	wh3_survival_tower_nur_nurgling	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_nur_nurgle	prefabs\nur_toggle_tower_02.bmd	wh3_settlement_tower_nur_nurgling_improved	wh3_survival_tower_nur_nurgling_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_nur_nurgle	prefabs\nur_toggle_tower_03.bmd	wh3_settlement_tower_nur_deaths_head	wh3_survival_tower_nur_deaths_head	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_nur_nurgle	prefabs\nur_toggle_tower_04.bmd	wh3_settlement_tower_nur_phlegm_bombard	wh3_survival_tower_nur_phlegm_bombard	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_nur_nurgle	prefabs\nur_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_nur_nurgle	prefabs\nur_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_nur_nurgle	prefabs\nur_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_nur_nurgle	prefabs\nur_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_toggle_tower_01.bmd	wh3_settlement_tower_ogr_bullet	wh3_survival_tower_ogr_bullet	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_toggle_tower_02.bmd	wh3_settlement_tower_ogr_leadbelcher	wh3_survival_tower_ogr_leadbelcher	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_toggle_tower_03.bmd	wh3_settlement_tower_ogr_scraplauncher	wh3_survival_tower_ogr_scraplauncher	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_toggle_tower_04.bmd	wh3_settlement_tower_ogr_ironblaster	wh3_survival_tower_ogr_ironblaster	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_ogr_ogre_kingdoms	prefabs\ogr_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_pro_ksl_kislev	prefabs\ksl_toggle_tower_01.bmd	wh3_settlement_tower_ksl_crossbow	wh3_survival_tower_ksl_crossbow	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_pro_ksl_kislev	prefabs\ksl_toggle_tower_02.bmd	wh3_settlement_tower_ksl_crossbow_improved	wh3_survival_tower_ksl_crossbow_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_pro_ksl_kislev	prefabs\ksl_toggle_tower_03.bmd	wh3_settlement_tower_ksl_lightning	wh3_survival_tower_ksl_lightning	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_pro_ksl_kislev	prefabs\ksl_toggle_tower_04.bmd	wh3_settlement_tower_ksl_ice_shards	wh3_survival_tower_ksl_ice_shard	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_pro_ksl_kislev	prefabs\ksl_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_pro_ksl_kislev	prefabs\ksl_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_pro_ksl_kislev	prefabs\ksl_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_pro_ksl_kislev	prefabs\ksl_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_sla_slaanesh	prefabs\sla_toggle_tower_01.bmd	wh3_settlement_tower_sla_shard	wh3_survival_tower_sla_shard	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_sla_slaanesh	prefabs\sla_toggle_tower_02.bmd	wh3_settlement_tower_sla_shard_improved	wh3_survival_tower_sla_shard_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_sla_slaanesh	prefabs\sla_toggle_tower_03.bmd	wh3_settlement_tower_sla_shards	wh3_survival_tower_sla_shards	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_sla_slaanesh	prefabs\sla_toggle_tower_04.bmd	wh3_settlement_tower_sla_shards_improved	wh3_survival_tower_sla_shards_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_sla_slaanesh	prefabs\sla_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_sla_slaanesh	prefabs\sla_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_sla_slaanesh	prefabs\sla_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_sla_slaanesh	prefabs\sla_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh3_main_tze_tzeentch	prefabs\tze_toggle_tower_01.bmd	wh3_settlement_tower_tze_blue_bolt	wh3_survival_tower_tze_blue_bolt	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh3_main_tze_tzeentch	prefabs\tze_toggle_tower_02.bmd	wh3_settlement_tower_tze_blue_bolt_upgraded	wh3_survival_tower_tze_blue_bolt_upgraded	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh3_main_tze_tzeentch	prefabs\tze_toggle_tower_03.bmd	wh3_settlement_tower_tze_pink_bolt	wh3_survival_tower_tze_pink_bolt	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh3_main_tze_tzeentch	prefabs\tze_toggle_tower_04.bmd	wh3_settlement_tower_tze_iridescent_bolt	wh3_survival_tower_tze_iridescent_bolt	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh3_main_tze_tzeentch	prefabs\tze_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh3_main_tze_tzeentch	prefabs\tze_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh3_main_tze_tzeentch	prefabs\tze_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh3_main_tze_tzeentch	prefabs\tze_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_dlc03_bst_beastmen	prefabs\bst_toggle_tower_01.bmd	wh3_settlement_tower_bst_arrow	wh3_survival_tower_bst_arrow	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_dlc03_bst_beastmen	prefabs\bst_toggle_tower_02.bmd	wh3_settlement_tower_bst_arrow_improved	wh3_survival_tower_bst_arrow_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_dlc03_bst_beastmen	prefabs\bst_toggle_tower_03.bmd	wh3_settlement_tower_bst_rock	wh3_survival_tower_bst_rock	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_dlc03_bst_beastmen	prefabs\bst_toggle_tower_04.bmd	wh3_settlement_tower_bst_rock_improved	wh3_survival_tower_bst_rock_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_dlc03_bst_beastmen	prefabs\bst_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_dlc03_bst_beastmen	prefabs\bst_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_dlc03_bst_beastmen	prefabs\bst_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_dlc03_bst_beastmen	prefabs\bst_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_dlc05_wef_wood_elves	prefabs\wef_toggle_tower_01.bmd	wh3_settlement_tower_wef_arrow	wh3_survival_tower_wef_arrow	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_dlc05_wef_wood_elves	prefabs\wef_toggle_tower_02.bmd	wh3_settlement_tower_wef_arrow_hagbane	wh3_survival_tower_wef_arrow_hagbane	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_dlc05_wef_wood_elves	prefabs\wef_toggle_tower_03.bmd	wh3_settlement_tower_wef_arrow_starfire	wh3_survival_tower_wef_arrow_starfire	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_dlc05_wef_wood_elves	prefabs\wef_toggle_tower_04.bmd	wh3_settlement_tower_wef_arrow_swiftshiver	wh3_survival_tower_wef_arrow_swiftshiver	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_dlc05_wef_wood_elves	prefabs\wef_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_dlc05_wef_wood_elves	prefabs\wef_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_dlc05_wef_wood_elves	prefabs\wef_monument_ammo.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_dlc05_wef_wood_elves	prefabs\wef_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_dlc08_nor_norsca	prefabs\nor_toggle_tower_01.bmd	wh3_settlement_tower_nor_javelin	wh3_survival_tower_nor_javelin	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh_dlc08_nor_norsca	prefabs\nor_toggle_tower_02.bmd	wh3_settlement_tower_nor_javelin_improved	wh3_survival_tower_nor_javelin_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh_dlc08_nor_norsca	prefabs\nor_toggle_tower_03.bmd	wh3_settlement_tower_nor_heavy_javelin	wh3_survival_tower_nor_heavy_javelin	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh_dlc08_nor_norsca	prefabs\nor_toggle_tower_04.bmd	wh3_settlement_tower_nor_heavy_javelin_improved	wh3_survival_tower_nor_heavy_javelin_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh_dlc08_nor_norsca	prefabs\nor_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh_dlc08_nor_norsca	prefabs\nor_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh_dlc08_nor_norsca	prefabs\nor_monument_shrine.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh_dlc08_nor_norsca	prefabs\nor_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh_main_brt_bretonnia	prefabs\brt_toggle_tower_01.bmd	wh3_settlement_tower_brt_arrow	wh3_survival_tower_brt_arrow	90.0000	45.0000	30.0000	30.0000
