key	default_generator_group	short_description	long_description
wh3_tms_generator_profiles_ogre_greasus	wh3_tms_generator_group_ogre_greasus		
wh3_tms_generator_profiles_ogre_minor	wh3_tms_generator_group_ogre_minor		
wh3_tms_generator_profiles_ogre_skrag	wh3_tms_generator_group_ogre_skrag		
wh3_tms_generator_profiles_passive	wh3_tms_generator_group_passive		
wh3_tms_generator_profiles_passive_cathay	wh3_tms_generator_group_passive_cathay		
wh3_tms_generator_profiles_passive_ogre	wh3_tms_generator_group_passive_ogre		
wh3_tms_generator_profiles_prologue_active	wh3_tms_generator_group_prologue_active		
wh3_tms_generator_profiles_prologue_defensive	wh3_tms_generator_group_prologue_defensive		
wh3_tms_generator_profiles_prologue_passive	wh3_tms_generator_group_prologue_passive		
wh3_tms_generator_profiles_rift_spawned_khorne	wh3_tms_generator_group_rift_spawned_khorne		
wh3_tms_generator_profiles_rift_spawned_legion	wh3_tms_generator_group_rift_spawned_legion		
wh3_tms_generator_profiles_rift_spawned_nurgle	wh3_tms_generator_group_rift_spawned_nurgle		
wh3_tms_generator_profiles_rift_spawned_slaanesh	wh3_tms_generator_group_rift_spawned_slaanesh		
wh3_tms_generator_profiles_rift_spawned_tzeentch	wh3_tms_generator_group_rift_spawned_tzeentch		
wh3_tms_generator_profiles_rogue	wh3_tms_generator_group_rogue		
wh3_tms_generator_profiles_simple	wh3_tms_generator_group_simple		
wh3_tms_generator_profiles_skaven	wh3_tms_generator_group_skaven		
wh3_tms_generator_profiles_skaven_minor	wh3_tms_generator_group_skaven_minor		
wh3_tms_generator_profiles_slaanesh	wh3_tms_generator_group_slaanesh		
wh3_tms_generator_profiles_slaanesh_minor	wh3_tms_generator_group_slaanesh_minor		
wh3_tms_generator_profiles_slaanesh_nkari	wh3_tms_generator_group_slaanesh_nkari		
wh3_tms_generator_profiles_teb	wh3_tms_generator_group_teb		
wh3_tms_generator_profiles_tombking	wh3_tms_generator_group_tombking		
wh3_tms_generator_profiles_tombking_minor	wh3_tms_generator_group_tombking_minor		
wh3_tms_generator_profiles_tzeentch	wh3_tms_generator_group_tzeentch		
wh3_tms_generator_profiles_tzeentch_changeling	wh3_tms_generator_group_tzeentch_changeling		
wh3_tms_generator_profiles_tzeentch_kairos	wh3_tms_generator_group_tzeentch_kairos		
wh3_tms_generator_profiles_tzeentch_minor	wh3_tms_generator_group_tzeentch_minor		
wh3_tms_generator_profiles_vampire	wh3_tms_generator_group_vampire		
wh3_tms_generator_profiles_vampire_minor	wh3_tms_generator_group_vampire_minor		
wh3_tms_generator_profiles_vampirecoast	wh3_tms_generator_group_vampirecoast		
wh3_tms_generator_profiles_vampirecoast_minor	wh3_tms_generator_group_vampirecoast_minor		
wh3_tms_generator_profiles_woodelf	wh3_tms_generator_group_woodelf		
wh3_tms_generator_profiles_woodelf_minor	wh3_tms_generator_group_woodelf_minor		
