faction	unit_purchasable_effect
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_dlc15_grn_bonerattlaz	wh2_dlc15_grn_upgrade_fungus_flask
wh2_dlc15_grn_bonerattlaz	wh2_dlc15_grn_upgrade_idol_of_gork
wh2_dlc15_grn_bonerattlaz	wh2_dlc15_grn_upgrade_immortual_armour
wh2_dlc15_grn_bonerattlaz	wh3_dlc26_grn_upgrade_big_banner_boyz
wh2_dlc15_grn_bonerattlaz	wh3_dlc26_grn_upgrade_less_lucky_banner
wh2_dlc15_grn_broken_axe	wh2_dlc15_grn_upgrade_fungus_flask
wh2_dlc15_grn_broken_axe	wh2_dlc15_grn_upgrade_idol_of_gork
wh2_dlc15_grn_broken_axe	wh2_dlc15_grn_upgrade_immortual_armour
wh2_dlc15_grn_broken_axe	wh2_dlc15_grn_upgrade_sorcery_weapon
wh2_dlc15_grn_broken_axe	wh3_dlc26_grn_upgrade_big_banner_boyz
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_birch_dryad
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_birch_treekin
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_birch_treeman
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_oak_dryad
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_oak_treekin
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_oak_treeman
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_willow_dryad
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_willow_treekin
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_wef_upgrade_aspect_willow_treeman
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_15
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_16
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_17
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability_1
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability_2
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability_3
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability_4
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability_5
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_instability_6
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_15
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_16
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_17
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_main_skv_clan_eshin	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_15
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_16
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_17
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability_1
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability_2
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability_3
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability_4
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability_5
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_instability_6
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_15
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_16
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_17
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_main_skv_clan_mors	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_15
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_16
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_17
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability_1
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability_2
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability_3
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability_4
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability_5
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_instability_6
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_15
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_16
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_17
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_main_skv_clan_pestilens	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_15
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_16
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_17
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability_1
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability_2
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability_3
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability_4
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability_5
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_instability_6
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_15
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_16
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_17
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_4
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_5
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_6
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_7
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_8
wh2_main_skv_clan_skryre	wh2_dlc16_throt_flesh_lab_mon_aug_9
wh3_dlc26_grn_gorbad_ironclaw	wh2_dlc15_grn_upgrade_fungus_flask
wh3_dlc26_grn_gorbad_ironclaw	wh2_dlc15_grn_upgrade_idol_of_gork
wh3_dlc26_grn_gorbad_ironclaw	wh2_dlc15_grn_upgrade_immortual_armour
wh3_dlc26_grn_gorbad_ironclaw	wh2_dlc15_grn_upgrade_sorcery_weapon
wh3_dlc26_grn_gorbad_ironclaw	wh3_dlc26_grn_upgrade_less_lucky_banner
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_birch_dryad
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_birch_treekin
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_birch_treeman
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_oak_dryad
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_oak_treekin
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_oak_treeman
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_willow_dryad
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_willow_treekin
wh_dlc05_wef_wood_elves	wh2_dlc16_wef_upgrade_aspect_willow_treeman
wh_main_grn_greenskins	wh2_dlc15_grn_upgrade_fungus_flask
wh_main_grn_greenskins	wh2_dlc15_grn_upgrade_idol_of_gork
wh_main_grn_greenskins	wh2_dlc15_grn_upgrade_sorcery_weapon
wh_main_grn_greenskins	wh3_dlc26_grn_upgrade_big_banner_boyz
wh_main_grn_greenskins	wh3_dlc26_grn_upgrade_less_lucky_banner
wh_main_grn_orcs_of_the_bloody_hand	wh2_dlc15_grn_upgrade_fungus_flask
wh_main_grn_orcs_of_the_bloody_hand	wh2_dlc15_grn_upgrade_immortual_armour
wh_main_grn_orcs_of_the_bloody_hand	wh2_dlc15_grn_upgrade_sorcery_weapon
wh_main_grn_orcs_of_the_bloody_hand	wh3_dlc26_grn_upgrade_big_banner_boyz
wh_main_grn_orcs_of_the_bloody_hand	wh3_dlc26_grn_upgrade_less_lucky_banner
