key	on_sea	required_subculture	own	ui_info	require_war_declaration_ability	region_group	force_faction_diplomatic_faction_set	region_ownership	force_region_owner_diplomatic_faction_set	garrisoned	besieging	require_not_at_war	require_unit	permitted_faction_set	require_min_unit_count	require_not_in_shroud	is_human	same_region_as_performing_character	context_requirement
wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main	False		True		false	wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_jungles_of_chian	False		True		false	wh2_dlc16_worldroots_teleport_jungles_of_chian		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_laurelorn	False		True		false	wh2_dlc16_worldroots_teleport_laurelorn		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_the_haunted_forest	False		True		false	wh2_dlc16_worldroots_teleport_the_haunted_forest		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_witchwood_main	False		True		false	wh2_dlc16_worldroots_teleport_witchwood_main		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_target_force_amber_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_beast		1	true	Undefined	Undefined	
wh3_dlc25_target_force_amethyst_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_death		1	true	Undefined	Undefined	
wh3_dlc25_target_force_bright_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_fire		1	true	Undefined	Undefined	
wh3_dlc25_target_force_bright_wizard_non_siege	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	False	false	wh3_dlc25_emp_wizard_fire		1	true	Undefined	Undefined	
wh3_dlc25_target_force_celestial_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_heavens		1	true	Undefined	Undefined	
wh3_dlc25_target_force_empire	Undefined	wh_main_sc_emp_empire	False		false		all	Undefined		Undefined	Undefined	true			1	true	Undefined	Undefined	
wh3_dlc25_target_force_jade_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_life		1	true	Undefined	Undefined	
wh3_dlc25_target_force_light_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_light		1	true	Undefined	Undefined	
wh3_dlc25_target_force_metal_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_metal		1	true	Undefined	Undefined	
wh3_dlc25_target_force_shadow_wizard	Undefined	wh_main_sc_emp_empire	True		false			Undefined		Undefined	Undefined	false	wh3_dlc25_emp_wizard_shadow		1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_azgal_ie	False		True		false	wh3_dlc25_underway_teleport_karak_azgal_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_azorn_ie	False		True		false	wh3_dlc25_underway_teleport_karak_azorn_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_azorn_roc	False		True		false	wh3_dlc25_underway_teleport_karak_azorn_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_eight_peaks_ie	False		True		false	wh3_dlc25_underway_teleport_karak_eight_peaks_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_izor_ie	False		True		false	wh3_dlc25_underway_teleport_karak_izor_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_kadrin_ie	False		True		false	wh3_dlc25_underway_teleport_karak_kadrin_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_kadrin_roc	False		True		false	wh3_dlc25_underway_teleport_karak_kadrin_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_norn_ie	False		True		false	wh3_dlc25_underway_teleport_karak_norn_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_vlag_ie	False		True		false	wh3_dlc25_underway_teleport_karak_vlag_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_vlag_roc	False		True		false	wh3_dlc25_underway_teleport_karak_vlag_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_ziflin_ie	False		True		false	wh3_dlc25_underway_teleport_karak_ziflin_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karak_ziflin_roc	False		True		false	wh3_dlc25_underway_teleport_karak_ziflin_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_karaz_a_karak_ie	False		True		false	wh3_dlc25_underway_teleport_karaz_a_karak_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_kraka_drak_roc	False		True		false	wh3_dlc25_underway_teleport_kraka_drak_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_pillars_of_grungni_roc	False		True		false	wh3_dlc25_underway_teleport_pillars_of_grungni_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_uzkulak_ie	False		True		false	wh3_dlc25_underway_teleport_uzkulak_ie		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_uzkulak_roc	False		True		false	wh3_dlc25_underway_teleport_uzkulak_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc25_underway_teleport_zhufbar_roc	False		True		false	wh3_dlc25_underway_teleport_zhufbar_roc		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh3_dlc27_target_force_enemy_generic_lords	Undefined		False		false		enemies	Undefined		False	Undefined	false	wh3_dlc27_all_non_legendary_lords		1	true	False	Undefined	
wh3_dlc27_target_force_enemy_generic_lords_same_province	Undefined		False	force_enemy_same_region_legendary_lords_excluded	false		enemies	Undefined		False	Undefined	false	wh3_dlc27_all_non_legendary_lords		1	true	False	True	
wh3_dlc27_target_force_hef_mage_archmage_beasts	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_beasts	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_beasts		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_death	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_death	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_death		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_fire	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_fire	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_fire		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_heavens	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_heavens	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_heavens		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_life	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_life	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_life		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_light	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_light	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_light		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_metal	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_metal	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_metal		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_mage_archmage_shadows	Undefined	wh2_main_sc_hef_high_elves	True	force_mage_archmage_shadows	false			Undefined		Undefined	Undefined	false	wh3_dlc27_hef_mage_archmage_shadows		1	true	Undefined	Undefined	
wh3_dlc27_target_force_hef_teclis	Undefined	wh2_main_sc_hef_high_elves	True	force_teclis	false			Undefined		Undefined	Undefined	false	wh3_dlc27_teclis		1	true	Undefined	Undefined	
