faction	mercenary_set
wh2_main_dwf_spine_of_sotek_dwarfs	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh2_main_hef_avelorn	wh2_main_hef_units_of_renown_pool
wh2_main_hef_eataine	wh2_main_hef_units_of_renown_pool
wh2_main_hef_nagarythe	wh2_main_hef_units_of_renown_pool
wh2_main_hef_order_of_loremasters	wh2_main_hef_units_of_renown_pool
wh2_main_hef_yvresse	wh2_main_hef_units_of_renown_pool
wh2_main_lzd_hexoatl	wh2_dlc12_lzd_units_of_renown_pool
wh2_main_lzd_hexoatl	wh2_main_lzd_spawnings_pool
wh2_main_lzd_itza	wh2_dlc12_lzd_units_of_renown_pool
wh2_main_lzd_itza	wh2_main_lzd_spawnings_pool
wh2_main_lzd_last_defenders	wh2_dlc12_lzd_units_of_renown_pool
wh2_main_lzd_last_defenders	wh2_main_lzd_spawnings_pool
wh2_main_lzd_lizardmen	wh2_dlc12_lzd_units_of_renown_pool
wh2_main_lzd_lizardmen	wh2_main_lzd_spawnings_pool
wh2_main_lzd_tlaqua	wh2_dlc12_lzd_units_of_renown_pool
wh2_main_lzd_tlaqua	wh2_main_lzd_spawnings_pool
wh2_main_skv_clan_eshin	wh2_dlc12_skv_units_of_renown_pool
wh2_main_skv_clan_mors	wh2_dlc12_skv_units_of_renown_pool
wh2_main_skv_clan_moulder	wh2_dlc12_skv_units_of_renown_pool
wh2_main_skv_clan_moulder	wh2_dlc16_skv_throt_flesh_lab_pool
wh2_main_skv_clan_pestilens	wh2_dlc12_skv_units_of_renown_pool
wh2_main_skv_clan_skryre	wh2_dlc12_skv_tech_lab_pool
wh2_main_skv_clan_skryre	wh2_dlc12_skv_units_of_renown_pool
wh2_twa03_def_rakarth	wh2_main_def_units_of_renown_pool
wh2_twa03_def_rakarth	wh2_twa03_def_rakarth_merc_pool
wh3_dlc20_chs_azazel	wh3_dlc20_coc_faction_pool
wh3_dlc20_chs_azazel	wh3_dlc20_renown_pool
wh3_dlc20_chs_festus	wh3_dlc20_coc_faction_pool
wh3_dlc20_chs_festus	wh3_dlc20_renown_pool
wh3_dlc20_chs_kholek	wh3_dlc20_chs_faction_pool
wh3_dlc20_chs_kholek	wh_dlc01_chs_units_of_renown_pool
wh3_dlc20_chs_sigvald	wh3_dlc20_chs_faction_pool
wh3_dlc20_chs_sigvald	wh_dlc01_chs_units_of_renown_pool
wh3_dlc20_chs_valkia	wh3_dlc20_coc_faction_pool
wh3_dlc20_chs_valkia	wh3_dlc20_renown_pool
wh3_dlc20_chs_vilitch	wh3_dlc20_coc_faction_pool
wh3_dlc20_chs_vilitch	wh3_dlc20_renown_pool
wh3_dlc20_nur_pallid_nurslings	wh3_main_nur_units
wh3_dlc23_chd_astragoth	wh3_dlc23_chd_units_of_renown_pool
wh3_dlc23_chd_chaos_dwarfs	wh3_dlc23_chd_units_of_renown_pool
wh3_dlc23_chd_legion_of_azgorh	wh3_dlc23_chd_units_of_renown_pool
wh3_dlc23_chd_zhatan	wh3_dlc23_chd_units_of_renown_pool
wh3_dlc24_cth_the_celestial_court	wh3_main_cth_units_of_renown_pool
wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_ksl_units_of_renown_pool
wh3_dlc24_tze_the_deceivers	wh3_main_tze_units_of_renown_pool
wh3_dlc25_dwf_malakai	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh3_dlc25_dwf_malakai	wh3_dlc25_dwf_malakai_feature_mercenary_pool
wh3_dlc25_dwf_malakai	wh_dlc06_dwf_units_of_renown_pool
wh3_dlc25_nur_epidemius	wh3_main_nur_units
wh3_dlc25_nur_epidemius	wh3_main_nur_units_of_renown_pool
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_tamurkhan_chieftains_pool
wh3_dlc25_nur_tamurkhan	wh3_main_nur_units
wh3_dlc25_nur_tamurkhan	wh3_main_nur_units_of_renown_pool
wh3_dlc26_grn_gorbad_ironclaw	wh2_dlc15_grn_waaagh_pool
wh3_dlc26_grn_gorbad_ironclaw	wh_dlc06_grn_units_of_renown_pool
wh3_dlc26_kho_arbaal	wh3_main_kho_units_of_renown_pool
wh3_dlc26_kho_skulltaker	wh3_main_kho_units_of_renown_pool
wh3_dlc26_ogr_golgfag	wh3_main_ogr_units_of_renown_pool
wh3_main_chs_dreaded_wo	wh3_dlc20_chs_faction_pool
wh3_main_chs_gharhar	wh3_dlc20_chs_faction_pool
wh3_main_chs_khazag	wh3_dlc20_chs_faction_pool
wh3_main_chs_kvellig	wh3_dlc20_chs_faction_pool
wh3_main_chs_shadow_legion	wh3_main_belakor_faction_pool
wh3_main_chs_shadow_legion	wh_dlc01_chs_units_of_renown_pool
wh3_main_cth_the_northern_provinces	wh3_main_cth_units_of_renown_pool
wh3_main_cth_the_western_provinces	wh3_main_cth_units_of_renown_pool
wh3_main_dae_daemon_prince	wh3_main_kho_units_of_renown_pool
wh3_main_dae_daemon_prince	wh3_main_nur_units_of_renown_pool
wh3_main_dae_daemon_prince	wh3_main_sla_units_of_renown_pool
wh3_main_dae_daemon_prince	wh3_main_tze_units_of_renown_pool
wh3_main_dwf_karak_azorn	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh3_main_dwf_the_ancestral_throng	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh3_main_dwf_the_ancestral_throng	wh_dlc06_dwf_units_of_renown_pool
wh3_main_emp_cult_of_sigmar	wh2_dlc13_emp_elector_counts_merc_pool_volkmar
wh3_main_emp_cult_of_sigmar	wh_dlc04_emp_units_of_renown_pool
wh3_main_kho_exiles_of_khorne	wh3_main_kho_units_of_renown_pool
wh3_main_ksl_the_great_orthodoxy	wh3_main_ksl_units_of_renown_pool
wh3_main_ksl_the_ice_court	wh3_main_ksl_units_of_renown_pool
wh3_main_ksl_ursun_revivalists	wh3_main_ksl_units_of_renown_pool
wh3_main_nur_bubonic_swarm	wh3_main_nur_units
wh3_main_nur_maggoth_kin	wh3_main_nur_units
wh3_main_nur_poxmakers_of_nurgle	wh3_main_nur_units
wh3_main_nur_poxmakers_of_nurgle	wh3_main_nur_units_of_renown_pool
wh3_main_nur_septic_claw	wh3_main_nur_units
wh3_main_ogr_disciples_of_the_maw	wh3_main_ogr_units_of_renown_pool
wh3_main_ogr_goldtooth	wh3_main_ogr_units_of_renown_pool
wh3_main_sla_seducers_of_slaanesh	wh3_main_sla_units_of_renown_pool
wh3_main_tze_oracles_of_tzeentch	wh3_main_tze_units_of_renown_pool
wh3_main_vmp_caravan_of_blue_roses	wh_dlc04_vmp_units_of_renown_pool
wh3_prologue_kislev_expedition	wh3_main_pro_ksl_ror
wh_dlc03_bst_beastmen	wh_dlc03_bst_units_of_renown_pool
wh_dlc05_bst_morghur_herd	wh_dlc03_bst_units_of_renown_pool
wh_dlc05_wef_argwylon	wh_dlc05_wef_units_of_renown_pool
wh_dlc05_wef_wood_elves	wh_dlc05_wef_units_of_renown_pool
wh_dlc08_nor_norsca	wh_dlc08_nor_units_of_renown_pool
wh_dlc08_nor_wintertooth	wh_dlc08_nor_units_of_renown_pool
wh_main_brt_bordeleaux	wh_dlc07_brt_units_of_renown_pool
wh_main_brt_bretonnia	wh_dlc07_brt_units_of_renown_pool
wh_main_brt_carcassonne	wh_dlc07_brt_units_of_renown_pool
wh_main_chs_chaos	wh3_dlc20_chs_faction_pool
wh_main_chs_chaos	wh_dlc01_chs_units_of_renown_pool
wh_main_dwf_barak_varr	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_dwarfs	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_dwarfs	wh_dlc06_dwf_units_of_renown_pool
wh_main_dwf_karak_azul	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_karak_hirn	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_karak_izor	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_karak_izor	wh_dlc06_dwf_units_of_renown_pool
wh_main_dwf_karak_kadrin	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_karak_kadrin	wh_dlc06_dwf_units_of_renown_pool
wh_main_dwf_karak_norn	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_karak_ziflin	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_kraka_drak	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_dwf_zhufbar	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh_main_emp_empire	wh2_dlc13_emp_elector_counts_merc_pool
wh_main_emp_empire	wh_dlc04_emp_units_of_renown_pool
wh_main_emp_wissenland	wh2_dlc13_emp_elector_counts_merc_pool_volkmar
wh_main_emp_wissenland	wh3_dlc25_emp_amethyst_unit_pool
wh_main_emp_wissenland	wh_dlc04_emp_units_of_renown_pool
wh_main_grn_crooked_moon	wh2_dlc15_grn_waaagh_pool
wh_main_grn_crooked_moon	wh_dlc06_grn_units_of_renown_pool
wh_main_grn_greenskins	wh2_dlc15_grn_waaagh_pool
wh_main_grn_greenskins	wh_dlc06_grn_units_of_renown_pool
wh_main_grn_orcs_of_the_bloody_hand	wh2_dlc15_grn_waaagh_pool
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_grn_units_of_renown_pool
wh_main_vmp_schwartzhafen	wh_dlc04_vmp_units_of_renown_pool
wh_main_vmp_vampire_counts	wh_dlc04_vmp_units_of_renown_pool
