generated_token	token	add_to_pool
wh3_dlc29_economic_green_rictus_warpstone_3	wh3_dlc29_economic_upgrade_rictus_warpstone_3	true
wh3_dlc29_economic_green_skryre_treasury_2	wh3_dlc29_economic_upgrade_skryre_treasury_2	true
wh3_dlc29_economic_green_skryre_treasury_3	wh3_dlc29_economic_upgrade_skryre_treasury_3	true
wh3_dlc29_economic_green_skryre_warpstone_2	wh3_dlc29_economic_upgrade_skryre_warpstone_2	true
wh3_dlc29_economic_green_skryre_warpstone_3	wh3_dlc29_economic_upgrade_skryre_warpstone_3	true
wh3_dlc29_economic_green_basic_food_mid_1	wh3_dlc29_economy_mod_pool_basic_food_mid_1	true
wh3_dlc29_economic_green_basic_food_small_1	wh3_dlc29_economy_mod_pool_basic_food_small_1	true
wh3_dlc29_economic_green_basic_treasury_mid_1	wh3_dlc29_economy_mod_pool_basic_treasury_mid_1	true
wh3_dlc29_economic_green_basic_treasury_mid_2	wh3_dlc29_economy_mod_pool_basic_treasury_mid_2	true
wh3_dlc29_economic_green_basic_treasury_mid_3	wh3_dlc29_economy_mod_pool_basic_treasury_mid_3	true
wh3_dlc29_economic_green_basic_treasury_very_large_1	wh3_dlc29_economy_mod_pool_basic_treasury_very_large_1	true
wh3_dlc29_economic_green_basic_treasury_very_large_2	wh3_dlc29_economy_mod_pool_basic_treasury_very_large_2	true
wh3_dlc29_economic_green_basic_treasury_very_large_3	wh3_dlc29_economy_mod_pool_basic_treasury_very_large_3	true
wh3_dlc29_economic_green_basic_warpstone_mid_1	wh3_dlc29_economy_mod_pool_basic_warpstone_mid_1	true
wh3_dlc29_economic_green_basic_warpstone_mid_2	wh3_dlc29_economy_mod_pool_basic_warpstone_mid_2	true
wh3_dlc29_economic_green_basic_warpstone_mid_3	wh3_dlc29_economy_mod_pool_basic_warpstone_mid_3	true
wh3_dlc29_economic_green_basic_warpstone_very_large_1	wh3_dlc29_economy_mod_pool_basic_warpstone_very_large_1	true
wh3_dlc29_economic_green_basic_warpstone_very_large_2	wh3_dlc29_economy_mod_pool_basic_warpstone_very_large_2	true
wh3_dlc29_economic_green_basic_warpstone_very_large_3	wh3_dlc29_economy_mod_pool_basic_warpstone_very_large_3	true
wh3_dlc29_economic_green_basic_food_mid_2	wh3_dlc29_economy_upgrade_basic_food_mid_2	true
wh3_dlc29_economic_green_basic_food_mid_3	wh3_dlc29_economy_upgrade_basic_food_mid_3	true
wh3_dlc29_economic_green_basic_food_small_2	wh3_dlc29_economy_upgrade_basic_food_small_2	true
wh3_dlc29_economic_green_basic_food_small_3	wh3_dlc29_economy_upgrade_basic_food_small_3	true
wh3_dlc29_military_green_assassin_2	wh3_dlc29_military_action_assassin_2	false
wh3_dlc29_military_green_assassin_3	wh3_dlc29_military_action_assassin_3	false
wh3_dlc29_military_green_assassin	wh3_dlc29_military_action_assassin	false
wh3_dlc29_military_green_chieftain_0	wh3_dlc29_military_action_chieftain_0	false
wh3_dlc29_military_green_chieftain_1	wh3_dlc29_military_action_chieftain_1	false
wh3_dlc29_military_green_chieftain_2	wh3_dlc29_military_action_chieftain_2	false
wh3_dlc29_military_green_eshin_sorcerer_1	wh3_dlc29_military_action_eshin_sorcerer_1	false
wh3_dlc29_military_green_eshin_sorcerer_2	wh3_dlc29_military_action_eshin_sorcerer_2	false
wh3_dlc29_military_green_eshin_sorcerer	wh3_dlc29_military_action_eshin_sorcerer	false
wh3_dlc29_military_green_packmaster_0	wh3_dlc29_military_action_packmaster_0	false
wh3_dlc29_military_green_packmaster_1	wh3_dlc29_military_action_packmaster_1	false
wh3_dlc29_military_green_packmaster_2	wh3_dlc29_military_action_packmaster_2	false
wh3_dlc29_military_green_plague_priest_0	wh3_dlc29_military_action_plague_priest_0	false
wh3_dlc29_military_green_plague_priest_1	wh3_dlc29_military_action_plague_priest_1	false
wh3_dlc29_military_green_plague_priest_2	wh3_dlc29_military_action_plague_priest_2	false
wh3_dlc29_military_action_skill_spawn_cauldron_poxes_generated	wh3_dlc29_military_action_skill_spawn_cauldron_poxes_1	false
wh3_dlc29_military_action_skill_spawn_cauldron_poxes_generated	wh3_dlc29_military_action_skill_spawn_cauldron_poxes_2	false
wh3_dlc29_military_action_skill_spawn_cauldron_poxes_generated	wh3_dlc29_military_action_skill_spawn_cauldron_poxes_3	false
wh3_dlc29_military_action_skill_spawn_hell_pit_abomination_generated	wh3_dlc29_military_action_skill_spawn_hell_pit_abomination_1	false
wh3_dlc29_military_action_skill_spawn_hell_pit_abomination_generated	wh3_dlc29_military_action_skill_spawn_hell_pit_abomination_2	false
wh3_dlc29_military_action_skill_spawn_warp_doom_magma_cannon_generated	wh3_dlc29_military_action_skill_spawn_warp_doom_magma_cannon	false
wh3_dlc29_military_green_warlock_engineer_2	wh3_dlc29_military_action_warlock_engineer_2	false
wh3_dlc29_military_green_warlock_engineer_3	wh3_dlc29_military_action_warlock_engineer_3	false
wh3_dlc29_military_green_warlock_engineer	wh3_dlc29_military_action_warlock_engineer	false
wh3_dlc29_military_green_basic_infantry_grey_seer_3_generated	wh3_dlc29_military_green_basic_infantry_grey_seer_3	false
wh3_dlc29_military_red_hellpit_guard_1	wh3_dlc29_military_green_hell_pit_abomination	true
wh3_dlc29_military_green_basic_infantry_grey_seer_3_generated	wh3_dlc29_military_green_rictus_stormvermin_grey_seer_1	false
wh3_dlc29_military_green_basic_infantry_2	wh3_dlc29_military_mod_pool_basic_infantry_2	true
wh3_dlc29_military_green_basic_infantry_spears_1	wh3_dlc29_military_mod_pool_basic_infantry_spears_1	true
wh3_dlc29_military_green_basic_pusbags_1	wh3_dlc29_military_mod_pool_basic_pusbags_1	true
wh3_dlc29_military_green_brood_horror_dlc_1	wh3_dlc29_military_mod_pool_brood_horror_dlc_1	true
wh3_dlc29_military_green_basic_infantry_2	wh3_dlc29_military_mod_pool_clanrats_grey_seer_2	true
wh3_dlc29_military_green_basic_infantry_grey_seer_3	wh3_dlc29_military_mod_pool_clanrats_grey_seer_3	true
wh3_dlc29_military_green_rictus_stormvermin_1	wh3_dlc29_military_mod_pool_clanrats_grey_seer_4	true
wh3_dlc29_military_green_rictus_stormvermin_grey_seer_1	wh3_dlc29_military_mod_pool_clanrats_grey_seer_5	true
wh3_dlc29_military_green_death_globe_bombadiers_1	wh3_dlc29_military_mod_pool_death_globe_bombadiers_1	true
wh3_dlc29_military_green_death_runners_1	wh3_dlc29_military_mod_pool_death_runners_1	true
wh3_dlc29_military_green_doom_flayer_dlc_1	wh3_dlc29_military_mod_pool_doom_flayer_dlc_1	true
wh3_dlc29_military_green_doomwheel_1	wh3_dlc29_military_mod_pool_doomwheel_1	true
wh3_dlc29_military_green_eshin_triads_dlc_1	wh3_dlc29_military_mod_pool_eshin_triads_dlc_1	true
wh3_dlc29_military_green_moulder_wolf_rats_dlc_1	wh3_dlc29_military_mod_pool_moulder_wolf_rats_dlc_1	true
wh3_dlc29_military_green_mutant_rat_ogre_dlc_1	wh3_dlc29_military_mod_pool_mutant_rat_ogre_dlc	true
wh3_dlc29_military_green_basic_missile_infantry_slingers_1	wh3_dlc29_military_mod_pool_night_runners_slingers_1	true
wh3_dlc29_military_green_plague_censer_bearers	wh3_dlc29_military_mod_pool_plague_censer_bearers	true
wh3_dlc29_military_green_plague_monks_1	wh3_dlc29_military_mod_pool_plague_monks_1	true
wh3_dlc29_military_green_plagueclaw_catapult_1	wh3_dlc29_military_mod_pool_plagueclaw_catapult_1	true
wh3_dlc29_military_green_poison_wind_globadiers_1	wh3_dlc29_military_mod_pool_poison_wind_globadiers_1	true
wh3_dlc29_military_green_poison_wind_mortars_1	wh3_dlc29_military_mod_pool_poison_wind_mortars_1	true
wh3_dlc29_military_green_rictus_stormvermin_1	wh3_dlc29_military_mod_pool_rictus_stormvermin_1	true
wh3_dlc29_military_green_rictus_stormvermin_halberds_1	wh3_dlc29_military_mod_pool_rictus_stormvermin_halberds_1	true
wh3_dlc29_military_green_skryre_ratling_guns_dlc_1	wh3_dlc29_military_mod_pool_skryre_ratling_guns_dlc_1	true
wh3_dlc29_military_green_basic_skavenslaves_lower_chance	wh3_dlc29_military_mod_pool_skryre_warpfire_throwers_1	false
wh3_dlc29_military_green_skryre_warpfire_throwers_1	wh3_dlc29_military_mod_pool_skryre_warpfire_throwers_1	true
wh3_dlc29_military_green_skryre_stormfiends_ratling_1	wh3_dlc29_military_mod_pool_stormfiends_warlock_1	true
wh3_dlc29_military_green_skryre_stormfiends_windlauncher_1	wh3_dlc29_military_mod_pool_stormfiends_warlock_2	true
wh3_dlc29_military_green_skryre_stormfiends_warpfire_1	wh3_dlc29_military_mod_pool_stormfiends_warlock_3	true
wh3_dlc29_military_green_moulder_stormfiends_grinder_1	wh3_dlc29_military_mod_pool_stormfiends_warlord_1	true
wh3_dlc29_military_green_moulder_stormfiends_doomflayer_1	wh3_dlc29_military_mod_pool_stormfiends_warlord_2	true
wh3_dlc29_military_green_moulder_stormfiends_shock_1	wh3_dlc29_military_mod_pool_stormfiends_warlord_3	true
wh3_dlc29_military_green_rictus_stormvermin_halberds_rank_9	wh3_dlc29_military_mod_pool_stormvermin_rank_9	true
wh3_dlc29_military_green_stormvermin_rank_9	wh3_dlc29_military_mod_pool_stormvermin_rank_9	true
wh3_dlc29_military_green_warp_grinders_dlc_1	wh3_dlc29_military_mod_pool_warp_grinders_dlc_1	true
wh3_dlc29_military_green_warp_lightning_cannon_1	wh3_dlc29_military_mod_pool_warp_lightning_cannon_1	true
wh3_dlc29_military_green_warp_lightning_cannon_1	wh3_dlc29_military_mod_pool_warp_lightning_cannon_warlock_1	true
wh3_dlc29_military_green_warplock_jezzails_dlc_1	wh3_dlc29_military_mod_pool_warplock_jezzails_dlc_1	true
wh3_dlc29_military_action_bounty_chieftain_0	wh3_dlc29_military_purple_bounty_chieftain_0	false
wh3_dlc29_military_action_bounty_chieftain_1	wh3_dlc29_military_purple_bounty_chieftain_1	false
wh3_dlc29_military_action_bounty_packmaster_0	wh3_dlc29_military_purple_bounty_packmaster_0	false
wh3_dlc29_military_action_bounty_packmaster_2	wh3_dlc29_military_purple_bounty_packmaster_2	false
wh3_dlc29_military_action_bounty_plague_priest_0	wh3_dlc29_military_purple_bounty_plague_priest_0	false
wh3_dlc29_military_action_bounty_plague_priest_2	wh3_dlc29_military_purple_bounty_plague_priest_2	false
wh3_dlc29_military_action_bounty_warlock_engineer	wh3_dlc29_military_purple_bounty_warlock_engineer	false
wh3_dlc29_military_green_basic_infantry_spears_2	wh3_dlc29_military_upgrade_basic_infantry_spears_2	true
wh3_dlc29_military_green_basic_pusbags_2	wh3_dlc29_military_upgrade_basic_pusbags_2	true
wh3_dlc29_military_green_death_runners_2	wh3_dlc29_military_upgrade_death_runners_2	true
wh3_dlc29_military_green_death_runners_3	wh3_dlc29_military_upgrade_death_runners_3	true
wh3_dlc29_military_green_gutter_runners_1	wh3_dlc29_military_upgrade_gutter_runners_1	true
wh3_dlc29_military_green_gutter_runners_slingers_1	wh3_dlc29_military_upgrade_gutter_runners_1	true
wh3_dlc29_military_green_gutter_runners_1_poison	wh3_dlc29_military_upgrade_gutter_runners_poison_1	true
wh3_dlc29_military_green_gutter_runners_slingers_1_poison	wh3_dlc29_military_upgrade_gutter_runners_poison_1	true
wh3_dlc29_military_green_moulder_wolf_rats_dlc_2	wh3_dlc29_military_upgrade_moulder_wolf_rats_dlc_2	true
wh3_dlc29_military_green_plague_monks_2	wh3_dlc29_military_upgrade_plague_monks_2	true
wh3_dlc29_military_green_plagueclaw_catapult_2	wh3_dlc29_military_upgrade_plagueclaw_catapult_2	true
wh3_dlc29_military_green_plagueclaw_catapult_3	wh3_dlc29_military_upgrade_plagueclaw_catapult_3	true
wh3_dlc29_military_green_warp_lightning_cannon_2	wh3_dlc29_military_upgrade_warp_lightning_cannon_2	true
wh3_dlc29_military_green_warp_lightning_cannon_3	wh3_dlc29_military_upgrade_warp_lightning_cannon_3	true
wh3_dlc29_purple_dwarfs_any_dwarf_brew_use	wh3_dlc29_purple_dwarfs_any_dwarf_brew	false
wh3_dlc29_action_economic_dangerous_treasury	wh3_dlc29_purple_economic_dangerous_treasury	false
wh3_dlc29_action_economic_dangerous_warpstone	wh3_dlc29_purple_economic_dangerous_warpstone	false
wh3_dlc29_action_economic_vault_1_open	wh3_dlc29_purple_economic_vault_1	false
wh3_dlc29_purple_magic_draw_combo_piece_action	wh3_dlc29_purple_magic_draw_combo_piece	false
wh3_dlc29_action_military_lab_1_recruit	wh3_dlc29_purple_military_lab_1	false
wh3_dlc29_action_military_mercenaries_1_recruit	wh3_dlc29_purple_military_mercenaries_1	false
wh3_dlc29_purple_military_ogre_kingdoms_mercenaries_pay	wh3_dlc29_purple_military_ogre_kingdoms_mercenaries	false
wh3_dlc29_action_military_reinforcements	wh3_dlc29_purple_military_reinforcements	false
wh3_dlc29_action_military_vampire_pay_for_reward	wh3_dlc29_purple_military_vampire_pay_for_reward	false
wh3_dlc29_red_any_ogre_kingdoms_hungry_elite_pay_generated	wh3_dlc29_red_any_ogre_kingdoms_hungry_elite_pay	false
wh3_dlc29_red_any_ogre_kingdoms_hungry_elite_pay	wh3_dlc29_red_any_ogre_kingdoms_hungry_elite	false
wh3_dlc29_red_any_ogre_kingdoms_hungry_pay_generated	wh3_dlc29_red_any_ogre_kingdoms_hungry_pay	false
wh3_dlc29_red_any_ogre_kingdoms_hungry_pay	wh3_dlc29_red_any_ogre_kingdoms_hungry	false
wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	wh3_dlc29_red_military_vampire_pay_to_reduce_alarm_elite	false
wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	wh3_dlc29_red_military_vampire_pay_to_reduce_alarm	false
