key	token	shop_price	amount_needed_to_unlock	quantity	ownership_limit	for_all_schemers
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_2	wh3_dlc29_economic_upgrade_basic_treasury_gdp_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	wh3_dlc29_skv_thanquol_shop_warpstone_800	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_2	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	wh3_dlc29_skv_thanquol_shop_warpstone_800	0	1	1	true
wh3_dlc29_shop_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_shop_economic_upgrade_grey_seer_treasury_large_2	wh3_dlc29_economic_upgrade_grey_seer_treasury_large_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	5	1	1	false
wh3_dlc29_shop_economic_upgrade_grey_seer_treasury_large_3	wh3_dlc29_economic_upgrade_grey_seer_treasury_large_3	wh3_dlc29_skv_thanquol_shop_warpstone_500	5	1	1	false
wh3_dlc29_shop_economy_action_assassin_draw	wh3_dlc29_economy_action_assassin_draw	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_economy_action_select_resource	wh3_dlc29_economy_action_select_resource	wh3_dlc29_skv_thanquol_shop_warpstone_500	1	1	1	true
wh3_dlc29_shop_economy_mod_pool_basic_food_mid_1	wh3_dlc29_economy_mod_pool_basic_food_mid_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	5	1	1	false
wh3_dlc29_shop_economy_mod_pool_basic_food_mid_2	wh3_dlc29_economy_upgrade_basic_food_mid_2	wh3_dlc29_skv_thanquol_shop_warpstone_400	5	1	1	false
wh3_dlc29_shop_economy_mod_pool_basic_food_mid_3	wh3_dlc29_economy_upgrade_basic_food_mid_3	wh3_dlc29_skv_thanquol_shop_warpstone_400	5	1	1	false
wh3_dlc29_shop_economy_mod_pool_basic_food_small_1	wh3_dlc29_economy_mod_pool_basic_food_small_1	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	false
wh3_dlc29_shop_economy_mod_pool_basic_food_small_2	wh3_dlc29_economy_upgrade_basic_food_small_2	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	false
wh3_dlc29_shop_economy_mod_pool_basic_food_small_3	wh3_dlc29_economy_upgrade_basic_food_small_3	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	false
wh3_dlc29_shop_magic_draw_combo_piece_verminlord	wh3_dlc29_magic_draw_combo_piece	wh3_dlc29_skv_thanquol_shop_warpstone_1000	4	1	1	false
wh3_dlc29_shop_magic_upgrade_verminlord_1	wh3_dlc29_magic_upgrade_verminlord_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	2	1	1	false
wh3_dlc29_shop_magic_upgrade_verminlord_2	wh3_dlc29_magic_upgrade_verminlord_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_magic_upgrade_verminlord_3	wh3_dlc29_magic_upgrade_verminlord_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_magic_upgrade_verminlord_4	wh3_dlc29_magic_upgrade_verminlord_4	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_magic_upgrade_verminlord_5	wh3_dlc29_magic_upgrade_verminlord_5	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_military_action_assassin	wh3_dlc29_military_action_assassin	wh3_dlc29_skv_thanquol_shop_warpstone_500	2	1	1	false
wh3_dlc29_shop_military_action_assassin_2	wh3_dlc29_military_action_assassin_2	wh3_dlc29_skv_thanquol_shop_warpstone_800	2	1	1	false
wh3_dlc29_shop_military_action_assassin_3	wh3_dlc29_military_action_assassin_3	wh3_dlc29_skv_thanquol_shop_warpstone_1000	2	1	1	false
wh3_dlc29_shop_military_action_assassin_draw	wh3_dlc29_military_action_assassin_draw	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_action_chieftain_0	wh3_dlc29_military_action_chieftain_0	wh3_dlc29_skv_thanquol_shop_warpstone_500	2	1	1	false
wh3_dlc29_shop_military_action_chieftain_1	wh3_dlc29_military_action_chieftain_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	4	1	1	false
wh3_dlc29_shop_military_action_chieftain_2	wh3_dlc29_military_action_chieftain_2	wh3_dlc29_skv_thanquol_shop_warpstone_1000	4	1	1	false
wh3_dlc29_shop_military_action_eshin_sorcerer_1	wh3_dlc29_military_action_eshin_sorcerer	wh3_dlc29_skv_thanquol_shop_warpstone_500	2	1	1	false
wh3_dlc29_shop_military_action_eshin_sorcerer_2	wh3_dlc29_military_action_eshin_sorcerer_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	2	1	1	false
wh3_dlc29_shop_military_action_eshin_sorcerer_3	wh3_dlc29_military_action_eshin_sorcerer_2	wh3_dlc29_skv_thanquol_shop_warpstone_1000	2	1	1	false
wh3_dlc29_shop_military_action_packmaster_0	wh3_dlc29_military_action_packmaster_0	wh3_dlc29_skv_thanquol_shop_warpstone_500	4	1	1	false
wh3_dlc29_shop_military_action_packmaster_1	wh3_dlc29_military_action_packmaster_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	4	1	1	false
wh3_dlc29_shop_military_action_packmaster_2	wh3_dlc29_military_action_packmaster_2	wh3_dlc29_skv_thanquol_shop_warpstone_1000	4	1	1	false
wh3_dlc29_shop_military_action_plague_priest_0	wh3_dlc29_military_action_plague_priest_0	wh3_dlc29_skv_thanquol_shop_warpstone_500	1	1	1	false
wh3_dlc29_shop_military_action_plague_priest_1	wh3_dlc29_military_action_plague_priest_1	wh3_dlc29_skv_thanquol_shop_warpstone_500	1	1	1	false
wh3_dlc29_shop_military_action_plague_priest_2	wh3_dlc29_military_action_plague_priest_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	1	1	1	false
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_2	wh3_dlc29_military_action_skill_grey_seer_draw_units_2	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	false
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_3	wh3_dlc29_military_action_skill_grey_seer_draw_units_3	wh3_dlc29_skv_thanquol_shop_warpstone_300	2	1	1	false
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_4	wh3_dlc29_military_action_skill_grey_seer_draw_units_4	wh3_dlc29_skv_thanquol_shop_warpstone_400	3	1	1	false
wh3_dlc29_shop_military_action_skill_grey_seer_draw_units_5	wh3_dlc29_military_action_skill_grey_seer_draw_units_5	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes_1	wh3_dlc29_military_action_skill_spawn_cauldron_poxes_1	wh3_dlc29_skv_thanquol_shop_warpstone_500	5	1	1	false
wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes_2	wh3_dlc29_military_action_skill_spawn_cauldron_poxes_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	5	1	1	false
wh3_dlc29_shop_military_action_skill_spawn_cauldron_poxes_3	wh3_dlc29_military_action_skill_spawn_cauldron_poxes_3	wh3_dlc29_skv_thanquol_shop_warpstone_500	5	1	1	false
wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination_1	wh3_dlc29_military_action_skill_spawn_hell_pit_abomination_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_military_action_skill_spawn_hell_pit_abomination_2	wh3_dlc29_military_action_skill_spawn_hell_pit_abomination_2	wh3_dlc29_skv_thanquol_shop_warpstone_1000	3	1	1	false
wh3_dlc29_shop_military_action_skill_spawn_warp_doom_magma_cannon	wh3_dlc29_military_action_skill_spawn_warp_doom_magma_cannon	wh3_dlc29_skv_thanquol_shop_warpstone_1000	4	1	1	false
wh3_dlc29_shop_military_action_warlock_engineer_1	wh3_dlc29_military_action_warlock_engineer	wh3_dlc29_skv_thanquol_shop_warpstone_500	3	1	1	false
wh3_dlc29_shop_military_action_warlock_engineer_2	wh3_dlc29_military_action_warlock_engineer_2	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_shop_military_action_warlock_engineer_3	wh3_dlc29_military_action_warlock_engineer_3	wh3_dlc29_skv_thanquol_shop_warpstone_1000	3	1	1	false
wh3_dlc29_shop_military_green_basic_infantry_2	wh3_dlc29_military_mod_pool_basic_infantry_2	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	true
wh3_dlc29_shop_military_green_basic_pusbags_1	wh3_dlc29_military_mod_pool_basic_pusbags_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_military_green_basic_pusbags_2	wh3_dlc29_military_upgrade_basic_pusbags_2	wh3_dlc29_skv_thanquol_shop_warpstone_400	1	1	1	false
wh3_dlc29_shop_military_green_death_globe_bombadiers_1	wh3_dlc29_military_mod_pool_death_globe_bombadiers_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	false
wh3_dlc29_shop_military_green_death_runners_1	wh3_dlc29_military_mod_pool_death_runners_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	1	1	1	false
wh3_dlc29_shop_military_green_death_runners_2	wh3_dlc29_military_upgrade_death_runners_2	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_military_green_death_runners_3	wh3_dlc29_military_upgrade_death_runners_3	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_military_green_doom_flayer_dlc_1	wh3_dlc29_military_mod_pool_doom_flayer_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	false
wh3_dlc29_shop_military_green_eshin_runners_1	wh3_dlc29_military_mod_pool_night_runners_slingers_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	false
wh3_dlc29_shop_military_green_eshin_runners_2	wh3_dlc29_military_upgrade_gutter_runners_1	wh3_dlc29_skv_thanquol_shop_warpstone_500	0	1	1	false
wh3_dlc29_shop_military_green_eshin_runners_3	wh3_dlc29_military_upgrade_gutter_runners_poison_1	wh3_dlc29_skv_thanquol_shop_warpstone_500	0	1	1	false
wh3_dlc29_shop_military_green_eshin_triads_dlc_1	wh3_dlc29_military_mod_pool_eshin_triads_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_400	3	1	1	false
wh3_dlc29_shop_military_green_plague_monks_1	wh3_dlc29_military_mod_pool_plague_monks_1	wh3_dlc29_skv_thanquol_shop_warpstone_500	1	1	1	false
wh3_dlc29_shop_military_green_plague_monks_2	wh3_dlc29_military_upgrade_plague_monks_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	1	1	1	false
wh3_dlc29_shop_military_green_poison_wind_globadiers_1	wh3_dlc29_military_mod_pool_poison_wind_globadiers_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	false
wh3_dlc29_shop_military_green_poison_wind_mortars_1	wh3_dlc29_military_mod_pool_poison_wind_mortars_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_shop_military_green_rictus_stormvermin_1	wh3_dlc29_military_mod_pool_rictus_stormvermin_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_green_rictus_stormvermin_2	wh3_dlc29_military_upgrade_rictus_stormvermin_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_green_rictus_stormvermin_3	wh3_dlc29_military_mod_pool_rictus_stormvermin_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_green_rictus_stormvermin_halberds_1	wh3_dlc29_military_mod_pool_rictus_stormvermin_halberds_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_green_skryre_ratling_guns_dlc_1	wh3_dlc29_military_mod_pool_skryre_ratling_guns_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_500	2	1	1	false
wh3_dlc29_shop_military_green_skryre_warpfire_throwers_1	wh3_dlc29_military_mod_pool_skryre_warpfire_throwers_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	false
wh3_dlc29_shop_military_green_warp_grinders_dlc_1	wh3_dlc29_military_mod_pool_warp_grinders_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_200	1	1	1	false
wh3_dlc29_shop_military_green_warp_lightning_cannon_1_warlord	wh3_dlc29_military_mod_pool_warp_lightning_cannon_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_shop_military_green_warp_lightning_cannon_2_warlord	wh3_dlc29_military_upgrade_warp_lightning_cannon_2	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_shop_military_green_warp_lightning_cannon_3_warlord	wh3_dlc29_military_upgrade_warp_lightning_cannon_3	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_shop_military_green_warplock_jezzails_dlc_1	wh3_dlc29_military_mod_pool_warplock_jezzails_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_shop_military_mod_pool_basic_infantry_spears_1	wh3_dlc29_military_mod_pool_basic_infantry_spears_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	false
wh3_dlc29_shop_military_mod_pool_basic_infantry_spears_2	wh3_dlc29_military_upgrade_basic_infantry_spears_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	0	1	1	false
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_2	wh3_dlc29_military_mod_pool_clanrats_grey_seer_2	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	false
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_3	wh3_dlc29_military_mod_pool_clanrats_grey_seer_3	wh3_dlc29_skv_thanquol_shop_warpstone_400	0	1	1	false
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_4	wh3_dlc29_military_mod_pool_clanrats_grey_seer_4	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_mod_pool_clanrats_grey_seer_5	wh3_dlc29_military_mod_pool_clanrats_grey_seer_5	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc_1	wh3_dlc29_military_mod_pool_moulder_wolf_rats_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_military_mod_pool_moulder_wolf_rats_dlc_2	wh3_dlc29_military_upgrade_moulder_wolf_rats_dlc_2	wh3_dlc29_skv_thanquol_shop_warpstone_400	1	1	1	false
wh3_dlc29_shop_military_mod_pool_mutant_dlc_1	wh3_dlc29_military_mod_pool_mutant_rat_ogre_dlc	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_mod_pool_mutant_dlc_2	wh3_dlc29_military_mod_pool_brood_horror_dlc_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_mod_pool_mutant_dlc_3	wh3_dlc29_military_upgrade_mutant_rat_ogre_brood_horror_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_mod_pool_plague_censer_bearers	wh3_dlc29_military_mod_pool_plague_censer_bearers	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult_1	wh3_dlc29_military_mod_pool_plagueclaw_catapult_1	wh3_dlc29_skv_thanquol_shop_warpstone_400	2	1	1	false
wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult_2	wh3_dlc29_military_upgrade_plagueclaw_catapult_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	2	1	1	false
wh3_dlc29_shop_military_mod_pool_plagueclaw_catapult_3	wh3_dlc29_military_upgrade_plagueclaw_catapult_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_mod_pool_remove_skavenslaves	wh3_dlc29_military_mod_pool_remove_skavenslaves	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	false
wh3_dlc29_shop_military_mod_pool_stormfiends_warlock_1	wh3_dlc29_military_mod_pool_stormfiends_warlock_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_mod_pool_stormfiends_warlock_2	wh3_dlc29_military_mod_pool_stormfiends_warlock_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_mod_pool_stormfiends_warlock_3	wh3_dlc29_military_mod_pool_stormfiends_warlock_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	2	1	1	false
wh3_dlc29_shop_military_mod_pool_stormfiends_warlord_1	wh3_dlc29_military_mod_pool_stormfiends_warlord_1	wh3_dlc29_skv_thanquol_shop_warpstone_1000	5	1	1	false
wh3_dlc29_shop_military_mod_pool_stormfiends_warlord_2	wh3_dlc29_military_mod_pool_stormfiends_warlord_2	wh3_dlc29_skv_thanquol_shop_warpstone_1000	5	1	1	false
wh3_dlc29_shop_military_mod_pool_stormfiends_warlord_3	wh3_dlc29_military_mod_pool_stormfiends_warlord_3	wh3_dlc29_skv_thanquol_shop_warpstone_1000	5	1	1	false
wh3_dlc29_shop_military_mod_pool_stormvermin_rank_9	wh3_dlc29_military_mod_pool_stormvermin_rank_9	wh3_dlc29_skv_thanquol_shop_warpstone_1000	5	1	1	false
wh3_dlc29_shop_rank_up_artillery_1	wh3_dlc29_dummy_rank_up_artillery_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_rank_up_artillery_2	wh3_dlc29_dummy_rank_up_artillery_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_rank_up_artillery_3	wh3_dlc29_dummy_rank_up_artillery_3	wh3_dlc29_skv_thanquol_shop_warpstone_800	0	1	1	true
wh3_dlc29_shop_rank_up_melee_infantry_1	wh3_dlc29_dummy_rank_up_melee_infantry_1	wh3_dlc29_skv_thanquol_shop_warpstone_200	0	1	1	true
wh3_dlc29_shop_rank_up_melee_infantry_2	wh3_dlc29_dummy_rank_up_melee_infantry_2	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	true
wh3_dlc29_shop_rank_up_melee_infantry_3	wh3_dlc29_dummy_rank_up_melee_infantry_3	wh3_dlc29_skv_thanquol_shop_warpstone_400	0	1	1	true
wh3_dlc29_shop_rank_up_missile_infantry_1	wh3_dlc29_dummy_rank_up_missile_infantry_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	true
wh3_dlc29_shop_rank_up_missile_infantry_2	wh3_dlc29_dummy_rank_up_missile_infantry_2	wh3_dlc29_skv_thanquol_shop_warpstone_400	0	1	1	true
wh3_dlc29_shop_rank_up_missile_infantry_3	wh3_dlc29_dummy_rank_up_missile_infantry_3	wh3_dlc29_skv_thanquol_shop_warpstone_500	0	1	1	true
wh3_dlc29_shop_rank_up_monsters_1	wh3_dlc29_dummy_rank_up_monsters_1	wh3_dlc29_skv_thanquol_shop_warpstone_400	0	1	1	true
wh3_dlc29_shop_rank_up_monsters_2	wh3_dlc29_dummy_rank_up_monsters_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	0	1	1	true
wh3_dlc29_shop_rank_up_monsters_3	wh3_dlc29_dummy_rank_up_monsters_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_shop_rank_up_weapon_teams_1	wh3_dlc29_dummy_rank_up_weapon_teams_1	wh3_dlc29_skv_thanquol_shop_warpstone_400	0	1	1	true
wh3_dlc29_shop_rank_up_weapon_teams_2	wh3_dlc29_dummy_rank_up_weapon_teams_2	wh3_dlc29_skv_thanquol_shop_warpstone_500	0	1	1	true
wh3_dlc29_shop_rank_up_weapon_teams_3	wh3_dlc29_dummy_rank_up_weapon_teams_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	0	1	1	true
wh3_dlc29_skv_shop_final_battle_support_eshin	wh3_dlc29_skv_final_battle_support_eshin	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_skv_shop_final_battle_support_mors	wh3_dlc29_skv_final_battle_support_mors	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_skv_shop_final_battle_support_moulder	wh3_dlc29_skv_final_battle_support_moulder	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_skv_shop_final_battle_support_pestilens	wh3_dlc29_skv_final_battle_support_pestilens	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_skv_shop_final_battle_support_rictus	wh3_dlc29_skv_final_battle_support_rictus	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
wh3_dlc29_skv_shop_final_battle_support_skryre	wh3_dlc29_skv_final_battle_support_skryre	wh3_dlc29_skv_thanquol_shop_warpstone_1000	0	1	1	true
