technology	unit_upgrade
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_warriors_und_to_knights
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_warriors_und_to_nur
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_warriors_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_warriors_und_to_tze
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_1deathshrieker_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_1deathshrieker_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1deathshrieker
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_1dreadquake_add_1magma
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_1magma_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_1magma_add_1dreadquake
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1deathshrieker
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_2dreadquake_add_1magma
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1deathshrieker_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1deathshrieker_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1deathshrieker
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1dreadquake_add_1magma
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1magma_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_1magma_add_1dreadquake
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1deathshrieker
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_iron_daemon_ror_2dreadquake_add_1magma
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_skullcracker_1deathshrieker_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_skullcracker_1deathshrieker_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_skullcracker_1dreadquake_add_1deathshrieker
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_skullcracker_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_skullcracker_1dreadquake_add_1magma
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_skullcracker_1magma_1dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_second_carriage_hidden	wh3_dlc23_chd_skullcracker_1magma_add_1dreadquake
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_skullcracker_2dreadquake_add_1deathshrieker
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_skullcracker_2dreadquake_add_1dreadquake
wh3_dlc23_tech_chd_third_carriage_hidden	wh3_dlc23_chd_skullcracker_2dreadquake_add_1magma
wh3_main_chs_belakor_1	wh3_main_chs_bloodletters_to_exalted
wh3_main_chs_belakor_4	wh3_main_chs_daemonette_to_exalted
wh3_main_chs_belakor_3	wh3_main_chs_pink_horrors_to_exalted
wh3_main_chs_belakor_2	wh3_main_chs_plaguebearers_to_exalted
