bonus_value_id	effect	name_record
active	wh_main_effect_name_dummy_blank	2147359018
active	wh_main_effect_name_dummy_blank	2147360506
active	wh_main_effect_name_dummy_blank	2147360508
active	wh_main_effect_name_dummy_blank	2147360514
active	wh_main_effect_name_dummy_blank	2147360732
active	wh_main_effect_name_dummy_blank	967817108
priority	wh_main_effect_name_dummy_blank	2147358913
priority	wh_main_effect_name_dummy_blank	2147358924
priority	wh_main_effect_name_dummy_blank	2147358925
priority	wh_main_effect_name_dummy_blank	2147358935
priority	wh_main_effect_name_dummy_blank	2147358938
priority	wh_main_effect_name_dummy_blank	2147358942
priority	wh_main_effect_name_dummy_blank	2147358949
priority	wh_main_effect_name_dummy_blank	2147358958
priority	wh_main_effect_name_dummy_blank	2147358965
priority	wh_main_effect_name_dummy_blank	2147359013
priority	wh_main_effect_name_dummy_blank	2147359018
priority	wh_main_effect_name_dummy_blank	2147360506
priority	wh_main_effect_name_dummy_blank	2147360508
priority	wh_main_effect_name_dummy_blank	2147360514
priority	wh_main_effect_name_dummy_blank	2147360732
priority	wh_main_effect_name_dummy_blank	967817108
active	wh_main_effect_name_dummy_de_bordeleaux	1529663917
priority	wh_main_effect_name_dummy_de_bordeleaux	1529663917
active	wh_main_effect_name_dummy_franz	2147343858
priority	wh_main_effect_name_dummy_franz	2147343858
active	wh_main_effect_name_dummy_gelt	2147343928
priority	wh_main_effect_name_dummy_gelt	2147343928
active	wh_main_effect_name_dummy_grudgebearer	2147343884
priority	wh_main_effect_name_dummy_grudgebearer	2147343884
active	wh_main_effect_name_dummy_ironfist	2147344423
priority	wh_main_effect_name_dummy_ironfist	2147344423
active	wh_main_effect_name_dummy_ironhide	2147343867
priority	wh_main_effect_name_dummy_ironhide	2147343867
active	wh_main_effect_name_dummy_kemmler	2147345313
priority	wh_main_effect_name_dummy_kemmler	2147345313
active	wh_main_effect_name_dummy_leoncoeur	2147343917
priority	wh_main_effect_name_dummy_leoncoeur	2147343917
active	wh_main_effect_name_dummy_suneater	2147345934
priority	wh_main_effect_name_dummy_suneater	2147345934
active	wh_main_effect_name_dummy_the_ever-watcher	2147357523
priority	wh_main_effect_name_dummy_the_ever-watcher	2147357523
active	wh_main_effect_name_dummy_the_everchosen	2147357364
priority	wh_main_effect_name_dummy_the_everchosen	2147357364
active	wh_main_effect_name_dummy_the_magnificent	2147357370
priority	wh_main_effect_name_dummy_the_magnificent	2147357370
active	wh_main_effect_name_dummy_the_slaughterer	2147357356
priority	wh_main_effect_name_dummy_the_slaughterer	2147357356
active	wh_main_effect_name_dummy_von_carstein	2147343895
priority	wh_main_effect_name_dummy_von_carstein	2147343895
active	wh_main_effect_name_epithet_brt_dawi-hater	2147350551
active	wh_main_effect_name_epithet_brt_lord_of_droners	2147350687
active	wh_main_effect_name_epithet_brt_lord_of_the_siege	2147351701
active	wh_main_effect_name_epithet_brt_orc-bane	2147350579
active	wh_main_effect_name_epithet_brt_the_astute	2147350729
active	wh_main_effect_name_epithet_brt_the_scarred	2147351936
active	wh_main_effect_name_epithet_chs_dawi-hater	2147350560
active	wh_main_effect_name_epithet_chs_lord_of_droners	2147350698
active	wh_main_effect_name_epithet_chs_lord_of_the_siege	2147351679
active	wh_main_effect_name_epithet_chs_orc-bane	2147350583
active	wh_main_effect_name_epithet_chs_the_astute	2147350736
active	wh_main_effect_name_epithet_chs_the_scarred	2147351946
active	wh_main_effect_name_epithet_dwf_dawi-hater	2147350548
active	wh_main_effect_name_epithet_dwf_lord_of_droners	2147350683
active	wh_main_effect_name_epithet_dwf_lord_of_the_siege	2147351687
active	wh_main_effect_name_epithet_dwf_orc-bane	2147350573
active	wh_main_effect_name_epithet_dwf_the_astute	2147350719
active	wh_main_effect_name_epithet_dwf_the_scarred	2147351924
active	wh_main_effect_name_epithet_emp_dawi-hater	2147350546
active	wh_main_effect_name_epithet_emp_lord_of_droners	2147350678
active	wh_main_effect_name_epithet_emp_lord_of_the_siege	2147351695
active	wh_main_effect_name_epithet_emp_orc-bane	2147350568
active	wh_main_effect_name_epithet_emp_the_astute	2147350713
active	wh_main_effect_name_epithet_emp_the_scarred	2147351959
active	wh_main_effect_name_epithet_grn_dawi-hater	2147350567
active	wh_main_effect_name_epithet_grn_lord_of_droners	2147350707
active	wh_main_effect_name_epithet_grn_orc-bane	2147350586
active	wh_main_effect_name_epithet_grn_the_astute	2147350740
active	wh_main_effect_name_epithet_grn_the_scarred	2147351934
active	wh_main_effect_name_epithet_vmp_dawi-hater	2147350557
active	wh_main_effect_name_epithet_vmp_lord_of_droners	2147350694
active	wh_main_effect_name_epithet_vmp_lord_of_the_siege	2147351693
active	wh_main_effect_name_epithet_vmp_orc-bane	2147350580
active	wh_main_effect_name_epithet_vmp_the_astute	2147350731
active	wh_main_effect_name_epithet_vmp_the_scarred	2147351928
active	wh_main_effect_name_title_emp_arch_lector	2147357568
active	wh_main_effect_name_title_emp_castellan-engineer	2147357574
active	wh_main_effect_name_title_emp_emperor	2147357374
priority	wh_main_effect_name_title_emp_emperor	2147357374
active	wh_main_effect_name_title_emp_patriarch	2147357899
active	wh_main_effect_name_title_emp_reiksmarshal	2147357541
active	wh_main_effect_name_title_emp_spymaster	2147357548
active	wh_main_effect_name_title_emp_supreme_patriarch	2147357349
priority	wh_main_effect_name_title_emp_supreme_patriarch	2147357349
active	wh_main_effect_name_title_emp_treasurer	2147357558
