name	idle_looping_sound	moving_looping_sound	rotating_looping_sound	x_offset	y_offset	z_offset
wh3_dlc23_chd_bale_taurus_persistent	wh3_dlc23_chd_bale_taurus_persistent_vfx_low	wh3_dlc23_chd_bale_taurus_persistent_vfx_low	wh3_dlc23_chd_bale_taurus_persistent_vfx_low	0.0000	0.0000	0.0000
wh3_dlc23_chd_battering_ram		wh3_dlc23_war_machine_chd_battering_ram_movement	wh3_dlc23_war_machine_chd_battering_ram_movement	0.0000	0.0000	0.0000
wh3_dlc23_chd_lammasu_persistent	wh3_dlc23_chd_lammasu_idle_persistent_vfx	wh3_dlc23_chd_lammasu_movement_persistent_vfx	wh3_dlc23_chd_lammasu_idle_persistent_vfx	0.0000	0.0000	0.0000
wh3_dlc23_chd_shared_engine_large	wh3_dlc23_chd_war_machine_shared_engine_large_idle	wh3_dlc23_chd_war_machine_shared_engine_large_movement	wh3_dlc23_chd_war_machine_shared_engine_large_movement	0.0000	0.0000	0.0000
wh3_dlc23_chd_shared_engine_small	wh3_dlc23_chd_war_machine_shared_engine_small_idle	wh3_dlc23_chd_war_machine_shared_engine_small_movement	wh3_dlc23_chd_war_machine_shared_engine_small_movement	0.0000	0.0000	0.0000
wh3_dlc23_chd_shared_vfx_furnace	wh3_dlc23_chd_war_machine_shared_vfx_steam_furnace	wh3_dlc23_chd_war_machine_shared_vfx_steam_furnace	wh3_dlc23_chd_war_machine_shared_vfx_steam_furnace	0.0000	0.0000	0.0000
wh3_dlc23_chd_shared_wheels_large		wh3_dlc23_chd_war_machine_shared_wheel_large	wh3_dlc23_chd_war_machine_shared_wheel_large	0.0000	0.0000	0.0000
wh3_dlc23_chd_shared_wheels_small		wh3_dlc23_chd_war_machine_shared_wheel_small	wh3_dlc23_chd_war_machine_shared_wheel_small	0.0000	0.0000	0.0000
wh3_dlc23_chd_skullcracker_blade	wh3_dlc23_chd_war_machine_skullcracker_blade	wh3_dlc23_chd_war_machine_skullcracker_blade	wh3_dlc23_chd_war_machine_skullcracker_blade	0.0000	0.0000	0.0000
wh3_dlc23_chd_skullcracker_chain	wh3_dlc23_chd_war_machine_skullcracker_chain	wh3_dlc23_chd_war_machine_skullcracker_chain	wh3_dlc23_chd_war_machine_skullcracker_chain	0.0000	0.0000	0.0000
wh3_dlc23_kdaai_destroyer_persistent_fire_loop	wh3_dlc23_kdaai_destroyer_persistent_fire_loop	wh3_dlc23_kdaai_destroyer_persistent_fire_loop	wh3_dlc23_kdaai_destroyer_persistent_fire_loop	0.0000	0.0000	0.0000
wh3_dlc24_cth_zhangu_war_drum		wh3_dlc24_cth_zhangu_war_drum_movement		0.0000	0.0000	0.0000
wh3_dlc24_ksl_hag_witch_sled		wh3_dlc24_ksl_hag_witch_sled_movement	wh3_dlc24_ksl_hag_witch_sled_movement_rotation	0.0000	0.0000	0.0000
wh3_fire_rain_rocket_battery		wh3_artillery_fire_rain_rocket_battery_movement	wh3_artillery_fire_rain_rocket_battery_movement	0.0000	0.0000	0.0000
wh3_firebelly_burning_hammer_loop	wh3_firebelly_burning_hammer	wh3_firebelly_burning_hammer	wh3_firebelly_burning_hammer	0.0000	0.0000	0.0000
wh3_greasus_cart_movement		wh3_war_machine_Greasus_chariot_movement	wh3_war_machine_Greasus_chariot_rotation	0.0000	0.0000	0.0000
wh3_herald_of_khorne_sword	wh3_herald_of_khorne_sword	wh3_herald_of_khorne_sword		0.0000	0.0000	0.0000
wh3_horror_orb	wh3_horror_orb	wh3_horror_orb		0.0000	0.0000	0.0000
wh3_horror_orb_compass	wh3_horror_orb	wh3_horror_orb		0.0000	0.0000	0.0000
wh3_iron_dragon_foley	wh3_iron_dragon_foley	wh3_iron_dragon_foley		0.0000	-4.0000	0.0000
wh3_kho_siege_tower	wh3_war_machine_kho_siege_tower_idle	wh3_war_machine_kho_siege_tower_movement	wh3_war_machine_kho_siege_tower_movement	0.0000	0.0000	0.0000
wh3_kostaltyn_fire_mace_loop	wh3_kostaltyn_burning_mace	wh3_kostaltyn_burning_mace	wh3_kostaltyn_burning_mace	0.0000	0.0000	0.0000
wh3_little_grom_sled	wh3_war_machine_little_grom_sled_idle	wh3_war_machine_little_grom_sled_movement	wh3_war_machine_little_grom_sled_movement	0.0000	0.0000	0.0000
wh3_nur_siege_tower		wh3_war_machine_nur_siege_tower_movement	wh3_war_machine_nur_siege_tower_movement	0.0000	0.0000	0.0000
wh3_nurgle_flies_persistent	wh3_nurgle_flies	wh3_nurgle_flies	wh3_nurgle_flies	0.0000	0.0000	0.0000
wh3_patriarch_satchel	wh3_patriarch_satchel_glow	wh3_patriarch_satchel_glow	wh3_patriarch_satchel_glow	0.0000	0.0000	0.0000
wh3_rot_fly_wings	wh3_rot_fly_movement_wings	wh3_rot_fly_movement_wings	wh3_rot_fly_movement_wings	0.0000	0.0000	0.0000
wh3_scrap_launcher		wh_war_machine_wood_movement_scrap_launcher	wh_war_machine_wood_movement_scrap_launcher_turn	0.0000	0.0000	0.0000
wh3_skrag_cauldron		wh3_skrag_cauldron		0.0000	0.0000	0.0000
wh3_skullcannon_engine	wh3_war_machine_skull_cannon_movement_engine	wh3_war_machine_skull_cannon_movement_engine	wh3_war_machine_skull_cannon_movement_engine	0.0000	0.0000	0.0000
wh3_skullcannon_wheelspin	wh3_war_machine_skull_cannon_movement_wheel_spin	wh3_war_machine_skull_cannon_movement_wheel_spin	wh3_war_machine_skull_cannon_movement_wheel_spin	0.0000	0.0000	0.0000
wh3_skylantern	wh3_war_machine_skylantern_idle	wh3_war_machine_skylantern_movement	wh3_war_machine_skylantern_rotation	0.0000	0.0000	0.0000
wh3_sla_hellflayer_chariot	wh3_sla_hellflayer_chariot_idle	wh3_sla_hellflayer_chariot_movement	wh3_sla_hellflayer_chariot_rotate	0.0000	0.0000	0.0000
wh3_soul_grinder_engine	wh3_soul_grinder_movement_engine	wh3_soul_grinder_movement_engine	wh3_soul_grinder_movement_engine	0.0000	0.0000	0.0000
wh3_soul_grinder_nurgle_engine	wh3_soul_grinder_nurgle_movement_engine	wh3_soul_grinder_nurgle_movement_engine	wh3_soul_grinder_nurgle_movement_engine	0.0000	0.0000	0.0000
wh3_soul_grinder_slaanesh_engine	wh3_soul_grinder_slaanesh_movement_engine	wh3_soul_grinder_slaanesh_movement_engine	wh3_soul_grinder_slaanesh_movement_engine	0.0000	0.0000	0.0000
wh3_soul_grinder_tze_engine	wh3_soul_grinder_tzeentch_movement_engine	wh3_soul_grinder_tzeentch_movement_engine	wh3_soul_grinder_tzeentch_movement_engine	0.0000	0.0000	0.0000
wh3_storm_dragon_foley	wh3_storm_dragon_foley	wh3_storm_dragon_foley		0.0000	-4.0000	0.0000
wh3_terracotta_sentinel_magic_gen	wh3_terracotta_sentinel_magic_gen_idle	wh3_terracotta_sentinel_magic_gen_idle	wh3_terracotta_sentinel_magic_gen_idle	0.0000	5.2000	-1.4000
wh3_terracotta_sentinel_magic_gen_twa08_ror	wh3_terracotta_sentinel_magic_gen_twa08_ror	wh3_terracotta_sentinel_magic_gen_twa08_ror	wh3_terracotta_sentinel_magic_gen_twa08_ror	0.0000	5.2000	-1.4000
wh3_tze_burning_chariot	wh3_tze_burning_chariot_moving	wh3_tze_burning_chariot_moving	wh3_tze_burning_chariot_moving	0.0000	0.0000	0.0000
wh3_tze_soulgrinder_orb	wh3_tze_soul_grinder_orb_loop	wh3_tze_soul_grinder_orb_loop	wh3_tze_soul_grinder_orb_loop	0.0000	0.0000	0.0000
wh3_war_sled_heavy	wh3_war_machine_war_sled_idle	wh3_war_machine_war_sled_heavy_movement	wh3_war_machine_war_sled_heavy_movement	0.0000	0.0000	0.0000
wh3_war_sled_light	wh3_war_machine_war_sled_idle	wh3_war_machine_war_sled_light_movement	wh3_war_machine_war_sled_light_movement	0.0000	0.0000	0.0000
wh3_wu_xing_compass		wh3_war_machine_wu_xing_compass_movement		0.0000	0.0000	0.0000
wh_chariot_metal		wh_chariot_metal_movement	wh_chariot_metal_movement_rotation	0.0000	0.0000	0.0000
wh_chariot_wood		wh_chariot_wood_movement	wh_chariot_wood_movement_rotation	0.0000	0.0000	0.0000
wh_copter	wh_copter	wh_copter	wh_copter	0.0000	0.0000	0.0000
wh_dlc_mortis_engine	wh_dlc_vmp_mortis_engine_sfx	wh_dlc_vmp_mortis_engine_sfx	wh_dlc_vmp_mortis_engine_sfx	0.0000	0.0000	0.0000
wh_gyrobomber	wh_gyrobomber_movement	wh_gyrobomber_movement	wh_gyrobomber_movement	0.0000	0.0000	0.0000
wh_hell_cannon		wh2_war_machine_hell_cannon_metal_movement	wh2_war_machine_hell_cannon_metal_rotation	0.0000	0.0000	0.0000
wh_hell_cannon_ice_forged_legion		wh2_war_machine_hell_cannon_metal_movement	wh2_war_machine_hell_cannon_metal_rotation	0.0000	0.0000	0.0000
wh_main_vehicle_steam_turret			wh_main_vehicle_steam_turret	0.0000	0.0000	0.0000
wh_war_machine_brt_large		wh_war_machine_movement_siege_tower_blades	wh_war_machine_movement_siege_tower_blades	0.0000	0.0000	0.0000
wh_war_machine_corpse_cart		wh_war_machine_corpse_cart_movement	wh_war_machine_corpse_cart_movement_rotation	0.0000	0.0000	0.0000
wh_war_machine_flame_cannon	wh_war_machine_flame_cannon_idle	wh_war_machine_metal_movement_small	wh_war_machine_metal_movement_small	0.0000	0.0000	0.0000
wh_war_machine_luminark		wh_luminark_movement	wh_luminark_movement_rotation	0.0000	0.0000	0.0000
wh_war_machine_metal_large		wh_war_machine_metal_movement_large	wh_war_machine_metal_rotation_large	0.0000	0.0000	0.0000
wh_war_machine_metal_medium		wh_war_machine_metal_movement_medium	wh_war_machine_metal_movement_medium	0.0000	0.0000	0.0000
wh_war_machine_metal_small		wh_war_machine_metal_movement_small	wh_war_machine_metal_movement_small	0.0000	0.0000	0.0000
wh_war_machine_steamtank	wh_war_machine_steamtank_idle	wh_war_machine_steamtank_movement	wh_war_machine_steamtank_idle	0.0000	0.0000	0.0000
wh_war_machine_vampire_large	wh_war_machine_vampire_idle_large	wh_war_machine_vampire_movement_large	wh_war_machine_vampire_movement_large	0.0000	0.0000	0.0000
wh_war_machine_wef_large		wh_war_machine_wef_movement_large	wh_war_machine_wef_rotation_large	0.0000	0.0000	0.0000
wh_war_machine_wood_large		wh_war_machine_wood_movement_large	wh_war_machine_wood_rotation_large	0.0000	0.0000	0.0000
wh_war_machine_wood_medium		wh_war_machine_wood_movement_medium	wh_war_machine_wood_movement_medium	0.0000	0.0000	0.0000
wh_war_machine_wood_small		wh_war_machine_wood_movement_small	wh_war_machine_wood_movement_small	0.0000	0.0000	0.0000
wh_wolf_chariot_grp		wh_wolf_chariot_movement	wh_wolf_chariot_movement_rotation	0.0000	0.0000	0.0000
