agent_subtype	ministerial_position
wh_dlc05_wef_glade_lord_fem	wh2_dlc16_minister_wef_sisters_darkweaver
wh_dlc05_wef_orion	wh2_dlc16_minister_wef_sisters_darkweaver
wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_malicious_ancient_treeman_life	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_spellweaver_beasts	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_spellweaver_dark	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_spellweaver_life	wh2_dlc16_minister_wef_sisters_highweaver
wh_dlc05_wef_ancient_treeman	wh2_dlc16_minister_wef_sisters_highweaver
wh_dlc05_wef_durthu	wh2_dlc16_minister_wef_sisters_highweaver
wh_dlc05_wef_glade_lord	wh2_dlc16_minister_wef_sisters_highweaver
wh_dlc05_wef_glade_lord_fem	wh2_dlc16_minister_wef_sisters_highweaver
wh_dlc05_wef_orion	wh2_dlc16_minister_wef_sisters_highweaver
wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_sisters_isha
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh2_dlc16_minister_wef_sisters_isha
wh2_dlc16_wef_malicious_ancient_treeman_life	wh2_dlc16_minister_wef_sisters_isha
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh2_dlc16_minister_wef_sisters_isha
wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_sisters_kurnous
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh2_dlc16_minister_wef_sisters_kurnous
wh2_dlc16_wef_malicious_ancient_treeman_life	wh2_dlc16_minister_wef_sisters_kurnous
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh2_dlc16_minister_wef_sisters_kurnous
wh2_dlc16_wef_drycha	wh2_dlc16_minister_wef_sisters_loec
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh2_dlc16_minister_wef_sisters_loec
wh2_dlc16_wef_malicious_ancient_treeman_life	wh2_dlc16_minister_wef_sisters_loec
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh2_dlc16_minister_wef_sisters_loec
wh2_dlc16_wef_drycha	wh_dlc05_minister_wef_elf_elder_speaker
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh_dlc05_minister_wef_elf_elder_speaker
wh2_dlc16_wef_malicious_ancient_treeman_life	wh_dlc05_minister_wef_elf_elder_speaker
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh_dlc05_minister_wef_elf_elder_speaker
wh_dlc05_wef_ancient_treeman	wh_dlc05_minister_wef_elf_elder_speaker
wh_dlc05_wef_durthu	wh_dlc05_minister_wef_elf_elder_speaker
wh2_dlc16_wef_drycha	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh2_dlc16_wef_malicious_ancient_treeman_life	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh_dlc05_wef_ancient_treeman	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh_dlc05_wef_durthu	wh_dlc05_minister_wef_elf_herald_of_the_hunt
wh2_dlc16_wef_drycha	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_malicious_ancient_treeman_life	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_spellweaver_beasts	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_spellweaver_dark	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_spellweaver_high	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_spellweaver_life	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_spellweaver_shadows	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh_dlc05_wef_glade_lord	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh_dlc05_wef_glade_lord_fem	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh_dlc05_wef_orion	wh_dlc05_minister_wef_elf_protector_of_the_oak
wh2_dlc16_wef_drycha	wh_dlc05_minister_wef_elf_starlight_craftsman
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh_dlc05_minister_wef_elf_starlight_craftsman
wh2_dlc16_wef_malicious_ancient_treeman_life	wh_dlc05_minister_wef_elf_starlight_craftsman
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh_dlc05_minister_wef_elf_starlight_craftsman
wh_dlc05_wef_ancient_treeman	wh_dlc05_minister_wef_elf_starlight_craftsman
wh_dlc05_wef_durthu	wh_dlc05_minister_wef_elf_starlight_craftsman
wh2_dlc16_wef_drycha	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh2_dlc16_wef_malicious_ancient_treeman_life	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh_dlc05_wef_ancient_treeman	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh_dlc05_wef_durthu	wh_dlc05_minister_wef_elf_the_tricksters_masque
wh2_dlc16_wef_drycha	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh2_dlc16_wef_malicious_ancient_treeman_beasts	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh2_dlc16_wef_malicious_ancient_treeman_life	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh2_dlc16_wef_malicious_ancient_treeman_shadows	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh_dlc05_wef_ancient_treeman	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh_dlc05_wef_durthu	wh_dlc05_minister_wef_elf_warden_of_the_wildwood
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh2_dlc16_wef_spellweaver_beasts	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh2_dlc16_wef_spellweaver_dark	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh2_dlc16_wef_spellweaver_high	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh2_dlc16_wef_spellweaver_life	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh2_dlc16_wef_spellweaver_shadows	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh_dlc05_wef_glade_lord	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh_dlc05_wef_glade_lord_fem	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh_dlc05_wef_orion	wh_dlc05_minister_wef_tree_ancient_of_delliandra
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh2_dlc16_wef_spellweaver_beasts	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh2_dlc16_wef_spellweaver_dark	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh2_dlc16_wef_spellweaver_high	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh2_dlc16_wef_spellweaver_life	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh2_dlc16_wef_spellweaver_shadows	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh_dlc05_wef_glade_lord	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh_dlc05_wef_glade_lord_fem	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh_dlc05_wef_orion	wh_dlc05_minister_wef_tree_ancient_of_druthandor
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh2_dlc16_wef_spellweaver_beasts	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh2_dlc16_wef_spellweaver_dark	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh2_dlc16_wef_spellweaver_high	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh2_dlc16_wef_spellweaver_life	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh2_dlc16_wef_spellweaver_shadows	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh_dlc05_wef_glade_lord	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh_dlc05_wef_glade_lord_fem	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh_dlc05_wef_orion	wh_dlc05_minister_wef_tree_ancient_of_talrennic
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh2_dlc16_wef_spellweaver_beasts	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh2_dlc16_wef_spellweaver_dark	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh2_dlc16_wef_spellweaver_high	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh2_dlc16_wef_spellweaver_life	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh2_dlc16_wef_spellweaver_shadows	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh_dlc05_wef_glade_lord	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh_dlc05_wef_glade_lord_fem	wh_dlc05_minister_wef_tree_ancient_of_threllock
wh_dlc05_wef_orion	wh_dlc05_minister_wef_tree_ancient_of_threllock
