set_key	superseded_ability_key
wh3_main_daemon_arms_abilities_mortal_blow	wh3_main_daemon_arms_abilities_mortal_blow
wh3_main_daemon_arms_passive_unending_feast	wh3_main_daemon_arms_passive_unending_feast
wh3_main_lord_passive_harvester_of_souls	wh3_main_lord_passive_harvester_of_souls
wh3_main_unit_passive_by_our_blood_upgrade	wh3_main_unit_passive_by_our_blood
wh3_main_zombie_unbinding	wh_main_unit_passive_unbinding_zombie
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1	wh3_pro10_army_abilities_diabolical_puppetry_upgrade_1
wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2	wh3_pro10_army_abilities_diabolical_puppetry_upgrade_2
wh3_pro10_army_abilities_diabolical_puppetry	wh3_pro10_army_abilities_diabolical_puppetry
wh3_pro10_army_abilities_inevitable_fate_upgrade_1	wh3_pro10_army_abilities_inevitable_fate_upgrade_1
wh3_pro10_army_abilities_inevitable_fate_upgrade_2	wh3_pro10_army_abilities_inevitable_fate_upgrade_2
wh3_pro10_army_abilities_inevitable_fate	wh3_pro10_army_abilities_inevitable_fate
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1	wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_1
wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2	wh3_pro10_army_abilities_tempest_of_blue_flame_upgrade_2
wh3_pro10_army_abilities_tempest_of_blue_flame	wh3_pro10_army_abilities_tempest_of_blue_flame
wh3_supplies_upgrade_armour_01	wh3_supplies_upgrade_armour_01
wh3_supplies_upgrade_armour_02	wh3_supplies_upgrade_armour_02
wh3_supplies_upgrade_missiles_01	wh3_supplies_upgrade_missiles_01
wh3_supplies_upgrade_missiles_02	wh3_supplies_upgrade_missiles_02
wh3_supplies_upgrade_shields_01	wh3_supplies_upgrade_shields_01
wh3_supplies_upgrade_shields_02	wh3_supplies_upgrade_shields_02
wh3_supplies_upgrade_weapons_01	wh3_supplies_upgrade_weapons_01
wh3_supplies_upgrade_weapons_02	wh3_supplies_upgrade_weapons_02
