quote	unit
wh2_dlc16_wef_cha_drycha_0	wh2_dlc16_wef_cha_drycha_0
wh2_dlc16_wef_cha_sisters_of_twilight_0	wh2_dlc16_wef_cha_sisters_of_twilight_0
wh2_dlc16_wef_cha_sisters_of_twilight_0	wh2_dlc16_wef_cha_sisters_of_twilight_1
wh2_dlc17_bst_cav_tuskgor_chariot_0	wh2_dlc17_bst_cav_tuskgor_chariot_0
wh2_dlc17_bst_cha_taurox_the_brass_bull_0	wh2_dlc17_bst_cha_taurox_the_brass_bull_0
wh2_dlc17_bst_mon_ghorgon_0	wh2_dlc17_bst_mon_ghorgon_0
wh2_dlc17_bst_mon_jabberslythe_0	wh2_dlc17_bst_mon_jabberslythe_0
wh2_dlc17_dwf_cha_thorek_ironbrow_0	wh2_dlc17_dwf_cha_thorek_ironbrow_0
wh2_dlc17_dwf_cha_thorek_ironbrow_0	wh2_dlc17_dwf_cha_thorek_ironbrow_1
wh2_dlc17_lzd_cha_oxyotl_0	wh2_dlc17_lzd_cha_oxyotl_0
wh2_main_brt_art_blessed_field_trebuchet	wh_dlc07_brt_art_blessed_field_trebuchet_0
wh2_main_brt_art_field_trebuchet	wh_main_brt_art_field_trebuchet
wh2_main_brt_cav_grail_guardians	wh_dlc07_brt_cav_grail_guardians_0
wh2_main_brt_cav_grail_knights	wh_main_brt_cav_grail_knights
wh2_main_brt_cav_knights_errant	wh_dlc07_brt_cav_knights_errant_0
wh2_main_brt_cav_knights_of_the_realm	wh_main_brt_cav_knights_of_the_realm
wh2_main_brt_cav_mounted_yeomen_0	wh_main_brt_cav_mounted_yeomen_0
wh2_main_brt_cav_mounted_yeomen_1	wh_main_brt_cav_mounted_yeomen_1
wh2_main_brt_cav_pegasus_knights	wh_main_brt_cav_pegasus_knights
wh2_main_brt_cav_questing_knights	wh_dlc07_brt_cav_questing_knights_0
wh2_main_brt_cav_royal_hippogryph_knights	wh_dlc07_brt_cav_royal_hippogryph_knights_0
wh2_main_brt_cav_royal_pegasus_knights	wh_dlc07_brt_cav_royal_pegasus_knights_0
wh2_main_brt_cha_green_knight	wh_dlc07_brt_cha_green_knight_0
wh2_main_brt_inf_battle_pilgrims	wh_dlc07_brt_inf_battle_pilgrims_0
wh2_main_brt_inf_foot_squires	wh_dlc07_brt_inf_foot_squires_0
wh2_main_brt_inf_grail_reliquae	wh_dlc07_brt_inf_grail_reliquae_0
wh2_main_brt_inf_men_at_arms_1	wh_dlc07_brt_inf_men_at_arms_1
wh2_main_brt_inf_men_at_arms_2	wh_dlc07_brt_inf_men_at_arms_2
wh2_main_brt_inf_men_at_arms	wh_main_brt_inf_men_at_arms
wh2_main_brt_inf_peasant_bowmen	wh_dlc07_brt_inf_peasant_bowmen_1
wh2_main_brt_inf_peasant_bowmen	wh_dlc07_brt_inf_peasant_bowmen_2
wh2_main_brt_inf_peasant_bowmen	wh_main_brt_inf_peasant_bowmen
wh2_main_brt_inf_peasant_mob	wh_dlc07_brt_peasant_mob_0
wh2_main_brt_inf_spearmen_at_arms_1	wh_dlc07_brt_inf_spearmen_at_arms_1
wh2_main_brt_inf_spearmen_at_arms	wh_main_brt_inf_spearmen_at_arms
wh2_main_bst_cav_razorgor_chariot_0	wh_dlc03_bst_cav_razorgor_chariot_0
wh2_main_bst_feral_manticore	wh_dlc03_bst_feral_manticore
wh2_main_bst_feral_manticore	wh_dlc06_chs_feral_manticore
wh2_main_bst_feral_manticore	wh_dlc08_nor_feral_manticore
wh2_main_bst_inf_bestigor_herd_0	wh_dlc03_bst_inf_bestigor_herd_0
wh2_main_bst_inf_centigors_0	wh_dlc03_bst_inf_centigors_0
wh2_main_bst_inf_centigors_1	wh_dlc03_bst_inf_centigors_1
wh2_main_bst_inf_centigors_2	wh_dlc03_bst_inf_centigors_2
wh2_main_bst_inf_chaos_warhounds_0	wh_dlc03_bst_inf_chaos_warhounds_0
wh2_main_bst_inf_chaos_warhounds_1	wh_dlc03_bst_inf_chaos_warhounds_1
wh2_main_bst_inf_cygor_0	wh_dlc03_bst_inf_cygor_0
wh2_main_bst_inf_gor_herd_0	wh_dlc03_bst_inf_gor_herd_0
wh2_main_bst_inf_gor_herd_1	wh_dlc03_bst_inf_gor_herd_1
wh2_main_bst_inf_harpies_0	wh_dlc05_bst_mon_harpies_0
wh2_main_bst_inf_minotaurs_0	wh_dlc03_bst_inf_minotaurs_0
wh2_main_bst_inf_minotaurs_1	wh_dlc03_bst_inf_minotaurs_1
wh2_main_bst_inf_minotaurs_2	wh_dlc03_bst_inf_minotaurs_2
wh2_main_bst_inf_razorgor_herd_0	wh_dlc03_bst_inf_razorgor_herd_0
wh2_main_bst_inf_ungor_herd_1	wh_dlc03_bst_inf_ungor_herd_1
wh2_main_bst_inf_ungor_raiders_0	wh_dlc03_bst_inf_ungor_raiders_0
wh2_main_bst_inf_ungor_spearmen_0	wh_dlc03_bst_inf_ungor_spearmen_0
wh2_main_bst_inf_ungor_spearmen_1	wh_dlc03_bst_inf_ungor_spearmen_1
wh2_main_bst_mon_chaos_spawn_0	wh_dlc03_bst_mon_chaos_spawn_0
wh2_main_bst_mon_giant_0	wh_dlc03_bst_mon_giant_0
wh2_main_chs_art_hellcannon	wh_main_chs_art_hellcannon
wh2_main_chs_cav_chaos_chariot	wh_main_chs_cav_chaos_chariot
wh2_main_chs_cav_chaos_knights_0	wh_main_chs_cav_chaos_knights_0
wh2_main_chs_cav_chaos_knights_1	wh_main_chs_cav_chaos_knights_1
wh2_main_chs_cav_gorebeast_chariot	wh_dlc01_chs_cav_gorebeast_chariot
wh2_main_chs_cav_marauder_horsemasters_0	wh_dlc06_chs_cav_marauder_horsemasters_0
wh2_main_chs_cav_marauder_horsemasters_0	wh_dlc08_nor_cav_marauder_horsemasters_0
wh2_main_chs_cav_marauder_horsemen_0	wh_main_chs_cav_marauder_horsemen_0
wh2_main_chs_cav_marauder_horsemen_0	wh_main_nor_cav_marauder_horsemen_0
wh2_main_chs_cav_marauder_horsemen_1	wh_main_chs_cav_marauder_horsemen_1
wh2_main_chs_cav_marauder_horsemen_1	wh_main_nor_cav_marauder_horsemen_1
wh2_main_chs_cha_lord_of_change_0	wh_main_chs_cha_lord_of_change_0
wh2_main_chs_inf_aspiring_champions_0	wh_dlc06_chs_inf_aspiring_champions_0
wh2_main_chs_inf_chaos_marauders_0	wh_main_chs_inf_chaos_marauders_0
wh2_main_chs_inf_chaos_marauders_1	wh_main_chs_inf_chaos_marauders_1
wh2_main_chs_inf_chaos_warriors_0	wh_main_chs_inf_chaos_warriors_0
wh2_main_chs_inf_chaos_warriors_1	wh_main_chs_inf_chaos_warriors_1
wh2_main_chs_inf_chaos_warriors_2	wh_dlc01_chs_inf_chaos_warriors_2
wh2_main_chs_inf_chosen_0	wh_main_chs_inf_chosen_0
wh2_main_chs_inf_chosen_1	wh_main_chs_inf_chosen_1
wh2_main_chs_inf_chosen_2	wh_dlc01_chs_inf_chosen_2
wh2_main_chs_inf_forsaken_0	wh_dlc01_chs_inf_forsaken_0
wh2_main_chs_mon_chaos_spawn	wh_main_chs_mon_chaos_spawn
wh2_main_chs_mon_chaos_warhounds_0	wh_main_chs_mon_chaos_warhounds_0
wh2_main_chs_mon_chaos_warhounds_1	wh_main_chs_mon_chaos_warhounds_1
wh2_main_chs_mon_dragon_ogre_shaggoth	wh_dlc01_chs_mon_dragon_ogre_shaggoth
wh2_main_chs_mon_dragon_ogre	wh_dlc01_chs_mon_dragon_ogre
wh2_main_chs_mon_giant	wh_main_chs_mon_giant
wh2_main_chs_mon_trolls_1	wh_dlc01_chs_mon_trolls_1
wh2_main_chs_mon_trolls	wh_main_chs_mon_trolls
wh2_main_cst_art_carronade	wh2_dlc11_cst_art_carronade
wh2_main_cst_art_mortar	wh2_dlc11_cst_art_mortar
wh2_main_cst_art_queen_bess	wh2_dlc11_cst_art_queen_bess
wh2_main_cst_cav_deck_droppers_0	wh2_dlc11_cst_cav_deck_droppers_0
wh2_main_cst_cav_deck_droppers_1	wh2_dlc11_cst_cav_deck_droppers_1
wh2_main_cst_cav_deck_droppers_2	wh2_dlc11_cst_cav_deck_droppers_2
wh2_main_cst_cha_aranessa_0	wh2_dlc11_cst_cha_aranessa_0
wh2_main_cst_cha_aranessa_0	wh2_dlc11_cst_cha_aranessa_1
wh2_main_cst_cha_count_noctilus_0	wh2_dlc11_cst_inf_count_noctilus_0
wh2_main_cst_cha_count_noctilus_0	wh2_dlc11_cst_inf_count_noctilus_1
wh2_main_cst_cha_cylostra_direfin_0	wh2_dlc11_cst_cha_cylostra_direfin_0
wh2_main_cst_cha_cylostra_direfin_0	wh2_dlc11_cst_cha_cylostra_direfin_1
wh2_main_cst_cha_luthor_harkon_0	wh2_dlc11_cst_cha_luthor_harkon_0
wh2_main_cst_cha_luthor_harkon_0	wh2_dlc11_cst_cha_luthor_harkon_1
wh2_main_cst_inf_deck_gunners_0	wh2_dlc11_cst_inf_deck_gunners_0
wh2_main_cst_inf_depth_guard_0	wh2_dlc11_cst_inf_depth_guard_0
wh2_main_cst_inf_depth_guard_1	wh2_dlc11_cst_inf_depth_guard_1
wh2_main_cst_inf_sartosa_free_company_0	wh2_dlc11_cst_inf_sartosa_free_company_0
wh2_main_cst_inf_syreens	wh2_dlc11_cst_inf_syreens
wh2_main_cst_inf_zombie_deckhands_mob_0	wh2_dlc11_cst_inf_zombie_deckhands_mob_0
wh2_main_cst_inf_zombie_deckhands_mob_1	wh2_dlc11_cst_inf_zombie_deckhands_mob_1
wh2_main_cst_inf_zombie_gunnery_mob_0	wh2_dlc11_cst_inf_zombie_gunnery_mob_0
wh2_main_cst_inf_zombie_gunnery_mob_1	wh2_dlc11_cst_inf_zombie_gunnery_mob_1
wh2_main_cst_inf_zombie_gunnery_mob_2	wh2_dlc11_cst_inf_zombie_gunnery_mob_2
wh2_main_cst_inf_zombie_gunnery_mob_3	wh2_dlc11_cst_inf_zombie_gunnery_mob_3
wh2_main_cst_mon_animated_hulks_0	wh2_dlc11_cst_mon_animated_hulks_0
wh2_main_cst_mon_bloated_corpse_0	wh2_dlc11_cst_mon_bloated_corpse_0
wh2_main_cst_mon_fell_bats	wh2_dlc11_cst_mon_fell_bats
wh2_main_cst_mon_mournguls_0	wh2_dlc11_cst_mon_mournguls_0
wh2_main_cst_mon_necrofex_colossus_0	wh2_dlc11_cst_mon_necrofex_colossus_0
wh2_main_cst_mon_rotting_leviathan_0	wh2_dlc11_cst_mon_rotting_leviathan_0
wh2_main_cst_mon_rotting_prometheans_0	wh2_dlc11_cst_mon_rotting_prometheans_0
wh2_main_cst_mon_rotting_prometheans_gunnery_mob_0	wh2_dlc11_cst_mon_rotting_prometheans_gunnery_mob_0
wh2_main_cst_mon_scurvy_dogs	wh2_dlc11_cst_mon_scurvy_dogs
wh2_main_cst_mon_terrorgheist	wh2_dlc11_cst_mon_terrorgheist
wh2_main_def_art_reaper_bolt_thrower	wh2_main_def_art_reaper_bolt_thrower
wh2_main_def_cav_cold_one_chariot	wh2_main_def_cav_cold_one_chariot
wh2_main_def_cav_cold_one_knights_0	wh2_main_def_cav_cold_one_knights_0
wh2_main_def_cav_cold_one_knights_1	wh2_main_def_cav_cold_one_knights_1
wh2_main_def_cav_dark_riders_0	wh2_main_def_cav_dark_riders_0
wh2_main_def_cav_dark_riders_1	wh2_main_def_cav_dark_riders_1
wh2_main_def_cav_dark_riders_2	wh2_main_def_cav_dark_riders_2
wh2_main_def_cav_doomfire_warlocks_0	wh2_dlc10_def_cav_doomfire_warlocks_0
wh2_main_def_cha_crone	wh2_dlc10_def_cha_crone_0
wh2_main_def_cha_crone	wh2_dlc10_def_cha_crone_1
wh2_main_def_cha_crone	wh2_dlc10_def_cha_crone_4
wh2_main_def_cha_crone	wh2_dlc10_def_cha_crone_5
wh2_main_def_cha_lokhir_fellheart_0	wh2_dlc11_def_cha_lokhir_fellheart_0
wh2_main_def_cha_malekith_0	wh2_main_def_cha_malekith_0
wh2_main_def_cha_malekith_0	wh2_main_def_cha_malekith_1
wh2_main_def_cha_malekith_0	wh2_main_def_cha_malekith_2
wh2_main_def_cha_malekith_0	wh2_main_def_cha_malekith_3
wh2_main_def_cha_morathi_0	wh2_main_def_cha_morathi_0
wh2_main_def_cha_morathi_0	wh2_main_def_cha_morathi_1
wh2_main_def_inf_black_ark_corsairs_0	wh2_main_def_inf_black_ark_corsairs_0
wh2_main_def_inf_black_ark_corsairs_1	wh2_main_def_inf_black_ark_corsairs_1
wh2_main_def_inf_black_guard_0	wh2_main_def_inf_black_guard_0
wh2_main_def_inf_bleakswords_0	wh2_main_def_inf_bleakswords_0
wh2_main_def_inf_darkshards_0	wh2_main_def_inf_darkshards_0
wh2_main_def_inf_darkshards_1	wh2_main_def_inf_darkshards_1
wh2_main_def_inf_dreadspears_0	wh2_main_def_inf_dreadspears_0
wh2_main_def_inf_har_ganeth_executioners_0	wh2_main_def_inf_har_ganeth_executioners_0
wh2_main_def_inf_harpies	wh2_main_def_inf_harpies
wh2_main_def_inf_shades_0	wh2_main_def_inf_shades_0
wh2_main_def_inf_shades_1	wh2_main_def_inf_shades_1
wh2_main_def_inf_shades_2	wh2_main_def_inf_shades_2
wh2_main_def_inf_sisters_of_slaughter	wh2_dlc10_def_inf_sisters_of_slaughter
wh2_main_def_inf_witch_elves_0	wh2_main_def_inf_witch_elves_0
wh2_main_def_mon_black_dragon	wh2_main_def_mon_black_dragon
wh2_main_def_mon_kharibdyss_0	wh2_dlc10_def_mon_kharibdyss_0
wh2_main_def_mon_war_hydra_0	wh2_main_def_mon_war_hydra
wh2_main_dwf_art_bolt_thrower_0	wh_dlc06_dwf_art_bolt_thrower_0
wh2_main_dwf_art_cannon	wh_main_dwf_art_cannon
wh2_main_dwf_art_flame_cannon	wh_main_dwf_art_flame_cannon
wh2_main_dwf_art_grudge_thrower	wh_main_dwf_art_grudge_thrower
wh2_main_dwf_art_organ_gun	wh_main_dwf_art_organ_gun
wh2_main_dwf_inf_bugmans_rangers_0	wh_dlc06_dwf_inf_bugmans_rangers_0
wh2_main_dwf_inf_dwarf_warrior_0	wh_main_dwf_inf_dwarf_warrior_0
wh2_main_dwf_inf_dwarf_warrior_1	wh_main_dwf_inf_dwarf_warrior_1
wh2_main_dwf_inf_giant_slayers_0	wh2_dlc10_dwf_inf_giant_slayers
wh2_main_dwf_inf_hammerers	wh_main_dwf_inf_hammerers
wh2_main_dwf_inf_ironbreakers	wh_main_dwf_inf_ironbreakers
wh2_main_dwf_inf_irondrakes_0	wh_main_dwf_inf_irondrakes_0
wh2_main_dwf_inf_irondrakes_2	wh_main_dwf_inf_irondrakes_2
wh2_main_dwf_inf_longbeards_1	wh_main_dwf_inf_longbeards_1
wh2_main_dwf_inf_longbeards	wh_main_dwf_inf_longbeards
wh2_main_dwf_inf_miners_0	wh_main_dwf_inf_miners_0
wh2_main_dwf_inf_miners_1	wh_main_dwf_inf_miners_1
wh2_main_dwf_inf_quarrellers_0	wh_main_dwf_inf_quarrellers_0
wh2_main_dwf_inf_quarrellers_1	wh_main_dwf_inf_quarrellers_1
wh2_main_dwf_inf_rangers_0	wh_dlc06_dwf_inf_rangers_0
wh2_main_dwf_inf_rangers_1	wh_dlc06_dwf_inf_rangers_1
wh2_main_dwf_inf_slayers	wh_main_dwf_inf_slayers
wh2_main_dwf_inf_thunderers_0	wh_main_dwf_inf_thunderers_0
wh2_main_dwf_veh_gyrobomber	wh_main_dwf_veh_gyrobomber
wh2_main_dwf_veh_gyrocopter_0	wh_main_dwf_veh_gyrocopter_0
wh2_main_dwf_veh_gyrocopter_1	wh_main_dwf_veh_gyrocopter_1
wh2_main_emp_art_great_cannon	wh_main_emp_art_great_cannon
wh2_main_emp_art_helblaster_volley_gun	wh_main_emp_art_helblaster_volley_gun
wh2_main_emp_art_helstorm_rocket_battery	wh_main_emp_art_helstorm_rocket_battery
wh2_main_emp_art_mortar	wh_main_emp_art_mortar
wh2_main_emp_cav_demigryph_knights_0	wh_main_emp_cav_demigryph_knights_0
wh2_main_emp_cav_demigryph_knights_1	wh_main_emp_cav_demigryph_knights_1
wh2_main_emp_cav_empire_knights	wh_main_emp_cav_empire_knights
wh2_main_emp_cav_knights_blazing_sun_0	wh_dlc04_emp_cav_knights_blazing_sun_0
wh2_main_emp_cav_outriders_0	wh_main_emp_cav_outriders_0
wh2_main_emp_cav_outriders_1	wh_main_emp_cav_outriders_1
wh2_main_emp_cav_pistoliers_1	wh_main_emp_cav_pistoliers_1
wh2_main_emp_cav_reiksguard	wh_main_emp_cav_reiksguard
wh2_main_emp_inf_crossbowmen	wh_main_emp_inf_crossbowmen
wh2_main_emp_inf_flagellants_0	wh_dlc04_emp_inf_flagellants_0
wh2_main_emp_inf_free_company_militia_0	wh_dlc04_emp_inf_free_company_militia_0
wh2_main_emp_inf_greatswords	wh_main_emp_inf_greatswords
wh2_main_emp_inf_halberdiers	wh_main_emp_inf_halberdiers
wh2_main_emp_inf_handgunners	wh_main_emp_inf_handgunners
wh2_main_emp_inf_spearmen_0	wh_main_emp_inf_spearmen_0
wh2_main_emp_inf_spearmen_1	wh_main_emp_inf_spearmen_1
wh2_main_emp_inf_swordsmen	wh_main_emp_inf_swordsmen
wh2_main_emp_veh_luminark_of_hysh_0	wh_main_emp_veh_luminark_of_hysh_0
wh2_main_emp_veh_steam_tank	wh_main_emp_veh_steam_tank
wh2_main_game_hint_lore_of_beasts_unit	wh2_dlc13_lzd_cha_slann_mage_priest_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh2_main_lzd_cha_skink_priest_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh2_main_lzd_cha_skink_priest_beasts_1
wh2_main_game_hint_lore_of_beasts_unit	wh2_main_lzd_cha_skink_priest_beasts_2
wh2_main_game_hint_lore_of_beasts_unit	wh2_main_lzd_cha_skink_priest_beasts_3
wh2_main_game_hint_lore_of_beasts_unit	wh3_main_ogr_cha_butcher_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh3_main_ogr_cha_slaughtermaster_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_bst_cha_bray_shaman_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_bst_cha_bray_shaman_beasts_1
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_emp_cha_wizard_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_emp_cha_wizard_beasts_1
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_emp_cha_wizard_beasts_2
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_emp_cha_wizard_beasts_3
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc03_emp_cha_wizard_beasts_4
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_damsel_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_damsel_beasts_1
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_damsel_beasts_2
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_damsel_beasts_3
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_prophetess_beasts_0
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_prophetess_beasts_1
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_prophetess_beasts_2
wh2_main_game_hint_lore_of_beasts_unit	wh_dlc07_brt_cha_prophetess_beasts_3
wh2_main_game_hint_lore_of_da_big_waaagh_unit	wh_dlc06_grn_cha_wurrzag_0
wh2_main_game_hint_lore_of_da_big_waaagh_unit	wh_dlc06_grn_cha_wurrzag_1
wh2_main_game_hint_lore_of_da_big_waaagh_unit	wh_main_grn_cha_orc_shaman_0
wh2_main_game_hint_lore_of_da_big_waaagh_unit	wh_main_grn_cha_orc_shaman_1
wh2_main_game_hint_lore_of_da_little_waaagh_unit	wh_main_grn_cha_goblin_great_shaman_0
wh2_main_game_hint_lore_of_da_little_waaagh_unit	wh_main_grn_cha_goblin_great_shaman_1
wh2_main_game_hint_lore_of_da_little_waaagh_unit	wh_main_grn_cha_goblin_great_shaman_2
wh2_main_game_hint_lore_of_da_little_waaagh_unit	wh_main_grn_cha_night_goblin_shaman
wh2_main_game_hint_lore_of_dark_magic_unit	wh2_main_def_cha_sorceress_dark_0
wh2_main_game_hint_lore_of_dark_magic_unit	wh2_main_def_cha_sorceress_dark_1
wh2_main_game_hint_lore_of_dark_magic_unit	wh2_main_def_cha_sorceress_dark_2
wh2_main_game_hint_lore_of_dark_magic_unit	wh2_main_def_cha_sorceress_dark_3
wh2_main_game_hint_lore_of_death_unit	wh2_dlc09_tmb_cha_arkhan_0
wh2_main_game_hint_lore_of_death_unit	wh2_dlc09_tmb_cha_arkhan_1
wh2_main_game_hint_lore_of_death_unit	wh2_dlc09_tmb_cha_arkhan_2
wh2_main_game_hint_lore_of_death_unit	wh2_dlc09_tmb_cha_liche_priest_death_0
wh2_main_game_hint_lore_of_death_unit	wh2_dlc09_tmb_cha_liche_priest_death_1
wh2_main_game_hint_lore_of_death_unit	wh2_dlc13_lzd_cha_slann_mage_priest_death_0
wh2_main_game_hint_lore_of_death_unit	wh2_pro07_emp_cha_wizard_death_0
wh2_main_game_hint_lore_of_death_unit	wh2_pro07_emp_cha_wizard_death_1
wh2_main_game_hint_lore_of_death_unit	wh2_pro07_emp_cha_wizard_death_2
wh2_main_game_hint_lore_of_death_unit	wh2_pro07_emp_cha_wizard_death_3
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_exalted_great_unclean_one_death_0
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_herald_of_nurgle_death_0
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_herald_of_nurgle_death_1
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_herald_of_nurgle_death_2
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_plagueridden_death_0
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_plagueridden_death_1
wh2_main_game_hint_lore_of_death_unit	wh3_main_nur_cha_plagueridden_death_2
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_death_8
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_7
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_8
wh2_main_game_hint_lore_of_death_unit	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
wh2_main_game_hint_lore_of_death_unit	wh_dlc03_bst_cha_bray_shaman_death_0
wh2_main_game_hint_lore_of_death_unit	wh_dlc03_bst_cha_bray_shaman_death_1
