key	decal	vfx_central	vfx_ring	spline_animation_speed	spline_tile_count	composite_scene	is_targetting_per_entity	vfx_ring_segment_length	use_model_time	custom_spline	spawn_no_proxy	spline_col_hex	spline_oor_col_hex
wh2_dlc14_abilities_reaper_of_souls		wh2_dlc14_abilities_reaper_of_souls	wh2_dlc14_abilities_reaper_of_souls_segment	0.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh2_dlc14_abilities_seismic_snare			wh2_dlc14_abilities_seismic_snare_segment	0.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc14_spell_ruin_flensing_ruin			wh2_dlc14_ruin_flensing_ruin_segment	0.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc14_stealth_black_whirlwind_windup		wh_main_targeting_pre_vortex_ui_central	wh_main_generic_ui_segment_short	50.0000	24	composite_scene/wh2_dlc14_stealth_black_whirlwind_windup.csc	false	2	false		false	FFFFFF	FFFFFF
wh2_dlc14_unit_abilities_wail_of_malice			wh_main_generic_ui_segment_debuff	0.0000	64	composite_scene\spells_and_abilities\wh2_dlc14_abilities_wail_of_malice.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_dlc15_abilities_fermented_fungi		wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	50.0000	64	composite_scene\spells_and_abilities\wh2_dcl15_abilities_fermented_fungi.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_dlc15_abilities_mighty_roar				50.0000	64	composite_scene\spells_and_abilities\wh2_dlc15_ability_mighty_roar.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_dlc15_abilities_summon_the_sentinels_upgraded		wh_main_targeting_pre_spawn_ui_central		0.0000	1	composite_scene\spells_and_abilities\wh2_dlc15_abilities_summon_the_sentinels_upgraded.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc15_abilities_wind_trap_windup		wh_main_targeting_pre_vortex_ui_central	wh_main_generic_ui_segment_short	50.0000	24	composite_scene\spells_and_abilities\wh2_dlc15_abilities_wind_trap_windup.csc	false	2	false		false	FFFFFF	FFFFFF
wh2_dlc16_abilities_beast_pack_area				0.0000	1	composite_scene\spells_and_abilities\wh2_dlc16_beast_pack.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc16_abilities_tide_of_death_area				0.0000	1	composite_scene\spells_and_abilities\wh2_dlc16_tide_of_death.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc16_unit_passive_warp_discharge			wh2_dlc16_abilities_warp_discharge_segment	0.0000	32		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc17_ability_ancestral_rune_of_grugni			wh2_dlc17_ability_ancestral_rune_of_grugni_segment	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh2_dlc17_ability_ancestral_rune_of_valaya			wh2_dlc17_ability_ancestral_rune_of_valaya_segment	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh2_dlc17_army_abilities_ghorgon_summon_qb_scripted		wh_main_targeting_pre_spawn_ui_central		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc17_unit_passive_master_of_the_sacred_places			wh2_dlc17_mist_segment	0.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh2_dlc24_abilities_fearsome_roar				50.0000	64	composite_scene\spells_and_abilities\wh3_dlc24_ability_fearsome_roar.csc	false	5	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_channeling_spire			wh2_main_abilities_channeling_spire_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_abilities_channeling_spire.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_eshin_clanstone			wh2_main_army_abilities_eshin_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_eshin_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_feral_cold_ones				0.0000	1	composite_scene\spells_and_abilities\wh2_main_abilities_feral_cold_ones.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_geomantic_nexus				0.0000	1	composite_scene\spells_and_abilities\wh2_main_abilities_geomantic_nexus.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_holy_stela			wh2_main_abilities_holy_stela_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_abilities_holy_stela.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_mors_clanstone			wh2_main_army_abilities_mors_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_mors_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_moulder_clanstone			wh2_main_army_abilities_moulder_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_moulder_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_pestilens_clanstone			wh2_main_army_abilities_pestilens_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_pestilens_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_skryre_clanstone			wh2_main_army_abilities_skyre_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_skyre_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_skyre_clanstone			wh2_main_army_abilities_skyre_clanstone_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_army_abilities_skyre_clanstone.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_army_abilities_temple_of_mists			wh2_main_abilities_temple_of_mists_segment	0.0000	64	composite_scene\spells_and_abilities\wh2_main_abilities_temple_of_mists.csc	false	-1	false		false	FFFFFF	FFFFFF
wh2_main_character_abilities_slann_forcefield		wh2_main_abilities_slann_forcefield		50.0000	64		false	5	true		false	FFFFFF	FFFFFF
wh2_main_character_passive_aura_of_pestilence		wh2_main_abilities_aura_of_pestilence_area		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh2_main_unit_passive_the_rats_emerge		wh2_main_unit_rebirth_hellpit		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh2_vermintide_decal				0.0000	1	composite_scene\spells_and_abilities\wh2_main_vermintide.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_festus_harbinger_of_pestilence		wh3_dlc20_abilities_festus_harbinger_of_pestilence_centre	wh3_dlc20_abilities_festus_harbinger_of_pestilence_segment	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_festus_healing_elixirs		wh3_dlc20_abilities_festus_healing_elixirs_centre	wh3_dlc20_abilities_festus_healing_elixirs_segment	15.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_giver_of_abundant_glory		wh3_dlc20_abilities_nurgle_giver_of_glory_centre		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_giver_of_arcane_glory		wh3_dlc20_abilities_tzeentch_giver_of_glory_centre		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_giver_of_furious_glory		wh3_dlc20_abilities_khorne_giver_of_glory_centre		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_giver_of_glory			wh3_dlc20_abilities_giver_of_glory_segment	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc20_abilities_giver_of_torturous_glory		wh3_dlc20_abilities_slaanesh_giver_of_glory_centre		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc23_diabolical_puppetry			wh3_dlc23_diabolical_puppetry_segment	0.0000	1		false	5	false		false	FFFFFF	FFFFFF
wh3_dlc23_diabolical_puppetry_passive		wh3_dlc23_diabolical_puppetry_central		0.0000	1		false	5	false		false	FFFFFF	FFFFFF
wh3_dlc23_killing_fire			wh3_dlc23_kdaai_destroyer_blazing_body	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc23_ulrika_skjalandirs_fall		wh3_dlc23_ulrika_target		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc26_ogr_dead_eye		wh3_dlc26_ogr_dead_eye_ability_target		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh3_dlc27_targeting_per_spawn_ui_teleport		wh3_dlc27_targeting_per_spawn_ui_teleport	wh3_dlc27_targeting_per_spawn_ui_teleport	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh3_main_abilities_cth_area_alchemy		wh3_main_abilities_cth_area_alchemy		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh3_main_abilities_slaanesh_phantasmagoria			wh3_main_slaanesh_ui_segment	50.0000	64		false	5	true		false	FFFFFF	FFFFFF
wh3_main_army_abilities_land_awakened				0.0000	1	composite_scene/spells_and_abilities/wh3_main_ksl_army_abilities_land_awakened.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_main_cataclysm_ashes_and_dust			wh3_main_cataclysm_ashes_and_dust_segment	0.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh3_main_cataclysm_storm_of_renewal			wh3_main_cataclysm_storm_of_renewal_segment	50.0000	4		false	5	false		false	FFFFFF	FFFFFF
wh3_main_ice_heart_of_winter			wh3_main_ice_heart_of_winter_segment	50.0000	64	composite_scene/spells_and_abilities/wh3_main_ice_heart_of_winter.csc	false	5	false		false	FFFFFF	FFFFFF
wh3_main_ice_ice_sheet			wh3_main_ice_ice_sheet_segment	50.0000	64	composite_scene\spells_and_abilities\wh3_main_ice_ice_sheet.csc	false	5	false		false	FFFFFF	FFFFFF
wh3_main_ksl_army_abilities_bitterness_of_winter			wh3_main_army_abilities_bitterness_of_winter_segment	50.0000	64	composite_scene/spells_and_abilities/wh3_main_ksl_army_abilities_bitterness_of_winter.csc	false	5	false		false	FFFFFF	FFFFFF
wh3_main_light_time_amok			wh3_main_light_time_amok_segment	50.0000	4		false	5	false		false	FFFFFF	FFFFFF
wh3_main_nurgle_curse_of_the_leper				0.0000	1	composite_scene\spells_and_abilities\wh3_main_nurgle_curse_of_the_leper.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_main_nurgle_miasma_of_pestilence				0.0000	64	composite_scene\spells_and_abilities\wh3_main_nurgle_miasma_of_pestilence.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_main_nurgle_rancid_visitations				0.0000	1	composite_scene\spells_and_abilities\wh3_main_nurgle_rancid_visitations.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_main_spell_tempest_swiftwing			wh3_main_tempest_swiftwing_segment	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh3_main_tempest_biting_wind				50.0000	64	composite_scene/spells_and_abilities/wh3_main_tempest_biting_wind_spawn.csc	false	5	true		false	FFFFFF	FFFFFF
wh3_main_tzeentch_tzeentchs_firestorm				0.0000	1	composite_scene\spells_and_abilities\wh3_main_tzeentch_firestorm_centre.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_nurgle_gate				0.0000	1	composite_scene\spells_and_abilities\wh3_main_nurgles_gates.csc	false	-1	false		false	FFFFFF	FFFFFF
wh3_twa08_redirecting_aura			wh3_twa08_redirecting_aura_segment	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_bomb_drop		wh_main_targeting_entity_ui_central		50.0000	24		true	-1	false		false	FFFFFF	FFFFFF
wh_abilities_bomb_small_drop		wh_main_targeting_entity_small_ui_central		50.0000	24		true	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_breath		wh_main_targeting_pre_breath_ui_central		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_breath_long		wh_main_targeting_pre_breath_long_ui_central		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_breath_short		wh_main_targeting_pre_breath_short_ui_central		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_buff		wh_main_targeting_pre_buff_ui_central	wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_buff_active		wh_main_targeting_buff_ui_central	wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_buff_no_ring		wh_main_targeting_pre_buff_ui_central		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_buff_wom		wh_main_targeting_pre_winds_augment_ui_central	wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_buff_wom_no_ring		wh_main_targeting_pre_winds_augment_ui_central		50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff		wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff_active		wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff_active_large		wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	50.0000	112		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff_large		wh_main_targeting_pre_debuff_ui_central	wh_main_generic_ui_segment_debuff	50.0000	112		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff_no_ring		wh_main_targeting_pre_debuff_ui_central		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff_wom		wh_main_targeting_pre_winds_hex_ui_central	wh_main_generic_ui_segment_debuff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_debuff_wom_no_ring		wh_main_targeting_pre_winds_hex_ui_central		50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_direct_damage		wh_main_targeting_pre_direct_damage_area_ui_central	wh_main_generic_ui_segment_debuff	0.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_direct_damage_active		wh_main_targeting_pre_direct_damage_area_ui_central	wh_main_generic_ui_segment_debuff	0.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_direct_damage_no_ring		wh_main_targeting_pre_direct_damage_ui_central		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_explosion		wh_main_targeting_pre_explosion_ui_central	wh_main_generic_ui_segment_short	50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_abilities_generic_explosion_no_ring		wh_main_targeting_pre_explosion_ui_central		50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_abilities_generic_full_hide		wh_main_targeting_pre_hiding_ui_central	wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_full_hide_no_ring		wh_main_targeting_pre_hiding_ui_central		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_regeneration		wh_main_targeting_pre_regeneration_area_ui_central	wh_main_generic_ui_segment_buff	0.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_regeneration_active		wh_main_targeting_pre_regeneration_area_ui_central	wh_main_generic_ui_segment_buff	0.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_abilities_generic_regeneration_no_ring		wh_main_targeting_pre_regeneration_ui_central		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_seafang_portal		wh_dlc08_abilities_seafang_portal_end		50.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_spawn		wh_main_targeting_pre_spawn_ui_central		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_spawn_skaven		wh_main_targeting_pre_spawn_skaven_ui_central		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_vortex		wh_main_targeting_pre_vortex_ui_central	wh_main_generic_ui_segment_short	50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_abilities_generic_vortex_arc				0.0000	1		false	-1	false	vortex_spline	false	FFFFFF	FFFFFF
wh_abilities_generic_vortex_large		wh_main_targeting_pre_vortex_ui_central	wh_main_generic_ui_segment_short	50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_abilities_generic_vortex_rectangle				0.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_wind		wh_main_targeting_pre_wind_ui_central		50.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_wind_random		wh_main_targeting_pre_wind_ui_central_random		50.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh_abilities_generic_wind_rectangle		wh3_main_targeting_pre_wind_rectangle_ui_central		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_augment		wh_main_targeting_pre_aa_buff_ui_central	wh_main_generic_ui_aa_segment_buff	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_bombardment		wh_main_targeting_pre_aa_bombardment_ui_central	wh_main_generic_ui_aa_segment_short	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_bombardment_active		wh_main_targeting_pre_aa_bombardment_ui_central	wh_main_generic_ui_aa_segment_short	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_breath		wh_main_targeting_pre_aa_breath_ui_central		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_buff_wom		wh_main_targeting_pre_aa_winds_augment_ui_central	wh_main_generic_ui_aa_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_direct_damage		wh_main_targeting_pre_aa_direct_damage_ui_central	wh_main_generic_ui_aa_segment_debuff	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_direct_damage_area		wh_main_targeting_pre_aa_direct_damage_area_ui_central	wh_main_generic_ui_aa_segment_debuff	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_explosion		wh_main_targeting_pre_aa_explosion_ui_central	wh_main_generic_ui_aa_segment_short	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_explosion_no_ring		wh_main_targeting_pre_aa_explosion_ui_central		50.0000	64		false	-1	false		true	FFFFFF	FFFFFF
wh_army_abilities_generic_full_hide		wh_main_targeting_pre_aa_hiding_ui_central		0.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_hex		wh_main_targeting_pre_aa_debuff_ui_central	wh_main_generic_ui_aa_segment_debuff	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_regeneration		wh_main_targeting_pre_aa_regeneration_ui_central	wh_main_generic_ui_aa_segment_buff	50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_spawn		wh_main_targeting_pre_aa_spawn_ui_central		50.0000	64		false	-1	false		false	FFFFFF	FFFFFF
wh_army_abilities_generic_wind		wh_main_targeting_pre_aa_wind_ui_central		50.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh_army_ability_generic_breath_short		wh_main_targeting_pre_aa_breath_short_ui_central		50.0000	1		false	-1	false		false	FFFFFF	FFFFFF
wh_spell_earthblood		wh_main_targeting_pre_buff_ui_central	wh_main_generic_ui_segment_buff	50.0000	64		false	5	false		false	FFFFFF	FFFFFF
wh_spell_generic_bombardment		wh_main_targeting_pre_bombardment_ui_central	wh_main_generic_ui_segment_short	50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_spell_generic_bombardment_active		wh_main_targeting_bombardment_ui_central	wh_main_generic_ui_segment_short	50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_spell_generic_bombardment_active_small		wh_main_targeting_bombardment_ui_central		50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_spell_generic_bombardment_small		wh_main_targeting_pre_bombardment_ui_central		50.0000	24		false	2	false		false	FFFFFF	FFFFFF
wh_spell_generic_missile		wh_main_targeting_pre_singular_ui_central		50.0000	24		false	-1	false		false	FFFFFF	FFFFFF
wh_spell_generic_missiles		wh_main_targeting_pre_magicmissile_ui_central		50.0000	24		false	-1	false		false	FFFFFF	FFFFFF
