battle_name	battle_duration	battle_environment	battle_script	battle_type	is_player_attacker	bmd_layer_type	use_large_armies	battlefield_folder	teleport_cost	catchment_area	campaign_pre_battle_intro_movie	intro_movie	outro_movie_lose	outro_movie_win	screenshot_path	battle_environment_audio	culture	can_retreat	can_retreat_multiplayer	can_autoresolve_in_campaign	difficulty	campaign_loot_multiplier
wh2_dlc09_qb_tmb_settra_the_blessed_blade_of_ptra_stage_3_charnel_valley	60		script/battle\quest_battles\settra\the_blessed_blade_of_ptra\battle_script.lua	classic	true	quest_battle_2	true	qb_wh2_dlc09_charnel_valley	500						UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_charnel_valley.png		*	true	true	false	NORMAL	1.0000
wh2_dlc09_qb_tmb_settra_the_crown_of_nehekhara_stage_5_pack_ice_bay	60	weather/battle/wh_day_storm_03.environment_group	script/battle\quest_battles\settra\the_crown_of_nehekhara\battle_script.lua	classic	true	quest_battle_3	true	qb_wh2_dlc09_pack_ice_bay	500						UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_pack_ice_bay.png		*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_def_hellebron_deathsword_and_the_cursed_blade_stage_4_altar_of_ultimate_darkness	60	weather/battle/wh_day_storm_02.environment_group	script\battle\quest_battles\hellebron\deathsword_and_the_cursed_blade\battle_script.lua	classic	false		true	qb_wh2_altar_of_ultimate_darkness	500	catchment_03					UI/Frontend UI/battle_map_images/altar_of_ultimate_darkness.png	dark_elves_cold	*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_hef_alarielle_star_of_avelorn_stage_5	60	weather/battle/wh_day_clear_02.environment_group	script/battle\quest_battles\alarielle\star_of_avelorn\battle_script.lua	classic	false	quest_battle_1	true	qb_wh2_dlc10_star_of_avelorn	500	catchment_02					UI/Frontend UI/battle_map_images/star_of_avelorn.png	dlc10_high_elves_qb_star_of_avelorn	*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_hef_alith_anar_the_moon_bow_stage_4	60		script/battle\quest_battles\alith_anar\the_moon_bow\battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_the_moon_bow	500						UI/Frontend UI/battle_map_images/the_moon_bow.png	dlc10_dark_elves_qb_the_moonbow	*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_nor_monster_hunt_10	60	weather/battle/wh_day_sunset_02.environment_group	script/battle/quest_battles\monster_hunting\monster_10\battle_script.lua	classic	true	quest_battle_1	true	def_nor_coast_infield_a	500						UI/Frontend UI/battle_map_images/shagrath_strand.png		*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_nor_monster_hunt_11	60	weather/battle/wh_night_cloudy_02.environment_group	script/battle/quest_battles\monster_hunting\monster_11\battle_script.lua	classic	true	quest_battle_1	true	subterranean_battle_c_skv	500						UI/Frontend UI/battle_map_images/gnaw_pit.png		*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_nor_monster_hunt_8	60	weather/battle/wh_vaulsanvil_02.environment	script/battle/quest_battles\monster_hunting\monster_8\battle_script.lua	classic	true	catchment_03	true	qb_wh2_vauls_anvil	500	catchment_04					UI/Frontend UI/battle_map_images/vauls_anvil_qb.png		*	true	true	false	NORMAL	1.0000
wh2_dlc10_qb_nor_monster_hunt_9	60	weather/battle/wh_day_storm_05.environment_group	script/battle/quest_battles\monster_hunting\monster_9\battle_script.lua	classic	true	quest_battle_2	true	qb_wh2_isle_of_the_crimson_skull	500						UI/Frontend UI/battle_map_images/isle_of_crimson_skull.png		*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_aranessa_saltspite_krakens_bane	60	weather/battle/wh_night_clear_02.environment_group	script\battle\quest_battles\aranessa_saltspite\krakens_bane\battle_script.lua	classic	false	catchment_02	true	qb_wh2_dlc11_skjold	500	catchment_02					UI/Frontend UI/battle_map_images/skjold.png	dlc11_coast_snowy_island	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_cylostra_shifting_isles_battle_bretonnia	60		script/battle\quest_battles\cylostra\the_bordeleux_flabellum_bretonnia\battle_script.lua	classic	true	quest_battle_default	true	qb_wh2_dlc11_cylostra_shifting_isles	500						UI/Frontend UI/battle_map_images/shifting_isles.png	dlc11_coast_rocky_island	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_final_battle	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\dlc11_final_battle\battle_script.lua	classic	true		true	qb_wh2_dlc11_final_battle	500	catchment_01					UI/Frontend UI/battle_map_images/battle_of_the_eternal_tide.png	dlc11_coast_final_battle	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_final_battle_aranessa	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\dlc11_final_battle\battle_script.lua	classic	true		true	qb_wh2_dlc11_final_battle	500	catchment_01					UI/Frontend UI/battle_map_images/battle_of_the_eternal_tide.png	dlc11_coast_final_battle	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_final_battle_cylostra	60		script\battle\quest_battles\dlc11_final_battle\battle_script.lua	classic	true		true	qb_wh2_dlc11_final_battle	500	catchment_01					UI/Frontend UI/battle_map_images/battle_of_the_eternal_tide.png	dlc11_coast_final_battle	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_final_battle_noctilus	60	weather/battle/wh_day_sunset_01.environment_group	script\battle\quest_battles\dlc11_final_battle\battle_script.lua	classic	true		true	qb_wh2_dlc11_final_battle	500	catchment_01					UI/Frontend UI/battle_map_images/battle_of_the_eternal_tide.png	dlc11_coast_final_battle	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_harkon	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\harkon\quest_for_slann_gold\battle_script.lua	classic	true		true	qb_wh2_dlc11_harkon	500						UI/Frontend UI/battle_map_images/slann_gold.png	dlc11_coast_desert_island	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_cst_noctilus_captain_roths_moondial	60	weather/battle/wh_day_clear_02.environment_group	script/battle\quest_battles\noctilus\piece_of_8\battle_script.lua	classic	true		true	qb_wh2_dlc11_noctilus_grassy	500	catchment_01					UI/Frontend UI/battle_map_images/moondial.png	dlc11_coast_desert_island	*	true	true	false	NORMAL	1.0000
wh2_dlc11_qb_def_lokhir_fellheart_helm_of_the_kraken	60	weather/battle/wh_day_clear_02.environment_group	script/battle\quest_battles\lokhir_fellheart\helm_of_the_kraken\battle_script.lua	classic	false	catchment_03	true	qb_wh2_dlc11_lokhir_black_ark	500						UI/Frontend UI/battle_map_images/black_ark.png	dark_elves_cold	*	true	true	false	NORMAL	1.0000
wh2_dlc12_great_vortex_kroqgar_lord_kroak_stage_3	60	weather/battle/wh_day_cloudy_03.environment_group	script\battle\quest_battles\lord_kroak_kroqgar\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc12_great_vortex_mazdamundi_lord_kroak_stage_3	60	weather/battle/wh_day_cloudy_03.environment_group	script\battle\quest_battles\lord_kroak_mazdamundi\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc12_great_vortex_tehenhauin_lord_kroak_stage_3	60	weather/battle/wh_day_cloudy_03.environment_group	script\battle\quest_battles\lord_kroak_tehenhauin\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc12_great_vortex_tiktaqto_lord_kroak_stage_3	60	weather/battle/wh_day_cloudy_03.environment_group	script\battle\quest_battles\lord_kroak_tiktaqto\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc12_lzd_tehenhauin_plaque_of_sotek_stage_6	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\tehenhauin\plaque_of_sotek\battle_script.lua	classic	true		true	tehenhauin	500	catchment_01					UI/Frontend UI/battle_map_images/plaque_of_sotek.png	dlc12_lizardmen_qb_plaque_of_sotek	*	true	true	false	NORMAL	1.0000
wh2_dlc12_lzd_tiktaqto_mask_of_heavens_stage_5	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\tiktaqto\mask_of_heavens\battle_script.lua	classic	true	catchment_01	true	qb_dlc12_mask_of_heavens	500	catchment_01					UI/Frontend UI/battle_map_images/mask_of_heavens.png	dlc12_lizardmen_qb_mask_of_heavens	*	true	true	false	NORMAL	1.0000
wh2_dlc12_qb_skv_ikit_claw_storm_daemon_stage_4	60	weather/battle/wh_day_cloudy_02.environment_group	script/battle\quest_battles\ikit_claw\storm_daemon\battle_script.lua	classic	true		true	qb_dlc12_ikit_claw_storm_daemon	500	catchment_01					UI/Frontend UI/battle_map_images/storm_daemon.png	dlc12_skaven_qb_storm_daemon	*	true	true	false	NORMAL	1.0000
wh2_dlc12_vor_gorrok_lord_kroak_stage_3	60	weather/battle/wh_day_cloudy_03.environment_group	script\battle\quest_battles\lord_kroak_gorrok\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc12_vor_nakai_lord_kroak_stage_3	60	weather/battle/wh_day_cloudy_03.environment_group	script\battle\quest_battles\lord_kroak_nakai\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc12_vor_oxyotl_lord_kroak_stage_3	60	weather/battle/kroak.environment	script\battle\quest_battles\lord_kroak_oxyotl\battle_script.lua	underground_intercept	false		true	qb_wh2_lzd_dlc12_lord_kroak	500	catchment_01					UI/Frontend UI/battle_map_images/wh_qb_dlc12_loard_kroak_temple.png	dlc12_lizardmen_qb_lord_kroak_mountain	*	true	true	false	NORMAL	1.0000
wh2_dlc13_qb_emp_final_battle_wulfhart	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\dlc13_wulfhart_final_battle\battle_script.lua	classic	true		true	wh2_dlc13_final_battle	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc13_battle_itza.png	dlc13_lizardmen_qb_final_battle	*	true	true	false	NORMAL	1.0000
wh2_dlc13_qb_lzd_final_battle_nakai	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\dlc13_nakai_final_battle\battle_script.lua	classic	false		true	wh2_dlc13_final_battle	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc13_battle_itza.png	dlc13_lizardmen_qb_final_battle	*	true	true	false	NORMAL	1.0000
wh2_dlc13_vor_lzd_nakai_golden_tributes_stage_3	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/nakai/golden_tributes/battle_script.lua	classic	false		true	qb_wh2_dlc13_city_qb_lzd	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc13_golden_tributes.png	dlc13_lizardmen_qb_golden_tributes	*	true	true	false	NORMAL	1.0000
wh2_dlc13_vor_lzd_nakai_the_ogham_shard_stage_2	60	weather/battle/wh_night_clear_03.environment_group	script/battle/quest_battles/nakai/the_ogham_shard/battle_script.lua	classic	true		true	qb_wh2_dlc13_nakai_albion	500						UI/Frontend UI/battle_map_images/wh2_dlc13_ogham_shard.png	dlc13_lizardmen_qb_ogham_shard	*	true	true	false	NORMAL	1.0000
wh2_dlc13_vortex_emp_wulfhart_amber_bow_stage_4	60	weather/battle/wh_day_sunset_01.environment_group	script/battle/quest_battles/markus_wulfhart/amber_bow/battle_script.lua	classic	false		true	qb_wh2_dlc13_wulfhart_amber_bow	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc13_amber_bow.png	dlc13_lizardmen_qb_amber_bow	*	true	true	false	NORMAL	1.0000
wh2_dlc13_vortex_gorrok_the_shield_of_aeons_stage_3	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/gor_rok/the_shield_of_aeons/battle_script.lua	classic	false		true	qb_wh2_dlc13_city_qb_lzd	500	catchment_02					ui/frontend ui/battle_map_images/wh2_dlc13_golden_tributes.png	dlc13_lizardmen_qb_golden_tributes	*	true	true	false	NORMAL	1.0000
wh2_dlc14_qb_def_final_battle_malus	60	weather/battle/wh_wastes_01.environment_group	script\battle\quest_battles\malus\final_battle\battle_script.lua	classic	false		true	qb_wh2_dlc14_black_ark_landing	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc14_qb_blarklanding.png	dark_elves_beach	*	true	true	false	NORMAL	1.0000
wh2_dlc14_qb_skv_final_battle_snikch	60	weather/battle/wh_night_clear_02.environment_group	script\battle\quest_battles\snikch\final_battle\battle_script.lua	classic	true		true	qb_wh2_dlc14_black_ark_landing	500	catchment_02					ui/frontend ui/battle_map_images/wh2_dlc14_qb_blarklanding.png	dark_elves_beach	*	true	true	false	NORMAL	1.0000
wh2_dlc14_vor_def_malus_warpsword_of_khaine_stage_4	60		script\battle\quest_battles\malus\warpsword_of_khaine\battle_script.lua	classic	true		true	qb_wh2_dlc14_malus_bloodfire_falls	500						ui/frontend ui/battle_map_images/wh2_dlc14_qb_blackfirepass.png	dlc14_dark_elves_qb_warpsword_of_khaine	*	true	true	false	NORMAL	1.0000
wh2_dlc14_vortex_brt_repanse_defend_or_conquer_crusader_stage_1	60		script\battle\quest_battles\repanse\defend_or_conquer_crusader\battle_script.lua	classic	false		true	qb_wh2_black_pyramid	1000	catchment_04					ui/frontend ui/battle_map_images/marbads_tomb.png		*	true	true	false	NORMAL	1.0000
wh2_dlc14_vortex_brt_repanse_defend_or_conquer_guardian_stage_1	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\repanse\defend_or_conquer_guardian\battle_script.lua	classic	false	quest_battle_1	true	qb_wh2_dlc14_repanse_lyonesse_coast	500						ui/frontend ui/battle_map_images/lyonesse_coast.png	dlc14_bretonnia_qb_guardian_of_lyonesse	*	true	true	false	NORMAL	1.0000
wh2_dlc14_vortex_brt_repanse_sword_of_lyonesse_stage_4	60	weather/battle/wh_day_sunset_03.environment_group	script\battle\quest_battles\repanse\sword_of_lyonesse\battle_script.lua	classic	true	catchment_01	true	qb_wh2_dlc14_repanse_gleaming_oasis	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc14_qb_gleamingoasis.png	dlc14_bretonnia_qb_sword_of_lyonesse	*	true	true	false	NORMAL	1.0000
wh2_dlc14_vortex_skv_snikch_the_cloak_of_shadows_stage_4	60	weather/battle/wh_quest_skaven_clock_of_shadows_01.environment_group	script\battle\quest_battles\snikch\the_claok_of_shadows\battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_dlc14_snikch_thieves_hideout	500						ui/frontend ui/battle_map_images/wh2_dlc14_qb_thiefshideout.png	skaven_cavern	*	true	true	false	NORMAL	1.0000
wh2_dlc15_hef_imrik_armour_of_caledor	60	weather/battle/wh_day_storm_01.environment_group	script\battle\quest_battles\imrik\armour_of_caledor\battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_dlc11_cylostra_shifting_isles_rocky	500						UI/Frontend UI/battle_map_images/shifting_isles.png	dlc11_coast_rocky_island	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_hef_imrik_black_dragon_stage_1	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/imrik/black_dragon/battle_script.lua	classic	true		true	def_desert_ravine_infield_a	500	catchment_02					UI/Frontend UI/battle_map_images/the_abyss.png	dark_elves_desert	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_hef_imrik_forest_dragon_stage_1	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/imrik/forest_dragon/battle_script.lua	classic	true		true	lzd_swamp_infield_a	500	catchment_02					UI/Frontend UI/battle_map_images/the_reeking_mire.png	wood_elves_generic	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_hef_imrik_moon_dragon_stage_1	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/imrik/moon_dragon/battle_script.lua	classic	true		true	qb_dlc06_skarsnik	500	catchment_02					UI/Frontend UI/battle_map_images/death_pass.png	nordic	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_hef_imrik_star_dragon_stage_1	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/imrik/star_dragon/battle_script.lua	classic	true		true	island_tropical_01	500	catchment_03					UI/Frontend UI/battle_map_images/wh_qb_dlc12_tropical.png	dlc11_coast_desert_island	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_hef_imrik_sun_dragon_stage_1	60	weather/battle/wh_day_clear_02.environment_group	script/battle/quest_battles/imrik/sun_dragon/battle_script.lua	classic	true		true	tmb_desert_infield_01	500	catchment_01					UI/Frontend UI/battle_map_images/wh2_dlc09_tmb_tomb_of_the_shifting_sands.png	tomb_kings_desert	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_qb_grn_final_battle_grom	60	weather/battle/wh_day_cloudy_01.environment_group	script\battle\quest_battles\grom_the_paunch\final_battle\battle_script.lua	siege	true	settlement_level_3	true	qb_wh2_dlc15_tor_yvresse	1000	catchment_01					ui/frontend ui/battle_map_images/tor_yvresse_qb_fortified.png	high_elves_qb_tower_of_hoeth	*	true	true	false	NORMAL	1.0000
wh2_dlc15_qb_grn_grom_axe_of_grom_stage_4	60	weather/battle/wh_day_clear_02.environment_group	script\battle\quest_battles\grom_the_paunch\axe_of_grom\battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_dlc15_grom_swamp_of_terror	500						ui/frontend ui/battle_map_images/swamp_of_terror.png	dark_elves_marsh	wh_main_grn_greenskins	true	true	false	NORMAL	1.0000
wh2_dlc15_qb_hef_eltharion_talisman_of_hoeth_stage_3	60	weather/battle/wh_day_clear_03.environment_group	script\battle\quest_battles\eltharion_the_grim\talisman_of_hoeth\battle_script.lua	classic	false		true	qb_wh2_dlc15_talisman_of_hoeth	500	catchment_01					ui/frontend ui/battle_map_images/hidden_waystone.png	high_elves_hills	wh2_main_hef_high_elves	true	true	false	NORMAL	1.0000
wh2_dlc15_qb_hef_final_battle_eltharion	60	weather/battle/wh_day_cloudy_01.environment_group	script\battle\quest_battles\eltharion_the_grim\warden_of_tor_yvresse\battle_script.lua	siege	false	settlement_level_3	true	qb_wh2_dlc15_tor_yvresse	1000	catchment_01					ui/frontend ui/battle_map_images/tor_yvresse_qb_decrepit.png	high_elves_qb_tower_of_hoeth	*	true	true	false	NORMAL	1.0000
wh2_dlc15_qb_hef_final_battle_eltharion_1	60	weather/battle/wh_day_cloudy_01.environment_group	script\battle\quest_battles\eltharion_the_grim\warden_of_tor_yvresse\battle_script.lua	siege	false	settlement_level_1	true	qb_wh2_dlc15_tor_yvresse	1000	catchment_01					ui/frontend ui/battle_map_images/tor_yvresse_qb_rebuilding.png	high_elves_qb_tower_of_hoeth	*	true	true	false	NORMAL	1.0000
wh2_dlc15_qb_hef_final_battle_eltharion_2	60	weather/battle/wh_day_cloudy_01.environment_group	script\battle\quest_battles\eltharion_the_grim\warden_of_tor_yvresse\battle_script.lua	siege	false	settlement_level_2	true	qb_wh2_dlc15_tor_yvresse	1000	catchment_01					ui/frontend ui/battle_map_images/tor_yvresse_qb_fortified.png	high_elves_qb_tower_of_hoeth	*	true	true	false	NORMAL	1.0000
wh2_dlc16_qb_skv_final_battle_throt	60	weather/battle/wh_day_sunset_04.environment_group	script\battle\quest_battles\throt_the_unclean\final_battle\battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_dlc16_final_battle	500						ui/frontend ui/battle_map_images/wh2_dlc16_final_battle.png	wood_elves_winter	wh2_main_skv_skaven	true	true	false	NORMAL	1.0000
wh2_dlc16_qb_skv_throt_whip_of_domination	60		script\battle\quest_battles\throt_the_unclean\whip_of_domination\battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_dlc16_throt_hell_pit	500						ui/frontend ui/battle_map_images/wh2_dlc16_hellpit.png	skaven_desert	wh2_main_skv_skaven	true	true	false	NORMAL	1.0000
wh2_dlc16_qb_wef_drycha_coeddil_unchained	60		script/battle/quest_battles/drycha/coeddil_unchained/battle_script.lua	classic	true	quest_battle_1	true	qb_wh2_dlc16_drycha_wildwood_prison	500						ui/frontend ui/battle_map_images/wh2_dlc16_qb_drycha.png	wood_elves_night	wh_dlc05_wef_wood_elves	true	true	false	NORMAL	1.0000
wh2_dlc16_qb_wef_final_battle_sisters	60	weather/battle/wh_quest_sister of twilight_the root of chaos.environment_group	script\battle\quest_battles\sisters_of_twilight\final_battle\battle_script.lua	classic	false	quest_battle_1	true	qb_wh2_dlc16_final_battle	500						ui/frontend ui/battle_map_images/wh2_dlc16_final_battle.png	wood_elves_winter	wh_dlc05_wef_wood_elves	true	true	false	NORMAL	1.0000
wh2_dlc16_qb_wef_sisters_dragon	60	weather/battle/wh_qb_swamp_of_terror.environment_group	script\battle\quest_battles\sisters_of_twilight\Caithin-har\battle_script.lua	classic	true	quest_battle_default	true	qb_wh2_dlc16_sisters_naggaroth	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc16_qb_sisters.png	dark_elves_marsh	wh_dlc05_wef_wood_elves	true	true	false	NORMAL	1.0000
wh2_dlc17_qb_bst_final_battle_taurox	60	weather/battle/wh_bst_01.environment_group	script/battle/quest_battles/taurox/final_battle/battle_start.lua	classic	true	quest_battle_2	true	qb_wh2_dlc17_heart_of_the_dark	500						ui/frontend ui/battle_map_images/wh2_dlc17_qb_heart_of_the_dark.png	dlc17_final_battle_heart_of_the_dark	*	true	true	false	NORMAL	1.0000
wh2_dlc17_qb_bst_taurox_rune_tortured_axes	60	weather/battle/wh_day_desert_01.environment_group	script/battle/quest_battles/taurox/rune_tortured_axes/battle_script.lua	classic	false	quest_battle_1	true	qb_wh2_dlc17_taurox_rune_tortured_axes	500	catchment_01					ui/frontend ui/battle_map_images/wh2_dlc17_rune_tortured_axes.png	dlc17_beastmen_taurox_qb_rune_tortured_axes	*	true	true	false	NORMAL	1.0000
wh2_dlc17_qb_dwf_thorek_klad_brakak	60	weather/battle/wh_day_sunset_02.environment_group	script\battle\quest_battles\thorek\klad_brakak\battle_script.lua	classic	false	catchment_07	true	lzd_plains_infield_a	500	catchment_07					UI/Frontend UI/battle_map_images/toothgrass_hill.png	dlc17_dwarves_thorek_qb_klad_brakak	*	true	true	false	NORMAL	1.0000
wh2_dlc17_qb_dwf_thorek_lost_vault	60	weather/battle/wh_thorek_01.environment	script\battle\quest_battles\thorek\lost_vault\battle_script.lua	classic	true	quest_battle_1	true	qbwh2_dlc17_amtest	500						ui/frontend ui/battle_map_images/wh2_qb_dlc17_Thorek_final_battle.png	dlc17_dwarves_thorek_qb_the_lost_vault	*	true	true	false	NORMAL	1.0000
wh2_dlc17_qb_lzd_final_battle_oxyotl	60	weather/battle/wh_bst_01.environment_group	script/battle/quest_battles/oxyotl/final_battle/battle_start.lua	classic	true	quest_battle_1	true	qb_wh2_dlc17_heart_of_the_dark	1500						ui/frontend ui/battle_map_images/wh2_dlc17_qb_heart_of_the_dark.png	dlc17_final_battle_heart_of_the_dark	*	true	true	false	NORMAL	1.0000
