culture	populace_happiness	effect_bundle
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant_def
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh2_populace_happiness_jubilant_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_chd_bundle_populace_happiness_jubilant
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT	wh3_main_bundle_populace_happiness_jubilant
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged_def
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh2_populace_happiness_outraged_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_chd_bundle_populace_happiness_outraged
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED	wh3_main_bundle_populace_happiness_outraged
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled_def
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh2_populace_happiness_troubled_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_chd_bundle_populace_happiness_troubled
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED	wh3_main_bundle_populace_happiness_troubled
wh2_dlc09_tmb_tomb_kings	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh2_dlc11_cst_vampire_coast	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh2_main_def_dark_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy_def
wh2_main_hef_high_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh2_populace_happiness_unhappy_hef
wh2_main_lzd_lizardmen	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh2_main_rogue	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh2_main_skv_skaven	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_dlc23_chd_chaos_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_chd_bundle_populace_happiness_unhappy
wh3_main_cth_cathay	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_dae_daemons	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_kho_khorne	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_ksl_kislev	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_nur_nurgle	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_ogr_ogre_kingdoms	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_sla_slaanesh	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh3_main_tze_tzeentch	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_dlc03_bst_beastmen	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_dlc05_wef_wood_elves	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_dlc08_nor_norsca	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_main_brt_bretonnia	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_main_chs_chaos	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_main_dwf_dwarfs	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_main_emp_empire	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_main_grn_greenskins	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
wh_main_vmp_vampire_counts	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY	wh3_main_bundle_populace_happiness_unhappy
