faction	unit
wh_main_brt_carcassonne	wh_dlc07_brt_cav_royal_hippogryph_knights_0
wh_main_brt_carcassonne	wh_dlc07_brt_cav_royal_pegasus_knights_0
wh_main_brt_carcassonne	wh_main_brt_cav_grail_knights
wh_main_chs_chaos	wh_main_chs_art_hellcannon
wh_main_chs_chaos	wh_main_chs_inf_chosen_0
wh_main_chs_chaos	wh_main_chs_mon_giant
wh_main_dwf_dwarfs	wh_main_dwf_inf_irondrakes_0
wh_main_dwf_dwarfs	wh_main_dwf_inf_slayers
wh_main_dwf_dwarfs	wh_main_dwf_veh_gyrobomber
wh_main_dwf_karak_izor	wh_dlc06_dwf_cha_master_engineer_ghost_0
wh_main_dwf_karak_izor	wh_dlc06_dwf_cha_runesmith_ghost_0
wh_main_dwf_karak_izor	wh_dlc06_dwf_cha_thane_ghost_0
wh_main_dwf_karak_izor	wh_dlc06_dwf_cha_thane_ghost_1
wh_main_dwf_karak_kadrin	wh_main_dwf_inf_irondrakes_0
wh_main_dwf_karak_kadrin	wh_main_dwf_inf_slayers
wh_main_dwf_karak_kadrin	wh_main_dwf_veh_gyrobomber
wh_main_emp_empire	wh_main_emp_cav_demigryph_knights_0
wh_main_emp_empire	wh_main_emp_veh_luminark_of_hysh_0
wh_main_emp_empire	wh_main_emp_veh_steam_tank
wh_main_grn_crooked_moon	wh_dlc06_grn_cav_squig_hoppers_0
wh_main_grn_crooked_moon	wh_dlc06_grn_inf_nasty_skulkers_0
wh_main_grn_crooked_moon	wh_main_grn_mon_arachnarok_spider_0
wh_main_grn_greenskins	wh_main_grn_art_doom_diver_catapult
wh_main_grn_greenskins	wh_main_grn_mon_arachnarok_spider_0
wh_main_grn_greenskins	wh_main_grn_mon_giant
wh_main_grn_orcs_of_the_bloody_hand	wh_main_grn_cav_savage_orc_boar_boy_big_uns
wh_main_grn_orcs_of_the_bloody_hand	wh_main_grn_inf_savage_orc_big_uns
wh_main_grn_orcs_of_the_bloody_hand	wh_main_grn_mon_giant
wh_main_vmp_schwartzhafen	wh_main_vmp_cav_hexwraiths
wh_main_vmp_schwartzhafen	wh_main_vmp_mon_terrorgheist
wh_main_vmp_schwartzhafen	wh_main_vmp_mon_varghulf
wh_main_vmp_vampire_counts	wh_main_vmp_cav_hexwraiths
wh_main_vmp_vampire_counts	wh_main_vmp_mon_terrorgheist
wh_main_vmp_vampire_counts	wh_main_vmp_mon_varghulf
