override_faction	override_subculture	source_resource	target_resource
	wh2_main_sc_skv_skaven	res_savage	
	wh3_dlc23_sc_chd_chaos_dwarfs	res_savage	
	wh3_main_pro_sc_kho_khorne	res_savage	
	wh3_main_pro_sc_ksl_kislev	res_savage	
	wh3_main_pro_sc_tze_tzeentch	res_savage	
	wh3_main_sc_cth_cathay	res_savage	
	wh3_main_sc_dae_daemons	res_savage	
	wh3_main_sc_kho_khorne	res_savage	
	wh3_main_sc_ksl_kislev	res_savage	
	wh3_main_sc_nur_nurgle	res_savage	
	wh3_main_sc_ogr_ogre_kingdoms	res_savage	
	wh3_main_sc_sla_slaanesh	res_savage	
	wh3_main_sc_tze_tzeentch	res_savage	
	wh_dlc03_sc_bst_beastmen	res_savage	
	wh_dlc05_sc_wef_wood_elves	res_savage	
	wh_dlc08_sc_nor_norsca	res_savage	
	wh_main_sc_brt_bretonnia	res_savage	
	wh_main_sc_chs_chaos	res_savage	
	wh_main_sc_dwf_dwarfs	res_savage	
	wh_main_sc_emp_empire	res_savage	
	wh_main_sc_teb_teb	res_savage	
	wh_main_sc_vmp_vampire_counts	res_savage	
	wh2_dlc09_sc_tmb_tomb_kings	res_stone_trolls	
	wh2_dlc11_sc_cst_vampire_coast	res_stone_trolls	
	wh2_main_rogue	res_stone_trolls	
	wh2_main_rogue_chaos	res_stone_trolls	
	wh2_main_sc_def_dark_elves	res_stone_trolls	
	wh2_main_sc_hef_high_elves	res_stone_trolls	
	wh2_main_sc_lzd_lizardmen	res_stone_trolls	
	wh2_main_sc_skv_skaven	res_stone_trolls	
	wh3_dlc23_sc_chd_chaos_dwarfs	res_stone_trolls	
wh3_dlc27_nor_sayl		res_stone_trolls	
	wh3_main_pro_sc_kho_khorne	res_stone_trolls	
	wh3_main_pro_sc_ksl_kislev	res_stone_trolls	
	wh3_main_pro_sc_tze_tzeentch	res_stone_trolls	
	wh3_main_sc_cth_cathay	res_stone_trolls	
	wh3_main_sc_dae_daemons	res_stone_trolls	
	wh3_main_sc_kho_khorne	res_stone_trolls	
	wh3_main_sc_ksl_kislev	res_stone_trolls	
	wh3_main_sc_nur_nurgle	res_stone_trolls	
	wh3_main_sc_ogr_ogre_kingdoms	res_stone_trolls	
	wh3_main_sc_sla_slaanesh	res_stone_trolls	
	wh3_main_sc_tze_tzeentch	res_stone_trolls	
	wh_dlc03_sc_bst_beastmen	res_stone_trolls	
	wh_dlc05_sc_wef_wood_elves	res_stone_trolls	
wh_dlc08_nor_norsca		res_stone_trolls	
	wh_main_sc_brt_bretonnia	res_stone_trolls	
	wh_main_sc_chs_chaos	res_stone_trolls	
	wh_main_sc_dwf_dwarfs	res_stone_trolls	
	wh_main_sc_emp_empire	res_stone_trolls	
	wh_main_sc_grn_greenskins	res_stone_trolls	
	wh_main_sc_grn_savage_orcs	res_stone_trolls	
	wh_main_sc_teb_teb	res_stone_trolls	
	wh_main_sc_vmp_vampire_counts	res_stone_trolls	
