pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
wh3_main_ksl_support_tracker_orthodoxy_boons_gained	orthodoxy_support	-50	absolute	default
canopic_jars_harvest_organs	wh2_dlc09_resource_cost_tmb_harvest_organs	30	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_blue_khepra	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_enkhils_kanopi	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_neferras_scrolls_of_mighty_incantations	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_power_scroll	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_leeching	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_arcane_item_scroll_of_shielding	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_dawn	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_eternity	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_armour_of_the_ages	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_helmet_of_khsar	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_mortuary_robes	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_scorpion_armour	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_shield_of_ptra	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_armour_skull_cap_of_the_moon	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_army_capacity	-800	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_carrion	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_brooch_of_the_great_desert	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_death_mask_of_kharnut	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_elixir_of_might	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_hieratic_jar	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_icon_of_rulership	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_ouroboros	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_foolhardiness	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_necropolis_knights	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	-250	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance	-300	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities	-200	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru	-100	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	-50	absolute	default
canopic_jars_mortuary_cult	wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	-100	absolute	default
canopic_jars_technology	wh2_dlc09_tmb_tech_agent_unlock	-100	absolute	default
canopic_jars_technology	wh2_dlc09_tmb_tech_follower_unlock	-150	absolute	default
canopic_jars_technology	wh2_dlc09_tmb_tech_tomb_king_unlock	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_cb	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_da	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_db	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_ecb	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_eda	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_edb	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_fca	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_fcb	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_fda	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_forgeproven_gromril_armour	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_armour_runecraft_heavy_gromril_armour	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_a	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_b	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_ca	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_cb	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_da	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_db	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_eca	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_ecb	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_eda	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_edb	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_fca	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_fcb	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_banner_runecraft_fda	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_a	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_b	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_ca	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_cb	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_da	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_db	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_eca	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_ecb	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_eda	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_edb	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_fca	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_fcb	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_talisman_runecraft_fda	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_a	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_b	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_ca	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_cb	-30	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_da	-200	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_db	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_eca	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_ecb	-90	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_eda	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_edb	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_fca	-500	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_fcb	-1000	absolute	default
dwf_oathgold_forging_creating	wh2_dlc10_dwf_ritual_weapon_runecraft_fda	-1000	absolute	default
dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_common_magic_item	20	absolute	default
dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_legendary_magic_item	195	absolute	default
dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_rare_magic_item	130	absolute	default
dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_scrap_magic_item	300	absolute	default
dwf_oathgold_forging_disassembling	wh2_dlc10_dwf_scrap_uncommon_magic_item	60	absolute	default
def_slaves_rites	wh2_dlc10_ritual_def_drakira	-800	absolute	default
infamy_technology	wh2_dlc11_admiral_tech_cost	-2000	absolute	default
infamy_sharing_loot	wh2_dlc11_resource_cost_cst_captives	-50	absolute	default
def_slaves_rites	wh2_dlc11_ritual_def_anath_raema	-800	absolute	default
blood_kiss_bloodline_awoken	wh2_dlc11_vmp_ritual_bloodline_awaken_01	-3	absolute	default
blood_kiss_bloodline_awoken	wh2_dlc11_vmp_ritual_bloodline_awaken_02	-6	absolute	default
blood_kiss_bloodline_awoken	wh2_dlc11_vmp_ritual_bloodline_awaken_03	-12	absolute	default
wh2_dlc12_resource_factor_workshop_production	wh2_dlc12_ikit_nuke_rite_produce	1	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_nuke_rite	-4	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_nuke_rite	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_0	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_2	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_3	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_3	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_4	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_4	-10	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_5	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_5	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_6	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_6	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_7	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_7	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_8	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_8	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomflayer_part_9	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomflayer_part_9	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_1	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_3	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_3	-10	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_4	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_4	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_5	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_5	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_6	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_6	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_7	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_7	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_8	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_8	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_doomwheel_part_9	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_doomwheel_part_9	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_gatling_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_gatling_part_0	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_gatling_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_gatling_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_gatling_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_gatling_part_2	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_jezail_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_jezail_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_jezail_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_jezail_part_1	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_jezail_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_jezail_part_2	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_0	-2	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_0	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_1	-2	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_1	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_2	-2	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_2	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_3	-2	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_3	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_4	-2	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_4	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_nuke_part_5	-2	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_nuke_part_5	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_poison_wind_globaldier_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_poison_wind_globaldier_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_poison_wind_globaldier_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_poison_wind_globaldier_1	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_poison_wind_globaldier_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_poison_wind_globaldier_2	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_poison_wind_mortar_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_poison_wind_mortar_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_poison_wind_mortar_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_poison_wind_mortar_1	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_poison_wind_mortar_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_poison_wind_mortar_2	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpfire_part_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpfire_part_0	-7	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpfire_part_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpfire_part_1	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpfire_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpfire_part_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpgrinder_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpgrinder_0	-3	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpgrinder_1	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpgrinder_1	-5	absolute	default
wh2_dlc12_resource_factor_workshop	wh2_dlc12_ikit_workshop_warpgrinder_2	-3	absolute	default
wh2_dlc12_resource_factor_workshop_food	wh2_dlc12_ikit_workshop_warpgrinder_2	-7	absolute	default
wh2_dlc12_resource_factor_sacrifices_battle	wh2_dlc12_resource_cost_lzd_capture_sacrifices	50	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_carnosaur_0	-900	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_chameleon_0	-250	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_cold_one_cav_0	-400	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_kroxigors	-500	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_saurus_spears_1	-350	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_stegadon_1	-800	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_temple_guards	-650	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_blessed_terradon_riders_1	-300	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_banner	-100	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_follower	-100	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_jungle_swarm	-150	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier1_replenishment	-150	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_banner	-150	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_follower	-200	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier2_recruitment	-200	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier3_banner	-300	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier3_follower	-300	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier4_banner	-400	absolute	default
wh2_dlc12_resource_factor_sacrifices	wh2_dlc12_tehenhauin_sacrifice_tier5_follower	-400	absolute	default
