key	is_hidden
wh2_dlc15_resource_factor_dish_cooking	false
wh2_dlc15_resource_factor_unit_upgrade	false
wh2_dlc15_resource_factor_waaagh_battle_other	false
wh2_dlc15_resource_factor_waaagh_other	false
wh2_dlc15_resource_factor_waaagh_per_turn	false
wh2_dlc15_resource_factor_waaagh_raze	false
wh2_dlc15_resource_factor_waaagh_success	false
wh2_dlc15_resource_factor_waaagh_triggered	false
wh2_dlc15_resource_factor_wardens_supply_executed_prisoners	false
wh2_dlc15_resource_factor_wardens_supply_indoctrinated_prisoners	false
wh2_dlc15_resource_factor_wardens_supply_missions	false
wh2_dlc15_resource_factor_wardens_supply_mistwalkers	false
wh2_dlc15_resource_factor_wardens_supply_sacked_razed_greenskins	false
wh2_dlc15_resource_factor_wardens_supply_upgrade	false
wh2_dlc15_resource_factor_yvresse_defence_settlement	false
wh2_dlc15_resource_factor_yvresse_defence_upgrade	false
wh2_dlc16_resource_factor_completed_encounters	false
wh2_dlc16_resource_factor_corruption	false
wh2_dlc16_resource_factor_food_throt_flesh_lab_negative	false
wh2_dlc16_resource_factor_food_throt_flesh_lab_positive	false
wh2_dlc16_resource_factor_hidden	true
wh2_dlc16_resource_factor_hostile_regions	false
wh2_dlc16_resource_factor_natural_decline	false
wh2_dlc16_resource_factor_pacified_regions	false
wh2_dlc16_resource_factor_razing_and_battles	false
wh2_dlc16_resource_factor_unresolved_encounters	false
wh2_dlc16_resource_factor_worldroots_healed	false
wh2_dlc16_throt_flesh_lab_growth_vat_gain_battles	false
wh2_dlc16_throt_flesh_lab_growth_vat_gain_building	false
wh2_dlc16_throt_flesh_lab_growth_vat_gain_passive_gain	false
wh2_dlc16_throt_flesh_lab_growth_vat_gain_recycle	false
wh2_dlc16_throt_flesh_lab_growth_vat_lose_spawn_monster	false
wh2_dlc16_throt_flesh_lab_mutagen_gain_conversion	false
wh2_dlc16_throt_flesh_lab_mutagen_gain_growth_vat	false
wh2_dlc16_throt_flesh_lab_mutagen_used_augment	false
wh2_dlc16_throt_flesh_lab_mutagen_used_degeneration	false
wh2_dlc16_throt_flesh_lab_mutagen_used_upgrade	false
wh2_dlc17_bst_dread_gain_battles	false
wh2_dlc17_bst_dread_gain_bestial_rage	false
wh2_dlc17_bst_dread_gain_missions_events	false
wh2_dlc17_bst_dread_gain_taurox_rampage	false
wh2_dlc17_bst_dread_used_panel_purchase	false
wh2_dlc17_bst_herdstone_shard_gain_abandon_settlement	false
wh2_dlc17_bst_herdstone_shard_ruination_tier_increase	false
wh2_dlc17_bst_herdstone_shard_used_create_herdstone	false
wh2_dlc17_bst_ruination_gained_mission_events	false
wh2_dlc17_bst_ruination_gained_settlement	false
wh2_dlc17_resource_factor_gem_sets_completed	false
wh2_dlc17_resource_factor_retrieved	false
wh2_dlc17_resource_factor_sanctum_sets_gained	false
wh2_dlc17_resource_factor_sanctums_unlocked	false
wh2_dlc17_taurox_bst_momentum_gained_base	false
wh2_dlc17_taurox_bst_momentum_gained_battle_won	false
wh2_dlc17_taurox_bst_momentum_gained_moon	false
wh2_dlc17_taurox_bst_momentum_lost_ap_replenish	false
wh2_dlc17_taurox_bst_momentum_lost_battle_lost	false
wh2_dlc17_taurox_bst_momentum_lost_battle_retreat	false
wh2_dlc17_taurox_bst_momentum_lost_end_turn	false
wh2_dlc17_taurox_bst_momentum_lost_rampage_over	false
wh2_dlc17_taurox_bst_rampage_gain_battles	true
wh2_dlc17_taurox_bst_rampage_used_rampage_over	true
wh2_main_resource_factor_other	false
wh3_dlc20_souls_other	false
wh3_dlc23_chd_conclave_gained_settlements	false
wh3_dlc23_chd_conclave_gained_temples	false
wh3_dlc23_chd_conclave_influence_gained_events	false
wh3_dlc23_chd_conclave_influence_gained_labour_sacrifice	false
wh3_dlc23_chd_conclave_influence_spent_events	false
wh3_dlc23_chd_conclave_influence_spent_slot_claimed	false
wh3_dlc23_chd_consumed	false
wh3_dlc23_chd_convoy	false
wh3_dlc23_chd_hell_forge_unit_cap	false
wh3_dlc23_chd_hellforge	false
wh3_dlc23_chd_hellforge_upkeep	false
wh3_dlc23_chd_labour_actions	false
wh3_dlc23_chd_labour_moved	false
wh3_dlc23_chd_loss	false
wh3_dlc23_chd_mined	false
wh3_dlc23_chd_produced	false
wh3_dlc23_chd_tower_of_zharr_effects	false
wh3_dlc24_cth_mos	false
wh3_dlc24_cth_mos_per_turn	false
wh3_dlc24_effect_winds_of_magic_compass	false
wh3_main_emp_volkmar_books_destroyed	false
wh3_main_ie_low_skaven_corruption	false
winds_of_magic_negative	false
winds_of_magic_positive	false
witchs_hut_brews	false
workshop_production	false
workshop_research	false
workshop_upgrade	false
