key	domain_type	parent_domain_left	parent_domain_right	join_type	algorithm	algorithm_variables	modifier_function	domain_variables
enemy_settlements_in_chaos_corrupted_province_near_our_forces	region	enemy_settlements_in_chaos_corrupted_province	enemy_regions_near_our_forces	intersection	pick_all			
enemy_settlements_in_corrupted_by_non_chaos_province	region	enemy_settlements		union	pick_all			
enemy_settlements_in_corrupted_province	region	enemy_settlements_in_chaos_corrupted_province	enemy_settlements_in_corrupted_by_non_chaos_province	union	pick_all			
enemy_settlements_in_corrupted_province_near_our_settlements_range2	region	enemy_settlements_in_corrupted_province	regions_near_my_regions_range_2	intersection	pick_all			
enemy_settlements_in_non_chaos_corrupted_province	region	enemy_settlements		union	pick_all			
enemy_settlements_in_personality_region_group_identifier_1	region	enemy_settlements	regions_in_personality_region_group_identifier_1	intersection	pick_all			
enemy_settlements_in_personality_region_group_identifier_2	region	enemy_settlements	regions_in_personality_region_group_identifier_2	intersection	pick_all			
enemy_settlements_in_personality_region_group_identifier_3	region	enemy_settlements	regions_in_personality_region_group_identifier_3	intersection	pick_all			
enemy_settlements_of_human_player	region	enemy_settlements		union	pick_all			
enemy_settlements_of_human_player_scaled_by_diff	region	enemy_settlements_of_human_player		union	pick_all			
factions_we_agreed_trespass_warning_recently	faction	not_enemy_factions		union	pick_all			
non_enemy_armies	resource_mobile	non_enemy_factions		union	pick_all			
non_enemy_factions	faction	alive_factions		union	pick_all			
non_rebel_regions_near_our_forces	region	our_armies_positions		union	pick_all		grow_regions_from_seeds	
nonenemy_regions_at_our_forces	region	our_armies_positions		union	pick_all			
not_enemy_factions	faction	alive_factions		union	pick_all			
not_our_faction_or_rebels	faction	alive_factions		union	pick_all			
occupation_decision_captured_region	region			union	pick_all		occupation_decision_captured_region	
occupation_decision_capturing_character	character			union	pick_all		occupation_decision_capturing_character	
our_agents	resource_mobile	our_faction		union	pick_all			
our_agents_near_friendly_army	resource_mobile	our_agents		union	pick_all			
our_agents_positions	region	our_agents		union	pick_all			
our_agents_with_nurgle_plague_recipe_ague	resource_mobile	our_agents		union	pick_all		our_agents_with_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_ague
our_agents_with_nurgle_plague_recipe_buboes	resource_mobile	our_agents		union	pick_all		our_agents_with_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_buboes
our_agents_with_nurgle_plague_recipe_pox	resource_mobile	our_agents		union	pick_all		our_agents_with_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_pox
our_agents_with_nurgle_plague_recipe_rot	resource_mobile	our_agents		union	pick_all		our_agents_with_plague_recipe	wh3_domain_variable_set_nurgle_plague_recipe_rot
our_and_bordering_provinces	province	our_and_bordering_regions		union	pick_all			
our_and_bordering_regions	region	our_regions	bordering_regions	union	pick_all			
our_and_non_enemy_armies	resource_mobile	non_enemy_armies	our_armies	union	pick_all			
our_armies	resource_mobile	our_faction		union	pick_all			
our_armies_at_home	resource_mobile	our_armies	our_regions	intersection	pick_all			
our_armies_at_home_in_recruit_stance	resource_mobile	our_armies_at_home		union	pick_all			
our_armies_at_least_10_units	resource_mobile	our_armies		union	pick_all			
our_armies_besieged_regions	region	besieged_settlements	regions_near_our_forces	intersection	pick_all			
our_armies_enemy_regions	resource_mobile	our_armies		union	pick_all			
our_armies_full_stack_full_hp	resource_mobile	our_armies		union	pick_all			
our_armies_high_hp	resource_mobile	our_armies		union	pick_all			
our_armies_low_hp	resource_mobile	our_armies		union	pick_all			
our_armies_positions	region	our_armies		union	pick_all			
our_armies_positions_recruit	region	our_armies_recruit		union	pick_all			
our_armies_recruit	resource_mobile	our_armies_at_home_in_recruit_stance		union	pick_all			
our_armies_with_at_least_14_units	resource_mobile	our_armies		union	pick_all			
our_armies_with_max_10_units	resource_mobile	our_armies		union	pick_all			
our_armies_with_max_16_units	resource_mobile	our_armies		union	pick_all			
our_armies_with_max_18_units	resource_mobile	our_armies		union	pick_all			
our_army_positions	region	our_armies		union	pick_all			
our_army_positions_extended_range_1	region	our_armies_positions		union	pick_all		grow_regions_from_seeds	
our_army_positions_extended_range_3	region	our_armies_positions		union	pick_all		grow_regions_from_seeds	wh3_domain_variable_set_region_range_3
our_cathay_bastion_provinces	faction_province	our_cathay_bastion_regions		union	pick_all			
our_cathay_bastion_regions	region	our_regions		union	pick_all			
our_character_using_rift_to_access_realm	character			union	pick_all		rift_realm_using_character	
our_character_using_rift_to_teleport	character			union	pick_all		rift_teleport_using_character	
our_characters	character	our_faction		union	pick_all			
our_characters_alive	character	our_characters		union	pick_all			
our_damaged_character_using_rift_to_teleport	character	our_character_using_rift_to_teleport		union	pick_all			
our_faction	faction			union	pick_all		our_faction	
our_faction_if_completed_all_realms	faction	our_faction		union	pick_all			
our_faction_if_completed_all_realms_and_game_is_still_on	faction	our_faction_if_completed_all_realms	our_faction_if_game_is_still_on	intersection	pick_all			
our_faction_if_difficulty_is_easy	faction	our_faction		union	pick_all			
our_faction_if_difficulty_is_hard	faction	our_faction		union	pick_all			
our_faction_if_difficulty_is_legendary	faction	our_faction		union	pick_all			
our_faction_if_difficulty_is_normal	faction	our_faction		union	pick_all			
our_faction_if_difficulty_is_veryhard	faction	our_faction		union	pick_all			
our_faction_if_enemy_armies_present	faction	our_faction		union	pick_all			
our_faction_if_free_army_upkeep_is_high	faction	our_faction		union	pick_all			
our_faction_if_free_army_upkeep_is_high_not_earlygame	faction	our_faction_if_free_army_upkeep_is_high		union	pick_all			
our_faction_if_game_is_still_on	faction	our_faction		union	pick_all			
our_faction_if_human_is_in_realm	faction	our_faction		union	pick_all			
our_faction_if_human_isnt_cathay	faction	our_faction		union	pick_all			
our_faction_if_no_ogre_camps	faction	our_faction		union	pick_all			
our_faction_if_primary	faction	our_faction		union	pick_all			
our_faction_if_primary_and_game_is_still_on	faction	our_faction_if_primary	our_faction_if_game_is_still_on	intersection	pick_all			
our_faction_if_primary_if_collected_soul_this_cycle	faction	our_faction_if_primary		union	pick_all			
our_faction_leader_army	resource_mobile	our_armies		union	pick_all			
our_faction_leader_army_at_least_14_units	resource_mobile	our_armies_with_at_least_14_units	our_faction_leader_army	intersection	pick_all			
our_faction_leader_army_at_low_hp	resource_mobile	our_faction_leader_army	our_armies_low_hp	intersection	pick_all			
our_faction_leader_army_enemy_military_force_nearby_range_2	resource_mobile	our_faction_leader_army		union	pick_all			
our_faction_leader_army_full_stack_full_hp	resource_mobile	our_armies_full_stack_full_hp	our_faction_leader_army	intersection	pick_all			
our_faction_leader_army_max_16_units	resource_mobile	our_armies_with_max_16_units	our_faction_leader_army	intersection	pick_all			
our_faction_leader_army_position_if_at_home	region	our_faction_leader_army	our_regions	intersection	pick_all			
our_faction_leader_position	region	our_faction_leader_army		union	pick_all			
our_faction_leader_position_extended_range_3	region	our_faction_leader_position		union	pick_all		grow_regions_from_seeds	wh3_domain_variable_set_region_range_3
our_faction_no_ports	faction	our_faction		union	pick_all			
our_faction_past_turn_50_more_than_6_settlements	faction	our_faction		union	pick_all			
our_faction_provinces	faction_province	our_faction		union	pick_all			
our_faction_provinces_enemy_agents	faction_province	our_faction_provinces	enemy_agents	intersection	pick_all			
our_faction_provinces_enemy_army	faction_province	our_faction_provinces	enemy_military_forces	intersection	pick_all			
our_faction_provinces_recruit	faction_province	our_armies_recruit	our_faction_provinces	intersection	pick_all			
our_faction_provinces_with_100_public_order	faction_province	our_faction_provinces		union	pick_all			
our_faction_recruiting	faction	our_faction	our_faction_provinces_recruit	union	pick_all			
our_faction_turn_0_50	faction	our_faction		union	pick_all			
our_faction_turn_101_onwards	faction	our_faction		union	pick_all			
our_faction_turn_51_100	faction	our_faction		union	pick_all			
our_forces_in_trespass_warned_area	resource_mobile	our_armies	regions_owned_by_trespass_warning_factions	intersection	pick_all			
our_non_faction_leader_armies	resource_mobile	our_armies		union	pick_all			
our_nondamaged_character_using_rift_to_teleport	character	our_character_using_rift_to_teleport		union	pick_all			
our_ogre_camps	resource_mobile	our_armies		union	pick_all			
our_provinces	province	our_regions		union	pick_all			
our_regions	region	our_faction		union	pick_all			
our_regions_bordering_enemy_regions	region	our_regions		union	pick_all			
our_regions_extended_range_1	region	our_regions		union	pick_all		grow_regions_from_seeds	
our_regions_extended_range_3	region	our_regions		union	pick_all		grow_regions_from_seeds	wh3_domain_variable_set_region_range_3
our_regions_own_armies	region	our_armies_positions		union	pick_all			
our_regions_with_100_public_order	region	our_faction_provinces_with_100_public_order		union	pick_all			
our_regions_with_high_quality_units_recruitable	region	our_regions		union	pick_best	pick_two_items		
our_regions_with_high_variety_units_recruitable	region	our_regions		union	pick_best	pick_two_items		
our_settlements_in_personality_region_group_identifier_1	region	our_regions	regions_in_personality_region_group_identifier_1	intersection	pick_all			
our_settlements_in_personality_region_group_identifier_2	region	our_regions	regions_in_personality_region_group_identifier_2	intersection	pick_all			
our_settlements_in_personality_region_group_identifier_3	region	our_regions	regions_in_personality_region_group_identifier_3	intersection	pick_all			
promise_of_perfection_enemy_armies	resource_mobile			union	pick_all		prebattle_unit_bribery_enemy_armies	
promise_of_perfection_enemy_units	unit	promise_of_perfection_enemy_armies		union	pick_all			
promise_of_perfection_our_army	resource_mobile			union	pick_all		prebattle_unit_bribery_our_army	
region_owned_by_same_subculture	region			union	pick_all			wh3_domain_variable_set_include_unknown_items
regions_flagged_as_capture_if_owned_by_other_subcult	region			union	pick_all			wh3_domain_variable_set_include_unknown_items
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed	region	regions_flagged_as_capture_if_owned_by_other_subcult		union	pick_all			wh3_domain_variable_set_include_unknown_items
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy	region	regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed	enemy_settlements	intersection	pick_all			wh3_domain_variable_set_include_unknown_items
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_chaos_corruption	region	regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy		union	pick_all			
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_time	region	regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy		union	pick_all			
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_unkownfaction	region	regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed		union	pick_all			wh3_domain_variable_set_include_unknown_items
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_unkownfaction_scaled_by_time	region	regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_unkownfaction		union	pick_all			
regions_in_personality_region_group_identifier_1	region			union	pick_all			
regions_in_personality_region_group_identifier_2	region			union	pick_all			
regions_in_personality_region_group_identifier_3	region			union	pick_all			
regions_near_my_regions_range_2	region	our_regions		union	pick_all		grow_regions_from_seeds	wh3_domain_variable_set_region_range_2
regions_near_our_agents_positions	region	our_agents_positions		union	pick_all		grow_regions_from_seeds	
regions_near_our_agents_positions_exclude_rifts	region	regions_near_our_agents_positions	regions_with_rifts	difference	pick_all			
regions_near_our_forces	region	our_armies_positions		union	pick_all		grow_regions_from_seeds	
regions_near_our_forces_range_2	region	our_armies_positions		union	pick_all		grow_regions_from_seeds	wh3_domain_variable_set_region_range_2
regions_near_region_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy	region	regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy		union	pick_all		grow_regions_from_seeds	
regions_near_region_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_time	region	regions_near_region_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy		union	pick_all			
regions_owned_by_disliked_faction	region	disliked_factions		union	pick_all			
regions_owned_by_trespass_warning_factions	region	factions_we_agreed_trespass_warning_recently		union	pick_all			
regions_with_disliked_owners_near_my_armies	region	regions_near_our_forces_range_2	regions_owned_by_disliked_faction	intersection	pick_all			
regions_with_disliked_owners_near_my_armies_scaled_by_po	region	regions_with_disliked_owners_near_my_armies		union	pick_all			
regions_with_disliked_owners_near_my_regions	region	regions_near_my_regions_range_2	regions_owned_by_disliked_faction	intersection	pick_all			
regions_with_disliked_owners_near_my_regions_scaled_by_po	region	regions_with_disliked_owners_near_my_regions		union	pick_all			
regions_with_rifts	region	teleportation_networks_type_main		union	pick_all			
rift_provinces_at_least_x_units_far_from_home_territory_near_our_armies	province	rifts_at_least_x_units_far_from_home_territory_near_our_armies		union	pick_all			
rifts_at_least_x_units_far_from_home_territory	point_of_interest	teleportation_networks_type_main		union	pick_all			
rifts_at_least_x_units_far_from_home_territory_near_our_armies	point_of_interest	rifts_near_our_armies_range_1	rifts_at_least_x_units_far_from_home_territory	intersection	pick_all			
rifts_in_our_regions	point_of_interest	our_regions	teleportation_networks_type_main	intersection	pick_all			
rifts_in_our_regions_if_highly_corrupted	point_of_interest	rifts_in_our_regions		union	pick_all			
rifts_less_than_x_units_far_from_home_territory	point_of_interest	teleportation_networks_type_main		union	pick_all			
rifts_near_our_armies_range_1	point_of_interest	teleportation_networks_type_main	our_army_positions_extended_range_1	intersection	pick_all			
rifts_near_our_armies_range_3	point_of_interest	teleportation_networks_type_main	our_army_positions_extended_range_3	intersection	pick_all			
rifts_near_our_armies_range_3_far_from_our_land	point_of_interest	rifts_near_our_armies_range_3		union	pick_all			
rifts_near_our_faction_leader_army	point_of_interest	teleportation_networks_type_main	our_faction_leader_position	intersection	pick_all			
rifts_near_our_faction_leader_army_range_3	point_of_interest	teleportation_networks_type_main	our_faction_leader_position_extended_range_3	intersection	pick_all			
rifts_near_our_regions_range_1	point_of_interest	teleportation_networks_type_main	our_regions_extended_range_1	intersection	pick_all			
rifts_near_our_regions_range_1_scaled_by_interaction_time	point_of_interest	rifts_near_our_regions_range_1		union	pick_all			
rifts_near_our_regions_range_1_scaled_by_local_chaos_corruption	point_of_interest	rifts_near_our_regions_range_1		union	pick_all			
rifts_near_our_regions_range_3	point_of_interest	teleportation_networks_type_main	our_regions_extended_range_3	intersection	pick_all			
rifts_near_our_regions_range_3_if_player_is_in_chaos_realm_diff	point_of_interest	rifts_near_our_regions_range_3		union	pick_all			
rifts_near_our_regions_range_3_scaled_by_interaction_time	point_of_interest	rifts_near_our_regions_range_3		union	pick_all			
rifts_near_our_regions_range_3_scaled_by_interaction_time_diff	point_of_interest	rifts_near_our_regions_range_3		union	pick_all			
rifts_near_our_regions_range_3_scaled_by_player_progress_diff	point_of_interest	rifts_near_our_regions_range_3		union	pick_all			
rifts_near_our_regions_range_3_scaled_by_player_soul_advantage_diff	point_of_interest	rifts_near_our_regions_range_3		union	pick_all			
settlement_is_bay_of_blades_early	region	enemy_settlements	abandoned_settlements	union	pick_all			
settlement_is_cathay_shouldnt_enter	region	enemy_settlements	abandoned_settlements	union	pick_all			
settlement_is_dark_fortress	region	enemy_settlements	abandoned_settlements	union	pick_all			
settlement_is_kislev_major_city	region	enemy_settlements	abandoned_settlements	union	pick_all			
settlement_is_woodelf_forest	region	enemy_settlements	abandoned_settlements	union	pick_all			
settlements_owned_by_not_our_faction	region	not_our_faction_or_rebels		union	pick_all			
settlements_owned_by_top_3_threats	region	settlements_owned_by_not_our_faction		union	pick_best	pick_three_items		
teleportation_networks_type_dlc20	point_of_interest			union	pick_all		add_teleportation_network	wh3_domain_variable_set_teleportation_networks_dlc20
teleportation_networks_type_main	point_of_interest			union	pick_all		add_teleportation_network	wh3_domain_variable_set_teleportation_networks_main
third_party_known_by_target	faction	not_our_faction_or_rebels		union	pick_all			
top_3_threats	faction	not_our_faction_or_rebels		union	pick_best	pick_three_items		
trespass_warning_source_faction	faction			union	pick_all		trespass_warning_sender_faction	
undiscovered_factions	faction			union	pick_all			wh3_domain_variable_set_include_unknown_items
undiscovered_factions_settlements	region	undiscovered_factions		union	pick_all			wh3_domain_variable_set_include_unknown_items
undiscovered_factions_settlements_scaled_by_distance	region	undiscovered_factions_settlements		union	pick_best	pick_three_items		wh3_domain_variable_set_include_unknown_items
us_or_liked_third_party_known_by_target	faction	us_or_third_party_known_by_target		union	pick_all			
us_or_third_party_known_by_target	faction	alive_factions		union	pick_all			
