key	token_type	number_of_uses	icon	rounds_cooldown_before_use	weight	bag_price	plan_type	tier	mod_negative_draw_pct	max_drawn_copies
wh3_dlc29_any_red_basic_alarm_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_lone_guard.png	-1	4			1	0	1
wh3_dlc29_any_red_basic_alarm_3	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_lone_guard.png	-1	4			1	0	1
wh3_dlc29_any_red_basic_alarm_4	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_elite_patrol.png	-1	4			2	0	1
wh3_dlc29_any_red_basic_alarm_5	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_elite_patrol.png	-1	4			2	0	1
wh3_dlc29_any_red_basic_alarm_6_economy	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_explosion.png	-1	4		wh3_dlc29_economic_plan	3	0	1
wh3_dlc29_any_red_basic_alarm_6_military	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_explosion.png	-1	4		wh3_dlc29_military_plan	3	0	1
wh3_dlc29_any_red_basic_elite_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_elite_patrol.png	-1	6		wh3_dlc29_military_plan	3	0	1
wh3_dlc29_any_red_basic_elite_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_elite_patrol.png	-1	3		wh3_dlc29_military_plan	3	2000	1
wh3_dlc29_any_red_basic_elite_x2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_elite_patrol.png	-1	3		wh3_dlc29_military_plan	4	0	1
wh3_dlc29_any_red_basic_guard_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_lone_guard.png	-1	6		wh3_dlc29_military_plan	3	0	1
wh3_dlc29_any_red_basic_guard_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_lone_guard.png	-1	4		wh3_dlc29_military_plan	1	0	1
wh3_dlc29_any_red_basic_guard_3	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_lone_guard.png	-1	4		wh3_dlc29_military_plan	1	0	1
wh3_dlc29_any_red_deserters	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_blackmail_red.png	-1	1		wh3_dlc29_military_plan	1	500	0
wh3_dlc29_any_red_embezzlement	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_red.png	-1	1		wh3_dlc29_economic_plan	1	500	0
wh3_dlc29_any_red_eshin_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_rune_stealth_red.png	-1	4		wh3_dlc29_military_plan	3	0	1
wh3_dlc29_any_red_eshin_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_eshin_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_eshin_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_mors_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_blackmail_red.png	-1	4			3	0	1
wh3_dlc29_any_red_mors_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_mors_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_mors_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_moulder_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_blackmail_red.png	-1	4			3	0	1
wh3_dlc29_any_red_moulder_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_moulder_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_moulder_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_pestilens_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	4			3	0	1
wh3_dlc29_any_red_pestilens_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_pestilens_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_pestilens_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_plague_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	5			2	0	1
wh3_dlc29_any_red_plague_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	5			2	0	1
wh3_dlc29_any_red_plague_3	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	5			2	0	1
wh3_dlc29_any_red_plague_elite_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	1			5	0	1
wh3_dlc29_any_red_plague_elite_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	1			5	0	1
wh3_dlc29_any_red_plague_elite_3	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_plagues_red.png	-1	1			5	0	1
wh3_dlc29_any_red_rictus_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_blackmail_red.png	-1	4			3	0	1
wh3_dlc29_any_red_rictus_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_rictus_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_rictus_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_rival_grey_seer_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_rune_horned_rat_red.png	-1	4			3	0	1
wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_skryre_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_rune_warlocks_red.png	-1	4			3	0	1
wh3_dlc29_any_red_skryre_alarm_payoff_1	wh3_dlc29_token_type_action	1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_shiv_steal.png	-1	1	wh3_dlc29_any_red_skryre_alarm_payoff_1		1	0	1
wh3_dlc29_any_red_skryre_alarm_payoff_1_generated	wh3_dlc29_token_type_yellow	1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_perfect_crime.png	-1	1			1	0	0
wh3_dlc29_any_red_warlock_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_explosion.png	-1	4			2	0	1
wh3_dlc29_any_red_warlock_alarm_2	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_explosion.png	-1	2			4	0	1
wh3_dlc29_any_red_warlock_economic_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_explosion.png	-1	2		wh3_dlc29_economic_plan	5	0	1
wh3_dlc29_any_red_warlock_military_alarm_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_explosion.png	-1	2		wh3_dlc29_military_plan	5	0	1
wh3_dlc29_any_red_warlock_risk_1	wh3_dlc29_token_type_red	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_brazen_thievery_red.png	-1	4			1	1000	0
wh3_dlc29_any_tactic_reduce_risk_1	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_avoid_guards.png	1	1	wh3_dlc29_skv_token_usage_500		1	0	0
wh3_dlc29_any_tactic_reduce_risk_1_generated	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_smoke_bombs.png	-1	1			1	-500	0
wh3_dlc29_any_tactic_reduce_risk_2	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_avoid_guards.png	1	1	wh3_dlc29_skv_token_usage_500		2	0	0
wh3_dlc29_any_tactic_reduce_risk_2_generated	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_smoke_bombs.png	-1	1			2	-700	0
wh3_dlc29_any_tactic_reduce_risk_3	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_avoid_guards.png	1	1	wh3_dlc29_skv_token_usage_500		3	0	0
wh3_dlc29_any_tactic_reduce_risk_3_generated	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_smoke_bombs.png	-1	1			3	-1000	0
wh3_dlc29_any_yellow_grey_seer_winds	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_arcane_mastery.png	-1	2			1	500	1
wh3_dlc29_any_yellow_warlock_experience_1	wh3_dlc29_token_type_yellow	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_incantation_overcharge.png	-1	2			1	0	1
wh3_dlc29_dummy_rank_up_artillery_1	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_artillery.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_dummy_rank_up_artillery_2	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_artillery.png	-1	1		wh3_dlc29_military_plan	2	0	0
wh3_dlc29_dummy_rank_up_artillery_3	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_artillery.png	-1	1		wh3_dlc29_military_plan	3	0	0
wh3_dlc29_dummy_rank_up_melee_infantry_1	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_equipped_rats_green.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_dummy_rank_up_melee_infantry_2	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_equipped_rats_green.png	-1	1		wh3_dlc29_military_plan	2	0	0
wh3_dlc29_dummy_rank_up_melee_infantry_3	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_equipped_rats_green.png	-1	1		wh3_dlc29_military_plan	3	0	0
wh3_dlc29_dummy_rank_up_missile_infantry_1	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_missile_infantry.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_dummy_rank_up_missile_infantry_2	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_missile_infantry.png	-1	1		wh3_dlc29_military_plan	2	0	0
wh3_dlc29_dummy_rank_up_missile_infantry_3	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_missile_infantry.png	-1	1		wh3_dlc29_military_plan	3	0	0
wh3_dlc29_dummy_rank_up_monsters_1	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_monsters.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_dummy_rank_up_monsters_2	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_monsters.png	-1	1		wh3_dlc29_military_plan	2	0	0
wh3_dlc29_dummy_rank_up_monsters_3	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_monsters.png	-1	1		wh3_dlc29_military_plan	3	0	0
wh3_dlc29_dummy_rank_up_weapon_teams_1	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_weapon_teams.png	-1	1		wh3_dlc29_military_plan	1	0	0
wh3_dlc29_dummy_rank_up_weapon_teams_2	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_weapon_teams.png	-1	1		wh3_dlc29_military_plan	2	0	0
wh3_dlc29_dummy_rank_up_weapon_teams_3	wh3_dlc29_token_type_dummy	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_training_weapon_teams.png	-1	1		wh3_dlc29_military_plan	3	0	0
wh3_dlc29_economic_action_draw_warlock	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_warpstone_converter.png	4	1	wh3_dlc29_skv_token_usage_warpstone_100	wh3_dlc29_economic_plan	5	0	0
wh3_dlc29_economic_action_instant_warpstone_1	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_warpstone.png	3	1	wh3_dlc29_skv_token_usage_1000	wh3_dlc29_economic_plan	1	0	0
wh3_dlc29_economic_action_instant_warpstone_2	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_warpstone.png	2	1	wh3_dlc29_skv_token_usage_1000	wh3_dlc29_economic_plan	2	0	0
wh3_dlc29_economic_action_instant_warpstone_3	wh3_dlc29_token_type_action	-1	UI\skins\default\dlc29_skv_chaotic_plans\icon_action_warpstone.png	1	1	wh3_dlc29_skv_token_usage_1000	wh3_dlc29_economic_plan	3	0	0
wh3_dlc29_economic_green_basic_food_mid_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_food.png	-1	4		wh3_dlc29_economic_plan	2	1500	0
wh3_dlc29_economic_green_basic_food_mid_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_food.png	-1	4		wh3_dlc29_economic_plan	3	1500	0
wh3_dlc29_economic_green_basic_food_mid_3	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_food.png	-1	4		wh3_dlc29_economic_plan	4	1500	0
wh3_dlc29_economic_green_basic_food_small_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_food.png	-1	8		wh3_dlc29_economic_plan	1	1000	0
wh3_dlc29_economic_green_basic_food_small_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_food.png	-1	8		wh3_dlc29_economic_plan	2	1000	0
wh3_dlc29_economic_green_basic_food_small_3	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_food.png	-1	8		wh3_dlc29_economic_plan	3	1000	0
wh3_dlc29_economic_green_basic_treasury_gdp_large_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	1		wh3_dlc29_economic_plan	1	2000	1
wh3_dlc29_economic_green_basic_treasury_gdp_large_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	1		wh3_dlc29_economic_plan	2	2000	1
wh3_dlc29_economic_green_basic_treasury_gdp_large_3	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	1		wh3_dlc29_economic_plan	3	2000	1
wh3_dlc29_economic_green_basic_treasury_gdp_large_4	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	1		wh3_dlc29_economic_plan	4	2000	1
wh3_dlc29_economic_green_basic_treasury_gdp_large_5	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	1		wh3_dlc29_economic_plan	5	2000	2
wh3_dlc29_economic_green_basic_treasury_gdp_small_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	1	1000	0
wh3_dlc29_economic_green_basic_treasury_gdp_small_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	2	1000	0
wh3_dlc29_economic_green_basic_treasury_gdp_small_3	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	3	1000	0
wh3_dlc29_economic_green_basic_treasury_gdp_small_4	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	4	1000	0
wh3_dlc29_economic_green_basic_treasury_gdp_small_5	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	5	1000	0
wh3_dlc29_economic_green_basic_treasury_large_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	2		wh3_dlc29_economic_plan	1	1500	0
wh3_dlc29_economic_green_basic_treasury_large_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	2		wh3_dlc29_economic_plan	2	1500	0
wh3_dlc29_economic_green_basic_treasury_large_3	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	2		wh3_dlc29_economic_plan	3	1500	0
wh3_dlc29_economic_green_basic_treasury_large_4	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	2		wh3_dlc29_economic_plan	4	1500	0
wh3_dlc29_economic_green_basic_treasury_large_5	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury_large.png	-1	2		wh3_dlc29_economic_plan	5	1500	0
wh3_dlc29_economic_green_basic_treasury_mid_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	6		wh3_dlc29_economic_plan	2	1000	0
wh3_dlc29_economic_green_basic_treasury_mid_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	6		wh3_dlc29_economic_plan	3	1000	0
wh3_dlc29_economic_green_basic_treasury_mid_3	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	6		wh3_dlc29_economic_plan	4	1000	0
wh3_dlc29_economic_green_basic_treasury_small_1	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	1	1000	0
wh3_dlc29_economic_green_basic_treasury_small_2	wh3_dlc29_token_type_green	-1	UI\skins\default\dlc29_skv_chaotic_plans\token\token_treasury.png	-1	8		wh3_dlc29_economic_plan	2	1000	0
