group	battle_type_override	battle_type_requested
wh3_dlc23_macro_dar_plains_of_zharr		
wh3_dlc23_macro_dar_plains_of_zharr_ambush		
wh3_dlc23_macro_zharr_plains_chokepoint	land_bridge	land_normal
wh3_dlc23_subterranean_tiles		
wh3_dlc25_macro_chs_wastes_coast		
wh3_dlc25_macro_chs_wastes_coast_ambush		
wh3_dlc25_macro_chs_wastes_coast_chokepoint	land_bridge	land_normal
wh3_main_bst_settlement_unfortified_1		
wh3_main_chs_settlement_standard_1		
wh3_main_chs_settlement_standard_2		
wh3_main_chs_settlement_standard_3		
wh3_main_chs_settlement_unfortified_1		
wh3_main_chs_settlement_unfortified_2		
wh3_main_chs_settlement_unfortified_3		
wh3_main_chs_settlement_unfortified_4		
wh3_main_chs_settlement_unfortified_5		
wh3_main_cst_settlement_standard_1		
wh3_main_cst_settlement_unfortified_1		
wh3_main_cth_settlement_bastion		
wh3_main_cth_settlement_standard_1		
wh3_main_cth_settlement_standard_2		
wh3_main_cth_settlement_unfortified_1		
wh3_main_cth_settlement_unfortified_2		
wh3_main_cth_settlement_unfortified_3		
wh3_main_cth_settlement_unfortified_4		
wh3_main_cth_settlement_unfortified_5		
wh3_main_cth_settlement_weijin		
wh3_main_def_settlement_standard_1		
wh3_main_def_settlement_standard_2		
wh3_main_def_settlement_unfortified_1		
wh3_main_def_settlement_unfortified_2		
wh3_main_dwf_settlement_standard_1		
wh3_main_dwf_settlement_standard_2		
wh3_main_dwf_settlement_unfortified_1		
wh3_main_dwf_settlement_unfortified_2		
wh3_main_emp_settlement_forts		
wh3_main_emp_settlement_standard_1		
wh3_main_emp_settlement_standard_2		
wh3_main_emp_settlement_standard_3		
wh3_main_emp_settlement_unfortified_1		
wh3_main_emp_settlement_unfortified_2		
wh3_main_emp_settlement_unfortified_3		
wh3_main_emp_settlement_unfortified_4		
wh3_main_grn_settlement_standard_1		
wh3_main_grn_settlement_unfortified_1		
wh3_main_grn_settlement_unfortified_2		
wh3_main_grn_settlement_unfortified_3		
wh3_main_hef_settlement_gates		
wh3_main_hef_settlement_standard_1		
wh3_main_hef_settlement_standard_2		
wh3_main_hef_settlement_toryvresse		
wh3_main_hef_settlement_unfortified_1		
wh3_main_hef_settlement_unfortified_2		
wh3_main_island_grassy		
wh3_main_island_snow		
wh3_main_island_tropical		
wh3_main_ksl_settlement_standard_1		
wh3_main_ksl_settlement_standard_2		
wh3_main_ksl_settlement_standard_3		
wh3_main_ksl_settlement_unfortified_1		
wh3_main_ksl_settlement_unfortified_2		
wh3_main_ksl_settlement_unfortified_3		
wh3_main_ksl_settlement_unfortified_4		
wh3_main_lzd_settlement_standard_1		
wh3_main_lzd_settlement_standard_2		
wh3_main_lzd_settlement_unfortified_1		
wh3_main_lzd_settlement_unfortified_2		
wh3_main_macro_badlands_coast		
wh3_main_macro_badlands_coast_ambush		
wh3_main_macro_badlands_marsh	land_bridge	land_normal
wh3_main_macro_badlands_marsh_ambush		
wh3_main_macro_badlands_marsh_chokepoint	land_bridge	land_normal
wh3_main_macro_badlands_wastelands		
wh3_main_macro_badlands_wastelands_ambush		
wh3_main_macro_badlands_wastelands_chokepoint	land_bridge	land_normal
wh3_main_macro_brt_forest		
wh3_main_macro_brt_forest_ambush		
wh3_main_macro_brt_forest_chokepoint	land_bridge	land_normal
wh3_main_macro_brt_forest_ogr_camp		
wh3_main_macro_chs_wastes		
wh3_main_macro_chs_wastes_ambush		
wh3_main_macro_chs_wastes_chokepoint	land_bridge	land_normal
wh3_main_macro_chs_wastes_mountains		
wh3_main_macro_chs_wastes_mountains_ambush		
wh3_main_macro_chs_wastes_mountains_chokepoint	land_bridge	land_normal
wh3_main_macro_chs_wastes_ogr_camp		
wh3_main_macro_cth_desert		
wh3_main_macro_cth_desert_ambush		
wh3_main_macro_cth_desert_chokepoint	land_bridge	land_normal
wh3_main_macro_cth_farms		
wh3_main_macro_cth_farms_ambush		
wh3_main_macro_cth_farms_chokepoint	land_bridge	land_normal
wh3_main_macro_cth_farms_initial_battle		
wh3_main_macro_cth_mountains		
wh3_main_macro_cth_mountains_ambush		
wh3_main_macro_cth_mountains_chokepoint	land_bridge	land_normal
wh3_main_macro_cth_mtnplains_ogr_camp		
wh3_main_macro_cth_wasteland		
wh3_main_macro_cth_wasteland_ambush		
wh3_main_macro_cth_wasteland_chokepoint	land_bridge	land_normal
wh3_main_macro_cth_wasteland_ogr_camp		
wh3_main_macro_dar_crater		
wh3_main_macro_dar_crater_ambush		
wh3_main_macro_dar_mountains		
wh3_main_macro_dar_mountains_ambush		
wh3_main_macro_dar_mountains_chokepoint	land_bridge	land_normal
wh3_main_macro_dar_mountains_ogr_camp		
wh3_main_macro_dar_plains		
wh3_main_macro_dar_plains_ambush		
wh3_main_macro_dar_plains_ogr_camp		
wh3_main_macro_dar_river_chokepoint	land_bridge	land_normal
wh3_main_macro_emp_coast		
wh3_main_macro_emp_coast_ambush		
wh3_main_macro_emp_coast_chokepoint	land_bridge	land_normal
wh3_main_macro_emp_coast_ogr_camp		
wh3_main_macro_emp_forest		
wh3_main_macro_emp_forest_ambush		
wh3_main_macro_emp_forest_chokepoint	land_bridge	land_normal
wh3_main_macro_emp_forest_ogr_camp		
wh3_main_macro_emp_grasslands		
wh3_main_macro_emp_grasslands_ambush		
wh3_main_macro_emp_grasslands_chokepoint	land_bridge	land_normal
wh3_main_macro_emp_grasslands_ogr_camp		
wh3_main_macro_grn_badlands_ogr_camp		
wh3_main_macro_hef_ulthuan_ogr_camp		
wh3_main_macro_kho_realm		
wh3_main_macro_kho_realm_ambush		
wh3_main_macro_kho_realm_chokepoint	land_bridge	land_normal
wh3_main_macro_kho_wastes		
wh3_main_macro_kho_wastes_ogr_camp		
wh3_main_macro_ksl_mountains		
wh3_main_macro_ksl_mountains_ambush		
wh3_main_macro_ksl_mountains_chokepoint	land_bridge	land_normal
wh3_main_macro_ksl_mountains_ogr_camp		
wh3_main_macro_ksl_plains		
wh3_main_macro_ksl_plains_ambush		
wh3_main_macro_ksl_plains_chokepoint	land_bridge	land_normal
wh3_main_macro_ksl_river	land_bridge	land_normal
wh3_main_macro_ksl_troll_country		
wh3_main_macro_ksl_troll_country_ambush		
wh3_main_macro_ksl_troll_country_chokepoint	land_bridge	land_normal
wh3_main_macro_lzd_lustria_ogr_camp		
wh3_main_macro_naggarond_ogr_camp		
wh3_main_macro_nor_forest_ogr_camp		
wh3_main_macro_nor_hills_ambush		
wh3_main_macro_nor_hills_forests		
wh3_main_macro_nor_hills_forests_inital_battle		
wh3_main_macro_nor_mountains		
wh3_main_macro_nor_mountains_ambush		
wh3_main_macro_nor_mountains_ogr_camps		
wh3_main_macro_nor_river_chokepoint	land_bridge	land_normal
wh3_main_macro_nur_realm		
wh3_main_macro_nur_realm_ambush		
wh3_main_macro_nur_realm_chokepoint	land_bridge	land_normal
wh3_main_macro_nur_wastes		
wh3_main_macro_nur_wastes_ogr_camp		
wh3_main_macro_ogr_haunted_forest		
wh3_main_macro_ogr_haunted_forest_ambush		
wh3_main_macro_ogr_haunted_forest_chokepoint	land_bridge	land_normal
wh3_main_macro_ogr_mountains		
wh3_main_macro_ogr_mountains_ambush		
wh3_main_macro_ogr_mountains_chokepoint	land_bridge	land_normal
wh3_main_macro_ogr_valley		
wh3_main_macro_ogr_valley_ambush		
wh3_main_macro_ogr_valley_chokepoint	land_bridge	land_normal
wh3_main_macro_old_world_mountain_emp_chokepoint	land_bridge	land_normal
wh3_main_macro_old_world_mountains		
wh3_main_macro_old_world_mountains_ambush		
wh3_main_macro_old_world_mountains_dwf_chokepoint	land_bridge	land_normal
wh3_main_macro_sla_realm		
wh3_main_macro_sla_realm_ambush		
wh3_main_macro_sla_realm_chokepoint	land_bridge	land_normal
wh3_main_macro_sla_wastes		
wh3_main_macro_sla_wastes_ogr_camp		
wh3_main_macro_tmb_desert_ogr_camp		
wh3_main_macro_tze_realm		
wh3_main_macro_tze_realm_ambush		
wh3_main_macro_tze_realm_chokepoint	land_bridge	land_normal
wh3_main_macro_tze_wastes		
wh3_main_macro_tze_wastes_ogr_camp		
wh3_main_macro_vmp_forest		
wh3_main_macro_vmp_forest_ambush		
wh3_main_macro_vmp_forest_chokepoint	land_bridge	land_normal
wh3_main_macro_vmp_grasslands_chokepoint	land_bridge	land_normal
wh3_main_macro_wef_forest		
wh3_main_macro_wef_forest_ambush		
wh3_main_macro_wef_forest_chokepoint	land_bridge	land_normal
wh3_main_nor_settlement_unfortified_1		
wh3_main_nor_settlement_unfortified_2		
wh3_main_nor_settlement_unfortified_3		
wh3_main_nor_settlement_unfortified_4		
wh3_main_ogr_settlement_unfortified_1		
wh3_main_ogr_settlement_unfortified_2		
wh3_main_ogr_settlement_unfortified_3		
wh3_main_ogr_settlement_unfortified_4		
wh3_main_ogr_settlement_unfortified_5		
wh3_main_ogr_settlement_unfortified_6		
wh3_main_quest_kho_brazen_altar		
wh3_main_quest_ksl_lucent_maze		
wh3_main_quest_ksl_temple_of_ursun	land_bridge	land_normal
wh3_main_quest_ksl_the_frozen_falls		
wh3_main_quest_ogr_fire_mouth_volcano		
wh3_main_quest_ogr_ice_caverns_of_ymirdrak		
wh3_main_quest_tze_floating_chaos_island		
wh3_main_skv_settlement_standard_1		
wh3_main_skv_settlement_unfortified_1		
wh3_main_skv_settlement_unfortified_2		
wh3_main_tmb_settlement_black_pyramid		
wh3_main_tmb_settlement_standard_1		
wh3_main_tmb_settlement_standard_2		
wh3_main_tmb_settlement_unfortified_1		
wh3_main_tmb_settlement_unfortified_2		
wh3_main_vmp_settlement_standard		
wh3_main_vmp_settlement_unfortified		
wh3_main_wef_settlement_unfortified		
wh3_prologue_chaos_settlements_standard		
wh3_prologue_chaos_settlements_unfortified		
wh3_prologue_khorne_land_battle		
wh3_prologue_settlement_standard		
wh3_prologue_settlement_unfortified		
wh3_prologue_snow_land_battle		
wh3_prologue_tzeentch_land_battle		
wh_dlc05_brt_settlement_standard		
wh_dlc05_brt_settlement_standard_relief		
wh_dlc05_brt_settlement_standard_sally		
wh_dlc05_brt_settlement_unfortified		
wh_dlc05_dwf_settlement_standard		
wh_dlc05_dwf_settlement_standard_relief		
wh_dlc05_dwf_settlement_standard_sally		
wh_dlc05_dwf_settlement_unfortified		
wh_dlc05_grn_settlement_standard		
wh_dlc05_grn_settlement_standard_relief		
wh_dlc05_grn_settlement_standard_sally		
wh_dlc05_grn_settlement_unfortified		
wh_dlc05_main_wef_forest_areas		
wh_dlc05_main_wef_forest_areas_settlements		
wh_dlc05_main_wef_oak_of_ages_area		
wh_dlc05_main_wef_oak_of_ages_area_settlements		
wh_dlc05_main_wef_river_areas		
wh_dlc05_main_wef_river_areas_settlements		
wh_dlc05_mtn_pass_tiles		
wh_dlc05_vmp_settlement_standard		
wh_dlc05_vmp_settlement_standard_relief		
wh_dlc05_vmp_settlement_standard_sally		
wh_dlc05_vmp_settlement_unfortified		
wh_dlc05_wef_ambush_tiles		
wh_dlc05_wef_oak_of_ages_tile		
wh_main_bst_ambush_tiles		
wh_main_bst_subterranean_tiles		
wh_wef_subterranean_tiles		
