region	campaign	id	owning_faction	faction_capital	base_population	base_max_population	population	base_gdp	town_wealth	rebel_faction	cultural_originator	rebel_faction_name	settler_rebellions_enabled	capture_prestige	long_description	development_points	base_fertility	slot_cap
wh3_main_chaos_region_blizzardpeak	wh3_main_chaos	1312007428	645611288	true	10000	50000	10000	0	0	wh3_main_ogr_loose_tooth	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_blood_haven	wh3_main_chaos	570907326	1089077787	true	10000	50000	10000	0	0	wh3_main_nur_maggoth_kin	wh_main_sc_chs_chaos		false	0		0	0	8
wh3_main_chaos_region_blood_mountain	wh3_main_chaos	1511058305	126940812	true	10000	50000	10000	0	0	wh3_main_kho_bloody_sword	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_bloodpeak	wh3_main_chaos	420954263	749624153	true	10000	50000	10000	0	0	wh3_main_ogr_blood_guzzlers	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_bloodwind_keep	wh3_main_chaos	1284145221	1321424359	false	10000	50000	10000	0	0	wh3_main_chs_khazag	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_bohsenfels	wh3_main_chaos	1457764873	1274628481	false	10000	50000	10000	0	0	wh_main_emp_ostland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_bolgasgrad	wh3_main_chaos	1671120467	983952412	false	10000	50000	10000	0	0	wh3_main_ksl_druzhina_enclave	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_brass_keep	wh3_main_chaos	337471525		false	10000	50000	10000	0	0	wh_main_emp_hochland	wh_main_sc_emp_empire		false	0		0	0	8
wh3_main_chaos_region_bridge_of_brass	wh3_main_chaos	1865823493	677383490	false	10000	50000	10000	0	0	wh3_main_chs_gharhar	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_bridge_of_heaven	wh3_main_chaos	1782390130	1233876449	false	10000	50000	10000	0	0	wh_main_grn_skull-takerz	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_broekwater	wh3_main_chaos	1584012101	1732203237	false	10000	50000	10000	0	0	wh_main_emp_marienburg	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_castle_alexandronov	wh3_main_chaos	272747104	1176440322	true	10000	50000	10000	0	0	wh3_main_ksl_the_great_orthodoxy	wh3_main_sc_ksl_kislev		false	0		1	0	4
wh3_main_chaos_region_castle_drachenfels	wh3_main_chaos	657964725		false	10000	50000	10000	0	0	wh3_main_skv_clan_morbidus	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_castle_drakenhof	wh3_main_chaos	1861702303	849527226	true	10000	50000	10000	0	0	wh_main_vmp_vampire_counts	wh_main_sc_vmp_vampire_counts		false	0		0	0	10
wh3_main_chaos_region_chasm_of_torment	wh3_main_chaos	1942768865	902702050	true	10000	50000	10000	0	0	wh3_main_chs_kvellig	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_chimera_plateau	wh3_main_chaos	567384184	1663321090	false	10000	50000	10000	0	0	wh3_main_sla_subtle_torture	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_city_of_monkeys	wh3_main_chaos	1902847551	1133653520	false	10000	50000	10000	0	0	wh3_main_cth_dissenter_lords_of_jinshen	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_city_of_splinters	wh3_main_chaos	250202566	1485012966	true	10000	50000	10000	0	0	wh3_main_kho_karneths_sons	wh_main_sc_chs_chaos		false	0		0	0	8
wh3_main_chaos_region_city_of_the_shugengan	wh3_main_chaos	961853012	2061945541	false	10000	50000	10000	0	0	wh3_main_cth_celestial_loyalists	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_cliff_of_beasts	wh3_main_chaos	1813358485	2098197784	false	10000	50000	10000	0	0	wh3_main_nur_septic_claw	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_crookback_mountain	wh3_main_chaos	1649250044	233917443	true	10000	50000	10000	0	0	wh2_dlc09_skv_clan_rictus	wh2_main_sc_skv_skaven		false	0		0	0	8
wh3_main_chaos_region_darkhold	wh3_main_chaos	144296918	804805912	true	10000	50000	10000	0	0	wh3_main_grn_dark_land_orcs	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_delberz	wh3_main_chaos	398104770	512305940	false	10000	50000	10000	0	0	wh_main_emp_middenland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_dharko_wharf	wh3_main_chaos	696988624	145324297	true	10000	50000	10000	0	0	wh3_main_nur_poxmakers_of_nurgle	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_dhazhyn	wh3_main_chaos	1041088374	659172782	true	10000	50000	10000	0	0	wh3_main_ksl_ungol_kindred	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_dietershafen	wh3_main_chaos	1208598091	1275399487	false	10000	50000	10000	0	0	wh_main_emp_nordland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_doomkeep	wh3_main_chaos	256290100		true	10000	50000	10000	0	0	wh3_main_dae_daemon_prince	wh3_main_sc_dae_daemons		false	0		0	0	8
wh3_main_chaos_region_dragon_fang_mount	wh3_main_chaos	516716907	1222085851	true	10000	50000	10000	0	0	wh3_main_lzd_tepoks_spawn	wh2_main_sc_lzd_lizardmen		false	0		0	0	8
wh3_main_chaos_region_dragon_gate	wh3_main_chaos	1157443971	1637619212	false	10000	50000	10000	0	0	wh3_main_cth_imperial_wardens	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_dragons_crossroad	wh3_main_chaos	1582663627	1637619212	false	10000	50000	10000	0	0	wh3_dlc20_nor_kuj	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_dragons_death	wh3_main_chaos	1095020119	62893473	false	10000	50000	10000	0	0	wh3_main_tze_flaming_scribes	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_dushyka	wh3_main_chaos	1966741273	983952412	false	10000	50000	10000	0	0	wh3_main_ksl_druzhina_enclave	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_eagle_eyries	wh3_main_chaos	209475478	1741011521	false	10000	50000	10000	0	0	wh3_main_ogr_fulg	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_eilhart	wh3_main_chaos	1106629882	1163265541	false	10000	50000	10000	0	0	wh_main_emp_empire	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_erengrad	wh3_main_chaos	414926062	983952412	true	10000	50000	10000	0	0	wh3_main_ksl_druzhina_enclave	wh3_main_sc_ksl_kislev		false	0		0	0	10
wh3_main_chaos_region_fallen_city	wh3_main_chaos	1583016156		false	10000	50000	10000	0	0	wh3_main_ogr_crossed_clubs	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_fire_mouth	wh3_main_chaos	1026465988	1741011521	true	10000	50000	10000	0	0	wh3_main_ogr_fulg	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_floating_mountain	wh3_main_chaos	933970894	1485012966	false	10000	50000	10000	0	0	wh3_main_kho_karneths_sons	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_fort_bergbres	wh3_main_chaos	1453626778	1732203237	false	10000	50000	10000	0	0	wh_main_emp_marienburg	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_fort_dolganyeir	wh3_main_chaos	1365420884	877410301	true	10000	50000	10000	0	0	wh3_dlc24_ksl_daughters_of_the_forest	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_fort_dorznye_vort	wh3_main_chaos	776810326	816585405	true	10000	50000	10000	0	0	wh3_dlc23_chd_astragoth	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_main_chaos_region_fort_jakova	wh3_main_chaos	1416877052	608402148	false	10000	50000	10000	0	0	wh3_main_ksl_ropsmenn_clan	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_fort_ostrosk	wh3_main_chaos	1336014225	983952412	false	10000	50000	10000	0	0	wh3_main_ksl_druzhina_enclave	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_fort_straghov	wh3_main_chaos	1377365381	1152735912	true	10000	50000	10000	0	0	wh_dlc08_nor_wintertooth	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_fortenhof	wh3_main_chaos	1838532679	784436951	false	10000	50000	10000	0	0	wh_main_emp_ostermark	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_fortress_of_eyes	wh3_main_chaos	1272942624	1637619212	false	10000	50000	10000	0	0	wh3_main_cth_imperial_wardens	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_fortress_of_the_damned	wh3_main_chaos	875454381	902702050	false	10000	50000	10000	0	0	wh3_main_chs_kvellig	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_foul_fortress	wh3_main_chaos	1701616587	433530610	true	10000	50000	10000	0	0	wh_main_nor_varg	wh_dlc08_sc_nor_norsca		false	0		0	0	8
wh3_main_chaos_region_foundry_of_bones	wh3_main_chaos	1162735357	1321424359	true	10000	50000	10000	0	0	wh3_main_chs_khazag	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_frozen_landing	wh3_main_chaos	27390584	296562760	true	10000	50000	10000	0	0	wh3_dlc20_chs_valkia	wh_dlc08_sc_nor_norsca		false	0		0	0	8
wh3_main_chaos_region_gerslev	wh3_main_chaos	1559689344	88093681	true	10000	50000	10000	0	0	wh3_main_ksl_ropsmenn_clan	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_glut_port	wh3_main_chaos	2007567823	145324297	false	10000	50000	10000	0	0	wh3_main_nur_poxmakers_of_nurgle	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_gnashraks_lair	wh3_main_chaos	1447018264	1105634588	false	10000	50000	10000	0	0	wh_main_grn_red_eye	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_gorger_rock	wh3_main_chaos	658262013		false	10000	50000	10000	0	0	wh3_main_ogr_loose_tooth	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_gorssel	wh3_main_chaos	827264927	1732203237	false	10000	50000	10000	0	0	wh_main_emp_marienburg	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_graeling_moot	wh3_main_chaos	591092931	433530610	false	10000	50000	10000	0	0	wh_main_nor_varg	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_granite_spikes	wh3_main_chaos	2011946529	583160884	false	10000	50000	10000	0	0	wh3_main_ogr_sons_of_the_mountain	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_great_hall_of_greasus	wh3_main_chaos	1383478505	267465111	true	10000	50000	10000	0	0	wh3_main_ogr_goldtooth	wh3_main_sc_ogr_ogre_kingdoms		false	0		1	0	8
wh3_main_chaos_region_grim_duraz	wh3_main_chaos	1613408224	1958021937	true	10000	50000	10000	0	0	wh3_main_skv_clan_morbidus	wh2_main_sc_skv_skaven		false	0		0	0	8
wh3_main_chaos_region_grimtop	wh3_main_chaos	639696384	40719351	true	10000	50000	10000	0	0	wh3_main_ogr_crossed_clubs	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_grissenwald	wh3_main_chaos	1582228985	1107400604	false	10000	50000	10000	0	0	wh_main_emp_wissenland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_gristle_valley	wh3_main_chaos	102761679	1591112591	true	10000	50000	10000	0	0	wh3_main_ogr_disciples_of_the_maw	wh3_main_sc_ogr_ogre_kingdoms		false	0		1	0	4
wh3_main_chaos_region_hanyu_port	wh3_main_chaos	338154472	105099250	true	10000	50000	10000	0	0	wh3_main_cth_the_western_provinces	wh3_main_sc_cth_cathay		false	0		0	0	8
wh3_main_chaos_region_hell_pit	wh3_main_chaos	216963147	1429282489	true	10000	50000	10000	0	0	wh2_main_skv_clan_moulder	wh2_main_sc_skv_skaven		false	0		0	0	10
wh3_main_chaos_region_hellcade_drove	wh3_main_chaos	487351185	1485012966	true	10000	50000	10000	0	0	wh3_main_kho_karneths_sons	wh_main_sc_chs_chaos		false	0		0	0	4
wh3_main_chaos_region_hergig	wh3_main_chaos	1383960539	619383355	true	10000	50000	10000	0	0	wh_main_emp_hochland	wh_main_sc_emp_empire		false	0		0	0	8
wh3_main_chaos_region_hissing_pits	wh3_main_chaos	258243870	1127545018	true	10000	50000	10000	0	0	wh3_main_ogr_mountaineaters	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_howling_rock	wh3_main_chaos	423867758	2016479166	false	10000	50000	10000	0	0	wh3_main_grn_drippin_fangs	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_ice_caverns_of_ymirdrak	wh3_main_chaos	1616382641	645611288	false	10000	50000	10000	0	0	wh3_main_ogr_loose_tooth	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_icedrake_fjord	wh3_main_chaos	637917345	266621855	true	10000	50000	10000	0	0	wh_main_nor_skaeling	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_icespewer	wh3_main_chaos	1396668327	1026901899	false	10000	50000	10000	0	0	wh3_main_ogr_sabreskin	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_igerov	wh3_main_chaos	663634421	608402148	false	10000	50000	10000	0	0	wh3_main_ksl_ropsmenn_clan	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_infernius	wh3_main_chaos	1494221854	1949981617	true	10000	50000	10000	0	0	wh3_main_kho_exiles_of_khorne	wh_main_sc_chs_chaos		false	0		0	0	8
wh3_main_chaos_region_iron_storm	wh3_main_chaos	159996987	334735201	false	10000	50000	10000	0	0	wh3_dlc20_nor_kuj	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_jade_wind_mountain	wh3_main_chaos	685853991	1130809935	true	10000	50000	10000	0	0	wh2_main_skv_clan_spittel	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_karak_azgaraz	wh3_main_chaos	1839472597	612879378	false	10000	50000	10000	0	0	wh_main_dwf_karak_ziflin	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_karak_azorn	wh3_main_chaos	180492084	487559677	true	10000	50000	10000	0	0	wh3_main_dwf_karak_azorn	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_main_chaos_region_karak_dum	wh3_main_chaos	1996108550	1445733772	true	10000	50000	10000	0	0	wh2_dlc15_dwf_clan_helhein	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_karak_kadrin	wh3_main_chaos	2119070666	799036441	true	10000	50000	10000	0	0	wh_main_dwf_karak_kadrin	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_main_chaos_region_karak_krakaten	wh3_main_chaos	2134336925	841419899	true	10000	50000	10000	0	0	wh2_main_skv_clan_mordkin	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_karak_raziak	wh3_main_chaos	1724041263	1105634588	false	10000	50000	10000	0	0	wh_main_grn_red_eye	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_karak_ungor	wh3_main_chaos	1336013297	1105634588	true	10000	50000	10000	0	0	wh_main_grn_red_eye	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_karak_vlag	wh3_main_chaos	1587315299		false	10000	50000	10000	0	0	wh3_main_skv_clan_gritus	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_main_chaos_region_karak_vrag	wh3_main_chaos	1092532686	1053426062	true	10000	50000	10000	0	0	wh_main_grn_greenskins	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_main_chaos_region_karak_ziflin	wh3_main_chaos	1843902751	612879378	true	10000	50000	10000	0	0	wh_main_dwf_karak_ziflin	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_main_chaos_region_khazid_irkulaz	wh3_main_chaos	944786264	1105634588	false	10000	50000	10000	0	0	wh_main_grn_red_eye	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_kislev	wh3_main_chaos	1230187	994940764	true	10000	50000	10000	0	0	wh3_main_ksl_the_ice_court	wh3_main_sc_ksl_kislev		false	0		0	0	10
wh3_main_chaos_region_konigstein_tower	wh3_main_chaos	172850497	849527226	false	10000	50000	10000	0	0	wh_main_vmp_vampire_counts	wh_main_sc_vmp_vampire_counts		false	0		0	0	4
wh3_main_chaos_region_kraka_dorden	wh3_main_chaos	1292057733	899844774	false	10000	50000	10000	0	0	wh_main_dwf_kraka_drak	wh_main_sc_dwf_dwarfs		false	0		0	0	4
wh3_main_chaos_region_kraka_drak	wh3_main_chaos	1915435293	899844774	true	10000	50000	10000	0	0	wh3_dlc25_dwf_malakai	wh_main_sc_dwf_dwarfs		false	0		0	0	8
wh3_main_chaos_region_kraz_und	wh3_main_chaos	2145800361	1019828114	false	10000	50000	10000	0	0	wh3_main_skv_clan_gritus	wh2_main_sc_skv_skaven		false	0		0	0	4
wh3_main_chaos_region_krudenwald	wh3_main_chaos	517293231	619383355	false	10000	50000	10000	0	0	wh_main_emp_hochland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_kunlan	wh3_main_chaos	74939709	2061945541	false	10000	50000	10000	0	0	wh3_main_cth_celestial_loyalists	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_kurak_peak	wh3_main_chaos	1765901427	1019828114	false	10000	50000	10000	0	0	wh3_main_skv_clan_gritus	wh2_main_sc_skv_skaven		false	0		0	0	4
wh3_main_chaos_region_kusel	wh3_main_chaos	684720613	235896571	false	10000	50000	10000	0	0	wh_main_emp_talabecland	wh_main_sc_emp_empire		false	0		0	0	4
wh3_main_chaos_region_laurelorn_forest	wh3_main_chaos	2023317400	1360928918	true	10000	50000	10000	0	0	wh3_main_wef_laurelorn	wh_dlc05_sc_wef_wood_elves		false	0		0	0	10
wh3_main_chaos_region_leblya	wh3_main_chaos	485217318	659172782	false	10000	50000	10000	0	0	wh3_main_ksl_ungol_kindred	wh3_main_sc_ksl_kislev		false	0		0	0	4
wh3_main_chaos_region_longship_graveyard	wh3_main_chaos	1607428929	266621855	false	10000	50000	10000	0	0	wh_main_nor_skaeling	wh_dlc08_sc_nor_norsca		false	0		0	0	4
wh3_main_chaos_region_marienburg	wh3_main_chaos	1655549961	1732203237	true	10000	50000	10000	0	0	wh_main_emp_marienburg	wh_main_sc_emp_empire		false	0		0	0	8
wh3_main_chaos_region_middenheim	wh3_main_chaos	1127580540	512305940	true	10000	50000	10000	0	0	wh_main_emp_middenland	wh_main_sc_emp_empire		false	0		0	0	8
wh3_main_chaos_region_mines_of_gorgoth	wh3_main_chaos	749423544	1390786946	false	10000	50000	10000	0	0	wh3_dlc23_chd_minor_faction	wh3_dlc23_sc_chd_chaos_dwarfs		false	0		0	0	4
wh3_main_chaos_region_mines_of_nan_yang	wh3_main_chaos	1191477421	1673374258	false	10000	50000	10000	0	0	wh3_main_cth_rebel_lords_of_nan_yang	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_ming_zhu	wh3_main_chaos	1690993479	1637619212	false	10000	50000	10000	0	0	wh3_main_cth_imperial_wardens	wh3_main_sc_cth_cathay		false	0		0	0	4
wh3_main_chaos_region_mist_gorge	wh3_main_chaos	654053184	2122700715	false	10000	50000	10000	0	0	wh3_main_ogr_bloodmaw	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
wh3_main_chaos_region_mount_cragg	wh3_main_chaos	730564236	645611288	false	10000	50000	10000	0	0	wh3_main_ogr_loose_tooth	wh3_main_sc_ogr_ogre_kingdoms		false	0		0	0	4
