payload	transaction	is_transfer
wh2_dlc14_eshin_contracts_mors_pestilens_1	wh2_dlc14_eshin_contract_payload_mors_pestilens_1	false
wh2_dlc14_eshin_contracts_mors_pestilens_2	wh2_dlc14_eshin_contract_payload_mors_pestilens_2	false
wh2_dlc14_eshin_contracts_mors_pestilens_3	wh2_dlc14_eshin_contract_payload_mors_pestilens_3	false
wh2_dlc14_eshin_contracts_mors_skryre_1	wh2_dlc14_eshin_contract_payload_mors_skryre_1	false
wh2_dlc14_eshin_contracts_mors_skryre_2	wh2_dlc14_eshin_contract_payload_mors_skryre_2	false
wh2_dlc14_eshin_contracts_mors_skryre_3	wh2_dlc14_eshin_contract_payload_mors_skryre_3	false
wh2_dlc14_eshin_contracts_moulder_mors_1	wh2_dlc14_eshin_contract_payload_moulder_mors_1	false
wh2_dlc14_eshin_contracts_moulder_mors_2	wh2_dlc14_eshin_contract_payload_moulder_mors_2	false
wh2_dlc14_eshin_contracts_moulder_mors_3	wh2_dlc14_eshin_contract_payload_moulder_mors_3	false
wh2_dlc14_eshin_contracts_moulder_pestilens_1	wh2_dlc14_eshin_contract_payload_moulder_pestilens_1	false
wh2_dlc14_eshin_contracts_moulder_pestilens_2	wh2_dlc14_eshin_contract_payload_moulder_pestilens_2	false
wh2_dlc14_eshin_contracts_moulder_pestilens_3	wh2_dlc14_eshin_contract_payload_moulder_pestilens_3	false
wh2_dlc14_eshin_contracts_moulder_skryre_1	wh2_dlc14_eshin_contract_payload_moulder_skryre_1	false
wh2_dlc14_eshin_contracts_moulder_skryre_2	wh2_dlc14_eshin_contract_payload_moulder_skryre_2	false
wh2_dlc14_eshin_contracts_moulder_skryre_3	wh2_dlc14_eshin_contract_payload_moulder_skryre_3	false
wh2_dlc14_eshin_contracts_pestilens_mors_1	wh2_dlc14_eshin_contract_payload_pestilens_mors_1	false
wh2_dlc14_eshin_contracts_pestilens_mors_2	wh2_dlc14_eshin_contract_payload_pestilens_mors_2	false
wh2_dlc14_eshin_contracts_pestilens_mors_3	wh2_dlc14_eshin_contract_payload_pestilens_mors_3	false
wh2_dlc14_eshin_contracts_pestilens_moulder_1	wh2_dlc14_eshin_contract_payload_pestilens_moulder_1	false
wh2_dlc14_eshin_contracts_pestilens_moulder_2	wh2_dlc14_eshin_contract_payload_pestilens_moulder_2	false
wh2_dlc14_eshin_contracts_pestilens_moulder_3	wh2_dlc14_eshin_contract_payload_pestilens_moulder_3	false
wh2_dlc14_eshin_contracts_pestilens_skryre_1	wh2_dlc14_eshin_contract_payload_pestilens_skryre_1	false
wh2_dlc14_eshin_contracts_pestilens_skryre_2	wh2_dlc14_eshin_contract_payload_pestilens_skryre_2	false
wh2_dlc14_eshin_contracts_pestilens_skryre_3	wh2_dlc14_eshin_contract_payload_pestilens_skryre_3	false
wh2_dlc14_eshin_contracts_skryre_mors_1	wh2_dlc14_eshin_contract_payload_skryre_mors_1	false
wh2_dlc14_eshin_contracts_skryre_mors_2	wh2_dlc14_eshin_contract_payload_skryre_mors_2	false
wh2_dlc14_eshin_contracts_skryre_mors_3	wh2_dlc14_eshin_contract_payload_skryre_mors_3	false
wh2_dlc14_eshin_contracts_skryre_moulder_1	wh2_dlc14_eshin_contract_payload_skryre_moulder_1	false
wh2_dlc14_eshin_contracts_skryre_moulder_2	wh2_dlc14_eshin_contract_payload_skryre_moulder_2	false
wh2_dlc14_eshin_contracts_skryre_moulder_3	wh2_dlc14_eshin_contract_payload_skryre_moulder_3	false
wh2_dlc14_eshin_contracts_skryre_pestilens_1	wh2_dlc14_eshin_contract_payload_skryre_pestilens_1	false
wh2_dlc14_eshin_contracts_skryre_pestilens_2	wh2_dlc14_eshin_contract_payload_skryre_pestilens_2	false
wh2_dlc14_eshin_contracts_skryre_pestilens_3	wh2_dlc14_eshin_contract_payload_skryre_pestilens_3	false
wh2_dlc14_malus_payload_call_tzarkan	wh2_dlc14_malus_call_tzarkan	false
wh2_dlc16_throt_flesh_lab_conversion_payload	wh2_dlc16_throt_flesh_lab_conversion	false
wh2_dlc16_throt_flesh_lab_monster_2	wh2_dlc16_throt_flesh_lab_monster_2	false
wh2_dlc16_throt_flesh_lab_monster	wh2_dlc16_throt_flesh_lab_monster	false
wh2_main_ritual_lzd_awakening	wh2_main_ritual_lzd_awakening	false
wh3_dlc23_chd_ritual_unit_cap_bale_taurus	wh3_dlc23_chd_hellforge_unit_cap_increase_flying_beast_1	false
wh3_dlc23_chd_ritual_unit_cap_bull_centaurs	wh3_dlc23_chd_hellforge_unit_cap_increase_bull_centaur_1	false
wh3_dlc23_chd_ritual_unit_cap_chaos_dwarf_blunderbusses	wh3_dlc23_chd_hellforge_unit_cap_increase_mis_inf_1	false
wh3_dlc23_chd_ritual_unit_cap_chaos_dwarf_warriors	wh3_dlc23_chd_hellforge_unit_cap_increase_mel_inf_1	false
wh3_dlc23_chd_ritual_unit_cap_great_taurus	wh3_dlc23_chd_hellforge_unit_cap_increase_flying_beast_1	false
wh3_dlc23_chd_ritual_unit_cap_hellcannon	wh3_dlc23_chd_hellforge_unit_cap_increase_warmachine_1	false
wh3_dlc23_chd_ritual_unit_cap_infernal_guard_fireglaives	wh3_dlc23_chd_hellforge_unit_cap_increase_mis_inf_1	false
wh3_dlc23_chd_ritual_unit_cap_infernal_guard	wh3_dlc23_chd_hellforge_unit_cap_increase_mel_inf_1	false
wh3_dlc23_chd_ritual_unit_cap_infernal_ironsworn	wh3_dlc23_chd_hellforge_unit_cap_increase_mel_inf_1	false
wh3_dlc23_chd_ritual_unit_cap_kdaai_destroyer	wh3_dlc23_chd_hellforge_unit_cap_increase_kdaai_1	false
wh3_dlc23_chd_ritual_unit_cap_kdaai_fireborn	wh3_dlc23_chd_hellforge_unit_cap_increase_kdaai_1	false
wh3_dlc23_chd_ritual_unit_cap_lammasu	wh3_dlc23_chd_hellforge_unit_cap_increase_flying_beast_1	false
wh3_dlc23_chd_ritual_unit_cap_warmachines	wh3_dlc23_chd_hellforge_unit_cap_increase_warmachine_1	false
wh3_dlc23_ritual_chd_labour_example	wh3_dlc23_ritual_chd_set_example	false
wh3_dlc23_ritual_chd_labour_gift_zhar_naggrund_upgraded	wh3_dlc23_ritual_chd_gain_conf_inf_upgraded	false
wh3_dlc23_ritual_chd_labour_gift_zhar_naggrund	wh3_dlc23_ritual_chd_gain_conf_inf	false
wh3_dlc23_ritual_chd_labour_sell_upgraded	wh3_dlc23_ritual_chd_sell_labour_reward_upgraded	false
wh3_dlc23_ritual_chd_labour_sell	wh3_dlc23_ritual_chd_sell_labour_reward	false
wh3_dlc25_dwf_ritual_grudges_campaign_upgrade_5	wh3_dlc25_dwf_ritual_oathgold_generation	false
wh3_dlc25_ritual_emp_don_bjuna_bombard	wh3_dlc25_ritual_emp_don_bjuna_bombard	false
wh3_dlc25_ritual_emp_don_purple_eclipse	wh3_dlc25_ritual_emp_don_purple_eclipse	false
wh3_dlc25_ritual_emp_don_spirit_barrage	wh3_dlc25_ritual_emp_don_spirit_barrage	false
wh3_main_operation_set_ksl_ice_court_support	wh3_main_operation_set_ksl_ice_court_boon_reward	false
wh3_main_operation_set_ksl_ice_court_support	wh3_main_operation_set_ksl_ice_court_support_expend	false
wh3_main_operation_set_ksl_ice_court_support	wh3_main_operation_set_ksl_ice_court_support_gain	false
wh3_main_operation_set_ksl_orthodoxy_support	wh3_main_operation_set_ksl_orthodoxy_boon_reward	false
wh3_main_operation_set_ksl_orthodoxy_support	wh3_main_operation_set_ksl_orthodoxy_support_expend	false
wh3_main_operation_set_ksl_orthodoxy_support	wh3_main_operation_set_ksl_orthodoxy_support_gain	false
wh3_main_ritual_belakor_gg_1_uses	wh3_main_ritual_belakor_gg_1_uses	false
wh3_main_ritual_belakor_gg_2_uses	wh3_main_ritual_belakor_gg_2_uses	false
wh3_main_ritual_belakor_gg_3_uses	wh3_main_ritual_belakor_gg_3_uses	false
wh3_main_ritual_belakor_gg_4_uses	wh3_main_ritual_belakor_gg_4_uses	false
wh3_main_ritual_def_slave_action_1	wh3_main_ritual_def_slave_action_1_reward	false
wh3_main_ritual_sla_gg_2_upgraded	wh3_main_ritual_sla_gg_2_upgraded	false
wh3_main_ritual_sla_gg_2	wh3_main_ritual_sla_gg_2	false
wh3_main_ritual_tmb_diktat_3	wh3_main_tmb_diktat_3_reward	false
wh3_main_ritual_tze_gg_1_upgraded	wh3_main_ritual_tze_gg_1_upgraded	false
