mortuary_category	ritual
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_speed
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_strength
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_potion_of_toughness
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_shroud_of_sokth
wh2_dlc09_enchanted_items	wh2_dlc09_ritual_crafting_tmb_enchanted_item_vambraces_of_the_sun
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_army_capacity
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_carrion
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_necropolis_knights
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen
wh2_dlc09_regiments_of_renown	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors
wh2_dlc09_regiments_of_renown	wh3_main_ritual_crafting_tmb_liche_priest_capacity
wh2_dlc09_regiments_of_renown	wh3_main_ritual_crafting_tmb_necrotect_capacity
wh2_dlc09_regiments_of_renown	wh3_main_ritual_crafting_tmb_prince_capacity
wh2_dlc09_regiments_of_renown	wh3_main_tmb_confederate_khalida
wh2_dlc09_regiments_of_renown	wh3_main_tmb_confederate_khatep
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_amulet_of_pha_stah
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_collar_of_shakkara
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_dawnstone
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_golden_ankhra
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_golden_eye_of_rah_nutt
wh2_dlc09_talismans	wh2_dlc09_ritual_crafting_tmb_talisman_obsidian_lodestone
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_antarhak
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_mourning_fire
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_blade_of_setep
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_crook_and_flail_of_radiance
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_destroyer_of_eternities
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_double_crescent_of_neru
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_enchanted_lapis_mace
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_fang_of_quaph
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh
wh2_dlc09_weapons	wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_alriks_plate
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_dragon_slayers_scale
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_gate_keepers_helm
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_ironwardens_shield
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_prospectors_mail
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_rangers_cloak
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_starmetal_plate
wh2_dlc10_armour	wh2_dlc10_dwf_ritual_armour_veterans_armour
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_dragon_slayers_boots
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_gate_keepers_belt
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_ironbeards_bracers
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_ironwardens_tankard
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_prospectors_spyglass
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone
wh2_dlc10_enchanted_items	wh2_dlc10_dwf_ritual_enchanted_item_troll_slayers_gauntlets
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_dragon_slayers_fang
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_gate_keepers_rat_catcher
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_ironbeards_ring
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_miners_lattern
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_old_guards_tankard
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_rangers_pouch
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_ring_of_grimnir
wh2_dlc10_talismans	wh2_dlc10_dwf_ritual_talisman_the_ankor_chain
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_dragon_slayers_axe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_elfbane
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_gate_keepers_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_ironwardens_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_prospectors_pickaxe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_rangers_hammer
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_slayers_axe
wh2_dlc10_weapons	wh2_dlc10_dwf_ritual_weapon_starbreaker
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_1
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_2
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_3
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_4
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_5
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_6
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_7
wh2_dlc17_artifact_vault	wh2_dlc17_dwf_ritual_thorek_artifact_8
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_flakksons_rune_of_seeking
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_master_rune_of_disguise
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_master_rune_of_immolation
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_rune_of_burning
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_engineering_rune_of_penetration
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_ancestor_rune
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_battle
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_courage
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_groth_one-eye
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_grungni
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_sanctuary
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_slowness
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_stoicism
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_stromni_redbeard
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_master_rune_of_valaya
wh2_dlc17_runes_banner	wh2_dlc17_dwf_ritual_wh_main_anc_rune_strollaz_rune
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_alaric_the_mad
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_adamant
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_flight
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_gromril
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_passage
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_skalf_blackhammer
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_snorri_spangelhelm
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_master_rune_of_spite
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_cleaving
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_dismay
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_fire
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_impact
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_iron
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_luck
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh2_dlc17_anc_rune_personal_rune_of_shielding
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh_main_anc_rune_rune_of_fury
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh_main_anc_rune_rune_of_might
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh_main_anc_rune_rune_of_parrying
wh2_dlc17_runes_character	wh2_dlc17_dwf_ritual_wh_main_anc_rune_rune_of_striking
wh3_main_tmb_banners	wh3_main_ritual_crafting_tmb_centuries_sigil
wh3_main_tmb_banners	wh3_main_ritual_crafting_tmb_cursing_word
wh3_main_tmb_banners	wh3_main_ritual_crafting_tmb_khsar_fury
wh3_main_tmb_banners	wh3_main_ritual_crafting_tmb_sacred_eye
wh3_main_tmb_banners	wh3_main_ritual_crafting_tmb_settra_banner
wh3_main_tmb_banners	wh3_main_ritual_crafting_tmb_ualatp_order
