key	effect_bundle	is_removal
wh3_main_bundle_lock_recruitment_wh3_main_dae_inf_chaos_furies_0	wh3_main_bundle_lock_recruitment_wh3_main_dae_inf_chaos_furies_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_bloodcrushers_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_bloodcrushers_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_gorebeast_chariot	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_gorebeast_chariot	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_skullcrushers_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_skullcrushers_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_bloodletters_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_bloodletters_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_bloodletters_1	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_bloodletters_1	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_chaos_warhounds_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_chaos_warhounds_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_flesh_hounds_of_khorne_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_inf_flesh_hounds_of_khorne_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_bloodthirster_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_bloodthirster_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_1	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_1	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_soul_grinder_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_soul_grinder_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_veh_blood_shrine_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_veh_blood_shrine_0	false
wh3_main_bundle_lock_recruitment_wh3_main_kho_veh_skullcannon_0	wh3_main_bundle_lock_recruitment_wh3_main_kho_veh_skullcannon_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_1	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_1	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_pox_riders_of_nurgle_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_pox_riders_of_nurgle_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_nurglings_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_nurglings_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_plaguebearers_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_plaguebearers_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_plaguebearers_1	wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_plaguebearers_1	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_beast_of_nurgle_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_beast_of_nurgle_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_great_unclean_one_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_great_unclean_one_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_plague_toads_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_plague_toads_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_rot_flies_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_rot_flies_0	false
wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_soul_grinder_0	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_soul_grinder_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_heartseekers_of_slaanesh_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_heartseekers_of_slaanesh_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_hellstriders_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_hellstriders_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_hellstriders_1	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_hellstriders_1	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_seekers_of_slaanesh_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_seekers_of_slaanesh_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_inf_daemonette_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_inf_daemonette_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_inf_daemonette_1	wh3_main_bundle_lock_recruitment_wh3_main_sla_inf_daemonette_1	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_fiends_of_slaanesh_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_fiends_of_slaanesh_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_keeper_of_secrets_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_keeper_of_secrets_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_soul_grinder_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_soul_grinder_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_exalted_seeker_chariot_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_exalted_seeker_chariot_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_hellflayer_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_hellflayer_0	false
wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_seeker_chariot_0	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_seeker_chariot_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_cav_doom_knights_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_cav_doom_knights_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_blue_horrors_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_blue_horrors_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_pink_horrors_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_pink_horrors_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_pink_horrors_1	wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_pink_horrors_1	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_exalted_flamer_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_exalted_flamer_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_flamers_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_flamers_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_lord_of_change_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_lord_of_change_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_screamers_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_screamers_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_soul_grinder_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_soul_grinder_0	false
wh3_main_bundle_lock_recruitment_wh3_main_tze_veh_burning_chariot_0	wh3_main_bundle_lock_recruitment_wh3_main_tze_veh_burning_chariot_0	false
