key	sound_event_battle_start	sound_event_battle_stop	sound_event_campaign_start	sound_event_campaign_stop	limitation_scale	entity_type_switch	melee_hit_category	melee_hit_type_override	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	scaled_sound_upsize	scaled_max_delay	scaled_sound_next	doppler_rtpc_name	max_probability	min_probability	is_vocalisation	play_at_bone	play_at_position	play_at_base	require_ground_type_limited	require_ground_type	require_armour_type	require_melee_weapon_type	require_shield_type	triggers_blood	is_tracked	require_reverb	require_obstruction	can_play_under_splice	ignore_if_headless	play_on_looping_sound	cinematic_only	requires_cinematic	flip_direction	blood_enabled_only	use_limitation_type_override	limitation_type_override	culling_distance_override	ignore_alpha_check	override_vo	looping_sound_mapping	is_persistent_loop	require_modular_ability_switch	require_secondary_melee_switch	default_vmd_slot_name	use_character_idle_switch	additional_actor_id	is_persistent_one_shot	persistent_one_shot_duration_override
Bodyfall_Heavy_Belakor	Battle_Individual_Bodyfall_Heavy_Belakor		Campaign_Individual_Bodyfall_Heavy_Belakor		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Bloodthirster	Battle_Individual_Bodyfall_Heavy_Bloodthirster		Campaign_Individual_Bodyfall_Heavy_Bloodthirster		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Boar	Battle_Individual_Bodyfall_Heavy_Boar		Campaign_Individual_bodyfall_Heavy_Boar		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Carnosaur	Battle_Individual_Bodyfall_Heavy_Carnosaur				0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Cathay_Dragon	Battle_Individual_Bodyfall_Heavy_Cathay_Dragon				0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Centigor	Battle_Individual_Bodyfall_Heavy_Centigor		Campaign_Individual_Bodyfall_Heavy_Centigor		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Cockatrice	Battle_Individual_Bodyfall_Cockatrice				0.3000								0	0.0000			100.0000	10.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Cold_One	Battle_Individual_Bodyfall_Heavy_Cold_One		Campaign_Individual_Bodyfall_Heavy_Cold_One		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Crypt_Ghoul	Battle_Individual_Bodyfall_Heavy_Crypt_Ghoul		Campaign_Individual_Bodyfall_Heavy_Crypt_Ghoul		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Crypt_Horror	Battle_Individual_Bodyfall_Heavy_Crypt_Horror		Campaign_Individual_Bodyfall_Heavy_Crypt_Horror		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Cygor	Battle_Individual_Bodyfall_Heavy_Cygor		Campaign_Individual_Bodyfall_Heavy_Cygor		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_DLC16_Brood_Horror	Battle_Individual_Foley_DLC16_Brood_Horror_bodyfall		Campaign_Individual_Bodyfall_Heavy_DLC16_Brood_Horror		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_DLC17_Taurox	Battle_Individual_BodyFall_DLC17_Taurox_Heavy		Campaign_Individual_Bodyfall_Heavy_DLC17_Taurox		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Daemon_Prince	Battle_Individual_Bodyfall_Heavy_Daemon_Prince		Campaign_Individual_Bodyfall_Heavy_Daemon_Prince		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Dire_Wolves	Battle_Individual_Bodyfall_Heavy_Dire_Wolves		Campaign_Individual_bodyfall_Heavy_Dire_Wolves		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Dragon_Large	Battle_Individual_Bodyfall_Heavy_Dragon_Large		Campaign_Individual_bodyfall_Heavy_Dragon_Large		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Dragon_Ogre	Battle_Individual_Bodyfall_Heavy_Dragon_Ogre		Campaign_Individual_Bodyfall_Heavy_Dragon_Orge		0.5000	Generic_Entity_Type_Bodyfall_Dragon_Ogre							0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Dragon_Small	Battle_Individual_Bodyfall_Heavy_Dragon_Small		Campaign_Individual_bodyfall_Heavy_Dragon_Small		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Dread_Saurian	Battle_Individual_Bodyfall_Heavy_Dread_Saurian		Campaign_Individual_Bodyfall_Heavy_Dread_Saurian		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Dryad	Battle_Individual_Bodyfall_Heavy_Dryad		Campaign_Individual_Bodyfall_Heavy_Dryad		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Elemental_Beast	Battle_Individual_Bodyfall_Elemental_Beast				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	medium	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Exalted_Bloodthirster	Battle_Individual_Bodyfall_Heavy_Exalted_Bloodthirster		Campaign_Individual_Bodyfall_Heavy_Exalted_Bloodthirster		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Fell_Bat	Battle_Individual_Bodyfall_Heavy_Fell_Bat		Campaign_Individual_Bodyfall_Heavy_Fell_Bat		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Fiend_Of_Slaanesh	Battle_Individual_Bodyfall_Heavy_Fiend_Of_Slaanesh				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Fimir	Battle_Individual_Bodyfall_Heavy_Fimir				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Fleshhound	Battle_Individual_Bodyfall_Heavy_Fleshhound				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Fury	Battle_Individual_Bodyfall_Heavy_Fell_Bat		Campaign_Individual_Bodyfall_Heavy_Fell_Bat		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Ghorgon	Battle_Individual_Bodyfall_Heavy_DLC17_Ghorgon				0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Giant	Battle_Individual_Bodyfall_Heavy_Giant		Campaign_Individual_bodyfall_Heavy_Giant		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Gor	Battle_Individual_Bodyfall_Heavy_Gor		Campaign_Individual_Bodyfall_Heavy_Gor		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Gorebeast	Battle_Individual_Bodyfall_Heavy_Gorebeast		Campaign_Individual_Bodyfall_Heavy_Gorebeast		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Gorger	Battle_Individual_Bodyfall_Gorger				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	true	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Greasus	Battle_Individual_Bodyfall_Heavy_Greasus		Campaign_Individual_Bodyfall_Heavy_Greasus		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Griffin	Battle_Individual_Bodyfall_Heavy_Griffin		Campaign_Individual_bodyfall_Heavy_Griffin		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Hell_Pit_Abomination	Battle_Individual_Bodyfall_Heavy_Hell_Pit_Abomination_Large		Campaign_Individual_Bodyfall_Hell_Pit_Abomination_Large		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Hippogryph	Battle_Individual_Bodyfall_Heavy_Hippogryph		Campaign_Individual_bodyfall_Heavy_Hippogryph		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Horse	Battle_Individual_Bodyfall_Heavy_Horse		Campaign_Individual_bodyfall_Heavy_Horse		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Humanoid	Battle_Individual_Bodyfall_Heavy_Humanoid		Campaign_Individual_bodyfall_Heavy_Humanoid		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Hybrid_Creature	Battle_Individual_Bodyfall_Heavy_Hybrid_Creature		Campaign_Individual_Bodyfall_Heavy_Hybrid_Creature		0.5000	Generic_Entity_Type_Bodyfall_Hybrid_Creature							0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Juggernaut	Battle_Individual_Bodyfall_Heavy_Juggernaut		Campaign_Individual_Bodyfall_Heavy_Juggernaut		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Kdaai_Fireborn	Battle_Individual_Foley_Kdaai_Fireborn_Bodyfall_Heavy				0.1000								0	0.0000			100.0000	5.0000	false	false	false	true	false	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	medium	40.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Kroxigor	Battle_Individual_Bodyfall_Heavy_Kroxigor		Campaign_Individual_Bodyfall_Heavy_Kroxigor		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Lammasu	Battle_Individual_Bodyfall_Heavy_Lammasu		Campaign_Individual_Bodyfall_Heavy_Lammasu		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	medium	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Lord_Mazdamundi	Battle_Individual_Bodyfall_Heavy_Lord_Mazdamundi		Campaign_Individual_Bodyfall_Heavy_Lord_Mazdamundi		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Lord_Of_Change	Battle_Individual_Bodyfall_Heavy_Lord_Of_Change		Campaign_Individual_Bodyfall_Heavy_Lord_Of_Change		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Mammoth	Battle_Individual_Bodyfall_Heavy_Lord_Of_Change		Campaign_Individual_Bodyfall_Heavy_Mammoth		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Manticore	Battle_Individual_Bodyfall_Heavy_Manticore		Campaign_Individual_bodyfall_Heavy_Manticore		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Medium_Bird	Battle_Individual_Bodyfall_Heavy_Medium_Bird		Campaign_Individual_Bodyfall_Heavy_Medium_Bird		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Minotaur	Battle_Individual_Bodyfall_Heavy_Minotaur		Campaign_Individual_Bodyfall_Heavy_Minotaur		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Mournfang	Battle_Individual_Bodyfall_Heavy_Mournfang				0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Mourngul	Battle_Individual_Bodyfall_Heavy_Mourngul		Campaign_Individual_Bodyfall_Heavy_Mourngul		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Necro_Serpent	Battle_Individual_Bodyfall_Heavy_Necro_Serpent				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Nkari	Battle_Individual_Bodyfall_Heavy_Nkari		Campaign_Individual_Bodyfall_Heavy_Nkari		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Nurgle_Festus	Battle_IND_Foley_Festus_Body_Fall_Heavy		Campaign_IND_Foley_Festus_Body_Fall_Heavy		0.0000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	false	true	false	true	false	false	false	false	false	false	false	Lord_Hero	100.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Nurgle_Large	Battle_Individual_Bodyfall_Heavy_Nurgle_Large		Campaign_Individual_Bodyfall_Heavy_Nurgle_Large		0.5000								0	0.0000			100.0000	100.0000	false	false	true	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	0.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Nurgle_Medium	Battle_Individual_Bodyfall_Heavy_Nurgle_Medium		Campaign_Individual_Bodyfall_Heavy_Nurgle_Medium		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Nurgle_Small_Loose	Battle_Individual_Bodyfall_Nurgle_Small_Loose				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Nurgle_Small_Tight	Battle_Individual_Bodyfall_Nurgle_Small_Tight				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Ogre_Belly_Plate	Battle_Individual_Bodyfall_Heavy_Ogre		Campaign_Individual_Bodyfall_Heavy_Ogre		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Ogre_Body_Heavy	Battle_Individual_Bodyfall_Heavy_Ogre_Body		Campaign_Individual_Bodyfall_Heavy_Ogre_Body		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	true	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Ogre_Body_Heavy_Body	Battle_Individual_Bodyfall_Heavy_Ogre_Body		Campaign_Individual_Bodyfall_Heavy_Ogre_Body		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	true	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Ogre_Body_Light	Battle_Individual_Bodyfall_Light_Ogre		Campaign_Individual_Bodyfall_Light_Ogre_Body		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	true	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Orion	Battle_Individual_Bodyfall_Heavy_Orion		Campaign_Individual_Bodyfall_Heavy_Orion		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Oxen	Battle_Individual_Bodyfall_Heavy_Oxen				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	war_machine	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Plague_Toad	Battle_Individual_Bodyfall_Heavy_Plague_Toad				0.1000								0	0.0000			100.0000	100.0000	false	false	true	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	0.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Rat_Ogre	Battle_Individual_Bodyfall_Heavy_Rat_Ogre		Campaign_Individual_Bodyfall_Heavy_Rat_Ogre		0.5000								0	0.0000			100.0000	100.0000	false	true	false	false	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	110.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Rogue_Idol	Battle_Individual_Bodyfall_Heavy_Rogue_Idol				0.5000								0	0.0000			100.0000	100.0000	false	false	true	false	true	false	true	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	200.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Salamander	Battle_Individual_Bodyfall_Heavy_Salamander				0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	80.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Saurus	Battle_Individual_Bodyfall_Heavy_Saurus		Campaign_Individual_Bodyfall_Heavy_Saurus		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	true	false	false	false	true	false	false	true	false	false	false	false	false	false	false	Lord_Hero	50.0000	false	false		false	false	false		false		false	0.0000
Bodyfall_Heavy_Skarbrand	Battle_Individual_Bodyfall_Heavy_Skarbrand		Campaign_Individual_Bodyfall_Heavy_Skarbrand		0.5000								0	0.0000			100.0000	100.0000	false	false	false	true	true	false	false	false	false	false	true	true	false	true	false	false	false	false	false	false	false	Lord_Hero	150.0000	false	false		false	false	false		false		false	0.0000
