key	faction_criteria	military_force_criteria	region_criteria	enable_outline_highlight	highlight_colour_selected_target	highlight_colour_no_target_selected	highlight_colour_with_target_selected
ritual_target_force_allied_neutral_enemy_land_except_mutinous_whispers_armies		ritual_target_force_allied_neutral_enemy_land_except_mutinous_whispers_armies		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_any		ritual_target_force_any		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_any_but_self		ritual_target_force_any_but_self		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_any_land		ritual_target_force_any_land		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_enemy		ritual_target_force_enemy		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_enemy_land		ritual_target_force_enemy_land		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_enemy_own_territory		ritual_target_force_enemy_own_territory		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_enemy_ungarrisoned		ritual_target_force_enemy_ungarrisoned		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_foriegn		ritual_target_force_foriegn		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_foriegn_generic_lords_same_province_SI_min_50_percent		ritual_target_force_foriegn_generic_lords_same_province_SI_min_50_percent		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_hef_not_enemy		ritual_target_force_hef_not_enemy		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_navy		ritual_target_force_navy		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_neutral_allied		ritual_target_force_neutral_allied		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own		ritual_target_force_own		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_10_units_minimum		ritual_target_force_own_10_units_minimum		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_1_marauder_minimum		ritual_target_force_own_1_marauder_minimum		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_allied_territory_own_allied		ritual_target_force_own_allied_territory_own_allied		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_enemy_territory		ritual_target_force_own_enemy_territory		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_enemy_territory_not_besieging		ritual_target_force_own_enemy_territory_not_besieging		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_except_pillaging		ritual_target_force_own_except_pillaging		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_land_or_sea		ritual_target_force_own_land_or_sea		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_not_ap_gain_locked		ritual_target_force_own_not_ap_gain_locked		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_not_loaned		ritual_target_force_own_not_loaned		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_or_allied		ritual_target_force_own_allied		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_own_ungarrisoned		ritual_target_force_own_ungarrisoned		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_skv		ritual_target_force_skv		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_force_skv_not_sieging		ritual_target_force_skv_not_sieging		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region			ritual_target_region	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_all_exclude_allies_and_self			ritual_target_region_all_exclude_allies_and_self	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_all_exclude_allies_and_self_ai			ritual_target_region_all_exclude_allies_and_self	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_all_excluding_self_and_ruins			ritual_target_region_all_excluding_self_and_ruins	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_all_excluding_self_ruins_enemies_and_cults			ritual_target_region_all_excluding_self_ruins_enemies_and_cults	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_all_excluding_self_ruins_enemies_and_cults_dechala			ritual_target_region_all_excluding_self_ruins_enemies_and_cults_dechala	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_all_excluding_self_ruins_enemies_and_treacheries			ritual_target_region_all_excluding_self_ruins_enemies_and_treacheries	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_any			ritual_target_region_any	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_any_port			ritual_target_region_any_port	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_bst		ritual_target_force_bst_any		false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_can_declare_war			ritual_target_region_can_declare_war	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_chd			ritual_target_region_chd	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_chs			ritual_target_region_chs	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_emp_not_war			ritual_target_region_emp_not_war	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_emp_not_war_not_own			ritual_target_region_emp_not_war_not_own	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_emp_not_war_require_no_black_tower			ritual_target_region_emp_not_war_require_no_black_tower	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_emp_not_war_teleport			ritual_target_region_emp_not_war_require_black_tower	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_enemy			ritual_target_region_enemy	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_enemy_walls			ritual_target_region_enemy_walls	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_hef_not_at_war			ritual_target_region_hef_not_at_war	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_hef_not_at_war_or_besieged			ritual_target_region_hef_not_at_war_or_besieged	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_including_ruins			ritual_target_region_including_ruins	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_nor			ritual_target_region_nor	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_only_ruins			ritual_target_region_only_ruins	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_own			ritual_target_region_own	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_own_not_under_siege			ritual_target_region_own_not_under_siege	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_own_tier_3_settlement			ritual_target_region_own_tier_3_major_settlement	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_silent_sanctum			ritual_target_region_lzd_silent_sanctum	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_skv			ritual_target_region_skv	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_tyrants_demands			ritual_target_region_tyrants_demands	false	FFFFFF	FFFFFF	FFFFFF
ritual_target_region_under_empire			ritual_target_region_skv_under_empire	false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_athel_loren		wh2_dlc16_worldroots_teleport_athel_loren		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_emerald_pools_main		wh2_dlc16_worldroots_teleport_emerald_pools_main		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_forest_of_gloom		wh2_dlc16_worldroots_teleport_forest_of_gloom		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_gaean_vale_main		wh2_dlc16_worldroots_teleport_gaean_vale_main		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_gryphon_wood		wh2_dlc16_worldroots_teleport_gryphon_wood		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main		wh2_dlc16_worldroots_teleport_heart_of_the_jungle_main		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_jungles_of_chian		wh2_dlc16_worldroots_teleport_jungles_of_chian		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_laurelorn		wh2_dlc16_worldroots_teleport_laurelorn		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_the_haunted_forest		wh2_dlc16_worldroots_teleport_the_haunted_forest		false	FFFFFF	FFFFFF	FFFFFF
wh2_dlc16_worldroots_teleport_witchwood_main		wh2_dlc16_worldroots_teleport_witchwood_main		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_amber_wizard		wh3_dlc25_target_force_amber_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_amethyst_wizard		wh3_dlc25_target_force_amethyst_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_bright_wizard		wh3_dlc25_target_force_bright_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_bright_wizard_non_siege		wh3_dlc25_target_force_bright_wizard_non_siege		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_celestial_wizard		wh3_dlc25_target_force_celestial_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_empire		wh3_dlc25_target_force_empire		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_jade_wizard		wh3_dlc25_target_force_jade_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_light_wizard		wh3_dlc25_target_force_light_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_metal_wizard		wh3_dlc25_target_force_metal_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_target_force_shadow_wizard		wh3_dlc25_target_force_shadow_wizard		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_azgal_ie		wh3_dlc25_underway_teleport_karak_azgal_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_azorn_ie		wh3_dlc25_underway_teleport_karak_azorn_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_azorn_roc		wh3_dlc25_underway_teleport_karak_azorn_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_eight_peaks_ie		wh3_dlc25_underway_teleport_karak_eight_peaks_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_izor_ie		wh3_dlc25_underway_teleport_karak_izor_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_kadrin_ie		wh3_dlc25_underway_teleport_karak_kadrin_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_kadrin_roc		wh3_dlc25_underway_teleport_karak_kadrin_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_norn_ie		wh3_dlc25_underway_teleport_karak_norn_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_vlag_ie		wh3_dlc25_underway_teleport_karak_vlag_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_vlag_roc		wh3_dlc25_underway_teleport_karak_vlag_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_ziflin_ie		wh3_dlc25_underway_teleport_karak_ziflin_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karak_ziflin_roc		wh3_dlc25_underway_teleport_karak_ziflin_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_karaz_a_karak_ie		wh3_dlc25_underway_teleport_karaz_a_karak_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_kraka_drak_roc		wh3_dlc25_underway_teleport_kraka_drak_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_pillars_of_grungni_roc		wh3_dlc25_underway_teleport_pillars_of_grungni_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_uzkulak_ie		wh3_dlc25_underway_teleport_uzkulak_ie		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_uzkulak_roc		wh3_dlc25_underway_teleport_uzkulak_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc25_underway_teleport_zhufbar_roc		wh3_dlc25_underway_teleport_zhufbar_roc		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc26_war_contract_client_region_teleport			ritual_target_region_war_contract_client	false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_hef_court_increase_standing			ritual_target_all_regions_in_province_hef	false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_hef_court_target			ritual_target_region_hef	false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_ritual_target_force_enemy_generic_lord_same_province		wh3_dlc27_target_force_enemy_generic_lords_same_province		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_ritual_target_force_enemy_same_region		ritual_target_force_enemy_same_region		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_ritual_target_force_own_black_ark		ritual_target_force_own_black_ark		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_sayl_ritual_target_all_factions_excluding_self_ai_only_outline	ritual_target_all_factions_excluding_self_ai_only			true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_all_factions_excluding_self_not_human_or_human_vassals_outline	ritual_target_all_factions_excluding_self_not_human_or_human_vassals			true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_all_factions_excluding_self_outline	ritual_target_all_factions_excluding_self			true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_force_allied_neutral_enemy_land_except_mutinous_whispers_armies_outline		ritual_target_force_allied_neutral_enemy_land_except_mutinous_whispers_armies		true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_force_any_but_self_outline		ritual_target_force_any_but_self		true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_force_own_1_marauder_minimum_outline		ritual_target_force_own_1_marauder_minimum		true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_force_own_not_loaned_outline		ritual_target_force_own_not_loaned		true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_force_own_outline		ritual_target_force_own		true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_region_all_excluding_self_and_ruins_outline			ritual_target_region_all_excluding_self_and_ruins	true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_sayl_ritual_target_region_all_excluding_self_ruins_enemies_and_treacheries_outline			ritual_target_region_all_excluding_self_ruins_enemies_and_treacheries	true	FFFFFF	AEBDD0	B89CB1
wh3_dlc27_target_force_hef_mage_archmage_beasts		wh3_dlc27_target_force_hef_mage_archmage_beasts		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_death		wh3_dlc27_target_force_hef_mage_archmage_death		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_fire		wh3_dlc27_target_force_hef_mage_archmage_fire		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_heavens		wh3_dlc27_target_force_hef_mage_archmage_heavens		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_life		wh3_dlc27_target_force_hef_mage_archmage_life		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_light		wh3_dlc27_target_force_hef_mage_archmage_light		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_metal		wh3_dlc27_target_force_hef_mage_archmage_metal		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_mage_archmage_shadows		wh3_dlc27_target_force_hef_mage_archmage_shadows		false	FFFFFF	FFFFFF	FFFFFF
wh3_dlc27_target_force_hef_teclis		wh3_dlc27_target_force_hef_teclis		false	FFFFFF	FFFFFF	FFFFFF
wh3_main_tmb_confederate	ritual_target_tomb_kings_confederate_exclude_human			false	FFFFFF	FFFFFF	FFFFFF
