key	positive_effect_for_factions	negative_effect_for_factions	positive_blessed_effect_for_factions	negative_blessed_effect_for_factions
wh3_dlc25_nur_battle_6	wh3_dlc25_nur_battle_6_positive	wh3_dlc25_nur_battle_6_negative	wh3_dlc25_nur_battle_6_positive_blessed	wh3_dlc25_nur_battle_6_negative_blessed
wh3_dlc25_nur_battle_7	wh3_dlc25_nur_battle_7_positive	wh3_dlc25_nur_battle_7_negative	wh3_dlc25_nur_battle_7_positive_blessed	wh3_dlc25_nur_battle_7_negative_blessed
wh3_dlc25_nur_force_1	wh3_dlc25_nur_force_1_positive	wh3_dlc25_nur_force_1_negative	wh3_dlc25_nur_force_1_positive_blessed	wh3_dlc25_nur_force_1_negative_blessed
wh3_dlc25_nur_force_2	wh3_dlc25_nur_force_2_positive	wh3_dlc25_nur_force_2_negative	wh3_dlc25_nur_force_2_positive_blessed	wh3_dlc25_nur_force_2_negative_blessed
wh3_dlc25_nur_force_3	wh3_dlc25_nur_force_3_positive	wh3_dlc25_nur_force_3_negative	wh3_dlc25_nur_force_3_positive_blessed	wh3_dlc25_nur_force_3_negative_blessed
wh3_dlc25_nur_force_4	wh3_dlc25_nur_force_4_positive	wh3_dlc25_nur_force_4_negative	wh3_dlc25_nur_force_4_positive_blessed	wh3_dlc25_nur_force_4_negative_blessed
wh3_dlc25_nur_force_5	wh3_dlc25_nur_force_5_positive		wh3_dlc25_nur_force_5_positive_blessed	
wh3_dlc25_nur_force_5_enemy_settlement		wh3_dlc25_nur_force_5_negative		wh3_dlc25_nur_force_5_negative_blessed
wh3_dlc25_nur_force_5_festus	wh3_dlc25_nur_force_5_festus_positive		wh3_dlc25_nur_force_5_festus_positive_blessed	
wh3_dlc25_nur_force_6	wh3_dlc25_nur_force_6_positive	wh3_dlc25_nur_force_6_negative	wh3_dlc25_nur_force_6_positive_blessed	wh3_dlc25_nur_force_6_negative_blessed
wh3_dlc25_nur_random_plague_1_force	wh3_dlc25_nur_random_plague_1_force_positive	wh3_dlc25_nur_random_plague_1_force_negative		
wh3_dlc25_nur_random_plague_1_settlement	wh3_dlc25_nur_random_plague_1_settlement_positive	wh3_dlc25_nur_random_plague_1_settlement_negative		
wh3_dlc25_nur_random_plague_2_force	wh3_dlc25_nur_random_plague_2_force_positive	wh3_dlc25_nur_random_plague_2_force_negative		
wh3_dlc25_nur_random_plague_2_settlement	wh3_dlc25_nur_random_plague_2_settlement_positive	wh3_dlc25_nur_random_plague_2_settlement_negative		
wh3_dlc25_nur_random_plague_3_force	wh3_dlc25_nur_random_plague_3_force_positive	wh3_dlc25_nur_random_plague_3_force_negative		
wh3_dlc25_nur_random_plague_3_settlement	wh3_dlc25_nur_random_plague_3_settlement_positive	wh3_dlc25_nur_random_plague_3_settlement_negative		
wh3_dlc25_nur_random_plague_4_force	wh3_dlc25_nur_random_plague_4_force_positive	wh3_dlc25_nur_random_plague_4_force_negative		
wh3_dlc25_nur_random_plague_4_settlement	wh3_dlc25_nur_random_plague_4_settlement_positive	wh3_dlc25_nur_random_plague_4_settlement_negative		
wh3_dlc25_nur_random_plague_5_force	wh3_dlc25_nur_random_plague_5_force_positive	wh3_dlc25_nur_random_plague_5_force_negative		
wh3_dlc25_nur_random_plague_5_settlement	wh3_dlc25_nur_random_plague_5_settlement_positive	wh3_dlc25_nur_random_plague_5_settlement_negative		
wh3_dlc25_nur_settlement_1	wh3_dlc25_nur_settlement_1_positive	wh3_dlc25_nur_settlement_1_negative	wh3_dlc25_nur_settlement_1_positive_blessed	wh3_dlc25_nur_settlement_1_negative_blessed
wh3_dlc25_nur_settlement_2	wh3_dlc25_nur_settlement_2_positive	wh3_dlc25_nur_settlement_2_negative	wh3_dlc25_nur_settlement_2_positive_blessed	wh3_dlc25_nur_settlement_2_negative_blessed
wh3_dlc25_nur_settlement_3	wh3_dlc25_nur_settlement_3_positive	wh3_dlc25_nur_settlement_3_negative	wh3_dlc25_nur_settlement_3_positive_blessed	wh3_dlc25_nur_settlement_3_negative_blessed
wh3_dlc25_nur_settlement_3_festus	wh3_dlc25_nur_settlement_3_festus_positive	wh3_dlc25_nur_settlement_3_negative	wh3_dlc25_nur_settlement_3_festus_positive_blessed	wh3_dlc25_nur_settlement_3_negative_blessed
wh3_dlc25_nur_settlement_4	wh3_dlc25_nur_settlement_4_positive	wh3_dlc25_nur_settlement_4_negative	wh3_dlc25_nur_settlement_4_positive_blessed	wh3_dlc25_nur_settlement_4_negative_blessed
wh3_dlc25_nur_settlement_5	wh3_dlc25_nur_settlement_5_positive	wh3_dlc25_nur_settlement_5_negative	wh3_dlc25_nur_settlement_5_positive_blessed	wh3_dlc25_nur_settlement_5_negative_blessed
wh3_main_nur_base_Ague_force	wh3_main_nur_base_Ague_force_1	wh3_main_nur_base_Ague_force_2		
wh3_main_nur_base_Ague_force_festus	wh3_main_nur_base_Ague_force_festus_1	wh3_main_nur_base_Ague_force_festus_2		
wh3_main_nur_base_Ague_settlement	wh3_main_nur_base_Ague_settlement_1	wh3_main_nur_base_Ague_settlement_2		
wh3_main_nur_base_Ague_settlement_festus	wh3_main_nur_base_Ague_settlement_festus_1	wh3_main_nur_base_Ague_settlement_festus_2		
wh3_main_nur_base_Buboes_force	wh3_main_nur_base_Buboes_force_1	wh3_main_nur_base_Buboes_force_2		
wh3_main_nur_base_Buboes_force_festus	wh3_main_nur_base_Buboes_force_festus_1	wh3_main_nur_base_Buboes_force_festus_2		
wh3_main_nur_base_Buboes_settlement	wh3_main_nur_base_Buboes_settlement_1	wh3_main_nur_base_Buboes_settlement_2		
wh3_main_nur_base_Buboes_settlement_festus	wh3_main_nur_base_Buboes_settlement_festus_1	wh3_main_nur_base_Buboes_settlement_festus_2		
wh3_main_nur_base_Pox_force	wh3_main_nur_base_Pox_force_1	wh3_main_nur_base_Pox_force_2		
wh3_main_nur_base_Pox_force_festus	wh3_main_nur_base_Pox_force_festus_1	wh3_main_nur_base_Pox_force_festus_2		
wh3_main_nur_base_Pox_settlement	wh3_main_nur_base_Pox_settlement_1	wh3_main_nur_base_Pox_settlement_2		
wh3_main_nur_base_Pox_settlement_festus	wh3_main_nur_base_Pox_settlement_festus_1	wh3_main_nur_base_Pox_settlement_festus_2		
wh3_main_nur_base_Rot_force	wh3_main_nur_base_Rot_force_1	wh3_main_nur_base_Rot_force_2		
wh3_main_nur_base_Rot_force_festus	wh3_main_nur_base_Rot_force_festus_1	wh3_main_nur_base_Rot_force_festus_2		
wh3_main_nur_base_Rot_settlement	wh3_main_nur_base_Rot_settlement_1	wh3_main_nur_base_Rot_settlement_2		
wh3_main_nur_base_Rot_settlement_festus	wh3_main_nur_base_Rot_settlement_festus_1	wh3_main_nur_base_Rot_settlement_festus_2		
wh3_main_nur_base_Shakes_force	wh3_main_nur_base_Shakes_force_1	wh3_main_nur_base_Shakes_force_2		
wh3_main_nur_base_Shakes_force_festus	wh3_main_nur_base_Shakes_force_festus_1	wh3_main_nur_base_Shakes_force_festus_2		
wh3_main_nur_base_Shakes_settlement	wh3_main_nur_base_Shakes_settlement_1	wh3_main_nur_base_Shakes_settlement_2		
wh3_main_nur_base_Shakes_settlement_festus	wh3_main_nur_base_Shakes_settlement_festus_1	wh3_main_nur_base_Shakes_settlement_festus_2		
wh3_main_plague_component_7_force_festus	wh3_main_plague_component_7_force_festus_1			
wh3_main_plague_component_7_settlement_festus				
wh3_main_plague_daemon_prince_bowelsteep_force	wh3_main_plague_daemon_prince_bowelsteep_force_1	wh3_main_plague_daemon_prince_bowelsteep_force_2		
wh3_main_plague_daemon_prince_bowelsteep_settlement				
wh3_main_plague_daemon_prince_grey_fever_force	wh3_main_plague_daemon_prince_grey_fever_force_1	wh3_main_plague_daemon_prince_grey_fever_force_2		
wh3_main_plague_daemon_prince_grey_fever_settlement				
wh3_main_plague_daemon_prince_ochre_pox				
wh3_main_plague_daemon_prince_ochre_pox_force	wh3_main_plague_daemon_prince_ochre_pox_force_1	wh3_main_plague_daemon_prince_ochre_pox_force_2		
wh3_main_plague_daemon_prince_the_red_ague				
wh3_main_plague_daemon_prince_the_red_ague_force	wh3_main_plague_daemon_prince_the_red_ague_force_1	wh3_main_plague_daemon_prince_the_red_ague_force_2		
wh3_nur_plague_component_10_force		wh3_nur_plague_component_10_force_2		
wh3_nur_plague_component_10_settlement				
wh3_nur_plague_component_11_force		wh3_nur_plague_component_11_force_2		
wh3_nur_plague_component_11_settlement				
wh3_nur_plague_component_12_force				
wh3_nur_plague_component_12_settlement		wh3_nur_plague_component_12_settlement_2		
wh3_nur_plague_component_13_force		wh3_nur_plague_component_13_force_2		
wh3_nur_plague_component_13_settlement				
wh3_nur_plague_component_14_force	wh3_nur_plague_component_14_force_1			
wh3_nur_plague_component_14_settlement				
wh3_nur_plague_component_15_force	wh3_nur_plague_component_15_force_1			
wh3_nur_plague_component_15_settlement				
wh3_nur_plague_component_16_force	wh3_nur_plague_component_16_force_1	wh3_nur_plague_component_16_force_2		
wh3_nur_plague_component_16_settlement	wh3_nur_plague_component_16_settlement_1	wh3_nur_plague_component_16_settlement_2		
wh3_nur_plague_component_17_force	wh3_nur_plague_component_17_force_1	wh3_nur_plague_component_17_force_2		
wh3_nur_plague_component_17_settlement	wh3_nur_plague_component_17_settlement_1	wh3_nur_plague_component_17_settlement_2		
wh3_nur_plague_component_18_force	wh3_nur_plague_component_18_force_1	wh3_nur_plague_component_18_force_2		
wh3_nur_plague_component_18_settlement	wh3_nur_plague_component_18_settlement_1	wh3_nur_plague_component_18_settlement_2		
wh3_nur_plague_component_19_force	wh3_nur_plague_component_19_force_1	wh3_nur_plague_component_19_force_2		
wh3_nur_plague_component_19_settlement	wh3_nur_plague_component_19_settlement_1	wh3_nur_plague_component_19_settlement_2		
wh3_nur_plague_component_1_force		wh3_nur_plague_component_1_force_2		
wh3_nur_plague_component_1_settlement				
wh3_nur_plague_component_20_force		wh3_nur_plague_component_20_force_2		
wh3_nur_plague_component_20_settlement				
wh3_nur_plague_component_2_force				
wh3_nur_plague_component_2_settlement	wh3_nur_plague_component_2_settlement_1	wh3_nur_plague_component_2_settlement_2		
wh3_nur_plague_component_3_force		wh3_nur_plague_component_3_force_2		
wh3_nur_plague_component_3_settlement				
wh3_nur_plague_component_4_force		wh3_nur_plague_component_4_force_2		
wh3_nur_plague_component_4_settlement				
wh3_nur_plague_component_5_force		wh3_nur_plague_component_5_force_2		
wh3_nur_plague_component_5_settlement				
wh3_nur_plague_component_6_force		wh3_nur_plague_component_6_force_2		
wh3_nur_plague_component_6_settlement				
wh3_nur_plague_component_7_force				
wh3_nur_plague_component_7_settlement	wh3_nur_plague_component_7_settlement_1			
wh3_nur_plague_component_8_force				
wh3_nur_plague_component_8_settlement		wh3_nur_plague_component_8_settlement_2		
wh3_nur_plague_component_9_force	wh3_nur_plague_component_9_force_1	wh3_nur_plague_component_9_force_2		
wh3_nur_plague_component_9_settlement	wh3_nur_plague_component_9_settlement_1	wh3_nur_plague_component_9_settlement_2		
wh3_nur_plague_recipe_1_force	wh3_nur_plague_recipe_1_force_1	wh3_nur_plague_recipe_1_force_2		
wh3_nur_plague_recipe_1_settlement	wh3_nur_plague_recipe_1_settlement_1	wh3_nur_plague_recipe_1_settlement_2		
wh3_nur_plague_recipe_2_force	wh3_nur_plague_recipe_2_force_1	wh3_nur_plague_recipe_2_force_2		
wh3_nur_plague_recipe_2_settlement	wh3_nur_plague_recipe_2_settlement_1	wh3_nur_plague_recipe_2_settlement_2		
wh3_nur_plague_recipe_3_force	wh3_nur_plague_recipe_3_force_1	wh3_nur_plague_recipe_3_force_2		
wh3_nur_plague_recipe_3_settlement	wh3_nur_plague_recipe_3_settlement_1	wh3_nur_plague_recipe_3_settlement_2		
wh3_nur_plague_recipe_4_force	wh3_nur_plague_recipe_4_force_1	wh3_nur_plague_recipe_4_force_2		
wh3_nur_plague_recipe_4_settlement	wh3_nur_plague_recipe_4_settlement_1	wh3_nur_plague_recipe_4_settlement_2		
wh3_nur_plague_recipe_5_force	wh3_nur_plague_recipe_5_force_1	wh3_nur_plague_recipe_5_force_2		
wh3_nur_plague_recipe_5_settlement	wh3_nur_plague_recipe_5_settlement_1	wh3_nur_plague_recipe_5_settlement_2		
