key	animation	entity	audio_armour_type	variant	voiceover
wh2_dlc11_cst_mon_deck_dropper_bat	ba1_drop_bat	wh2_dlc11_cst_mon_deck_dropper_bat	leather	wh2_dlc11_cst_deck_dropper_bat	wh_main_vo_culture_Fell_Bat
wh2_dlc11_def_mnt_black_dragon_lokhir	dr1_dragon	wh2_dlc11_def_black_dragon_lokhir_blood	body	wh2_dlc11_def_black_dragon_saddle_lokhir	wh_main_vo_culture_Dragon_Large
wh2_dlc11_vmp_mnt_barded_nightmare_blood_dragon_hero	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	wh_dlc02_vmp_blood_knights_steed	wh_main_vo_culture_Skeletal_horse
wh2_dlc12_lzd_mnt_bastiladon_3	hq1_bastiladon	wh2_main_lzd_mon_bastiladon_platform_arc	body	wh2_dlc12_lzd_bastiladon_3	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_cold_one_ror	rp3_cold_one	wh2_main_lzd_cavalry_cold_one_blood	body	wh2_dlc12_lzd_cold_one_ror	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_ripperdactyl	bi3_ripperdactyl	wh2_dlc12_lzd_ripperdactyl_blood	body	wh2_dlc12_lzd_ripperdactyl	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_ripperdactyl_hero	bi3_ripperdactyl	wh2_dlc12_lzd_ripperdactyl_hero_blood	body	wh2_dlc12_lzd_ripperdactyl_hero	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_ripperdactyl_ror	bi3_ripperdactyl	wh2_dlc12_lzd_ripperdactyl_blood	body	wh2_dlc12_lzd_ripperdactyl_ror	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_stegadon_ancient_engine_gods	hq1_stegadon	wh2_dlc12_lzd_mon_ancient_stegadon_platform_engine_gods	body	wh2_dlc12_lzd_stegadon_ancient_engine_gods	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_stegadon_ancient_ror	hq1_stegadon	wh2_main_lzd_mon_stegadon_platform_thunderous_one	body	wh2_dlc12_lzd_stegadon_ancient_ror	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_terradon_ror	bi3_terradon	wh2_main_lzd_terradon_blood	body	wh2_dlc12_lzd_terradon_ror	wh2_main_vo_culture_Lizardmen
wh2_dlc12_lzd_mnt_terradon_zwup	bi3_terradon	wh2_main_lzd_terradon_hero_blood	body	wh2_dlc12_lzd_terradon_zwup	wh2_main_vo_culture_Lizardmen
wh2_dlc13_emp_mnt_empire_knights_warhorse_ror_0	hr1_warhorse	wh_main_cavalry_slow_blood	plate	wh2_dlc13_warhorse_empire_knights_ror_0	wh_main_vo_culture_Horse
wh2_dlc13_emp_mnt_empire_knights_warhorse_ror_1	hr1_warhorse	wh_main_cavalry_slow_blood	plate	wh2_dlc13_warhorse_empire_knights_ror_1	wh_main_vo_culture_Horse
wh2_dlc13_emp_mnt_empire_knights_warhorse_ror_2	hr1_warhorse	wh_main_cavalry_slow_blood	plate	wh2_dlc13_warhorse_empire_knights_ror_2	wh_main_vo_culture_Horse
wh2_dlc13_emp_warhorse_bordermen_ror_0	hr1_warhorse	wh_main_emp_cav_outriders_blood	leather	wh2_dlc13_emp_warhorse_bordermen_ror_0	wh_main_vo_culture_Horse
wh2_dlc13_emp_warhorse_sons_abroad_ror_1	hr1_warhorse	wh_main_cavalry_fast_blood	leather	wh2_dlc13_warhorse_sons_abroad_ror_1	wh_main_vo_culture_Horse
wh2_dlc13_emp_warhorse_war_wagon	hr1_warhorse_draught	wh_main_emp_war_wagon_horse	plate	wh_emp_warhorse_luminark	wh_main_vo_culture_Horse
wh2_dlc13_lzd_mnt_dread_saurian	rp4_dlc13_dread_saurian_howdaah	wh2_dlc13_lzd_mon_dread_saurian_blood	body	wh2_dlc13_lzd_dread_saurian	vo_culture_Invalid
wh2_dlc13_lzd_mnt_dread_saurian_ror	rp4_dlc13_dread_saurian_howdaah	wh2_dlc13_lzd_mon_dread_saurian_blood	body	wh2_dlc13_lzd_dread_saurian_ror	vo_culture_Invalid
wh2_dlc14_brt_ch_repanse_barded_warhorse	hr1_warhorse	wh_main_brt_cavalry_barded_slow_blood	body	wh2_dlc14_brt_ch_repanse_barded_warhorse	wh_main_vo_culture_Horse
wh2_dlc14_cold_one_spite	rp3_cold_one_malus	wh2_main_def_cavalry_cold_one_170_hero_blood	body	wh2_dlc14_def_cold_one_spite	wh2_main_vo_culture_Dark_Elves
wh2_dlc14_def_mnt_dark_steed_scourgerunner	hr1_warhorse_draught	wh2_dlc14_def_scourgerunner_draught	plate	wh2_main_def_dark_steed	wh_main_vo_culture_Skeletal_horse
wh2_dlc14_def_mnt_dark_steed_scourgerunner_ror	hr1_warhorse_draught	wh2_dlc14_def_scourgerunner_draught	plate	wh2_dlc14_def_dark_steed_scourgerunner_ror	wh_main_vo_culture_Skeletal_horse
wh2_dlc15_grn_giant_wolf_chariot_grom	wf1_giant_wolf_draught	wh2_dlc15_grn_wolf_draught_grom_blood	leather	wh_grn_giant_wolf_armoured	wh_main_vo_culture_Wolf
wh2_dlc15_grn_mnt_arachnarok_spider_waaagh	sp1_arachnarok	wh_main_monster_spider_arachnarok_blood	body	wh2_dlc15_grn_arachnarok_waaagh	wh_main_vo_culture_Spider_Small
wh2_dlc15_grn_mnt_giant_spider_waaagh	sp1_giant_spider	wh_main_monster_spider_giant_blood	body	wh2_dlc15_grn_giant_spider_waaagh	wh_main_vo_culture_Spider_Large
wh2_dlc15_grn_mnt_squig_armoured	rp2_squig_hopper	wh_dlc06_grn_mnt_squig	body	wh2_dlc15_grn_squig_saddle_armoured	wh_dlc06_vo_culture_Squig
wh2_dlc15_hef_mnt_arcane_phoenix	bi1_dlc15_phoenix	wh2_dlc15_hef_mon_arcane_phoenix_0	body	wh2_dlc15_hef_arcane_phoenix_campaign_mount	wh2_main_vo_culture_Phoenix
wh2_dlc15_hef_mnt_dragon_princes_imrik	hr1_warhorse	wh2_dlc15_hef_mnt_dragon_prince_steed_imrik	plate	wh2_dlc15_hef_dragon_steed_imrik	wh_main_vo_culture_Horse
wh2_dlc15_hef_mnt_griffon	bc2_griffon	wh_main_flying_griffon_blood	plate	wh2_dlc15_hef_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
wh2_dlc15_hef_mnt_griffon_mistwalkers	bc2_griffon	wh_main_flying_griffon_blood	plate	wh2_dlc15_hef_griffon_mistwalkers	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
wh2_dlc15_hef_mnt_griffon_stormwing	bc2_griffon	wh_main_flying_griffon_blood	plate	wh2_dlc15_hef_stormwing	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
wh2_dlc15_hef_mnt_lion_chariot	bc4_dlc15_lion_draught	wh2_dlc15_hef_mon_war_lion	body	wh2_dlc15_hef_war_lion_draught	wh_main_vo_culture_Var_Creature
wh2_dlc15_hef_mnt_star_dragon_minaithnir	dr1_dragon	wh2_main_hef_mon_star_dragon	body	wh2_dlc15_hef_star_dragon_minaithnir	wh_main_vo_culture_Dragon_Small
wh2_dlc16_skv_mnt_brood_horror	rt1_dlc16_brood_horror	wh2_dlc12_skv_mon_brood_horror_blood	body	wh2_dlc16_skv_brood_horror	wh2_main_vo_culture_Skaven
wh2_dlc16_wef_mnt_forest_dragon_ceithin_har	dr1_dragon	wh2_dlc16_flying_dragon_blood_360	body	wh2_dlc16_wef_sisters_forest_dragon_campaign	wh_main_vo_culture_Dragon_Small
wh2_dlc16_wef_mnt_great_eagle_gwindalor	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	body	wh2_dlc16_wef_great_eagle_gwindalor	wh_main_vo_culture_Eagle
wh2_dlc16_wef_mnt_great_stag	st1_dlc16_great_stag	wh2_dlc16_wef_cav_great_stag_blood	body	wh2_dlc16_wef_great_stag_0	wh_main_vo_culture_Horse
wh2_dlc16_wef_mnt_great_stag_lord	st1_dlc16_great_stag	wh2_dlc16_wef_cav_great_stag_blood	body	wh2_dlc16_wef_great_stag_lord	wh_main_vo_culture_Horse
wh2_dlc16_wef_mnt_great_stag_ror	st1_dlc16_great_stag	wh2_dlc16_wef_cav_great_stag_ethereal	body	wh2_dlc16_wef_great_stag_ror	wh_main_vo_culture_Horse
wh2_dlc17_bst_mnt_tuskgor_chariot	bo1_warboar_draught	wh2_dlc17_mnt_bst_tuskgor_chariot_blood	body	wh2_dlc17_bst_tuskgor_chariot	wh_dlc03_vo_culture_Boar
wh2_dlc17_bst_mnt_tuskgor_chariot_shaman	bo1_warboar_draught	wh2_dlc17_mnt_bst_tuskgor_chariot_blood	body	wh2_dlc17_bst_tuskgor_chariot_shaman	wh_dlc03_vo_culture_Boar
wh2_dlc17_lzd_mnt_troglodon	rp3b_dlc17_troglodon	wh2_dlc17_lzd_mon_troglodon_mount	body	wh2_dlc17_lzd_mnt_troglodon	wh2_main_vo_culture_Lizardmen
wh2_main_def_mnt_black_dragon	dr1_dragon	wh2_main_def_black_dragon_blood	body	wh2_main_def_mon_black_dragon_mount	wh_main_vo_culture_Dragon_Large
wh2_main_def_mnt_black_dragon_hero	dr1_dragon	wh2_main_def_black_dragon_blood	body	wh2_main_def_mon_black_dragon_mount	wh_main_vo_culture_Dragon_Large
wh2_main_def_mnt_black_dragon_seraphon	dr1_dragon	wh2_main_def_black_dragon_blood	body	wh2_main_def_black_dragon_seraphon	wh_main_vo_culture_Dragon_Large
wh2_main_def_mnt_cold_one	rp3_cold_one	wh2_main_def_cavalry_cold_one_blood	body	wh2_main_def_cold_one	wh2_main_vo_culture_Dark_Elves
wh2_main_def_mnt_cold_one_armoured	rp3_cold_one	wh2_main_def_cavalry_cold_one_blood	body	wh2_main_def_cold_one_armoured	wh2_main_vo_culture_Dark_Elves
wh2_main_def_mnt_cold_one_armoured_hero	rp3_cold_one	wh2_main_def_cavalry_cold_one_170_hero_blood	body	wh2_main_def_cold_one_armoured	wh2_main_vo_culture_Dark_Elves
wh2_main_def_mnt_cold_one_chariot	rp3_cold_one_draught	wh2_main_def_cold_one_chariot_draught	body	wh2_main_def_cold_one_chariot	wh2_main_vo_culture_Dark_Elves
wh2_main_def_mnt_dark_pegasus	hr1_pegasus	wh_main_flying_pegasus_hero_blood	leather	wh2_main_def_dark_pegasus	wh_main_vo_culture_Pegasus
wh2_main_def_mnt_dark_pegasus_sulephet	hr1_pegasus	wh_main_flying_pegasus_hero_blood	leather	wh2_main_def_dark_pegasus_sulephet	wh_main_vo_culture_Pegasus
wh2_main_def_mnt_dark_steed	hr1_warhorse	wh2_main_def_cavalry_fast_170_blood	plate	wh2_main_def_dark_steed	wh_main_vo_culture_Skeletal_horse
wh2_main_def_mnt_dark_steed_hero	hr1_warhorse	wh2_main_def_cavalry_fast_170_blood_hero	plate	wh2_main_def_dark_steed	wh_main_vo_culture_Skeletal_horse
wh2_main_def_mnt_steed_saddle	hr1_warhorse	wh_main_cavalry_standard_360_blood	leather	wh2_main_def_steed_saddle	wh_main_vo_culture_Horse
wh2_main_hef_mnt_barded_steed	hr1_warhorse	wh2_main_hef_mnt_barded_steed	plate	wh2_main_hef_barded_steed	wh_main_vo_culture_Horse
wh2_main_hef_mnt_barded_steed_chariot	hr1_warhorse_draught	wh2_main_hef_ithilmar_chariot_draught	plate	wh2_main_hef_barded_steed	wh_main_vo_culture_Horse
wh2_main_hef_mnt_barded_steed_hero	hr1_warhorse	wh2_main_hef_mnt_barded_steed_hero	plate	wh2_main_hef_barded_steed	wh_main_vo_culture_Horse
wh2_main_hef_mnt_dragon_princes	hr1_warhorse	wh2_main_hef_mnt_barded_steed_dragon_princes	plate	wh2_main_hef_dragon_steed	wh_main_vo_culture_Horse
wh2_main_hef_mnt_great_eagle	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	body	wh2_main_hef_great_eagle_mount	wh_main_vo_culture_Eagle
wh2_main_hef_mnt_malhandhir	hr1_warhorse	wh2_main_hef_cavalry_fast_malhandir_blood	plate	wh2_main_hef_malhandhir	wh_main_vo_culture_Horse
wh2_main_hef_mnt_moon_dragon	dr1_dragon	wh2_main_hef_mon_moon_dragon_blood	body	wh2_main_hef_moon_dragon_mount	wh_main_vo_culture_Dragon_Small
wh2_main_hef_mnt_star_dragon	dr1_dragon	wh2_main_hef_mon_star_dragon	body	wh2_main_hef_star_dragon_mount	wh_main_vo_culture_Dragon_Small
wh2_main_hef_mnt_steed	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	leather	wh2_main_hef_steed	wh_main_vo_culture_Horse
wh2_main_hef_mnt_steed_chariot	hr1_warhorse_draught	wh2_main_hef_tiranoc_chariot_draught	leather	wh2_main_hef_steed_chariot	wh_main_vo_culture_Horse
wh2_main_hef_mnt_steed_fast	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	leather	wh2_main_hef_steed	wh_main_vo_culture_Horse
wh2_main_hef_mnt_sun_dragon	dr1_dragon	wh2_main_hef_mon_sun_dragon_blood	body	wh2_main_hef_sun_dragon_mount	wh_main_vo_culture_Dragon_Small
wh2_main_lzd_mnt_bastiladon_1	hq1_bastiladon	wh2_main_lzd_mon_bastiladon_platform_healing	body	wh2_main_lzd_bastiladon_1	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_bastiladon_2	hq1_bastiladon	wh2_main_lzd_mon_bastiladon_platform	body	wh2_main_lzd_bastiladon_2	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_carnosaur	rp3b_carnosaur	wh2_main_lzd_mon_carnosaur_mount	body	wh2_main_lzd_mnt_carnosaur	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_carnosaur_grymloq	rp3b_carnosaur	wh2_main_lzd_mon_carnosaur_mount	body	wh2_main_lzd_mnt_carnosaur_grymloq	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_cold_one	rp3_cold_one	wh2_main_lzd_cavalry_cold_one_blood	body	wh2_main_lzd_cold_one	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_cold_one_blessed	rp3_cold_one	wh2_main_lzd_cavalry_cold_one_blood_blessed	body	wh2_main_lzd_cold_one	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_cold_one_hero	rp3_cold_one	wh2_main_lzd_cavalry_cold_one_hero_blood	body	wh2_main_lzd_cold_one	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_horned_one	rp3_cold_one	wh2_main_lzd_cavalry_horned_one_blood	body	wh2_main_lzd_horned_one	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_horned_one_hero	rp3_cold_one	wh2_main_lzd_cavalry_horned_one_hero_blood	body	wh2_main_lzd_horned_one	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_stegadon	hq1_stegadon	wh2_main_lzd_mon_stegadon_platform	body	wh2_main_lzd_stegadon_1	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_stegadon_ancient	hq1_stegadon	wh2_main_lzd_mon_ancient_stegadon_platform	body	wh2_main_lzd_stegadon_ancient	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_stegadon_zlaaq	hq1_stegadon	wh2_main_lzd_mon_stegadon_platform_zlaaq	body	wh2_main_lzd_stegadon_zlaaq	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_terradon	bi3_terradon	wh2_main_lzd_terradon_blood	body	wh2_main_lzd_terradon	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_terradon_blessed	bi3_terradon	wh2_main_lzd_terradon_blessed_blood	body	wh2_main_lzd_terradon	wh2_main_vo_culture_Lizardmen
wh2_main_lzd_mnt_terradon_hero	bi3_terradon	wh2_main_lzd_terradon_hero_blood	body	wh2_main_lzd_terradon	wh2_main_vo_culture_Lizardmen
wh2_main_skv_mnt_bonebreaker	hu18_rat_ogre_drill	wh2_main_skv_monster_bonebreaker	body	wh2_main_skv_rat_ogre_bonebreaker	wh2_main_vo_culture_Skaven
wh2_main_skv_mnt_great_pox_rat	rigid_root_1	wh_main_cavalry_slow_blood	body	animal_boar	wh2_main_vo_culture_Skaven
wh2_twa01_grn_mnt_arachnarok_spider_catchweb_spidershrine	sp1_arachnarok	wh_main_monster_spider_arachnarok_blood	body	wh2_twa01_grn_arachnarok_spidershrine	wh_main_vo_culture_Spider_Small
wh2_twa03_def_mnt_black_dragon_bracchus	dr1_dragon	wh2_main_def_black_dragon_blood	body	wh2_twa03_def_mnt_black_dragon_bracchus	wh_main_vo_culture_Dragon_Large
wh3_dlc20_chs_mnt_chaos_steed_chariots	hr1_chaos_steed_draught	wh3_dlc20_chs_mnt_chaos_steed_chariots	leather	wh3_dlc20_chs_chaos_steed_chariot	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_dorghar_archaon	hr1_wh3_dlc20_large_legendary_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_dorghar_archaon	leather	wh3_dlc20_chs_chaos_steed_dorghar_archaon	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_knights	hr1_wh3_dlc20_large_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_knights	plate	wh3_dlc20_chs_chaos_steed_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_lords	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_lords	plate	wh3_dlc20_chs_chaos_steed_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mkho_chariots	hr1_chaos_steed_draught	wh3_dlc20_chs_mnt_chaos_steed_mkho_chariots	leather	wh3_dlc20_chs_chaos_steed_mkho_chariot	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mkho_cultist	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mkho_cultist	plate	wh3_dlc20_chs_chaos_steed_mkho_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mkho_knights	hr1_wh3_dlc20_large_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mkho_knights	plate	wh3_dlc20_chs_chaos_steed_mkho_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mkho_lords	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mkho_lords	plate	wh3_dlc20_chs_chaos_steed_mkho_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mnur_chariots	hr1_chaos_steed_draught	wh3_dlc20_chs_mnt_chaos_steed_mnur_chariots	leather	wh3_dlc20_chs_chaos_steed_mnur_chariot	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mnur_cultist	hr1_chaos_steed	wh3_dlc20_chs_mnt_chaos_steed_mnur_cultist	plate	wh3_dlc20_chs_chaos_steed_mnur	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mnur_knights	hr1_wh3_dlc20_large_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mnur_knights	plate	wh3_dlc20_chs_chaos_steed_mnur_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mnur_lords	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mnur_lords	plate	wh3_dlc20_chs_chaos_steed_mnur_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_msla_chariots	hr1_chaos_steed_draught	wh3_dlc20_chs_mnt_chaos_steed_msla_chariots	leather	wh3_dlc20_chs_chaos_steed_msla_chariot	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_msla_cultist	hr1_chaos_steed	wh3_dlc20_chs_mnt_chaos_steed_msla_cultist	plate	wh3_dlc20_chs_chaos_steed_msla	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_msla_knights	hr1_wh3_dlc20_large_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_msla_knights	plate	wh3_dlc20_chs_chaos_steed_msla_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_msla_lords	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_msla_lords	plate	wh3_dlc20_chs_chaos_steed_msla_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mtze_chariots	hr1_chaos_steed_draught	wh3_dlc20_chs_mnt_chaos_steed_mtze_chariots	leather	wh3_dlc20_chs_chaos_steed_mtze_chariot	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mtze_cultist	hr1_chaos_steed	wh3_dlc20_chs_mnt_chaos_steed_mtze_cultist	plate	wh3_dlc20_chs_chaos_steed_mtze	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mtze_knights	hr1_wh3_dlc20_large_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mtze_knights	plate	wh3_dlc20_chs_chaos_steed_mtze_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_chaos_steed_mtze_lords	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mtze_lords	plate	wh3_dlc20_chs_chaos_steed_mtze_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_juggernaut_lord	hq4_wh3_juggernaut	wh3_main_kho_mnt_juggernaut	plate	wh3_dlc20_chs_mnt_juggernaut_lord	vo_culture_Invalid
wh3_dlc20_chs_mnt_juggernaut_skullcrusher_ror	hq4_wh3_juggernaut	wh3_main_kho_mnt_juggernaut	plate	wh3_dlc20_chs_mnt_juggernaut_skullcrusher_ror	vo_culture_Invalid
wh3_dlc20_chs_mnt_norscan_warhorse_horsemasters	hr1_wh3_dlc20_large_light_horse	wh3_dlc20_chs_mnt_norscan_warhorse_horsemasters	leather	wh3_dlc20_chs_norscan_warhorse_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_norscan_warhorse_horsemen	hr1_wh3_dlc20_large_light_horse	wh3_dlc20_chs_mnt_norscan_warhorse_horsemen	leather	wh3_dlc20_chs_norscan_warhorse_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_mnur	hr1_wh3_dlc20_large_light_horse	wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_mnur	leather	wh3_dlc20_chs_norscan_warhorse_large	wh_main_vo_culture_Horse
wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_msla	hr1_wh3_dlc20_large_light_horse	wh3_dlc20_chs_mnt_norscan_warhorse_horsemen_msla	leather	wh3_dlc20_chs_norscan_warhorse_large	wh_main_vo_culture_Horse
