key	campaign	region_group	initial_strength	percentage_chance_to_change_per_round	max_strength_level	strength_locked
wh3_main_chaos_province_gianthome_mountains	wh3_main_chaos	wh3_main_chaos_province_gianthome_mountains		5.0000	4	false
wh3_main_chaos_province_gunpowder_road	wh3_main_chaos	wh3_main_chaos_province_gunpowder_road		5.0000	4	false
wh3_main_chaos_province_helspire_mountains	wh3_main_chaos	wh3_main_chaos_province_helspire_mountains		5.0000	4	false
wh3_main_chaos_province_hochland	wh3_main_chaos	wh3_main_chaos_province_hochland		5.0000	4	false
wh3_main_chaos_province_ice_pass	wh3_main_chaos	wh3_main_chaos_province_ice_pass		5.0000	4	false
wh3_main_chaos_province_ice_tooth_mountains	wh3_main_chaos	wh3_main_chaos_province_ice_tooth_mountains	wom_strength_2	5.0000	4	false
wh3_main_chaos_province_imperial_road	wh3_main_chaos	wh3_main_chaos_province_imperial_road		5.0000	4	false
wh3_main_chaos_province_ivory_road	wh3_main_chaos	wh3_main_chaos_province_ivory_road		5.0000	4	false
wh3_main_chaos_province_kdatha	wh3_main_chaos	wh3_main_chaos_province_kdatha		5.0000	4	false
wh3_main_chaos_province_lands_of_stone_and_steel	wh3_main_chaos	wh3_main_chaos_province_lands_of_stone_and_steel		5.0000	4	false
wh3_main_chaos_province_middenland	wh3_main_chaos	wh3_main_chaos_province_middenland		5.0000	4	false
wh3_main_chaos_province_mountains_of_hel	wh3_main_chaos	wh3_main_chaos_province_mountains_of_hel		5.0000	4	false
wh3_main_chaos_province_mountains_of_mourn	wh3_main_chaos	wh3_main_chaos_province_mountains_of_mourn		5.0000	4	false
wh3_main_chaos_province_nordland	wh3_main_chaos	wh3_main_chaos_province_nordland		5.0000	4	false
wh3_main_chaos_province_northern_grey_mountains	wh3_main_chaos	wh3_main_chaos_province_northern_grey_mountains		5.0000	4	false
wh3_main_chaos_province_northern_oblast	wh3_main_chaos	wh3_main_chaos_province_northern_oblast		5.0000	4	false
wh3_main_chaos_province_northern_wastes	wh3_main_chaos	wh3_main_chaos_province_northern_wastes		5.0000	4	false
wh3_main_chaos_province_ostermark	wh3_main_chaos	wh3_main_chaos_province_ostermark		5.0000	4	false
wh3_main_chaos_province_ostland	wh3_main_chaos	wh3_main_chaos_province_ostland		5.0000	4	false
wh3_main_chaos_province_path_to_the_east	wh3_main_chaos	wh3_main_chaos_province_path_to_the_east		5.0000	4	false
wh3_main_chaos_province_peak_pass	wh3_main_chaos	wh3_main_chaos_province_peak_pass		5.0000	4	false
wh3_main_chaos_province_plain_of_bone	wh3_main_chaos	wh3_main_chaos_province_plain_of_bone		5.0000	4	false
wh3_main_chaos_province_plain_of_illusions	wh3_main_chaos	wh3_main_chaos_province_plain_of_illusions		5.0000	4	false
wh3_main_chaos_province_reikland	wh3_main_chaos	wh3_main_chaos_province_reikland		5.0000	4	false
wh3_main_chaos_province_river_lynsk	wh3_main_chaos	wh3_main_chaos_province_river_lynsk		5.0000	4	false
wh3_main_chaos_province_river_urskoy	wh3_main_chaos	wh3_main_chaos_province_river_urskoy		5.0000	4	false
wh3_main_chaos_province_road_of_skulls	wh3_main_chaos	wh3_main_chaos_province_road_of_skulls		5.0000	4	false
wh3_main_chaos_province_road_to_damnation	wh3_main_chaos	wh3_main_chaos_province_road_to_damnation	wom_strength_0	5.0000	4	false
wh3_main_chaos_province_southern_grey_mountains	wh3_main_chaos	wh3_main_chaos_province_southern_grey_mountains		5.0000	4	false
wh3_main_chaos_province_stirland	wh3_main_chaos	wh3_main_chaos_province_stirland		5.0000	4	false
wh3_main_chaos_province_sylvania	wh3_main_chaos	wh3_main_chaos_province_sylvania		5.0000	4	false
wh3_main_chaos_province_talabecland	wh3_main_chaos	wh3_main_chaos_province_talabecland		5.0000	4	false
wh3_main_chaos_province_the_blasted_wastes	wh3_main_chaos	wh3_main_chaos_province_the_blasted_wastes		5.0000	4	false
wh3_main_chaos_province_the_blood_marshes	wh3_main_chaos	wh3_main_chaos_province_the_blood_marshes		5.0000	4	false
wh3_main_chaos_province_the_cliffs_of_death	wh3_main_chaos	wh3_main_chaos_province_the_cliffs_of_death	wom_strength_2	5.0000	4	false
wh3_main_chaos_province_the_cold_mires	wh3_main_chaos	wh3_main_chaos_province_the_cold_mires		5.0000	4	false
wh3_main_chaos_province_the_cursed_city	wh3_main_chaos	wh3_main_chaos_province_the_cursed_city		5.0000	4	false
wh3_main_chaos_province_the_eternal_lagoon	wh3_main_chaos	wh3_main_chaos_province_the_eternal_lagoon		5.0000	4	false
wh3_main_chaos_province_the_goromadny	wh3_main_chaos	wh3_main_chaos_province_the_goromadny		5.0000	4	false
wh3_main_chaos_province_the_great_maw	wh3_main_chaos	wh3_main_chaos_province_the_great_maw		5.0000	4	false
wh3_main_chaos_province_the_haunted_forest	wh3_main_chaos	wh3_main_chaos_province_the_haunted_forest		5.0000	4	false
wh3_main_chaos_province_the_high_pass	wh3_main_chaos	wh3_main_chaos_province_the_high_pass		5.0000	4	false
wh3_main_chaos_province_the_howling_wastes	wh3_main_chaos	wh3_main_chaos_province_the_howling_wastes		5.0000	4	false
wh3_main_chaos_province_the_plain_of_zharr	wh3_main_chaos	wh3_main_chaos_province_the_plain_of_zharr		5.0000	4	false
wh3_main_chaos_province_the_red_wastes	wh3_main_chaos	wh3_main_chaos_province_the_red_wastes	wom_strength_1	5.0000	4	false
wh3_main_chaos_province_the_shard_lands	wh3_main_chaos	wh3_main_chaos_province_the_shard_lands	wom_strength_2	5.0000	4	false
wh3_main_chaos_province_the_wasteland	wh3_main_chaos	wh3_main_chaos_province_the_wasteland		5.0000	4	false
wh3_main_chaos_province_the_witchs_wood	wh3_main_chaos	wh3_main_chaos_province_the_witchs_wood		5.0000	4	false
wh3_main_chaos_province_the_wolf_lands	wh3_main_chaos	wh3_main_chaos_province_the_wolf_lands		5.0000	4	false
wh3_main_chaos_province_troll_country	wh3_main_chaos	wh3_main_chaos_province_troll_country		5.0000	4	false
wh3_main_chaos_province_trollheim_mountains	wh3_main_chaos	wh3_main_chaos_province_trollheim_mountains		5.0000	4	false
wh3_main_chaos_province_vanaheim_mountains	wh3_main_chaos	wh3_main_chaos_province_vanaheim_mountains		5.0000	4	false
wh3_main_chaos_province_warpstone_desert	wh3_main_chaos	wh3_main_chaos_province_warpstone_desert		5.0000	4	false
wh3_main_chaos_province_wastelands_of_jinshen	wh3_main_chaos	wh3_main_chaos_province_wastelands_of_jinshen		5.0000	4	false
wh3_main_chaos_province_western_great_bastion	wh3_main_chaos	wh3_main_chaos_province_western_great_bastion		5.0000	4	false
wh3_main_chaos_province_wissenland	wh3_main_chaos	wh3_main_chaos_province_wissenland		5.0000	4	false
wh3_main_chaos_province_worlds_edge_mountains	wh3_main_chaos	wh3_main_chaos_province_worlds_edge_mountains		5.0000	4	false
wh3_main_chaos_province_zorn_uzkul	wh3_main_chaos	wh3_main_chaos_province_zorn_uzkul		5.0000	4	false
wh3_main_chaos_realm_of_chaos	wh3_main_chaos	wh3_main_chaos_realm_of_chaos	wom_strength_5	0.0000	-1	true
wh3_main_combi_province_albion	wh3_main_combi	wh3_main_combi_province_albion		5.0000	4	false
wh3_main_combi_province_ancient_giant_lands	wh3_main_combi	wh3_main_combi_province_ancient_giant_lands		5.0000	4	false
wh3_main_combi_province_argwylon	wh3_main_combi	wh3_main_combi_province_argwylon		5.0000	4	false
wh3_main_combi_province_ashen_coast	wh3_main_combi	wh3_main_combi_province_ashen_coast		5.0000	4	false
wh3_main_combi_province_atalan_mountains	wh3_main_combi	wh3_main_combi_province_atalan_mountains		5.0000	4	false
wh3_main_combi_province_avelorn	wh3_main_combi	wh3_main_combi_province_avelorn		5.0000	4	false
wh3_main_combi_province_averland	wh3_main_combi	wh3_main_combi_province_averland		5.0000	4	false
wh3_main_combi_province_axe_bite_pass	wh3_main_combi	wh3_main_combi_province_axe_bite_pass		5.0000	4	false
wh3_main_combi_province_aymara_swamps	wh3_main_combi	wh3_main_combi_province_aymara_swamps		5.0000	4	false
wh3_main_combi_province_barrier_idols	wh3_main_combi	wh3_main_combi_province_barrier_idols		5.0000	4	false
wh3_main_combi_province_barrows_of_cuileux	wh3_main_combi	wh3_main_combi_province_barrows_of_cuileux		5.0000	4	false
wh3_main_combi_province_bastonne	wh3_main_combi	wh3_main_combi_province_bastonne		5.0000	4	false
wh3_main_combi_province_black_blood_pass	wh3_main_combi	wh3_main_combi_province_black_blood_pass		5.0000	4	false
wh3_main_combi_province_black_mountains	wh3_main_combi	wh3_main_combi_province_black_mountains		5.0000	4	false
wh3_main_combi_province_black_water	wh3_main_combi	wh3_main_combi_province_black_water		5.0000	4	false
wh3_main_combi_province_blightwater	wh3_main_combi	wh3_main_combi_province_blightwater		5.0000	4	false
wh3_main_combi_province_blood_river_valley	wh3_main_combi	wh3_main_combi_province_blood_river_valley		5.0000	4	false
wh3_main_combi_province_bloodfire_falls	wh3_main_combi	wh3_main_combi_province_bloodfire_falls		5.0000	4	false
wh3_main_combi_province_bone_road	wh3_main_combi	wh3_main_combi_province_bone_road		5.0000	4	false
wh3_main_combi_province_broken_lands_of_tian_li	wh3_main_combi	wh3_main_combi_province_broken_lands_of_tian_li		5.0000	4	false
wh3_main_combi_province_broken_teeth	wh3_main_combi	wh3_main_combi_province_broken_teeth		5.0000	4	false
wh3_main_combi_province_caledor	wh3_main_combi	wh3_main_combi_province_caledor		5.0000	4	false
wh3_main_combi_province_carcassonne	wh3_main_combi	wh3_main_combi_province_carcassonne		5.0000	4	false
wh3_main_combi_province_cathayan_hinterlands	wh3_main_combi	wh3_main_combi_province_cathayan_hinterlands		5.0000	4	false
wh3_main_combi_province_celestial_lake	wh3_main_combi	wh3_main_combi_province_celestial_lake		5.0000	4	false
wh3_main_combi_province_celestial_riverlands	wh3_main_combi	wh3_main_combi_province_celestial_riverlands		5.0000	4	false
wh3_main_combi_province_central_great_bastion	wh3_main_combi	wh3_main_combi_province_central_great_bastion		5.0000	4	false
wh3_main_combi_province_central_jungles	wh3_main_combi	wh3_main_combi_province_central_jungles		5.0000	4	false
wh3_main_combi_province_chimera_plateau	wh3_main_combi	wh3_main_combi_province_chimera_plateau		5.0000	4	false
wh3_main_combi_province_chrace	wh3_main_combi	wh3_main_combi_province_chrace		5.0000	4	false
wh3_main_combi_province_coast_of_araby	wh3_main_combi	wh3_main_combi_province_coast_of_araby		5.0000	4	false
wh3_main_combi_province_coast_of_lyonesse	wh3_main_combi	wh3_main_combi_province_coast_of_lyonesse		5.0000	4	false
wh3_main_combi_province_copper_desert	wh3_main_combi	wh3_main_combi_province_copper_desert		5.0000	4	false
wh3_main_combi_province_cothique	wh3_main_combi	wh3_main_combi_province_cothique		5.0000	4	false
wh3_main_combi_province_crater_of_the_waking_dead	wh3_main_combi	wh3_main_combi_province_crater_of_the_waking_dead		5.0000	4	false
wh3_main_combi_province_culchan_plains	wh3_main_combi	wh3_main_combi_province_culchan_plains		5.0000	4	false
wh3_main_combi_province_dawns_landing	wh3_main_combi	wh3_main_combi_province_dawns_landing		5.0000	4	false
wh3_main_combi_province_deadrock_gap	wh3_main_combi	wh3_main_combi_province_deadrock_gap		5.0000	4	false
wh3_main_combi_province_deadwood	wh3_main_combi	wh3_main_combi_province_deadwood		5.0000	4	false
wh3_main_combi_province_death_pass	wh3_main_combi	wh3_main_combi_province_death_pass		5.0000	4	false
wh3_main_combi_province_devils_backbone	wh3_main_combi	wh3_main_combi_province_devils_backbone		5.0000	4	false
wh3_main_combi_province_doom_glades	wh3_main_combi	wh3_main_combi_province_doom_glades		5.0000	4	false
wh3_main_combi_province_eagle_gate	wh3_main_combi	wh3_main_combi_province_eagle_gate		5.0000	4	false
wh3_main_combi_province_eastern_badlands	wh3_main_combi	wh3_main_combi_province_eastern_badlands		5.0000	4	false
wh3_main_combi_province_eastern_border_princes	wh3_main_combi	wh3_main_combi_province_eastern_border_princes		5.0000	4	false
wh3_main_combi_province_eastern_colonies	wh3_main_combi	wh3_main_combi_province_eastern_colonies		5.0000	4	false
wh3_main_combi_province_eastern_great_bastion	wh3_main_combi	wh3_main_combi_province_eastern_great_bastion		5.0000	4	false
wh3_main_combi_province_eastern_oblast	wh3_main_combi	wh3_main_combi_province_eastern_oblast		5.0000	4	false
wh3_main_combi_province_eastern_steppes	wh3_main_combi	wh3_main_combi_province_eastern_steppes		5.0000	4	false
wh3_main_combi_province_eataine	wh3_main_combi	wh3_main_combi_province_eataine		5.0000	4	false
wh3_main_combi_province_eight_peaks	wh3_main_combi	wh3_main_combi_province_eight_peaks		5.0000	4	false
wh3_main_combi_province_ellyrion	wh3_main_combi	wh3_main_combi_province_ellyrion		5.0000	4	false
wh3_main_combi_province_estalia	wh3_main_combi	wh3_main_combi_province_estalia		5.0000	4	false
wh3_main_combi_province_forest_of_arden	wh3_main_combi	wh3_main_combi_province_forest_of_arden		5.0000	4	false
wh3_main_combi_province_forest_of_chalons	wh3_main_combi	wh3_main_combi_province_forest_of_chalons		5.0000	4	false
wh3_main_combi_province_forest_of_gloom	wh3_main_combi	wh3_main_combi_province_forest_of_gloom		5.0000	4	false
wh3_main_combi_province_forests_of_the_moon	wh3_main_combi	wh3_main_combi_province_forests_of_the_moon		5.0000	4	false
wh3_main_combi_province_gash_kadrak	wh3_main_combi	wh3_main_combi_province_gash_kadrak		5.0000	4	false
wh3_main_combi_province_gianthome_mountains	wh3_main_combi	wh3_main_combi_province_gianthome_mountains		5.0000	4	false
wh3_main_combi_province_gisoreux_gap	wh3_main_combi	wh3_main_combi_province_gisoreux_gap		5.0000	4	false
wh3_main_combi_province_gnoblar_country	wh3_main_combi	wh3_main_combi_province_gnoblar_country		5.0000	4	false
wh3_main_combi_province_goromadny_mountains	wh3_main_combi	wh3_main_combi_province_goromadny_mountains		5.0000	4	false
wh3_main_combi_province_granite_hills	wh3_main_combi	wh3_main_combi_province_granite_hills		5.0000	4	false
wh3_main_combi_province_great_desert_of_araby	wh3_main_combi	wh3_main_combi_province_great_desert_of_araby		5.0000	4	false
wh3_main_combi_province_great_mortis_delta	wh3_main_combi	wh3_main_combi_province_great_mortis_delta		5.0000	4	false
wh3_main_combi_province_griffon_gate	wh3_main_combi	wh3_main_combi_province_griffon_gate		5.0000	4	false
wh3_main_combi_province_gryphon_wood	wh3_main_combi	wh3_main_combi_province_gryphon_wood		5.0000	4	false
wh3_main_combi_province_gunpowder_road	wh3_main_combi	wh3_main_combi_province_gunpowder_road		5.0000	4	false
wh3_main_combi_province_headhunters_jungle	wh3_main_combi	wh3_main_combi_province_headhunters_jungle		5.0000	4	false
wh3_main_combi_province_heart_of_the_jungle	wh3_main_combi	wh3_main_combi_province_heart_of_the_jungle		5.0000	4	false
wh3_main_combi_province_helspire_mountains	wh3_main_combi	wh3_main_combi_province_helspire_mountains		5.0000	4	false
wh3_main_combi_province_hochland	wh3_main_combi	wh3_main_combi_province_hochland		5.0000	4	false
wh3_main_combi_province_ice_tooth_mountains	wh3_main_combi	wh3_main_combi_province_ice_tooth_mountains		5.0000	4	false
wh3_main_combi_province_imperial_road	wh3_main_combi	wh3_main_combi_province_imperial_road		5.0000	4	false
wh3_main_combi_province_iron_coast	wh3_main_combi	wh3_main_combi_province_iron_coast		5.0000	4	false
wh3_main_combi_province_iron_foothills	wh3_main_combi	wh3_main_combi_province_iron_foothills		5.0000	4	false
wh3_main_combi_province_iron_mountains	wh3_main_combi	wh3_main_combi_province_iron_mountains		5.0000	4	false
wh3_main_combi_province_ironfrost_glacier	wh3_main_combi	wh3_main_combi_province_ironfrost_glacier		5.0000	4	false
wh3_main_combi_province_ironsand_desert	wh3_main_combi	wh3_main_combi_province_ironsand_desert		5.0000	4	false
wh3_main_combi_province_irrana_mountains	wh3_main_combi	wh3_main_combi_province_irrana_mountains		5.0000	4	false
wh3_main_combi_province_isthmus_of_lustria	wh3_main_combi	wh3_main_combi_province_isthmus_of_lustria		5.0000	4	false
wh3_main_combi_province_ivory_road	wh3_main_combi	wh3_main_combi_province_ivory_road		5.0000	4	false
wh3_main_combi_province_jade_river_delta	wh3_main_combi	wh3_main_combi_province_jade_river_delta		5.0000	4	false
wh3_main_combi_province_jungles_of_chian	wh3_main_combi	wh3_main_combi_province_jungles_of_chian		5.0000	4	false
wh3_main_combi_province_jungles_of_green_mist	wh3_main_combi	wh3_main_combi_province_jungles_of_green_mist		5.0000	4	false
wh3_main_combi_province_jungles_of_pahualaxa	wh3_main_combi	wh3_main_combi_province_jungles_of_pahualaxa		5.0000	4	false
wh3_main_combi_province_kdatha	wh3_main_combi	wh3_main_combi_province_kdatha		5.0000	4	false
wh3_main_combi_province_kingdom_of_beasts	wh3_main_combi	wh3_main_combi_province_kingdom_of_beasts		5.0000	4	false
wh3_main_combi_province_land_of_assassins	wh3_main_combi	wh3_main_combi_province_land_of_assassins		5.0000	4	false
wh3_main_combi_province_land_of_the_dead	wh3_main_combi	wh3_main_combi_province_land_of_the_dead		5.0000	4	false
wh3_main_combi_province_land_of_the_dervishes	wh3_main_combi	wh3_main_combi_province_land_of_the_dervishes		5.0000	4	false
wh3_main_combi_province_lands_of_stone_and_steel	wh3_main_combi	wh3_main_combi_province_lands_of_stone_and_steel		5.0000	4	false
wh3_main_combi_province_marches_of_couronne	wh3_main_combi	wh3_main_combi_province_marches_of_couronne		5.0000	4	false
wh3_main_combi_province_marshes_of_madness	wh3_main_combi	wh3_main_combi_province_marshes_of_madness		5.0000	4	false
wh3_main_combi_province_middenland	wh3_main_combi	wh3_main_combi_province_middenland		5.0000	4	false
wh3_main_combi_province_mootland	wh3_main_combi	wh3_main_combi_province_mootland		5.0000	4	false
wh3_main_combi_province_mosquito_swamps	wh3_main_combi	wh3_main_combi_province_mosquito_swamps		5.0000	4	false
wh3_main_combi_province_mount_li	wh3_main_combi	wh3_main_combi_province_mount_li		5.0000	4	false
wh3_main_combi_province_mountains_end	wh3_main_combi	wh3_main_combi_province_mountains_end		5.0000	4	false
wh3_main_combi_province_mountains_of_hel	wh3_main_combi	wh3_main_combi_province_mountains_of_hel		5.0000	4	false
wh3_main_combi_province_mountains_of_mourn	wh3_main_combi	wh3_main_combi_province_mountains_of_mourn		5.0000	4	false
wh3_main_combi_province_mountains_of_naglfari	wh3_main_combi	wh3_main_combi_province_mountains_of_naglfari		5.0000	4	false
wh3_main_combi_province_mouth_of_ruin	wh3_main_combi	wh3_main_combi_province_mouth_of_ruin		5.0000	4	false
wh3_main_combi_province_nagarythe	wh3_main_combi	wh3_main_combi_province_nagarythe		5.0000	4	false
wh3_main_combi_province_nongchang_basin	wh3_main_combi	wh3_main_combi_province_nongchang_basin		5.0000	4	false
wh3_main_combi_province_nordland	wh3_main_combi	wh3_main_combi_province_nordland		5.0000	4	false
wh3_main_combi_province_northern_grey_mountains	wh3_main_combi	wh3_main_combi_province_northern_grey_mountains		5.0000	4	false
wh3_main_combi_province_northern_sylvania	wh3_main_combi	wh3_main_combi_province_northern_sylvania		5.0000	4	false
wh3_main_combi_province_northern_wastes	wh3_main_combi	wh3_main_combi_province_northern_wastes		5.0000	4	false
wh3_main_combi_province_northern_worlds_edge_mountains	wh3_main_combi	wh3_main_combi_province_northern_worlds_edge_mountains		5.0000	4	false
wh3_main_combi_province_northern_yvresse	wh3_main_combi	wh3_main_combi_province_northern_yvresse		5.0000	4	false
wh3_main_combi_province_obsidian_peaks	wh3_main_combi	wh3_main_combi_province_obsidian_peaks		5.0000	4	false
wh3_main_combi_province_ostermark	wh3_main_combi	wh3_main_combi_province_ostermark		5.0000	4	false
wh3_main_combi_province_ostland	wh3_main_combi	wh3_main_combi_province_ostland		5.0000	4	false
wh3_main_combi_province_path_to_the_east	wh3_main_combi	wh3_main_combi_province_path_to_the_east		5.0000	4	false
wh3_main_combi_province_peak_pass	wh3_main_combi	wh3_main_combi_province_peak_pass		5.0000	4	false
wh3_main_combi_province_phoenix_gate	wh3_main_combi	wh3_main_combi_province_phoenix_gate		5.0000	4	false
wh3_main_combi_province_pirates_current	wh3_main_combi	wh3_main_combi_province_pirates_current		5.0000	4	false
wh3_main_combi_province_plain_of_illusions	wh3_main_combi	wh3_main_combi_province_plain_of_illusions		5.0000	4	false
wh3_main_combi_province_plains_of_xen	wh3_main_combi	wh3_main_combi_province_plains_of_xen		5.0000	4	false
wh3_main_combi_province_red_desert	wh3_main_combi	wh3_main_combi_province_red_desert		5.0000	4	false
wh3_main_combi_province_reikland	wh3_main_combi	wh3_main_combi_province_reikland		5.0000	4	false
wh3_main_combi_province_rib_peaks	wh3_main_combi	wh3_main_combi_province_rib_peaks		5.0000	4	false
wh3_main_combi_province_river_brienne	wh3_main_combi	wh3_main_combi_province_river_brienne		5.0000	4	false
wh3_main_combi_province_river_lynsk	wh3_main_combi	wh3_main_combi_province_river_lynsk		5.0000	4	false
wh3_main_combi_province_river_qurveza	wh3_main_combi	wh3_main_combi_province_river_qurveza		5.0000	4	false
wh3_main_combi_province_river_urskoy	wh3_main_combi	wh3_main_combi_province_river_urskoy		5.0000	4	false
wh3_main_combi_province_saphery	wh3_main_combi	wh3_main_combi_province_saphery		5.0000	4	false
wh3_main_combi_province_scorpion_coast	wh3_main_combi	wh3_main_combi_province_scorpion_coast		5.0000	4	false
wh3_main_combi_province_serpent_estuary	wh3_main_combi	wh3_main_combi_province_serpent_estuary		5.0000	4	false
wh3_main_combi_province_shifting_sands	wh3_main_combi	wh3_main_combi_province_shifting_sands		5.0000	4	false
wh3_main_combi_province_solland	wh3_main_combi	wh3_main_combi_province_solland		5.0000	4	false
wh3_main_combi_province_southern_badlands	wh3_main_combi	wh3_main_combi_province_southern_badlands		5.0000	4	false
wh3_main_combi_province_southern_grey_mountains	wh3_main_combi	wh3_main_combi_province_southern_grey_mountains		5.0000	4	false
wh3_main_combi_province_southern_jungles	wh3_main_combi	wh3_main_combi_province_southern_jungles		5.0000	4	false
wh3_main_combi_province_southern_oblast	wh3_main_combi	wh3_main_combi_province_southern_oblast		5.0000	4	false
wh3_main_combi_province_southern_sylvania	wh3_main_combi	wh3_main_combi_province_southern_sylvania		5.0000	4	false
wh3_main_combi_province_southern_worlds_edge_mountains	wh3_main_combi	wh3_main_combi_province_southern_worlds_edge_mountains		5.0000	4	false
wh3_main_combi_province_southern_yvresse	wh3_main_combi	wh3_main_combi_province_southern_yvresse		5.0000	4	false
wh3_main_combi_province_southlands_worlds_edge_mountains	wh3_main_combi	wh3_main_combi_province_southlands_worlds_edge_mountains		5.0000	4	false
wh3_main_combi_province_spine_of_sotek	wh3_main_combi	wh3_main_combi_province_spine_of_sotek		5.0000	4	false
wh3_main_combi_province_spiteful_peaks	wh3_main_combi	wh3_main_combi_province_spiteful_peaks		5.0000	4	false
wh3_main_combi_province_stirland	wh3_main_combi	wh3_main_combi_province_stirland		5.0000	4	false
wh3_main_combi_province_stonesky_foothills	wh3_main_combi	wh3_main_combi_province_stonesky_foothills		5.0000	4	false
wh3_main_combi_province_talabecland	wh3_main_combi	wh3_main_combi_province_talabecland		5.0000	4	false
wh3_main_combi_province_talsyn	wh3_main_combi	wh3_main_combi_province_talsyn		5.0000	4	false
wh3_main_combi_province_the_abyssal_glacier	wh3_main_combi	wh3_main_combi_province_the_abyssal_glacier		5.0000	4	false
wh3_main_combi_province_the_black_flood	wh3_main_combi	wh3_main_combi_province_the_black_flood		5.0000	4	false
wh3_main_combi_province_the_blasted_wastes	wh3_main_combi	wh3_main_combi_province_the_blasted_wastes		5.0000	4	false
wh3_main_combi_province_the_bleak_coast	wh3_main_combi	wh3_main_combi_province_the_bleak_coast		5.0000	4	false
wh3_main_combi_province_the_blighted_marshes	wh3_main_combi	wh3_main_combi_province_the_blighted_marshes		5.0000	4	false
wh3_main_combi_province_the_blood_marshes	wh3_main_combi	wh3_main_combi_province_the_blood_marshes		5.0000	4	false
wh3_main_combi_province_the_broken_lands	wh3_main_combi	wh3_main_combi_province_the_broken_lands		5.0000	4	false
wh3_main_combi_province_the_capes	wh3_main_combi	wh3_main_combi_province_the_capes		5.0000	4	false
wh3_main_combi_province_the_clawed_coast	wh3_main_combi	wh3_main_combi_province_the_clawed_coast		5.0000	4	false
wh3_main_combi_province_the_cold_mires	wh3_main_combi	wh3_main_combi_province_the_cold_mires		5.0000	4	false
wh3_main_combi_province_the_cracked_land	wh3_main_combi	wh3_main_combi_province_the_cracked_land		5.0000	4	false
wh3_main_combi_province_the_creeping_jungle	wh3_main_combi	wh3_main_combi_province_the_creeping_jungle		5.0000	4	false
