special_ability_groups	unit_special_abilities
wh2_dlc16_lore_spellweaver_dark	wh2_dlc16_lore_passive_wrath_of_the_wood
wh2_dlc16_lore_spellweaver_dark	wh2_main_spell_dark_magic_bladewind
wh2_dlc16_lore_spellweaver_dark	wh2_main_spell_dark_magic_chillwind
wh2_dlc16_lore_spellweaver_dark	wh2_main_spell_dark_magic_doombolt
wh2_dlc16_lore_spellweaver_dark	wh2_main_spell_dark_magic_power_of_darkness
wh2_dlc16_lore_spellweaver_dark	wh2_main_spell_dark_magic_soul_stealer
wh2_dlc16_lore_spellweaver_dark	wh2_main_spell_dark_magic_word_of_pain
wh2_dlc16_lore_spellweaver_high	wh2_dlc16_lore_passive_ancients_protection
wh2_dlc16_lore_spellweaver_high	wh2_main_spell_high_magic_apotheosis
wh2_dlc16_lore_spellweaver_high	wh2_main_spell_high_magic_arcane_unforging
wh2_dlc16_lore_spellweaver_high	wh2_main_spell_high_magic_fiery_convocation
wh2_dlc16_lore_spellweaver_high	wh2_main_spell_high_magic_hand_of_glory
wh2_dlc16_lore_spellweaver_high	wh2_main_spell_high_magic_soul_quench
wh2_dlc16_lore_spellweaver_high	wh2_main_spell_high_magic_tempest
wh2_dlc17_lore_malagor	wh_dlc03_lore_passive_bestial_surge
wh2_dlc17_lore_malagor	wh_dlc03_lore_passive_wild_heart
wh2_dlc17_lore_malagor	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc17_lore_malagor	wh_dlc03_spell_wild_mantle_of_ghorok
wh2_dlc17_lore_malagor	wh_dlc03_spell_wild_savage_dominion
wh2_dlc17_lore_malagor	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_dlc17_lore_malagor	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh2_dlc17_lore_malagor	wh_main_spell_death_doom_and_darkness
wh2_dlc17_lore_oracle	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc17_lore_oracle	wh_dlc03_spell_beasts_wyssans_wildform
wh2_dlc17_lore_oracle	wh_dlc05_spell_life_earth_blood
wh2_dlc17_lore_oracle	wh_main_spell_fire_fireball
wh2_dlc17_lore_oracle	wh_main_spell_heavens_harmonic_convergence
wh2_dlc17_lore_oracle	wh_main_spell_heavens_wind_blast
wh2_dlc17_lore_rune	wh2_dlc17_rune_abilities_rune_of_breaking
wh2_dlc17_lore_rune	wh2_dlc17_rune_abilities_rune_of_slowness
wh2_dlc17_lore_rune	wh2_dlc17_rune_abilities_rune_of_speed
wh2_dlc17_lore_rune	wh_main_rune_abilities_rune_of_negation
wh2_dlc17_lore_rune	wh_main_rune_abilities_rune_of_oath_and_steel
wh2_dlc17_lore_rune	wh_main_rune_abilities_rune_of_wrath_and_ruin
wh2_main_lore_dark_magic_upgraded	wh2_main_spell_dark_magic_bladewind_upgraded
wh2_main_lore_dark_magic_upgraded	wh2_main_spell_dark_magic_chillwind_upgraded
wh2_main_lore_dark_magic_upgraded	wh2_main_spell_dark_magic_doombolt_upgraded
wh2_main_lore_dark_magic_upgraded	wh2_main_spell_dark_magic_word_of_pain_upgraded
wh2_main_lore_dark_magic	wh2_main_lore_passive_spiteful_conjuration
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_bladewind
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_chillwind
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_doombolt
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_soul_stealer
wh2_main_lore_dark_magic	wh2_main_spell_dark_magic_word_of_pain
wh2_main_lore_grey_seer_plague	wh2_main_lore_passive_plague_rash
wh2_main_lore_grey_seer_plague	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_bless_with_filth
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_pestilent_breath
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_plague
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_vermintide
wh2_main_lore_grey_seer_plague	wh2_main_spell_plague_wither
wh2_main_lore_grey_seer_ruin	wh2_main_lore_passive_musk_of_fear
wh2_main_lore_grey_seer_ruin	wh2_main_spell_grey_seer_the_dreaded_thirteenth_spell
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_cracks_call
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_death_frenzy
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_howling_warpgale
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_scorch
wh2_main_lore_grey_seer_ruin	wh2_main_spell_ruin_warp_lightning
wh2_main_lore_high_magic_upgraded	wh2_main_spell_high_magic_apotheosis_upgraded
wh2_main_lore_high_magic_upgraded	wh2_main_spell_high_magic_arcane_unforging_upgraded
wh2_main_lore_high_magic_upgraded	wh2_main_spell_high_magic_fiery_convocation_upgraded
wh2_main_lore_high_magic_upgraded	wh2_main_spell_high_magic_hand_of_glory_upgraded
wh2_main_lore_high_magic_upgraded	wh2_main_spell_high_magic_soul_quench_upgraded
wh2_main_lore_high_magic_upgraded	wh2_main_spell_high_magic_tempest_upgraded
wh2_main_lore_high_magic	wh2_main_lore_passive_shield_of_saphery
wh2_main_lore_high_magic	wh2_main_spell_high_magic_apotheosis
wh2_main_lore_high_magic	wh2_main_spell_high_magic_arcane_unforging
wh2_main_lore_high_magic	wh2_main_spell_high_magic_fiery_convocation
wh2_main_lore_high_magic	wh2_main_spell_high_magic_hand_of_glory
wh2_main_lore_high_magic	wh2_main_spell_high_magic_soul_quench
wh2_main_lore_high_magic	wh2_main_spell_high_magic_tempest
wh2_main_lore_loremaster	wh_dlc03_spell_beasts_wyssans_wildform
wh2_main_lore_loremaster	wh_dlc05_spell_life_earth_blood
wh2_main_lore_loremaster	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_lore_loremaster	wh_main_spell_death_spirit_leech
wh2_main_lore_loremaster	wh_main_spell_heavens_harmonic_convergence
wh2_main_lore_loremaster	wh_main_spell_light_shems_burning_gaze
wh2_main_lore_morathi	wh2_main_lore_passive_spiteful_conjuration
wh2_main_lore_morathi	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_lore_morathi	wh2_main_spell_dark_magic_soul_stealer
wh2_main_lore_morathi	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_lore_morathi	wh_dlc05_spell_shadow_pit_of_shades
wh2_main_lore_morathi	wh_main_lore_passive_life_leeching
wh2_main_lore_morathi	wh_main_spell_death_doom_and_darkness
wh2_main_lore_morathi	wh_main_spell_death_soulblight
wh2_main_lore_plague_upgraded	wh2_main_spell_plague_bless_with_filth_upgraded
wh2_main_lore_plague_upgraded	wh2_main_spell_plague_pestilent_breath_upgraded
wh2_main_lore_plague_upgraded	wh2_main_spell_plague_plague_upgraded
wh2_main_lore_plague_upgraded	wh2_main_spell_plague_wither_upgraded
wh2_main_lore_plague	wh2_main_lore_passive_plague_rash
wh2_main_lore_plague	wh2_main_spell_plague_bless_with_filth
wh2_main_lore_plague	wh2_main_spell_plague_pestilent_birth
wh2_main_lore_plague	wh2_main_spell_plague_pestilent_breath
wh2_main_lore_plague	wh2_main_spell_plague_plague
wh2_main_lore_plague	wh2_main_spell_plague_vermintide
wh2_main_lore_plague	wh2_main_spell_plague_wither
wh2_main_lore_ruin_upgraded	wh2_dlc14_spell_ruin_flensing_ruin_upgraded
wh2_main_lore_ruin_upgraded	wh2_main_spell_ruin_cracks_call_upgraded
wh2_main_lore_ruin_upgraded	wh2_main_spell_ruin_death_frenzy_upgraded
wh2_main_lore_ruin_upgraded	wh2_main_spell_ruin_howling_warpgale_upgraded
wh2_main_lore_ruin_upgraded	wh2_main_spell_ruin_scorch_upgraded
wh2_main_lore_ruin_upgraded	wh2_main_spell_ruin_warp_lightning_upgraded
wh2_main_lore_ruin	wh2_dlc14_spell_ruin_flensing_ruin
wh2_main_lore_ruin	wh2_main_lore_passive_musk_of_fear
wh2_main_lore_ruin	wh2_main_spell_ruin_cracks_call
wh2_main_lore_ruin	wh2_main_spell_ruin_death_frenzy
wh2_main_lore_ruin	wh2_main_spell_ruin_howling_warpgale
wh2_main_lore_ruin	wh2_main_spell_ruin_scorch
wh2_main_lore_ruin	wh2_main_spell_ruin_warp_lightning
wh2_main_lore_skink_priest_avatar	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_main_lore_skink_priest_avatar	wh_main_spell_heavens_comet_of_casandora
wh2_main_lore_skink_priest_avatar	wh_main_spell_heavens_wind_blast
wh2_main_lore_slann_generic	wh2_main_spell_high_magic_soul_quench
wh2_main_lore_slann_generic	wh2_main_spell_high_magic_tempest
wh2_main_lore_slann_generic	wh_main_lore_passive_roiling_skies
wh2_main_lore_slann_generic	wh_main_spell_heavens_chain_lightning
wh2_main_lore_slann_generic	wh_main_spell_heavens_wind_blast
wh2_main_lore_slann_generic	wh_main_spell_light_bironas_timewarp
wh2_main_lore_slann_generic	wh_main_spell_light_phas_protection
wh2_main_lore_slann	wh2_main_spell_high_magic_apotheosis
wh2_main_lore_slann	wh2_main_spell_high_magic_arcane_unforging
wh2_main_lore_slann	wh_main_lore_passive_roiling_skies
wh2_main_lore_slann	wh_main_spell_heavens_comet_of_casandora
wh2_main_lore_slann	wh_main_spell_heavens_curse_of_the_midnight_wind
wh2_main_lore_slann	wh_main_spell_heavens_harmonic_convergence
wh2_main_lore_slann	wh_main_spell_light_net_of_amyntok
wh2_main_lore_teclis	wh2_main_lore_passive_shield_of_saphery
wh2_main_lore_teclis	wh_dlc03_lore_passive_wild_heart
wh2_main_lore_teclis	wh_dlc03_spell_beasts_flock_of_doom
wh2_main_lore_teclis	wh_dlc05_spell_life_regrowth
wh2_main_lore_teclis	wh_dlc05_spell_shadow_the_enfeebling_foe
wh2_main_lore_teclis	wh_main_lore_passive_kindleflame
wh2_main_lore_teclis	wh_main_spell_fire_flaming_sword_of_rhuin
wh2_main_lore_teclis	wh_main_spell_heavens_chain_lightning
wh2_main_lore_teclis	wh_main_spell_light_net_of_amyntok
wh3_dlc20_lore_archaon	wh_main_lore_passive_kindleflame
wh3_dlc20_lore_archaon	wh_main_spell_death_spirit_leech
wh3_dlc20_lore_archaon	wh_main_spell_death_the_purple_sun_of_xereus
wh3_dlc20_lore_archaon	wh_main_spell_fire_flaming_sword_of_rhuin
wh3_dlc20_lore_archaon	wh_main_spell_fire_the_burning_head
wh3_dlc20_lore_archaon	wh_main_spell_metal_searing_doom
wh3_dlc20_lore_archaon	wh_main_spell_metal_transmutation_of_lead
wh3_dlc20_lore_daemon_prince_mnur	wh3_main_lore_passive_children_of_nurgle
wh3_dlc20_lore_daemon_prince_mnur	wh3_main_spell_nurgle_curse_of_the_leper
wh3_dlc20_lore_daemon_prince_mnur	wh3_main_spell_nurgle_fleshy_abundance
wh3_dlc20_lore_daemon_prince_mnur	wh3_main_spell_nurgle_miasma_of_pestilence
wh3_dlc20_lore_daemon_prince_mnur	wh_main_spell_death_soulblight
wh3_dlc20_lore_daemon_prince_mnur	wh_main_spell_death_spirit_leech
wh3_dlc20_lore_daemon_prince_mnur	wh_main_spell_death_the_fate_of_bjuna
wh3_dlc20_lore_daemon_prince_msla	wh3_main_lore_passive_blissful_rapture
wh3_dlc20_lore_daemon_prince_msla	wh3_main_spell_slaanesh_lash_of_slaanesh
wh3_dlc20_lore_daemon_prince_msla	wh3_main_spell_slaanesh_pavane_of_slaanesh
wh3_dlc20_lore_daemon_prince_msla	wh3_main_spell_slaanesh_phantasmagoria
wh3_dlc20_lore_daemon_prince_msla	wh_dlc05_spell_shadow_pit_of_shades
wh3_dlc20_lore_daemon_prince_msla	wh_dlc05_spell_shadow_the_enfeebling_foe
wh3_dlc20_lore_daemon_prince_msla	wh_dlc05_spell_shadow_the_withering
wh3_dlc20_lore_daemon_prince_mtze	wh3_main_lore_passive_fires_of_change
wh3_dlc20_lore_daemon_prince_mtze	wh3_main_spell_tzeentch_blue_fire_of_tzeentch
wh3_dlc20_lore_daemon_prince_mtze	wh3_main_spell_tzeentch_infernal_gateway
wh3_dlc20_lore_daemon_prince_mtze	wh3_main_spell_tzeentch_treason_of_tzeentch
wh3_dlc20_lore_daemon_prince_mtze	wh_main_spell_metal_gehennas_golden_hounds
wh3_dlc20_lore_daemon_prince_mtze	wh_main_spell_metal_plague_of_rust
wh3_dlc20_lore_daemon_prince_mtze	wh_main_spell_metal_transmutation_of_lead
wh3_dlc23_lore_astragoth	wh3_dlc23_lore_passive_killing_fire
wh3_dlc23_lore_astragoth	wh3_dlc23_spell_hashut_ash_storm
wh3_dlc23_lore_astragoth	wh3_dlc23_spell_hashut_burning_wrath
wh3_dlc23_lore_astragoth	wh3_dlc23_spell_hashut_hell_hammer
wh3_dlc23_lore_astragoth	wh_main_lore_passive_kindleflame
wh3_dlc23_lore_astragoth	wh_main_spell_fire_cascading_fire_cloak
wh3_dlc23_lore_astragoth	wh_main_spell_fire_flame_storm
wh3_dlc23_lore_astragoth	wh_main_spell_fire_flaming_sword_of_rhuin
wh3_dlc23_lore_hashut_upgraded	wh3_dlc23_spell_hashut_ash_storm_upgraded
wh3_dlc23_lore_hashut_upgraded	wh3_dlc23_spell_hashut_burning_wrath_upgraded
wh3_dlc23_lore_hashut_upgraded	wh3_dlc23_spell_hashut_curse_of_hashut_upgraded
wh3_dlc23_lore_hashut_upgraded	wh3_dlc23_spell_hashut_dark_subjugation_upgraded
wh3_dlc23_lore_hashut_upgraded	wh3_dlc23_spell_hashut_flames_of_azgorh_upgraded
wh3_dlc23_lore_hashut_upgraded	wh3_dlc23_spell_hashut_hell_hammer_upgraded
wh3_dlc23_lore_hashut	wh3_dlc23_lore_passive_killing_fire
wh3_dlc23_lore_hashut	wh3_dlc23_spell_hashut_ash_storm
wh3_dlc23_lore_hashut	wh3_dlc23_spell_hashut_burning_wrath
wh3_dlc23_lore_hashut	wh3_dlc23_spell_hashut_curse_of_hashut
wh3_dlc23_lore_hashut	wh3_dlc23_spell_hashut_dark_subjugation
wh3_dlc23_lore_hashut	wh3_dlc23_spell_hashut_flames_of_azgorh
wh3_dlc23_lore_hashut	wh3_dlc23_spell_hashut_hell_hammer
wh3_main_cataclysm_spells	wh3_main_ascendant_beasts_acendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_death_acendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_fire_acendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_heavens_acendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_life_ascendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_light_acendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_metal_acendancy
wh3_main_cataclysm_spells	wh3_main_ascendant_shadow_acendancy
wh3_main_cataclysm_spells	wh3_main_cataclysm_beasts_merciws_monstrous_regiment
wh3_main_cataclysm_spells	wh3_main_cataclysm_death_ashes_and_dust
wh3_main_cataclysm_spells	wh3_main_cataclysm_fire_magma_storm
wh3_main_cataclysm_spells	wh3_main_cataclysm_heavens_thorsens_thunderstorm
wh3_main_cataclysm_spells	wh3_main_cataclysm_life_storm_of_renewal
wh3_main_cataclysm_spells	wh3_main_cataclysm_light_time_amok
wh3_main_cataclysm_spells	wh3_main_cataclysm_metal_gehennas_golden_globe
wh3_main_cataclysm_spells	wh3_main_cataclysm_shadow_dance_of_despair
wh3_main_lore_daemon_prince	wh3_main_lore_passive_blissful_rapture
wh3_main_lore_daemon_prince	wh3_main_lore_passive_children_of_nurgle
wh3_main_lore_daemon_prince	wh3_main_lore_passive_fires_of_change
wh3_main_lore_daemon_prince	wh3_main_spell_nurgle_curse_of_the_leper
wh3_main_lore_daemon_prince	wh3_main_spell_nurgle_fleshy_abundance
wh3_main_lore_daemon_prince	wh3_main_spell_nurgle_miasma_of_pestilence
wh3_main_lore_daemon_prince	wh3_main_spell_nurgle_pestilent_pustule
wh3_main_lore_daemon_prince	wh3_main_spell_nurgle_rancid_visitations
wh3_main_lore_daemon_prince	wh3_main_spell_nurgle_stream_of_corruption
wh3_main_lore_daemon_prince	wh3_main_spell_slaanesh_acquiescence
wh3_main_lore_daemon_prince	wh3_main_spell_slaanesh_hysterical_frenzy
wh3_main_lore_daemon_prince	wh3_main_spell_slaanesh_lash_of_slaanesh
wh3_main_lore_daemon_prince	wh3_main_spell_slaanesh_pavane_of_slaanesh
wh3_main_lore_daemon_prince	wh3_main_spell_slaanesh_phantasmagoria
wh3_main_lore_daemon_prince	wh3_main_spell_slaanesh_slicing_shards
wh3_main_lore_daemon_prince	wh3_main_spell_tzeentch_blue_fire_of_tzeentch
wh3_main_lore_daemon_prince	wh3_main_spell_tzeentch_glean_magic
wh3_main_lore_daemon_prince	wh3_main_spell_tzeentch_infernal_gateway
wh3_main_lore_daemon_prince	wh3_main_spell_tzeentch_pink_fire_of_tzeentch
wh3_main_lore_daemon_prince	wh3_main_spell_tzeentch_treason_of_tzeentch
wh3_main_lore_daemon_prince	wh3_main_spell_tzeentch_tzeentchs_firestorm
wh3_main_lore_daemon_prince	wh_dlc05_lore_passive_smoke_and_mirrors
wh3_main_lore_daemon_prince	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh3_main_lore_daemon_prince	wh_dlc05_spell_shadow_okkams_mindrazor
wh3_main_lore_daemon_prince	wh_dlc05_spell_shadow_pit_of_shades
wh3_main_lore_daemon_prince	wh_dlc05_spell_shadow_the_enfeebling_foe
wh3_main_lore_daemon_prince	wh_dlc05_spell_shadow_the_penumbral_pendulum
wh3_main_lore_daemon_prince	wh_dlc05_spell_shadow_the_withering
wh3_main_lore_daemon_prince	wh_main_lore_passive_life_leeching
wh3_main_lore_daemon_prince	wh_main_lore_passive_metalshifting
wh3_main_lore_daemon_prince	wh_main_spell_death_aspect_of_the_dreadknight
wh3_main_lore_daemon_prince	wh_main_spell_death_doom_and_darkness
wh3_main_lore_daemon_prince	wh_main_spell_death_soulblight
wh3_main_lore_daemon_prince	wh_main_spell_death_spirit_leech
wh3_main_lore_daemon_prince	wh_main_spell_death_the_fate_of_bjuna
