operation_armory_item	operation_set
wh3_main_dae_cha_daemon_prince_torso_magical_medium_4	wh3_main_operation_set_dae_nurgle_3360
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	wh3_main_operation_set_dae_nurgle_3500
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_6	wh3_main_operation_set_dae_nurgle_3640
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_1	wh3_main_operation_set_dae_nurgle_4060
wh3_main_dae_cha_daemon_prince_head_base_10	wh3_main_operation_set_dae_nurgle_4060
wh3_main_dae_cha_daemon_prince_torso_base_3	wh3_main_operation_set_dae_nurgle_4060
wh3_main_dae_cha_daemon_prince_legs_corpulent_1	wh3_main_operation_set_dae_nurgle_4200
wh3_main_dae_cha_daemon_prince_tail_corpulent_1	wh3_main_operation_set_dae_nurgle_4200
wh3_main_dae_cha_daemon_prince_torso_corpulent_1	wh3_main_operation_set_dae_nurgle_4200
wh3_main_dae_cha_daemon_prince_head_base_8	wh3_main_operation_set_dae_nurgle_420
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_1	wh3_main_operation_set_dae_nurgle_4340
wh3_main_dae_cha_daemon_prince_head_corpulent_1	wh3_main_operation_set_dae_nurgle_4340
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_1	wh3_main_operation_set_dae_nurgle_4340
wh3_main_dae_cha_daemon_prince_head_corpulent_2	wh3_main_operation_set_dae_nurgle_4480
wh3_main_dae_cha_daemon_prince_legs_corpulent_2	wh3_main_operation_set_dae_nurgle_4480
wh3_main_dae_cha_daemon_prince_tail_corpulent_2	wh3_main_operation_set_dae_nurgle_4480
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_2	wh3_main_operation_set_dae_nurgle_4620
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_2	wh3_main_operation_set_dae_nurgle_4620
wh3_main_dae_cha_daemon_prince_torso_corpulent_2	wh3_main_operation_set_dae_nurgle_4620
wh3_main_dae_cha_daemon_prince_head_corpulent_3	wh3_main_operation_set_dae_nurgle_4760
wh3_main_dae_cha_daemon_prince_torso_corpulent_3	wh3_main_operation_set_dae_nurgle_4760
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_1	wh3_main_operation_set_dae_nurgle_4760
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_3	wh3_main_operation_set_dae_nurgle_4900
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_3	wh3_main_operation_set_dae_nurgle_4900
wh3_main_dae_cha_daemon_prince_tail_corpulent_4	wh3_main_operation_set_dae_nurgle_4900
wh3_main_dae_cha_daemon_prince_head_corpulent_4	wh3_main_operation_set_dae_nurgle_5040
wh3_main_dae_cha_daemon_prince_legs_corpulent_3	wh3_main_operation_set_dae_nurgle_5040
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_2	wh3_main_operation_set_dae_nurgle_5040
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_4	wh3_main_operation_set_dae_nurgle_5180
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_4	wh3_main_operation_set_dae_nurgle_5180
wh3_main_dae_cha_daemon_prince_wings_corpulent_4	wh3_main_operation_set_dae_nurgle_5180
wh3_main_dae_cha_daemon_prince_head_corpulent_5	wh3_main_operation_set_dae_nurgle_5320
wh3_main_dae_cha_daemon_prince_legs_corpulent_4	wh3_main_operation_set_dae_nurgle_5320
wh3_main_dae_cha_daemon_prince_torso_corpulent_4	wh3_main_operation_set_dae_nurgle_5320
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_2	wh3_main_operation_set_dae_nurgle_5320
wh3_main_dae_cha_daemon_prince_legs_corpulent_5	wh3_main_operation_set_dae_nurgle_5460
wh3_main_dae_cha_daemon_prince_tail_corpulent_5	wh3_main_operation_set_dae_nurgle_5460
wh3_main_dae_cha_daemon_prince_torso_corpulent_5	wh3_main_operation_set_dae_nurgle_5460
wh3_main_dae_cha_daemon_prince_wings_corpulent_5	wh3_main_operation_set_dae_nurgle_5460
wh3_main_dae_cha_daemon_prince_head_corpulent_6	wh3_main_operation_set_dae_nurgle_5600
wh3_main_dae_cha_daemon_prince_torso_corpulent_6	wh3_main_operation_set_dae_nurgle_5600
wh3_main_dae_cha_daemon_prince_weapon_exalted_great_unclean_one_bell_1	wh3_main_operation_set_dae_nurgle_5600
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_3	wh3_main_operation_set_dae_nurgle_5600
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_5	wh3_main_operation_set_dae_nurgle_560
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	wh3_main_operation_set_dae_nurgle_700
wh3_main_dae_cha_daemon_prince_arm_r_corpulent_6	wh3_main_operation_set_dae_nurgle_840
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	wh3_main_operation_set_dae_nurgle_980
wh3_main_dae_cha_daemon_prince_arm_l_scythe_1	wh3_main_operation_set_dae_slaanesh_1120
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_2	wh3_main_operation_set_dae_slaanesh_1260
wh3_main_dae_cha_daemon_prince_wings_sensuous_2	wh3_main_operation_set_dae_slaanesh_1400
wh3_main_dae_cha_daemon_prince_legs_daemonette_7	wh3_main_operation_set_dae_slaanesh_140
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_lance_3	wh3_main_operation_set_dae_slaanesh_1540
wh3_main_dae_cha_daemon_prince_legs_daemonette_8	wh3_main_operation_set_dae_slaanesh_1680
wh3_main_dae_cha_daemon_prince_arm_l_scythe_3	wh3_main_operation_set_dae_slaanesh_1820
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_1	wh3_main_operation_set_dae_slaanesh_1960
wh3_main_dae_cha_daemon_prince_wings_sensuous_5	wh3_main_operation_set_dae_slaanesh_2100
wh3_main_dae_cha_daemon_prince_tail_fiend_1	wh3_main_operation_set_dae_slaanesh_2240
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_7	wh3_main_operation_set_dae_slaanesh_2380
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_3	wh3_main_operation_set_dae_slaanesh_2520
wh3_main_dae_cha_daemon_prince_arm_r_scythe_3	wh3_main_operation_set_dae_slaanesh_2660
wh3_main_dae_cha_daemon_prince_torso_magical_medium_3	wh3_main_operation_set_dae_slaanesh_2800
wh3_main_dae_cha_daemon_prince_arm_r_scythe_1	wh3_main_operation_set_dae_slaanesh_280
wh3_main_dae_cha_daemon_prince_wings_sensuous_4	wh3_main_operation_set_dae_slaanesh_2940
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	wh3_main_operation_set_dae_slaanesh_3080
wh3_main_dae_cha_daemon_prince_torso_magical_heavy_3	wh3_main_operation_set_dae_slaanesh_3220
wh3_main_dae_cha_daemon_prince_wings_sensuous	wh3_main_operation_set_dae_slaanesh_3360
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	wh3_main_operation_set_dae_slaanesh_3500
wh3_main_dae_cha_daemon_prince_wings_sensuous_6	wh3_main_operation_set_dae_slaanesh_3640
wh3_main_dae_cha_daemon_prince_arm_l_base_3	wh3_main_operation_set_dae_slaanesh_4060
wh3_main_dae_cha_daemon_prince_arm_r_scythe_6	wh3_main_operation_set_dae_slaanesh_4060
wh3_main_dae_cha_daemon_prince_torso_base_4	wh3_main_operation_set_dae_slaanesh_4060
wh3_main_dae_cha_daemon_prince_arm_l_scythe_2	wh3_main_operation_set_dae_slaanesh_4200
wh3_main_dae_cha_daemon_prince_arm_r_scythe_2	wh3_main_operation_set_dae_slaanesh_4200
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_1	wh3_main_operation_set_dae_slaanesh_4200
wh3_main_dae_cha_daemon_prince_wings_sensuous_3	wh3_main_operation_set_dae_slaanesh_420
wh3_main_dae_cha_daemon_prince_arm_l_scythe_5	wh3_main_operation_set_dae_slaanesh_4340
wh3_main_dae_cha_daemon_prince_arm_r_scythe_5	wh3_main_operation_set_dae_slaanesh_4340
wh3_main_dae_cha_daemon_prince_legs_daemonette_1	wh3_main_operation_set_dae_slaanesh_4340
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_2	wh3_main_operation_set_dae_slaanesh_4480
wh3_main_dae_cha_daemon_prince_legs_daemonette_2	wh3_main_operation_set_dae_slaanesh_4480
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_1	wh3_main_operation_set_dae_slaanesh_4480
wh3_main_dae_cha_daemon_prince_arm_l_scythe_4	wh3_main_operation_set_dae_slaanesh_4620
wh3_main_dae_cha_daemon_prince_arm_r_scythe_4	wh3_main_operation_set_dae_slaanesh_4620
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_2	wh3_main_operation_set_dae_slaanesh_4620
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_3	wh3_main_operation_set_dae_slaanesh_4760
wh3_main_dae_cha_daemon_prince_legs_daemonette_3	wh3_main_operation_set_dae_slaanesh_4760
wh3_main_dae_cha_daemon_prince_tail_fiend_5	wh3_main_operation_set_dae_slaanesh_4760
wh3_main_dae_cha_daemon_prince_arm_l_scythe_6	wh3_main_operation_set_dae_slaanesh_4900
wh3_main_dae_cha_daemon_prince_arm_r_base_3	wh3_main_operation_set_dae_slaanesh_4900
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_3	wh3_main_operation_set_dae_slaanesh_4900
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_4	wh3_main_operation_set_dae_slaanesh_5040
wh3_main_dae_cha_daemon_prince_legs_daemonette_4	wh3_main_operation_set_dae_slaanesh_5040
wh3_main_dae_cha_daemon_prince_tail_fiend_6	wh3_main_operation_set_dae_slaanesh_5040
wh3_main_dae_cha_daemon_prince_legs_daemonette_5	wh3_main_operation_set_dae_slaanesh_5180
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_4	wh3_main_operation_set_dae_slaanesh_5180
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_2	wh3_main_operation_set_dae_slaanesh_5180
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_1	wh3_main_operation_set_dae_slaanesh_5180
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_5	wh3_main_operation_set_dae_slaanesh_5320
wh3_main_dae_cha_daemon_prince_tail_fiend_2	wh3_main_operation_set_dae_slaanesh_5320
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_3	wh3_main_operation_set_dae_slaanesh_5320
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_3	wh3_main_operation_set_dae_slaanesh_5320
wh3_main_dae_cha_daemon_prince_legs_daemonette_6	wh3_main_operation_set_dae_slaanesh_5460
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_5	wh3_main_operation_set_dae_slaanesh_5460
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_1	wh3_main_operation_set_dae_slaanesh_5460
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_2	wh3_main_operation_set_dae_slaanesh_5460
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_6	wh3_main_operation_set_dae_slaanesh_5600
wh3_main_dae_cha_daemon_prince_tail_fiend_3	wh3_main_operation_set_dae_slaanesh_5600
wh3_main_dae_cha_daemon_prince_torso_adornedarmour_6	wh3_main_operation_set_dae_slaanesh_5600
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_spear_1	wh3_main_operation_set_dae_slaanesh_5600
wh3_main_dae_cha_daemon_prince_head_adornedhelmet_8	wh3_main_operation_set_dae_slaanesh_560
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	wh3_main_operation_set_dae_slaanesh_700
wh3_main_dae_cha_daemon_prince_torso_magical_medium_1	wh3_main_operation_set_dae_slaanesh_840
wh3_main_dae_cha_daemon_prince_tail_fiend_4	wh3_main_operation_set_dae_slaanesh_980
wh3_main_dae_cha_daemon_prince_head_bird_8	wh3_main_operation_set_dae_tzeentch_1120
wh3_main_dae_cha_daemon_prince_arm_l_bird_5	wh3_main_operation_set_dae_tzeentch_1260
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_2	wh3_main_operation_set_dae_tzeentch_1400
wh3_main_dae_cha_daemon_prince_tail_snapping_4	wh3_main_operation_set_dae_tzeentch_140
wh3_main_dae_cha_daemon_prince_tail_snapping_5	wh3_main_operation_set_dae_tzeentch_1540
wh3_main_dae_cha_daemon_prince_torso_magical_medium_5	wh3_main_operation_set_dae_tzeentch_1680
wh3_main_dae_cha_daemon_prince_arm_r_bird_5	wh3_main_operation_set_dae_tzeentch_1820
wh3_main_dae_cha_daemon_prince_arm_l_base_5	wh3_main_operation_set_dae_tzeentch_1960
wh3_main_dae_cha_daemon_prince_torso_bird_3	wh3_main_operation_set_dae_tzeentch_2100
wh3_main_dae_cha_daemon_prince_legs_bird_8	wh3_main_operation_set_dae_tzeentch_2240
wh3_main_dae_cha_daemon_prince_tail_snapping_1	wh3_main_operation_set_dae_tzeentch_2380
wh3_main_dae_cha_daemon_prince_arm_r_base_5	wh3_main_operation_set_dae_tzeentch_2520
wh3_main_dae_cha_daemon_prince_tail_snapping_6	wh3_main_operation_set_dae_tzeentch_2660
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_1	wh3_main_operation_set_dae_tzeentch_2800
wh3_main_dae_cha_daemon_prince_arm_r_bird_4	wh3_main_operation_set_dae_tzeentch_280
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	wh3_main_operation_set_dae_tzeentch_2940
wh3_main_dae_cha_daemon_prince_tail_base_2	wh3_main_operation_set_dae_tzeentch_3080
wh3_main_dae_cha_daemon_prince_weapon_chaos_knight_sword_3	wh3_main_operation_set_dae_tzeentch_3220
wh3_main_dae_cha_daemon_prince_wings_bird_7	wh3_main_operation_set_dae_tzeentch_3360
wh3_main_dae_cha_daemon_prince_torso_bird_5	wh3_main_operation_set_dae_tzeentch_3500
wh3_main_dae_cha_daemon_prince_tail_snapping_2	wh3_main_operation_set_dae_tzeentch_3640
wh3_main_dae_cha_daemon_prince_torso_base_5	wh3_main_operation_set_dae_tzeentch_4060
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_1	wh3_main_operation_set_dae_tzeentch_4060
wh3_main_dae_cha_daemon_prince_wings_bird	wh3_main_operation_set_dae_tzeentch_4060
wh3_main_dae_cha_daemon_prince_arm_l_bird_1	wh3_main_operation_set_dae_tzeentch_4200
wh3_main_dae_cha_daemon_prince_arm_r_bird_1	wh3_main_operation_set_dae_tzeentch_4200
wh3_main_dae_cha_daemon_prince_head_bird_1	wh3_main_operation_set_dae_tzeentch_4200
wh3_main_dae_cha_daemon_prince_head_bird_7	wh3_main_operation_set_dae_tzeentch_420
wh3_main_dae_cha_daemon_prince_legs_bird_1	wh3_main_operation_set_dae_tzeentch_4340
wh3_main_dae_cha_daemon_prince_tail_snapping_3	wh3_main_operation_set_dae_tzeentch_4340
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_1	wh3_main_operation_set_dae_tzeentch_4340
wh3_main_dae_cha_daemon_prince_head_bird_2	wh3_main_operation_set_dae_tzeentch_4480
wh3_main_dae_cha_daemon_prince_legs_bird_2	wh3_main_operation_set_dae_tzeentch_4480
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_2	wh3_main_operation_set_dae_tzeentch_4480
wh3_main_dae_cha_daemon_prince_arm_l_bird_2	wh3_main_operation_set_dae_tzeentch_4620
wh3_main_dae_cha_daemon_prince_arm_r_bird_2	wh3_main_operation_set_dae_tzeentch_4620
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_1	wh3_main_operation_set_dae_tzeentch_4620
wh3_main_dae_cha_daemon_prince_head_bird_3	wh3_main_operation_set_dae_tzeentch_4760
wh3_main_dae_cha_daemon_prince_legs_bird_3	wh3_main_operation_set_dae_tzeentch_4760
wh3_main_dae_cha_daemon_prince_wings_bird_2	wh3_main_operation_set_dae_tzeentch_4760
wh3_main_dae_cha_daemon_prince_arm_l_bird_3	wh3_main_operation_set_dae_tzeentch_4900
wh3_main_dae_cha_daemon_prince_arm_r_bird_3	wh3_main_operation_set_dae_tzeentch_4900
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_1	wh3_main_operation_set_dae_tzeentch_4900
wh3_main_dae_cha_daemon_prince_head_bird_4	wh3_main_operation_set_dae_tzeentch_5040
wh3_main_dae_cha_daemon_prince_torso_bird_2	wh3_main_operation_set_dae_tzeentch_5040
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_2	wh3_main_operation_set_dae_tzeentch_5040
wh3_main_dae_cha_daemon_prince_wings_bird_3	wh3_main_operation_set_dae_tzeentch_5040
wh3_main_dae_cha_daemon_prince_legs_bird_4	wh3_main_operation_set_dae_tzeentch_5180
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_2	wh3_main_operation_set_dae_tzeentch_5180
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_2	wh3_main_operation_set_dae_tzeentch_5180
wh3_main_dae_cha_daemon_prince_wings_bird_4	wh3_main_operation_set_dae_tzeentch_5180
wh3_main_dae_cha_daemon_prince_arm_l_bird_6	wh3_main_operation_set_dae_tzeentch_5320
wh3_main_dae_cha_daemon_prince_arm_r_bird_6	wh3_main_operation_set_dae_tzeentch_5320
wh3_main_dae_cha_daemon_prince_head_bird_5	wh3_main_operation_set_dae_tzeentch_5320
wh3_main_dae_cha_daemon_prince_torso_bird_4	wh3_main_operation_set_dae_tzeentch_5320
wh3_main_dae_cha_daemon_prince_legs_bird_5	wh3_main_operation_set_dae_tzeentch_5460
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_3	wh3_main_operation_set_dae_tzeentch_5460
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_3	wh3_main_operation_set_dae_tzeentch_5460
wh3_main_dae_cha_daemon_prince_wings_bird_6	wh3_main_operation_set_dae_tzeentch_5460
wh3_main_dae_cha_daemon_prince_head_bird_6	wh3_main_operation_set_dae_tzeentch_5600
wh3_main_dae_cha_daemon_prince_legs_bird_6	wh3_main_operation_set_dae_tzeentch_5600
wh3_main_dae_cha_daemon_prince_torso_bird_6	wh3_main_operation_set_dae_tzeentch_5600
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_3	wh3_main_operation_set_dae_tzeentch_5600
wh3_main_dae_cha_daemon_prince_arm_l_bird_4	wh3_main_operation_set_dae_tzeentch_560
wh3_main_dae_cha_daemon_prince_torso_bird_1	wh3_main_operation_set_dae_tzeentch_700
wh3_main_dae_cha_daemon_prince_wings_bird_5	wh3_main_operation_set_dae_tzeentch_840
wh3_main_dae_cha_daemon_prince_legs_bird_7	wh3_main_operation_set_dae_tzeentch_980
wh3_main_dae_cha_daemon_prince_tail_base_5	wh3_main_operation_set_dae_undivided_1120
wh3_main_dae_cha_daemon_prince_arm_r_base_6	wh3_main_operation_set_dae_undivided_1260
wh3_main_dae_cha_daemon_prince_weapon_chaos_sorcerer_staff_3	wh3_main_operation_set_dae_undivided_1400
wh3_main_dae_cha_daemon_prince_torso_magical_medium_2	wh3_main_operation_set_dae_undivided_140
wh3_main_dae_cha_daemon_prince_torso_base_10	wh3_main_operation_set_dae_undivided_1540
wh3_main_dae_cha_daemon_prince_weapon_chaos_shield_1	wh3_main_operation_set_dae_undivided_1680
wh3_main_dae_cha_daemon_prince_torso_base_6	wh3_main_operation_set_dae_undivided_1820
