armory_item	slot
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_sword_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_4	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chaos_warrior_sword_5	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	shield
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_1	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	shield
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_2	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	shield
wh3_main_dae_cha_daemon_prince_weapon_chosen_halberd_3	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_cultist_club_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_lance_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_doom_knight_shield_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	shield
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_1	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	shield
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_2	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	shield
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_3	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	shield
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_hammer_4	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	shield
wh3_main_dae_cha_daemon_prince_weapon_dragon_ogre_shaggoth_axe_1	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_exalted_great_unclean_one_bell_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_shield_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_keeper_of_secrets_spear_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_exalted_lord_of_change_staff_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_great_unclean_one_sword_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_keeper_of_secrets_sword_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_pink_horror_dagger_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_1	shield
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_1	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_2	shield
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_2	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_3	shield
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_halberd_3	weapon_2
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_2	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_skullcrusher_shield_3	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_soulgrinder_sword_1	weapon_1
wh3_main_dae_cha_daemon_prince_weapon_sword_1	weapon_1
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_0	shield
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_0	weapon_2
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_1	shield
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_1	weapon_2
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_2	shield
wh3_pro10_mom_trial_dae_cha_daemon_prince_weapon_2	weapon_2
