attrition_record	bonus_value_id	effect
lizard_defenders	immunity	wh3_main_effect_attrition_immunity_all_except_plague
low_morale	immunity	wh3_main_effect_attrition_immunity_all_except_plague
mist	immunity	wh3_main_effect_attrition_immunity_all_except_plague
mist_of_yvresse	immunity	wh3_main_effect_attrition_immunity_all_except_plague
mountain	immunity	wh3_main_effect_attrition_immunity_all_except_plague
non_vampire_territory	immunity	wh3_main_effect_attrition_immunity_all_except_plague
nurgle_realm	immunity	wh3_main_effect_attrition_immunity_all_except_plague
ogre_meat	immunity	wh3_main_effect_attrition_immunity_all_except_plague
reef	immunity	wh3_main_effect_attrition_immunity_all_except_plague
regionless	immunity	wh3_main_effect_attrition_immunity_all_except_plague
sabotage	immunity	wh3_main_effect_attrition_immunity_all_except_plague
sea_monster_storm	immunity	wh3_main_effect_attrition_immunity_all_except_plague
snow	immunity	wh3_main_effect_attrition_immunity_all_except_plague
storm_level_1	immunity	wh3_main_effect_attrition_immunity_all_except_plague
storm_level_2	immunity	wh3_main_effect_attrition_immunity_all_except_plague
storm_level_3	immunity	wh3_main_effect_attrition_immunity_all_except_plague
storm_level_4	immunity	wh3_main_effect_attrition_immunity_all_except_plague
storm_level_5	immunity	wh3_main_effect_attrition_immunity_all_except_plague
storm_sandstorm	immunity	wh3_main_effect_attrition_immunity_all_except_plague
swamp	immunity	wh3_main_effect_attrition_immunity_all_except_plague
vampire_territory	immunity	wh3_main_effect_attrition_immunity_all_except_plague
very_low_morale	immunity	wh3_main_effect_attrition_immunity_all_except_plague
wasteland	immunity	wh3_main_effect_attrition_immunity_all_except_plague
compass	active	wh3_main_effect_campaign_enable_attrition_bastion_wrath_attrition
disciple_army	active	wh3_main_effect_campaign_enable_attrition_disciple_army
building_attrition	active	wh3_main_effect_campaign_enable_attrition_good
ogre_meat	active	wh3_main_effect_campaign_enable_attrition_ogre_meat
plague_nurgle	active	wh3_main_effect_campaign_enable_attrition_plague_nurgle
khorne_infighting	active	wh3_main_effect_campaign_enable_kho_infighting_attrition
athel_loren	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
besieged	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
besieging	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
blockading	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
building_attrition	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
chaos_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
chaos_wastes	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
deep_sea	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
desert	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
disease	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
event_attrition	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
hostile_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
low_morale	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
mountain	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
nurgle_plague	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
reef	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
regionless	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
sabotage	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
storm_level_1	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
storm_level_2	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
storm_level_3	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
storm_level_4	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
storm_level_5	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
storm_sandstorm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
swamp	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
vampire_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
very_low_morale	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
wasteland	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_blood_voyage
athel_loren	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
awakened_forest	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
besieging	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
blockaded	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
blockading	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
building_attrition	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
chaos_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
chaos_wastes	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
chaos_wastes_bonus_value	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
deep_sea	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
desert	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
event_attrition	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
hostile_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
lizard_defenders	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
low_morale	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
mist	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
mist_of_yvresse	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
mountain	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
non_vampire_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
nurgle_plague	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
nurgle_realm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
ogre_meat	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
reef	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
regionless	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
sabotage	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
sea_monster_storm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
snow	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
storm_level_1	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
storm_level_2	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
storm_level_3	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
storm_level_4	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
storm_level_5	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
storm_sandstorm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
swamp	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
vampire_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
very_low_morale	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
wasteland	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_camp_stance
athel_loren	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
awakened_forest	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
besieged	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
besieging	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
blockaded	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
blockading	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
blood_voyage_desertion	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
building_attrition	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
chaos_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
chaos_wastes	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
chaos_wastes_bonus_value	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
deep_sea	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
desert	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
disciple_army	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
disease	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
dlc17_despoiler_raiding	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
event_attrition	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
horde_infighting	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
hostile_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
kho_summoned_army	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
khorne_infighting	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
kislev_winter	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
lizard_defenders	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
low_morale	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
mist	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
mist_of_yvresse	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
mountain	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
non_vampire_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
nurgle_plague	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
nurgle_realm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
ogre_meat	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
plague_nurgle	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
reef	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
regionless	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
sabotage	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
sea_monster_storm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
snow	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
storm_level_1	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
storm_level_2	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
storm_level_3	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
storm_level_4	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
storm_level_5	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
storm_sandstorm	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
swamp	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
vampire_territory	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
very_low_morale	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
wasteland	immunity	wh3_main_effect_force_army_campaign_attrition_all_immunity_hidden
chaos_territory	damage_mod	wh3_main_effect_force_army_campaign_attrition_chaos_territory_only_adjacent_HIDDEN
chaos_wastes	damage_mod	wh3_main_effect_force_army_campaign_attrition_chaos_territory_only_adjacent_HIDDEN
chaos_territory	damage_mod	wh3_main_effect_force_army_campaign_attrition_chaos_territory_only_adjacent
chaos_wastes	damage_mod	wh3_main_effect_force_army_campaign_attrition_chaos_territory_only_adjacent
chaos_territory	damage_mod	wh3_main_effect_force_army_campaign_attrition_chaos_territory_only
chaos_wastes	damage_mod	wh3_main_effect_force_army_campaign_attrition_chaos_territory_only
mountain	immunity	wh3_main_effect_force_army_campaign_attrition_mountain_swamp_immunity
swamp	immunity	wh3_main_effect_force_army_campaign_attrition_mountain_swamp_immunity
regionless	immunity	wh3_main_effect_force_army_campaign_attrition_regionless_immunity
besieged	damage_mod	wh3_main_effect_force_army_campaign_siege_attrition_immunity
kho_summoned_army	active	wh3_main_effect_force_khorne_bloodthirst_attrition_activate
kho_summoned_army	damage_mod	wh3_main_effect_force_khorne_bloodthirst_attrition_damage_mod
kho_summoned_army	immunity	wh3_main_effect_force_khorne_bloodthirst_attrition_immunity
kislev_winter	active	wh3_main_effect_region_enable_kislev_winter_attrition
lizard_defenders	immunity	wh3_main_effect_region_lizard_defenders_attrition_immunity
kislev_winter	active	wh3_main_ksl_ritual_storm_dummy
low_morale	immunity	wh_dlc03_low_morale_attrition_immunity
very_low_morale	immunity	wh_dlc03_low_morale_attrition_immunity
athel_loren	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
awakened_forest	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
besieged	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
besieging	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
blockaded	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
blockading	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
chaos_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
chaos_wastes	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
deep_sea	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
desert	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
hostile_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
low_morale	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
mist	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
mountain	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
non_vampire_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
nurgle_realm	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
reef	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
regionless	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
sabotage	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
snow	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_1	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_2	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_3	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_4	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_level_5	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
storm_sandstorm	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
swamp	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
vampire_territory	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
very_low_morale	immunity	wh_dlc05_durthu_trait_effect_attrition_immunity
