key	agent_distribution_profile_key	agent_recruitment_profile_key	budget_policy_key	military_aggressiveness_policy	military_behaviour_policy	reliability_policy_key	technology_manager_key	allowed_for_random_selection	diplomatic_component	strategic_component	cultural_component	deal_generation_component	construction_system_policy	task_management_system_task_generation_profile	negotiation_component	income_allocation_policy	occupation_decision_component	empire_rivalry_component	trespassing_component	agent_embed_profile	character_skill_selection_policy	military_generator_config_override	tms_variables_profile	financial_context_control	ritual_policy	personality_variables_profile	displayed_trait_set	gds_occupation_decision_profile	gds_cultural_occupation_decision_profile	deal_evaluation_profile	strategic_profile	region_group_profile
wh3_cathay_yuan_bo	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_tms_generator_profiles_cathay_yuan_bo	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_cathay_minor	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	wh3_chaos_region_hint_profile_cathay_yuan_bo
wh3_cathay_zhao_ming	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_tms_generator_profiles_cathay	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_default	wh3_personality_displayed_trait_set_cathay_zhao_ming	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	wh3_chaos_region_hint_profile_cathay_zhao_ming
wh3_chaos_dwarf_astragoth	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	default	true	wh3_holds_grudges	wh3_strategic_component_chaos	default	wh3_deal_generation_chaos_dwarfs	default_construction_system_policy	wh3_tms_generator_profiles_chaos_dwarf_astragoth	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_elite_armies	wh3_dlc23_personality_displayed_trait_set_chaos_dwarf_astragoth	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_major	wh3_strategic_profile_chaos	wh3_chaos_region_hint_profile_chaos_dwarf_astragoth
wh3_chaos_dwarf_drazhoath	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	default	true	wh3_holds_grudges	wh3_strategic_component_chaos	default	wh3_deal_generation_chaos_dwarfs	default_construction_system_policy	wh3_tms_generator_profiles_chaos_dwarf_drazhoath	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_elite_armies	wh3_dlc23_personality_displayed_trait_set_chaos_dwarf_drazhoath	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_major	wh3_strategic_profile_chaos	wh3_chaos_region_hint_profile_chaos_dwarf_drazoath
wh3_chaos_dwarf_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	default	true	wh3_holds_grudges	wh3_strategic_component_chaos	dislikes_chaos_dwarfs	wh3_deal_generation_chaos_dwarfs_minor	default_construction_system_policy	wh3_tms_generator_profiles_chaos_dwarf_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_elite_armies	wh3_dlc23_personality_displayed_trait_set_chaos_dwarf_minor	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_unfriendly	wh3_strategic_profile_chaos	default
wh3_chaos_dwarf_zhatan	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	default	true	wh3_holds_grudges	wh3_strategic_component_chaos_aggressive	default	wh3_deal_generation_chaos_dwarfs	default_construction_system_policy	wh3_tms_generator_profiles_chaos_dwarf_zhatan	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_elite_armies	wh3_dlc23_personality_displayed_trait_set_chaos_dwarf_zhatan	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_major	wh3_strategic_profile_chaos_aggressive	wh3_chaos_region_hint_profile_chaos_dwarf_zhatan
wh3_chaos_gatedestroyer	cai_adp_standard	cai_arp_standard	wh3_budget_policy_militaristic	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_frenzied	default	wh3_deal_generation_dummy	default_construction_system_policy	wh3_tms_generator_profiles_chaos_gatedestroyer	wh3_negotiation_passive	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_chaos	wh3_personality_displayed_trait_set_chaos_gatedestroyer	occupation_decision_profile_only_raze		wh3_deal_eval_profile_chaos_minor	wh3_strategic_profile_frenzied	wh3_combi_region_hint_profile_chaos_gatedestroyer
wh3_chaos_settled_azazel	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_chaos	woc_dislike_chaos	wh3_deal_generation_default	coc_construction_system_policy	wh3_tms_generator_profiles_chaos_settled_azazel	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_chaos	wh3_dlc20_personality_displayed_trait_set_azazel	occupation_decision_profile_chaos		wh3_deal_eval_profile_woc	wh3_strategic_profile_chaos	wh3_chaos_region_hint_profile_chaos_settled_azazel
wh3_chaos_settled_festus	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_nurgle	woc_dislike_chaos	wh3_deal_generation_default	coc_construction_system_policy	wh3_tms_generator_profiles_chaos_settled_festus	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_chaos	wh3_dlc20_personality_displayed_trait_set_festus	occupation_decision_profile_chaos		wh3_deal_eval_profile_woc	wh3_strategic_profile_nurgle	wh3_combi_region_hint_profile_chaos_settled_festus
wh3_chaos_settled_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_chaos	default	wh3_deal_generation_minor	coc_construction_system_policy	wh3_tms_generator_profiles_chaos_settled_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_chaos	wh3_personality_displayed_trait_set_chaos_settled	occupation_decision_profile_chaos		wh3_deal_eval_profile_chaos_minor	wh3_strategic_profile_chaos	default
wh3_chaos_settled_valkia	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_chaos_aggressive	woc_dislike_chaos	wh3_deal_generation_default	coc_construction_system_policy	wh3_tms_generator_profiles_chaos_settled_valkia	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_brutal	default_financial_context_controls	default	wh3_chaos_personality_profile_chaos	wh3_dlc20_personality_displayed_trait_set_valkia	occupation_decision_profile_chaos		wh3_deal_eval_profile_woc	wh3_strategic_profile_chaos_aggressive	wh3_chaos_region_hint_profile_chaos_settled_valkia
wh3_chaos_settled_vilitch	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_chaos	woc_dislike_chaos	wh3_deal_generation_default	coc_construction_system_policy	wh3_tms_generator_profiles_chaos_settled_vilitch	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_chaos_personality_profile_chaos	wh3_dlc20_personality_displayed_trait_set_vilitch	occupation_decision_profile_chaos		wh3_deal_eval_profile_woc	wh3_strategic_profile_chaos	wh3_chaos_region_hint_profile_chaos_settled_vilitch
wh3_combi_beastmen_khazrak	cai_adp_standard	cai_arp_standard	wh3_budget_policy_beastmen	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_beastmen	default_construction_system_policy	wh3_combi_tms_generator_profiles_beastmen_khazrak	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_beastmen_khazrak	occupation_decision_profile_beastmen		wh3_deal_eval_profile_beastmen_major	wh3_strategic_profile_aggressive_opportunistic	wh3_combi_region_hint_profile_beastmen_khazrak
wh3_combi_beastmen_malagor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_beastmen	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_beastmen	default_construction_system_policy	wh3_combi_tms_generator_profiles_beastmen_malagor	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_beastmen_malagor	occupation_decision_profile_beastmen		wh3_deal_eval_profile_beastmen_major	wh3_strategic_profile_aggressive_opportunistic	wh3_combi_region_hint_profile_beastmen_malagor
wh3_combi_beastmen_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_beastmen	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_beastmen_minor	default_construction_system_policy	wh3_combi_tms_generator_profiles_beastmen_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_beastmen_minor	occupation_decision_profile_default		wh3_deal_eval_profile_beastmen_minor	wh3_strategic_profile_aggressive_opportunistic	default
wh3_combi_beastmen_morghur	cai_adp_standard	cai_arp_standard	wh3_budget_policy_beastmen	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_beastmen	default_construction_system_policy	wh3_combi_tms_generator_profiles_beastmen_morghur	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_beastmen_morghur	occupation_decision_profile_beastmen		wh3_deal_eval_profile_beastmen_major	wh3_strategic_profile_aggressive_opportunistic	wh3_combi_region_hint_profile_beastmen_morghur
wh3_combi_beastmen_taurox	cai_adp_standard	cai_arp_standard	wh3_budget_policy_beastmen	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_aggressive_opportunistic	default	wh3_deal_generation_beastmen	default_construction_system_policy	wh3_combi_tms_generator_profiles_beastmen_taurox	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_beastmen_taurox	occupation_decision_profile_beastmen		wh3_deal_eval_profile_beastmen_major	wh3_strategic_profile_aggressive_opportunistic	default
wh3_combi_bretonnia_alberic	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_default	default_construction_system_policy	wh3_combi_tms_generator_profiles_bretonnia_alberic	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_bretonnia_minor	occupation_decision_profile_brettonia		wh3_deal_eval_profile_bretonnia_major	wh3_strategic_profile_default	default
wh3_combi_bretonnia_fayenchantress	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_default	default_construction_system_policy	wh3_combi_tms_generator_profiles_bretonnia_fayenchantress	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_bretonnia_minor	occupation_decision_profile_brettonia		wh3_deal_eval_profile_bretonnia_major	wh3_strategic_profile_default	wh3_combi_region_hint_profile_bretonnia_fayenchantress
wh3_combi_bretonnia_louen	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_default	default_construction_system_policy	wh3_combi_tms_generator_profiles_bretonnia_louen	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_bretonnia_minor	occupation_decision_profile_brettonia		wh3_deal_eval_profile_bretonnia_major	wh3_strategic_profile_default	wh3_combi_region_hint_profile_bretonnia_louen
wh3_combi_bretonnia_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_bretonnia_minor	default_construction_system_policy	wh3_combi_tms_generator_profiles_bretonnia_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_bretonnia_minor	occupation_decision_profile_brettonia		wh3_deal_eval_profile_bretonnia_minor	wh3_strategic_profile_default	default
wh3_combi_bretonnia_repanse	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_default	default_construction_system_policy	wh3_combi_tms_generator_profiles_bretonnia_repanse	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_bretonnia_repanse	occupation_decision_profile_brettonia		wh3_deal_eval_profile_bretonnia_major	wh3_strategic_profile_default	wh3_combi_region_hint_profile_bretonnia_repanse
wh3_combi_cathay_miao_ying	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_combi_tms_generator_profiles_cathay_miao_ying	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_cathay_miao_ying	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	wh3_combi_region_hint_profile_cathay_miao_ying
wh3_combi_cathay_minor	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay_minor	default_construction_system_policy	wh3_combi_tms_generator_profiles_cathay_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_cathay_minor	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay_minor	wh3_strategic_profile_default	default
wh3_combi_cathay_minor_unfriendly	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	dislikes_cathay_internal	wh3_deal_generation_cathay_minor	default_construction_system_policy	wh3_combi_tms_generator_profiles_cathay_minor	wh3_negotiation_minor	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_cathay_minor	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay_minor	wh3_strategic_profile_default	default
wh3_combi_cathay_yuan_bo	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_combi_tms_generator_profiles_cathay_yuan_bo	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_cathay_minor	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	wh3_combi_region_hint_profile_cathay_yuan_bo
wh3_combi_cathay_zhao_ming	cai_adp_standard	cai_arp_standard	wh3_budget_policy_default	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_default	wh3_strategic_component_default	default	wh3_deal_generation_cathay	default_construction_system_policy	wh3_combi_tms_generator_profiles_cathay_zhao_ming	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_default	wh3_personality_displayed_trait_set_cathay_zhao_ming	occupation_decision_profile_cathay		wh3_deal_eval_profile_cathay	wh3_strategic_profile_default	wh3_combi_region_hint_profile_cathay_zhao_ming
wh3_combi_chaos_dwarf_astragoth	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	default	true	wh3_holds_grudges	wh3_strategic_component_chaos	default	wh3_deal_generation_chaos_dwarfs	default_construction_system_policy	wh3_combi_tms_generator_profiles_chaos_dwarf_astragoth	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_elite_armies	wh3_dlc23_personality_displayed_trait_set_chaos_dwarf_astragoth	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_major	wh3_strategic_profile_chaos	wh3_combi_region_hint_profile_chaos_dwarf_astragoth
wh3_combi_chaos_dwarf_drazhoath	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_high	default	true	wh3_holds_grudges	wh3_strategic_component_chaos	default	wh3_deal_generation_chaos_dwarfs	default_construction_system_policy	wh3_combi_tms_generator_profiles_chaos_dwarf_drazhoath	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_elite_armies	wh3_dlc23_personality_displayed_trait_set_chaos_dwarf_drazhoath	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_major	wh3_strategic_profile_chaos	wh3_combi_region_hint_profile_chaos_dwarf_drazoath
wh3_combi_chaos_dwarf_endgame	cai_adp_standard	cai_arp_standard	wh3_budget_policy_chaos_dwarfs	cai_pmap_medium	cai_pmbp_balanced	cai_prp_default	default	true	wh3_holds_grudges	wh3_strategic_component_chaos_aggressive	default	wh3_deal_generation_chaos_dwarfs	default_construction_system_policy	wh3_combi_tms_generator_profiles_endgame	wh3_negotiation_default	wh3_default	dont_use	wh3_default	default	default_all	default_character_skill_selection_policy		wh3_tms_variable_profile_default	default_financial_context_controls	default	wh3_combi_personality_profile_elite_armies	wh3_personality_displayed_trait_set_chaos_dwarfs_hashut_endgame	occupation_decision_profile_chaos_dwarfs		wh3_deal_eval_profile_chaos_dwarf_major	wh3_strategic_profile_chaos_aggressive	default
