stance	culture	subculture	faction	force_type	effect_bundle	resource_cost
MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP				OGRE_CAMP	wh3_main_bundle_stance_army_settlement_horde_ogre_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP	wh3_dlc23_chd_chaos_dwarfs			CONVOY	wh3_dlc23_bundle_stance_cathay_convoy	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP	wh3_main_cth_cathay			CARAVAN	wh3_main_bundle_stance_cathay_caravan	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID					wh_main_bundle_stance_army_raiding	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				HORDE	wh_main_bundle_stance_army_raiding_horde	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				HORDE_KHAZRAK	wh_dlc03_bundle_stance_army_raiding_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				HORDE_MALAGOR	wh_dlc03_bundle_stance_army_raiding_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				HORDE_MORGHUR	wh2_dlc17_bundle_stance_army_raiding_horde_beastmen_unique_morghur	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID				HORDE_TAUROX	wh2_dlc17_bundle_stance_army_raiding_horde_beastmen_unique_taurox	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh2_dlc11_cst_vampire_coast			HORDE	wh_main_bundle_stance_army_raiding_horde_coast	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh2_main_def_dark_elves				wh_main_bundle_stance_army_raiding_def	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh2_main_skv_skaven				wh_main_bundle_stance_army_raiding_skaven	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID			wh2_twa03_def_rakarth		wh2_twa03_bundle_stance_army_raiding_def_rakarth	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID			wh3_dlc20_chs_azazel		wh3_dlc20_bundle_stance_army_raiding_azazel	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID			wh3_dlc20_chs_festus		wh3_dlc20_bundle_stance_army_raiding_festus	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID			wh3_dlc20_chs_valkia		wh3_dlc20_bundle_stance_army_raiding_valkia	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID			wh3_dlc20_chs_vilitch		wh3_dlc20_bundle_stance_army_raiding_vilitch	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh3_dlc23_chd_chaos_dwarfs				wh_main_bundle_stance_army_raiding_chd	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh3_main_ogr_ogre_kingdoms				wh3_main_bundle_stance_army_raiding_ogres	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh3_main_sla_slaanesh				wh3_main_bundle_stance_army_raiding_slaanesh	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_dlc03_bst_beastmen			HORDE	wh_dlc03_bundle_stance_army_raiding_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_dlc08_nor_norsca				wh_main_bundle_stance_army_raiding_norsca	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_main_brt_bretonnia				wh_main_bundle_stance_army_raiding_bretonnia	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_main_chs_chaos				wh3_dlc20_bundle_stance_army_raiding_warriors_of_chaos	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH					wh_main_bundle_stance_army_forced_march	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH			wh3_dlc20_chs_valkia		wh3_dlc20_bundle_stance_army_forced_march_valkia	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH	wh3_main_nur_nurgle				wh3_main_bundle_stance_army_forced_march_nurgle	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER					wh_main_bundle_stance_army_mustering	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL	wh2_dlc11_cst_vampire_coast			CHARACTER_BOUND_HORDE	wh2_dlc11_bundle_stance_flagship_patrol	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL	wh2_dlc11_cst_vampire_coast			SPECIALIST_HORDE	wh2_dlc11_bundle_stance_flagship_patrol	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL	wh2_main_def_dark_elves			SEA_LOCKED_HORDE	wh2_main_bundle_stance_black_ark_patrol	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID					wh_main_bundle_stance_navy_raiding	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				HORDE	wh_main_bundle_stance_army_settlement_horde	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				HORDE_KHAZRAK	wh2_dlc17_bundle_stance_army_encamp_horde_beastmen_unique_khazrak	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				HORDE_MALAGOR	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				HORDE_MORGHUR	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				HORDE_TAUROX	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE				SEA_LOCKED_HORDE	wh_main_bundle_stance_army_settlement_horde_recruitment_provider	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh2_dlc11_cst_vampire_coast				wh2_dlc11_bundle_stance_army_encampment_horde_coast	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE			wh2_dlc13_lzd_spirits_of_the_jungle	HORDE	wh_main_bundle_stance_army_settlement_horde_nakai	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE			wh2_dlc13_lzd_spirits_of_the_jungle	NAKAI_BOUND_HORDE	wh_main_bundle_stance_army_settlement_horde_nakai	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh_dlc03_bst_beastmen			HORDE	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh_main_chs_chaos			HORDE	wh_main_bundle_stance_army_settlement_horde	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP					wh_main_bundle_stance_army_fortification	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING					wh_main_bundle_stance_army_raiding_camp	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING		wh_dlc08_sc_nor_norsca			wh_main_bundle_stance_army_raiding_camp_norsca	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_dlc09_tmb_tomb_kings				wh2_dlc09_bundle_stance_army_ambush_settlement_tomb_kings	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh2_dlc11_cst_vampire_coast				wh2_dlc11_bundle_stance_army_encampment_coast	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP			wh3_dlc20_chs_festus		wh3_dlc20_bundle_stance_army_encampment_festus	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_kho_khorne				wh3_main_bundle_stance_army_encampment_daemon	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh3_main_pro_ksl_kislev				wh3_main_prologue_bundle_stance_encampment	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP		wh_main_sc_chs_chaos			wh3_dlc20_bundle_stance_army_encampment_chs	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING					wh2_main_bundle_stance_army_stalking	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING					wh_main_bundle_stance_army_tunnelling	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING				HORDE_KHAZRAK	wh_main_bundle_stance_army_use_beastpaths	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING				HORDE_MALAGOR	wh2_dlc17_bundle_stance_army_tunnelling_horde_beastmen_unique_malagor	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING				HORDE_MORGHUR	wh_main_bundle_stance_army_use_beastpaths	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING				HORDE_TAUROX	wh_main_bundle_stance_army_use_beastpaths	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING			wh2_main_hef_nagarythe		wh2_dlc10_bundle_stance_army_tunnelling_alith_anar	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING			wh3_dlc20_chs_vilitch		wh3_main_bundle_stance_army_tunnelling_tzeentch	wh3_main_tunnel_tze_winds_of_magic
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh3_main_dae_daemons				wh3_main_bundle_stance_army_tunnelling_tzeentch	wh3_main_tunnel_tze_winds_of_magic
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh3_main_tze_tzeentch				wh3_main_bundle_stance_army_tunnelling_tzeentch	wh3_main_tunnel_tze_winds_of_magic
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_dlc03_bst_beastmen			HORDE	wh_main_bundle_stance_army_use_beastpaths	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING		wh_dlc05_sc_wef_wood_elves	wh_dlc05_wef_wood_elves		wh3_main_bundle_stance_army_tunnelling_orion	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_dlc05_wef_wood_elves				wh_dlc05_bundle_stance_army_tunnelling_wood_elves	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING			wh_main_dwf_karak_izor		wh_dlc06_bundle_stance_army_tunnelling_belegar	
MILITARY_FORCE_SITUATIONAL_STANCE_BLOCKADE					wh_main_bundle_stance_navy_blockading	
MILITARY_FORCE_SITUATIONAL_STANCE_DOCK					wh_main_bundle_stance_navy_docked	
MILITARY_FORCE_SITUATIONAL_STANCE_GARRISON					wh_main_bundle_stance_army_garrisoned	
MILITARY_FORCE_SITUATIONAL_STANCE_GARRISON	wh_dlc03_bst_beastmen				wh2_dlc17_bundle_stance_army_garrisoned_beastmen	
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE					wh_main_bundle_stance_army_laying_siege	
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE	wh_dlc03_bst_beastmen			HORDE	wh_dlc03_bundle_stance_army_laying_siege_bst	
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE	wh_main_grn_greenskins				wh_main_bundle_stance_army_laying_siege_grn	
