unit_set	initiative	icon_path	required_number
grn_infantry_goblin	wh3_dlc26_force_initiative_grn_da_plan_eat_da_runts_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_goblin_infantry.png	3
grn_black_orcs	wh3_dlc26_force_initiative_grn_da_plan_eavy_metal_marchin_3	UI/skins/default/dlc26_greenskins_da_plan/unit_set_black_orcs.png	5
mp_cap_unit_grn_mon_squig_herd	wh3_dlc26_force_initiative_grn_da_plan_erd_mentality_1	UI\units\infopics\wh_dlc06_grn_squig_herd.png	3
mp_cap_unit_grn_art_doom_diver_catapult	wh3_dlc26_force_initiative_grn_da_plan_fly_at_da_smoke_3	UI\units\infopics\wh_main_grn_doom_diver.png	3
mp_cap_unit_grn_cav_goblin_wolf_rider_archers	wh3_dlc26_force_initiative_grn_da_plan_fly_at_da_smoke_3	UI\units\infopics\wh_main_grn_goblin_wolf_rider_bow.png	1
grn_fanatics	wh3_dlc26_force_initiative_grn_da_plan_fungus_farms_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_fanatics.png	3
grn_river_trolls_and_hag	wh3_dlc26_force_initiative_grn_da_plan_fungus_farms_2	UI\units\infopics\wh2_dlc15_grn_mon_river_trolls.png	1
grn_dlc06_night_goblins	wh3_dlc26_force_initiative_grn_da_plan_get_dem_from_below_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_night_goblins.png	3
grn_large_monsters	wh3_dlc26_force_initiative_grn_da_plan_get_dem_from_below_2	UI/skins/default/dlc26_greenskins_da_plan/unit_set_large_monsters.png	1
grn_characters	wh3_dlc26_force_initiative_grn_da_plan_goin_commando_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_characters.png	2
grn_dlc06_grn_inf_nasty_skukers	wh3_dlc26_force_initiative_grn_da_plan_goin_commando_2	UI\units\infopics\wh_dlc06_grn_nasty_skulkers.png	2
grn_characters	wh3_dlc26_force_initiative_grn_da_plan_keep_bossin_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_characters.png	1
grn_trolls_all	wh3_dlc26_force_initiative_grn_da_plan_keep_bossin_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_trolls.png	3
grn_cav_orc	wh3_dlc26_force_initiative_grn_da_plan_keep_em_ungry_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_boar_cavalry.png	3
grn_dlc06_squigs	wh3_dlc26_force_initiative_grn_da_plan_keep_em_ungry_3	UI/skins/default/dlc26_greenskins_da_plan/unit_set_squig.png	2
grn_cav_orc	wh3_dlc26_force_initiative_grn_da_plan_lead_da_charge_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_boar_cavalry.png	3
grn_cha_black_orc_big_boss	wh3_dlc26_force_initiative_grn_da_plan_lead_da_charge_2	UI\skins\default\dlc26_greenskins_da_plan\grn_black_orc_big_boss_campaign_05_0.png	1
grn_archers	wh3_dlc26_force_initiative_grn_da_plan_light_em_up_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_archers.png	2
mp_cap_unit_grn_mon_squig_herd	wh3_dlc26_force_initiative_grn_da_plan_light_em_up_1	UI\units\infopics\wh_dlc06_grn_squig_herd.png	1
grn_poison	wh3_dlc26_force_initiative_grn_da_plan_little_wont_urt_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_poison.png	4
grn_artillery	wh3_dlc26_force_initiative_grn_da_plan_load_yerself_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_artillery.png	2
wh2_dlc15_grn_mon_rogue_idol	wh3_dlc26_force_initiative_grn_da_plan_load_yerself_3	UI\units\infopics\wh2_dlc15_grn_mon_rogue_idol.png	2
grn_gorbad_ironclaw	wh3_dlc26_force_initiative_grn_da_plan_master_planner_3	UI\skins\default\dlc26_greenskins_da_plan\lord_card.png	1
grn_infantry_goblin	wh3_dlc26_force_initiative_grn_da_plan_netted_targets_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_goblin_infantry.png	1
wh2_dlc11_grn_all_ranged_cavalry_chariots	wh3_dlc26_force_initiative_grn_da_plan_netted_targets_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_missile_cav_chariot.png	3
grn_gorbad_ironclaw	wh3_dlc26_force_initiative_grn_da_plan_orcs_are_da_best_1	UI\skins\default\dlc26_greenskins_da_plan\lord_card.png	1
mp_cap_unit_grn_inf_orc_boyz	wh3_dlc26_force_initiative_grn_da_plan_orcs_are_da_best_1	UI\units\infopics\wh_main_grn_orc_boyz_sword.png	2
grn_shaman	wh3_dlc26_force_initiative_grn_da_plan_power_of_da_waaagh_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_shaman.png	1
wh2_dlc11_grn_all_orc_infantry	wh3_dlc26_force_initiative_grn_da_plan_power_of_da_waaagh_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_orc_infantry.png	4
grn_wolf_riders	wh3_dlc26_force_initiative_grn_da_plan_raidin_parties_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_wolf_riders.png	3
grn_characters	wh3_dlc26_force_initiative_grn_da_plan_regimental_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_characters.png	3
grn_archers	wh3_dlc26_force_initiative_grn_da_plan_shoot_da_runts_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_archers.png	3
grn_artillery	wh3_dlc26_force_initiative_grn_da_plan_shoot_da_runts_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_artillery.png	2
grn_cha_night_goblin_shaman	wh3_dlc26_force_initiative_grn_da_plan_shot_in_da_dark_2	UI\skins\default\dlc26_greenskins_da_plan\grn_night_goblin_shaman_campaign_01_0.png	1
grn_night_goblin_archers	wh3_dlc26_force_initiative_grn_da_plan_shot_in_da_dark_2	UI\units\infopics\wh_main_grn_night_goblins_bow.png	3
grn_mon_colossal_squig	wh3_dlc26_force_initiative_grn_da_plan_splode_da_big_one_3	UI\units\infopics\wh3_dlc26_grn_mon_colossal_squig.png	1
grn_shaman	wh3_dlc26_force_initiative_grn_da_plan_splode_da_big_one_3	UI\skins\default\dlc26_greenskins_da_plan\unit_set_shaman.png	3
grn_spear_infantry	wh3_dlc26_force_initiative_grn_da_plan_stick_em_like_pigs_2	UI/skins/default/dlc26_greenskins_da_plan/unit_set_spears.png	4
grn_river_trolls_and_hag	wh3_dlc26_force_initiative_grn_da_plan_stinkee_arrers_3	UI\units\infopics\wh2_dlc15_grn_mon_river_trolls.png	2
mp_cap_unit_grn_inf_orc_arrer_boyz	wh3_dlc26_force_initiative_grn_da_plan_stinkee_arrers_3	UI\units\infopics\wh_main_grn_orc_boyz_bow.png	3
grn_shaman	wh3_dlc26_force_initiative_grn_da_plan_stompin_ground_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_shaman.png	3
grn_dlc06_grn_inf_nasty_skukers	wh3_dlc26_force_initiative_grn_da_plan_suprise_savagery_2	UI\units\infopics\wh_dlc06_grn_nasty_skulkers.png	2
grn_dlc06_savage_orc_infantry	wh3_dlc26_force_initiative_grn_da_plan_suprise_savagery_2	UI\skins\default\dlc26_greenskins_da_plan\unit_set_savage_orcs.png	2
grn_spider_riders	wh3_dlc26_force_initiative_grn_da_plan_webweavin_1	UI\skins\default\dlc26_greenskins_da_plan\unit_set_spiders.png	3
