bonus_value_id	effect	force_ability
enable	wh2_main_effect_army_ability_enable_warpbomb	wh2_main_army_abilities_warpbomb
uses_mod	wh2_main_effect_army_ability_uses_holy_stela	wh2_main_army_abilities_holy_stela
uses_mod	wh2_main_effect_army_ability_uses_the_menace_below_corruption	wh2_main_army_abilities_the_menace_below
uses_mod	wh2_main_effect_army_ability_uses_the_menace_below_queek	wh2_main_army_abilities_the_menace_below
uses_mod	wh2_main_effect_army_ability_uses_the_menace_below	wh2_main_army_abilities_the_menace_below
enable	wh2_main_effect_final_battle_army_abilities	wh2_main_army_abilities_heal_splosion
enable	wh2_main_effect_final_battle_army_abilities	wh2_main_army_abilities_skaven_bomb
enable	wh2_main_effect_tomb_king_realm_of_souls_army_abilities	wh2_dlc09_army_abilities_realm_of_souls_ushabti
enable	wh2_main_effect_tomb_king_realm_of_souls_army_abilities	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger
uses_mod	wh2_twa03_effect_army_ability_num_uses_warp_bomb	wh2_main_army_abilities_warpbomb
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_bloodwrack_cauldron
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_bolt_of_spite
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_brazen_cauldron
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_khaines_flail
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_khaines_lash
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_khaines_scourge
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_sky_cauldron
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_soul_rain
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_soul_storm
uses_mod	wh2_twa03_num_uses_black_ark_bombardments	wh2_main_army_abilities_soul_torrent
enable	wh3_dlc20_effect_army_ability_cataclysm_death	wh3_dlc20_cataclysm_bound_ashes_and_dust
enable	wh3_dlc20_effect_army_ability_cataclysm_fire	wh3_dlc20_cataclysm_bound_magma_storm
enable	wh3_dlc20_effect_army_ability_cataclysm_khorne	wh3_main_cataclysm_khorne_greater_gate_of_khorne
enable	wh3_dlc20_effect_army_ability_cataclysm_metal	wh3_dlc20_cataclysm_bound_gehennas_golden_globe
enable	wh3_dlc20_effect_army_ability_cataclysm_shadows	wh3_dlc20_cataclysm_bound_dance_of_despair
enable	wh3_dlc23_effect_ability_enable_blood_and_fireborn	wh3_dlc23_army_abilities_blood_and_fireborn
uses_mod	wh3_dlc23_effect_ability_mod_amount_of_uses_tower_of_zharr_abilities	wh3_dlc23_army_abilities_armour_of_contempt
uses_mod	wh3_dlc23_effect_ability_mod_amount_of_uses_tower_of_zharr_abilities	wh3_dlc23_army_abilities_doom_of_hashut
uses_mod	wh3_dlc23_effect_ability_mod_amount_of_uses_tower_of_zharr_abilities	wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz
uses_mod	wh3_dlc23_effect_ability_mod_amount_of_uses_tower_of_zharr_abilities	wh3_dlc23_army_abilities_wrath_of_zharr
enable	wh3_dlc23_effect_army_ability_enable_armour_of_contempt	wh3_dlc23_army_abilities_armour_of_contempt
enable	wh3_dlc23_effect_army_ability_enable_doom_of_hashut	wh3_dlc23_army_abilities_doom_of_hashut
enable	wh3_dlc23_effect_army_ability_enable_tower_ballistics_hidden	wh3_dlc23_army_abilities_tower_ballistics
disable	wh3_dlc23_effect_army_ability_enable_tower_ballistics_upgraded_toz_hidden	wh3_dlc23_army_abilities_tower_ballistics
enable	wh3_dlc23_effect_army_ability_enable_tower_ballistics_upgraded_toz_hidden	wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz
disable	wh3_dlc23_effect_army_ability_enable_tower_ballistics_upgraded_toz	wh3_dlc23_army_abilities_tower_ballistics
enable	wh3_dlc23_effect_army_ability_enable_tower_ballistics_upgraded_toz	wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz
enable	wh3_dlc23_effect_army_ability_enable_tower_ballistics	wh3_dlc23_army_abilities_tower_ballistics
enable	wh3_dlc23_effect_army_ability_enable_wrath_of_zharr	wh3_dlc23_army_abilities_wrath_of_zharr
uses_mod	wh3_dlc23_effect_army_ability_uses_tower_ballistics_hidden	wh3_dlc23_army_abilities_tower_ballistics
uses_mod	wh3_dlc23_effect_army_ability_uses_tower_ballistics_hidden	wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz
uses_mod	wh3_dlc23_effect_army_ability_uses_tower_ballistics	wh3_dlc23_army_abilities_tower_ballistics
uses_mod	wh3_dlc23_effect_army_ability_uses_tower_ballistics	wh3_dlc23_army_abilities_tower_ballistics_upgraded_toz
enable	wh3_dlc23_effect_chaos_runeshield_quest_battle_army_abilities	wh3_dlc23_army_abilities_guns_of_zharr
enable	wh3_main_effect_army_ability_ancestral_warriors	wh3_main_army_abilities_ancestral_warriors
enable	wh3_main_effect_army_ability_enable_arcane_surge_HIDDEN	wh3_main_army_abilities_arcane_surge
enable	wh3_main_effect_army_ability_enable_arcane_surge	wh3_main_army_abilities_arcane_surge
enable	wh3_main_effect_army_ability_enable_blade_of_khorne_HIDDEN	wh3_main_army_abilities_blade_of_khorne
enable	wh3_main_effect_army_ability_enable_blade_of_khorne	wh3_main_army_abilities_blade_of_khorne
enable	wh3_main_effect_army_ability_enable_bolt_of_change_HIDDEN	wh3_main_army_abilities_bolt_of_change
enable	wh3_main_effect_army_ability_enable_bolt_of_change	wh3_main_army_abilities_bolt_of_change
enable	wh3_main_effect_army_ability_enable_butcher	wh3_main_prisoners_butcher
enable	wh3_main_effect_army_ability_enable_celestial_intervention	wh3_main_army_abilities_celestial_intervention
enable	wh3_main_effect_army_ability_enable_curse_of_the_slug_HIDDEN	wh3_main_army_abilities_curse_of_the_slug
enable	wh3_main_effect_army_ability_enable_curse_of_the_slug	wh3_main_army_abilities_curse_of_the_slug
enable	wh3_main_effect_army_ability_enable_dismember	wh3_main_prisoners_dismember
enable	wh3_main_effect_army_ability_enable_fascination_HIDDEN	wh3_main_army_abilities_fascination
enable	wh3_main_effect_army_ability_enable_fascination	wh3_main_army_abilities_fascination
enable	wh3_main_effect_army_ability_enable_fecundity_HIDDEN	wh3_main_army_abilities_fecundity
enable	wh3_main_effect_army_ability_enable_fecundity	wh3_main_army_abilities_fecundity
enable	wh3_main_effect_army_ability_enable_gluttony	wh3_main_army_abilities_gluttony
enable	wh3_main_effect_army_ability_enable_horn_of_khorne_HIDDEN	wh3_main_army_abilities_horn_of_khorne
enable	wh3_main_effect_army_ability_enable_horn_of_khorne	wh3_main_army_abilities_horn_of_khorne
enable	wh3_main_effect_army_ability_enable_massacre	wh3_main_prisoners_massacre
enable	wh3_main_effect_army_ability_enable_narcissism_HIDDEN	wh3_main_army_abilities_narcissism
enable	wh3_main_effect_army_ability_enable_narcissism	wh3_main_army_abilities_narcissism
enable	wh3_main_effect_army_ability_enable_relentless_rage_HIDDEN	wh3_main_army_abilities_relentless_rage
enable	wh3_main_effect_army_ability_enable_relentless_rage	wh3_main_army_abilities_relentless_rage
enable	wh3_main_effect_army_ability_enable_rot_glorious_rot_HIDDEN	wh3_main_army_abilities_rot_glorious_rot
enable	wh3_main_effect_army_ability_enable_rot_glorious_rot	wh3_main_army_abilities_rot_glorious_rot
enable	wh3_main_effect_army_ability_enable_storm_of_fire_HIDDEN	wh3_main_army_abilities_storm_of_fire
enable	wh3_main_effect_army_ability_enable_storm_of_fire	wh3_main_army_abilities_storm_of_fire
enable	wh3_main_effect_army_ability_enable_summoned_from_beyond_daemon_prince	wh3_main_army_abilities_summoned_from_beyond_daemon_prince
enable	wh3_main_effect_army_ability_enable_summoned_from_beyond_khorne	wh3_main_army_abilities_summoned_from_beyond_khorne
enable	wh3_main_effect_army_ability_enable_summoned_from_beyond_nurgle	wh3_main_army_abilities_summoned_from_beyond_nurgle
enable	wh3_main_effect_army_ability_enable_summoned_from_beyond_slaanesh	wh3_main_army_abilities_summoned_from_beyond_slaanesh
enable	wh3_main_effect_army_ability_enable_summoned_from_beyond_tzeentch	wh3_main_army_abilities_summoned_from_beyond_tzeentch
enable	wh3_main_effect_army_ability_enable_sweet_sorrow_HIDDEN	wh3_main_army_abilities_sweet_sorrow
enable	wh3_main_effect_army_ability_enable_sweet_sorrow	wh3_main_army_abilities_sweet_sorrow
enable	wh3_main_effect_army_ability_enable_the_bitterness_of_winter	wh3_main_army_abilities_the_bitterness_of_winter
enable	wh3_main_effect_army_ability_enable_the_land_awakened	wh3_main_army_abilities_the_land_awakened
enable	wh3_main_effect_army_ability_enable_thunder_charge	wh3_main_army_abilities_thunder_charge
enable	wh3_main_effect_army_ability_enable_wrath_of_the_bear	wh3_main_army_abilities_wrath_of_the_bear
uses_mod	wh3_main_effect_army_ability_uses_summoned_from_beyond_khorne	wh3_main_army_abilities_summoned_from_beyond_khorne
enable	wh3_main_effect_ogres_prisoner_army_abilities	wh3_main_prisoners_butcher
enable	wh3_main_effect_ogres_prisoner_army_abilities	wh3_main_prisoners_dismember
enable	wh3_main_effect_ogres_prisoner_army_abilities	wh3_main_prisoners_massacre
enable	wh_dlc11_effect_ability_enable_battle_supply	wh2_dlc11_quest_battle_supply
enable	wh_dlc15_effect_yvresse_defence_1_sentinal_ability_dummy	wh2_dlc15_army_abilities_summon_the_sentinels
enable	wh_dlc15_effect_yvresse_defence_2_oath_ability_dummy	wh2_dlc15_army_abilities_oath_of_replenishment
enable	wh_dlc15_effect_yvresse_defence_2_sentinal_ability_dummy	wh2_dlc15_army_abilities_summon_the_sentinels
enable	wh_dlc15_effect_yvresse_defence_3_oath_enhanced_ability_dummy	wh2_dlc15_army_abilities_oath_of_replenishment_upgraded
enable	wh_dlc15_effect_yvresse_defence_3_sentinal_enhanced_ability_dummy	wh2_dlc15_army_abilities_summon_the_sentinels_upgraded
