bonus_value_id	building_set	effect
mod_cost	wh2_dlc11_set_vampire_lair	wh2_dlc11_vmp_skill_special_lahmian_construction_cost_vampire_lair_buildings
add_build_time	wh2_dlc11_set_vampire_lair	wh2_dlc11_vmp_skill_special_lahmian_construction_time_vampire_lair_buildings
mod_cost	wh2_dlc11_set_vmp_forest	wh2_dlc11_vmp_skill_special_von_carstein_construction_cost_forest_buildings
add_build_time	wh2_dlc11_set_vmp_forest	wh2_dlc11_vmp_skill_special_von_carstein_construction_time_forest_buildings
mod_cost	wh2_dlc12_set_lizardmen_skink	wh2_dlc12_effect_building_construction_cost_mod_lzd_skinks
mod_cost	wh2_dlc12_set_skaven_engineering	wh2_dlc12_effect_faction_effect_construction_cost_mod_skv_engineering
mod_cost	wh2_dlc15_set_hef_mages	wh2_dlc15_effect_building_cost_mod_hef_mages
mod_cost	wh2_main_set_highelf_defence	wh2_dlc15_effect_construction_cost_mod_hef_walls
add_build_time	wh2_main_set_highelf_defence	wh2_dlc15_effect_construction_time_mod_hef_walls
mod_cost	wh_dlc05_set_woodelves_military_recruitment	wh2_dlc16_effect_construction_cost_mod_wef_military
mod_cost	wh2_dlc16_set_skaven_monsters	wh2_dlc16_effect_construction_cost_skv_moulder_buildings
mod_build_time	wh_dlc05_set_woodelves_military_recruitment	wh2_dlc16_effect_construction_time_mod_wef_military
num_buildings_to_spawn_for_new_horde_army	wh2_dlc17_set_newhorde_beastmen_1	wh2_dlc17_effect_force_newhorde_buildings_bst_lvl_1
num_buildings_to_spawn_for_new_horde_army	wh2_dlc17_set_newhorde_beastmen_2	wh2_dlc17_effect_force_newhorde_buildings_bst_lvl_2
num_buildings_to_spawn_for_new_horde_army	wh2_dlc17_set_newhorde_beastmen_3	wh2_dlc17_effect_force_newhorde_buildings_bst_lvl_3
mod_cost	wh2_main_set_brt_barracks	wh2_main_effect_building_construction_cost_mod_barracks_brt
mod_cost	wh2_dlc09_set_brt_stables_pastures	wh2_main_effect_building_construction_cost_mod_brt_stables_pastures
mod_cost	wh2_main_set_brt_coastal	wh2_main_effect_building_construction_cost_mod_coastal_settlement_brt
mod_cost	wh2_main_set_dwf_rangers_drinking	wh2_main_effect_building_construction_cost_mod_dwf_rangers_drinking
mod_cost	wh2_main_set_highelf_defence	wh2_main_effect_building_construction_cost_mod_hef_defence
mod_cost	wh2_main_set_hef_cultural	wh2_main_effect_building_construction_cost_mod_hef_embassy_court_entertainment
mod_cost	wh2_main_set_hef_industry	wh2_main_effect_building_construction_cost_mod_hef_industry_resource
mod_cost	wh2_main_set_lizardmen_star_chamber	wh2_main_effect_building_construction_cost_mod_lzd_starchamber
mod_cost	wh2_main_set_lizardmen_temples	wh2_main_effect_building_construction_cost_mod_lzd_temples
mod_cost	wh_main_set_port	wh2_main_effect_building_construction_cost_mod_ports
mod_cost	wh2_main_set_resource	wh2_main_effect_building_construction_cost_mod_resource_buildings
mod_cost	wh2_main_set_skaven_plague	wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain
mod_cost	wh2_main_set_hef_worship	wh2_main_effect_building_construction_cost_mod_worship_hef_global
mod_cost	wh2_main_set_brt_grail	wh2_main_effect_building_construction_cost_mod_worship
mod_cost	wh2_main_set_hef_worship	wh2_main_effect_building_construction_cost_mod_worship
add_build_time	wh2_main_set_brt_barracks	wh2_main_effect_building_construction_time_mod_barracks_brt
add_build_time	wh2_main_set_brt_coastal	wh2_main_effect_building_construction_time_mod_coastal_settlement_brt
add_build_time	wh2_main_set_dwf_rangers_drinking	wh2_main_effect_building_construction_time_mod_dwf_rangers_drinking
add_build_time	wh2_main_set_hef_cultural	wh2_main_effect_building_construction_time_mod_hef_embassy_court_entertainment
add_build_time	wh2_main_set_hef_industry	wh2_main_effect_building_construction_time_mod_hef_industry_resource
add_build_time	wh2_main_set_resource	wh2_main_effect_building_construction_time_mod_lzd_resource_buildings
add_build_time	wh2_main_set_lizardmen_star_chamber	wh2_main_effect_building_construction_time_mod_lzd_starchamber
add_build_time	wh2_main_set_lizardmen_temples	wh2_main_effect_building_construction_time_mod_lzd_temples
mod_build_time	wh2_dlc09_set_brt_stables_pastures	wh2_main_effect_building_construction_time_mod_perc_brt_stables_pastures
add_build_time	wh_main_set_port	wh2_main_effect_building_construction_time_mod_ports
mod_build_time	wh_main_set_settlement_major	wh2_main_effect_building_construction_time_mod_settlement_percentage
mod_build_time	wh_main_set_settlement_minor	wh2_main_effect_building_construction_time_mod_settlement_percentage
add_build_time	wh2_main_set_brt_grail	wh2_main_effect_building_construction_time_mod_worship_brt
num_buildings_to_spawn_for_new_horde_army	wh2_main_set_newhorde_def	wh2_main_effect_force_newhorde_buildings_black_ark
num_buildings_to_spawn_for_new_horde_army	wh2_main_set_newhorde_rogue	wh2_main_effect_force_newhorde_buildings_rogue
mod_resource_production	wh2_main_set_hef_industry	wh2_main_effect_region_tradable_resource_production
mod_resource_production	wh2_main_set_landmark	wh2_main_effect_region_tradable_resource_production
mod_resource_production	wh2_main_set_resource	wh2_main_effect_region_tradable_resource_production
mod_resource_production	wh3_main_set_ksl_military_support	wh2_main_effect_region_tradable_resource_production
mod_cost	wh3_dlc23_set_chd_settlement_factory	wh3_dlc23_effect_building_construction_cost_mod_chd_factories
mod_cost	wh3_dlc23_set_chd_defence	wh3_dlc23_effect_building_construction_cost_mod_chd_garrison_chains
mod_cost	wh3_dlc23_set_chd_military_recruitment	wh3_dlc23_effect_building_construction_cost_mod_chd_military
mod_cost	wh3_dlc23_set_chd_military_support	wh3_dlc23_effect_building_construction_cost_mod_chd_military
mod_cost	wh3_dlc23_set_chd_settlement_outpost	wh3_dlc23_effect_building_construction_cost_mod_chd_outposts
mod_cost	wh3_dlc23_set_chd_temple_of_hashut	wh3_dlc23_effect_building_construction_cost_mod_chd_temple_of_hashut
mod_cost	wh3_dlc23_set_chd_settlement_tower	wh3_dlc23_effect_building_construction_cost_mod_chd_towers
add_build_time	wh3_dlc23_set_chd_settlement_factory	wh3_dlc23_effect_building_construction_time_mod_chd_factories
add_build_time	wh3_dlc23_set_chd_defence	wh3_dlc23_effect_building_construction_time_mod_chd_garrison_chains
add_build_time	wh3_dlc23_set_chd_military_recruitment	wh3_dlc23_effect_building_construction_time_mod_chd_military
add_build_time	wh3_dlc23_set_chd_military_support	wh3_dlc23_effect_building_construction_time_mod_chd_military
add_build_time	wh3_dlc23_set_chd_settlement_outpost	wh3_dlc23_effect_building_construction_time_mod_chd_outposts
add_build_time	wh3_dlc23_set_chd_temple_of_hashut	wh3_dlc23_effect_building_construction_time_mod_chd_temple_of_hashut
add_build_time	wh3_dlc23_set_chd_settlement_tower	wh3_dlc23_effect_building_construction_time_mod_chd_towers
mod_cost	wh_main_set_norsca_economy	wh3_dlc24_effect_building_construction_cost_military_support_economy_mod
mod_cost	wh_main_set_norsca_military_support	wh3_dlc24_effect_building_construction_cost_military_support_economy_mod
mod_cost	wh3_main_set_cth_military_support	wh3_dlc24_effect_building_construction_cost_mod_advanced_military
mod_gdp	wh3_dlc24_set_cth_industry_yin	wh3_dlc24_effect_economy_gdp_mod_cth_industry_yin
mod_cost	wh3_dlc25_set_dwarf_industry	wh3_dlc25_effect_building_construction_cost_mod_dwf_industry
mod_cost	wh3_dlc25_set_dwarf_trade	wh3_dlc25_effect_building_construction_cost_mod_dwf_trade
mod_cost	wh_main_set_dwarf_military_support	wh3_dlc25_effect_building_construction_cost_mod_military_support
mod_cost	wh2_dlc09_set_tomb_kings_military_recruitment	wh3_dlc25_effect_building_construction_cost_mod_tmb_military
mod_cost	wh2_dlc09_set_tomb_kings_military_support	wh3_dlc25_effect_building_construction_cost_mod_tmb_military
mod_build_time	wh_main_set_empire_wizards	wh3_dlc25_effect_building_construction_time_mod_empire_wizards
mod_cost	wh3_dlc25_set_emp_military_support	wh3_dlc25_effect_building_military_cost
add_build_time	wh3_dlc25_set_emp_military_support	wh3_dlc25_effect_building_military_costruction_time
add_build_time	wh_main_set_dwarf_military_recruitment	wh3_dlc25_effect_construction_time_mod_military_recruitment
add_build_time	wh_main_set_dwarf_military_support	wh3_dlc25_effect_construction_time_mod_military_support
mod_gdp	wh3_main_set_nurgle_infrastructure	wh3_dlc25_effect_economy_gdp_mod_infrastructure
mod_gdp	wh3_dlc24_set_tze_the_changeling_parasitic	wh3_dlc_24_effect_cult_income_gdp_mod
mod_gdp	wh3_dlc24_set_tze_the_changeling_symbiotic	wh3_dlc_24_effect_cult_income_gdp_mod
mod_cost	wh_main_set_dwarf_defence	wh3_dlc_25_effect_building_construction_cost_mod_defence_buildings
add_build_time	wh_main_set_dwarf_defence	wh3_dlc_25_effect_building_construction_time_mod_defence_buildings
add_build_time	wh_main_set_dwarf_economy	wh3_dlc_25_effect_building_construction_time_mod_infrastructure_buildings
mod_cost	wh3_main_set_cth_bastion	wh3_main_effect_building_construction_cost_mod_bastion
mod_cost	wh3_main_set_cth_yang	wh3_main_effect_building_construction_cost_mod_cth_yang
mod_cost	wh3_main_set_cth_yin	wh3_main_effect_building_construction_cost_mod_cth_yin
mod_cost	wh3_dlc25_set_emp_foreign_gom	wh3_main_effect_building_construction_cost_mod_gardens_of_morr
mod_cost	wh3_main_set_ksl_garrison_religion	wh3_main_effect_building_construction_cost_mod_ksl_defence_religion
mod_cost	wh3_main_set_ksl_corruption_land	wh3_main_effect_building_construction_cost_mod_ksl_hallowed_wood
mod_cost	wh3_main_set_ksl_orthodoxy	wh3_main_effect_building_construction_cost_mod_ksl_religion
add_build_time	wh3_main_set_dae_khorne	wh3_main_effect_building_construction_time_mod_dae_kho
add_build_time	wh3_main_set_dae_nurgle	wh3_main_effect_building_construction_time_mod_dae_nur
add_build_time	wh3_main_set_dae_slaanesh	wh3_main_effect_building_construction_time_mod_dae_sla
add_build_time	wh3_main_set_dae_tzeentch	wh3_main_effect_building_construction_time_mod_dae_tze
add_build_time	wh3_main_set_kho	wh3_main_effect_building_construction_time_mod_kho
add_build_time	wh3_main_set_ksl_defence	wh3_main_effect_building_construction_time_mod_ksl_all
add_build_time	wh3_main_set_ksl_infrastructure	wh3_main_effect_building_construction_time_mod_ksl_all
add_build_time	wh3_main_set_ksl_military_recruitment	wh3_main_effect_building_construction_time_mod_ksl_all
add_build_time	wh3_main_set_ksl_military_support	wh3_main_effect_building_construction_time_mod_ksl_all
add_build_time	wh_main_set_settlement_major	wh3_main_effect_building_construction_time_mod_ksl_all
mod_build_time	wh3_main_set_ksl_garrison_religion	wh3_main_effect_building_construction_time_mod_ksl_defence_religion
add_build_time	wh2_main_set_lzd	wh3_main_effect_building_construction_time_mod_lzd
add_build_time	wh3_main_set_cth_yang	wh3_main_effect_building_construction_time_mod_yang
add_build_time	wh3_main_set_cth_yin	wh3_main_effect_building_construction_time_mod_yin
lifecycle_stage_duration_mod	wh3_main_set_nurgle_infrastructure	wh3_main_effect_building_cyclical_construction_time_mod_infrastructure
lifecycle_stage_duration_mod	wh3_main_set_nurgle_1	wh3_main_effect_building_cyclical_construction_time_mod_military_1
lifecycle_stage_duration_mod	wh3_main_set_nurgle_2	wh3_main_effect_building_cyclical_construction_time_mod_military_2
lifecycle_stage_duration_mod	wh3_main_set_nurgle_3	wh3_main_effect_building_cyclical_construction_time_mod_military_3
lifecycle_stage_duration_mod	wh3_main_set_nurgle_4	wh3_main_effect_building_cyclical_construction_time_mod_military_4
lifecycle_stage_duration_mod	wh3_main_set_nurgle_5	wh3_main_effect_building_cyclical_construction_time_mod_military_5
lifecycle_stage_duration_mod	wh3_main_set_nurgle_advanced_mil	wh3_main_effect_building_cyclical_construction_time_mod_military_advanced
lifecycle_stage_duration_mod	wh3_main_set_nurgle_basic_mil	wh3_main_effect_building_cyclical_construction_time_mod_military_basic
add_build_time	wh3_main_set_tze_library	wh3_main_effect_construction_time_tze_library
mod_gdp	wh3_main_set_cth_industry_yang	wh3_main_effect_economy_gdp_mod_cth_industry_yang
mod_gdp	wh3_main_set_cth_yang	wh3_main_effect_economy_gdp_mod_cth_yang
mod_gdp	wh3_main_set_cth_yin	wh3_main_effect_economy_gdp_mod_cth_yin
mod_gdp	wh3_main_set_ksl_orthodoxy	wh3_main_effect_economy_gdp_mod_ksl_orthodox_buildings
num_buildings_to_spawn_for_new_horde_army	wh3_main_set_newhorde_ogr	wh3_main_effect_force_newhorde_buildings_ogre_camp
mod_gdp	wh3_main_set_ogre_camp_all	wh3_main_effect_ogr_camp_income
num_buildings_to_spawn_for_new_horde_army	wh_dlc03_set_newhorde_beastmen	wh_dlc03_effect_force_newhorde_building_beastmen
mod_cost	wh2_dlc09_set_tomb_kings_military_support	wh_dlc04_effect_cost_reduction_sigmar_shrine
mod_cost	wh_main_set_dwarf_military_support	wh_dlc04_effect_cost_reduction_sigmar_shrine
mod_cost	wh_main_set_empire_military_support	wh_dlc04_effect_cost_reduction_sigmar_shrine
mod_cost	wh_main_set_empire_wizards	wh_main_effect_building_construction_cost_mod_empire_wizards
mod_cost	wh2_dlc09_set_tomb_kings_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh2_dlc11_set_vampire_coast_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_dlc23_chd_factory_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_dlc23_set_chd_tower_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_khorne_defence	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_khorne_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_nurgle_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_slaanesh_defence	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_slaanesh_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_tzeentch_defence	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh3_main_set_tzeentch_infrastructure	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh_main_set_empire_economy	wh_main_effect_building_construction_cost_mod_infrastructure
mod_cost	wh2_dlc09_set_tomb_kings_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_dlc23_set_chd_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_dlc23_set_chd_military_support	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_khorne_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_khorne_military_support	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_nurgle_advanced_mil	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_nurgle_basic_mil	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_slaanesh_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_slaanesh_military_support	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_tzeentch_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh3_main_set_tzeentch_military_support	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_dwarf_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_empire_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_greenskin_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_cost	wh_main_set_vampire_military_recruitment	wh_main_effect_building_construction_cost_mod_recruitment
mod_conversion_cost	wh_main_set_settlement_major	wh_main_effect_building_construction_cost_mod_settlement
mod_conversion_cost	wh_main_set_settlement_minor	wh_main_effect_building_construction_cost_mod_settlement
mod_cost	wh_main_set_settlement_major	wh_main_effect_building_construction_cost_mod_settlement
mod_cost	wh_main_set_settlement_minor	wh_main_effect_building_construction_cost_mod_settlement
mod_cost	wh2_main_set_darkelf_sorcery	wh_main_effect_building_construction_cost_mod_sorcery_def
mod_cost	wh2_main_set_darkelf_temples	wh_main_effect_building_construction_cost_mod_worship_def
add_build_time	wh_main_set_settlement_major	wh_main_effect_building_construction_time_mod_settlement
add_build_time	wh_main_set_settlement_minor	wh_main_effect_building_construction_time_mod_settlement
num_buildings_to_spawn_for_new_horde_army	wh_main_set_newhorde_chaos	wh_main_effect_force_newhorde_buildings_chaos
num_buildings_to_spawn_for_new_horde_army	wh_main_set_newhorde_savage_orcs	wh_main_effect_force_newhorde_buildings_savage_orcs
