campaign_map_event_area	region	province	exclude
wh3_main_combi_province_central_great_bastion_crater		wh3_main_combi_province_central_great_bastion	false
wh3_main_combi_province_central_jungles_fire		wh3_main_combi_province_central_jungles	false
wh3_main_combi_province_chimera_plateau_crater		wh3_main_combi_province_chimera_plateau	false
wh3_main_combi_province_chrace_chasm		wh3_main_combi_province_chrace	false
wh3_main_combi_province_coast_of_araby_crater		wh3_main_combi_province_coast_of_araby	false
wh3_main_combi_province_coast_of_lyonesse_crater		wh3_main_combi_province_coast_of_lyonesse	false
wh3_main_combi_province_copper_desert_fire		wh3_main_combi_province_copper_desert	false
wh3_main_combi_province_cothique_chasm		wh3_main_combi_province_cothique	false
wh3_main_combi_province_crater_of_the_waking_dead_chasm		wh3_main_combi_province_crater_of_the_waking_dead	false
wh3_main_combi_province_culchan_plains_crater		wh3_main_combi_province_culchan_plains	false
wh3_main_combi_province_dawns_landing_crater		wh3_main_combi_province_dawns_landing	false
wh3_main_combi_province_deadrock_gap_chasm		wh3_main_combi_province_deadrock_gap	false
wh3_main_combi_province_deadwood_crater		wh3_main_combi_province_deadwood	false
wh3_main_combi_province_death_pass_fire		wh3_main_combi_province_death_pass	false
wh3_main_combi_province_devils_backbone_fire		wh3_main_combi_province_devils_backbone	false
wh3_main_combi_province_doom_glades_fire		wh3_main_combi_province_doom_glades	false
wh3_main_combi_province_eagle_gate_fire		wh3_main_combi_province_eagle_gate	false
wh3_main_combi_province_eastern_badlands_crater		wh3_main_combi_province_eastern_badlands	false
wh3_main_combi_province_eastern_border_princes_fire		wh3_main_combi_province_eastern_border_princes	false
wh3_main_combi_province_eastern_colonies_crater		wh3_main_combi_province_eastern_colonies	false
wh3_main_combi_province_eastern_great_bastion_crater		wh3_main_combi_province_eastern_great_bastion	false
wh3_main_combi_province_eastern_oblast_chasm		wh3_main_combi_province_eastern_oblast	false
wh3_main_combi_province_eastern_steppes_chasm		wh3_main_combi_province_eastern_steppes	false
wh3_main_combi_province_eataine_fire		wh3_main_combi_province_eataine	false
wh3_main_combi_province_eight_peaks_crater		wh3_main_combi_province_eight_peaks	false
wh3_main_combi_province_ellyrion_chasm		wh3_main_combi_province_ellyrion	false
wh3_main_combi_province_estalia_crater		wh3_main_combi_province_estalia	false
wh3_main_combi_province_forest_of_arden_fire		wh3_main_combi_province_forest_of_arden	false
wh3_main_combi_province_forest_of_chalons_fire		wh3_main_combi_province_forest_of_chalons	false
wh3_main_combi_province_forest_of_gloom_fire		wh3_main_combi_province_forest_of_gloom	false
wh3_main_combi_province_forests_of_the_moon_fire		wh3_main_combi_province_forests_of_the_moon	false
wh3_main_combi_province_gash_kadrak_crater		wh3_main_combi_province_gash_kadrak	false
wh3_main_combi_province_gianthome_mountains_chasm		wh3_main_combi_province_gianthome_mountains	false
wh3_main_combi_province_gnoblar_country_crater		wh3_main_combi_province_gnoblar_country	false
wh3_main_combi_province_goromadny_mountains_crater		wh3_main_combi_province_goromadny_mountains	false
wh3_main_combi_province_granite_hills_chasm		wh3_main_combi_province_granite_hills	false
wh3_main_combi_province_great_desert_of_araby_chasm		wh3_main_combi_province_great_desert_of_araby	false
wh3_main_combi_province_great_mortis_delta_chasm		wh3_main_combi_province_great_mortis_delta	false
wh3_main_combi_province_griffon_gate_fire		wh3_main_combi_province_griffon_gate	false
wh3_main_combi_province_gryphon_wood_fire		wh3_main_combi_province_gryphon_wood	false
wh3_main_combi_province_gunpowder_road_crater		wh3_main_combi_province_gunpowder_road	false
wh3_main_combi_province_headhunters_jungle_chasm		wh3_main_combi_province_headhunters_jungle	false
wh3_main_combi_province_heart_of_the_jungle_fire		wh3_main_combi_province_heart_of_the_jungle	false
wh3_main_combi_province_helspire_mountains_crater		wh3_main_combi_province_helspire_mountains	false
wh3_main_combi_province_hochland_crater		wh3_main_combi_province_hochland	false
wh3_main_combi_province_ice_tooth_mountains_crater		wh3_main_combi_province_ice_tooth_mountains	false
wh3_main_combi_province_imperial_road_crater		wh3_main_combi_province_imperial_road	false
wh3_main_combi_province_iron_coast_crater		wh3_main_combi_province_iron_coast	false
wh3_main_combi_province_iron_foothills_chasm		wh3_main_combi_province_iron_foothills	false
wh3_main_combi_province_iron_mountains_fire		wh3_main_combi_province_iron_mountains	false
wh3_main_combi_province_ironfrost_glacier_crater		wh3_main_combi_province_ironfrost_glacier	false
wh3_main_combi_province_ironsand_desert_chasm		wh3_main_combi_province_ironsand_desert	false
wh3_main_combi_province_irrana_mountains_crater		wh3_main_combi_province_irrana_mountains	false
wh3_main_combi_province_isthmus_of_lustria_crater		wh3_main_combi_province_isthmus_of_lustria	false
wh3_main_combi_province_ivory_road_chasm		wh3_main_combi_province_ivory_road	false
wh3_main_combi_province_jade_river_delta_crater		wh3_main_combi_province_jade_river_delta	false
wh3_main_combi_province_jungles_of_chian_fire		wh3_main_combi_province_jungles_of_chian	false
wh3_main_combi_province_jungles_of_green_mist_fire		wh3_main_combi_province_jungles_of_green_mist	false
wh3_main_combi_province_jungles_of_pahualaxa_crater		wh3_main_combi_province_jungles_of_pahualaxa	false
wh3_main_combi_province_kdatha_fire		wh3_main_combi_province_kdatha	false
wh3_main_combi_province_kingdom_of_beasts_fire		wh3_main_combi_province_kingdom_of_beasts	false
wh3_main_combi_province_land_of_assassins_crater		wh3_main_combi_province_land_of_assassins	false
wh3_main_combi_province_land_of_the_dead_chasm		wh3_main_combi_province_land_of_the_dead	false
wh3_main_combi_province_land_of_the_dervishes_chasm		wh3_main_combi_province_land_of_the_dervishes	false
wh3_main_combi_province_lands_of_stone_and_steel_crater		wh3_main_combi_province_lands_of_stone_and_steel	false
wh3_main_combi_province_marches_of_couronne_chasm		wh3_main_combi_province_marches_of_couronne	false
wh3_main_combi_province_marshes_of_madness_crater		wh3_main_combi_province_marshes_of_madness	false
wh3_main_combi_province_middenland_fire		wh3_main_combi_province_middenland	false
wh3_main_combi_province_mootland_crater		wh3_main_combi_province_mootland	false
wh3_main_combi_province_mosquito_swamps_chasm		wh3_main_combi_province_mosquito_swamps	false
wh3_main_combi_province_mount_li_crater		wh3_main_combi_province_mount_li	false
wh3_main_combi_province_mountains_end_chasm		wh3_main_combi_province_mountains_end	false
wh3_main_combi_province_mountains_of_hel_fire		wh3_main_combi_province_mountains_of_hel	false
wh3_main_combi_province_mountains_of_mourn_fire		wh3_main_combi_province_mountains_of_mourn	false
wh3_main_combi_province_mountains_of_naglfari_fire		wh3_main_combi_province_mountains_of_naglfari	false
wh3_main_combi_province_mouth_of_ruin_fire		wh3_main_combi_province_mouth_of_ruin	false
wh3_main_combi_province_nagarythe_chasm		wh3_main_combi_province_nagarythe	false
wh3_main_combi_province_nongchang_basin_crater		wh3_main_combi_province_nongchang_basin	false
wh3_main_combi_province_nordland_crater		wh3_main_combi_province_nordland	false
wh3_main_combi_province_northern_grey_mountains_chasm		wh3_main_combi_province_axe_bite_pass	false
wh3_main_combi_province_northern_grey_mountains_chasm		wh3_main_combi_province_gisoreux_gap	false
wh3_main_combi_province_northern_grey_mountains_chasm		wh3_main_combi_province_northern_grey_mountains	false
wh3_main_combi_province_northern_sylvania_crater		wh3_main_combi_province_northern_sylvania	false
wh3_main_combi_province_northern_wastes_fire		wh3_main_combi_province_northern_wastes	false
wh3_main_combi_province_northern_worlds_edge_mountains_chasm		wh3_main_combi_province_northern_worlds_edge_mountains	false
wh3_main_combi_province_northern_yvresse_fire		wh3_main_combi_province_northern_yvresse	false
wh3_main_combi_province_obsidian_peaks_crater		wh3_main_combi_province_obsidian_peaks	false
wh3_main_combi_province_ostermark_fire		wh3_main_combi_province_ostermark	false
wh3_main_combi_province_ostland_chasm		wh3_main_combi_province_ostland	false
wh3_main_combi_province_path_to_the_east_chasm		wh3_main_combi_province_path_to_the_east	false
wh3_main_combi_province_peak_pass_chasm		wh3_main_combi_province_peak_pass	false
wh3_main_combi_province_phoenix_gate_fire		wh3_main_combi_province_phoenix_gate	false
wh3_main_combi_province_pirates_current_crater		wh3_main_combi_province_pirates_current	false
wh3_main_combi_province_plain_of_illusions_crater		wh3_main_combi_province_plain_of_illusions	false
wh3_main_combi_province_plains_of_xen_crater		wh3_main_combi_province_plains_of_xen	false
wh3_main_combi_province_red_desert_fire		wh3_main_combi_province_red_desert	false
wh3_main_combi_province_reikland_crater		wh3_main_combi_province_reikland	false
wh3_main_combi_province_rib_peaks_chasm		wh3_main_combi_province_rib_peaks	false
wh3_main_combi_province_river_brienne_crater		wh3_main_combi_province_river_brienne	false
wh3_main_combi_province_river_lynsk_fire		wh3_main_combi_province_river_lynsk	false
wh3_main_combi_province_river_qurveza_crater		wh3_main_combi_province_river_qurveza	false
wh3_main_combi_province_river_urskoy_crater		wh3_main_combi_province_river_urskoy	false
wh3_main_combi_province_saphery_chasm		wh3_main_combi_province_saphery	false
wh3_main_combi_province_scorpion_coast_crater		wh3_main_combi_province_scorpion_coast	false
wh3_main_combi_province_serpent_estuary_fire		wh3_main_combi_province_serpent_estuary	false
wh3_main_combi_province_shifting_sands_chasm		wh3_main_combi_province_shifting_sands	false
wh3_main_combi_province_solland_crater		wh3_main_combi_province_solland	false
wh3_main_combi_province_southern_badlands_fire		wh3_main_combi_province_southern_badlands	false
wh3_main_combi_province_southern_grey_mountains_crater		wh3_main_combi_province_southern_grey_mountains	false
wh3_main_combi_province_southern_jungles_fire		wh3_main_combi_province_southern_jungles	false
wh3_main_combi_province_southern_oblast_crater		wh3_main_combi_province_southern_oblast	false
wh3_main_combi_province_southern_sylvania_crater		wh3_main_combi_province_southern_sylvania	false
wh3_main_combi_province_southern_worlds_edge_mountains_fire		wh3_main_combi_province_southern_worlds_edge_mountains	false
wh3_main_combi_province_southern_yvresse_fire		wh3_main_combi_province_southern_yvresse	false
wh3_main_combi_province_southlands_worlds_edge_mountains_chasm		wh3_main_combi_province_southlands_worlds_edge_mountains	false
wh3_main_combi_province_spine_of_sotek_chasm		wh3_main_combi_province_spine_of_sotek	false
wh3_main_combi_province_spiteful_peaks_chasm		wh3_main_combi_province_spiteful_peaks	false
wh3_main_combi_province_stirland_fire		wh3_main_combi_province_stirland	false
wh3_main_combi_province_stonesky_foothills_fire		wh3_main_combi_province_stonesky_foothills	false
wh3_main_combi_province_talabecland_fire		wh3_main_combi_province_talabecland	false
wh3_main_combi_province_the_abyssal_glacier_fire		wh3_main_combi_province_the_abyssal_glacier	false
wh3_main_combi_province_the_black_flood_fire		wh3_main_combi_province_the_black_flood	false
wh3_main_combi_province_the_blasted_wastes_crater		wh3_main_combi_province_the_blasted_wastes	false
wh3_main_combi_province_the_bleak_coast_crater		wh3_main_combi_province_the_bleak_coast	false
wh3_main_combi_province_the_blighted_marshes_crater		wh3_main_combi_province_the_blighted_marshes	false
wh3_main_combi_province_the_blood_marshes_chasm		wh3_main_combi_province_the_blood_marshes	false
wh3_main_combi_province_the_broken_lands_crater		wh3_main_combi_province_the_broken_lands	false
wh3_main_combi_province_the_capes_chasm		wh3_main_combi_province_the_capes	false
wh3_main_combi_province_the_clawed_coast_chasm		wh3_main_combi_province_the_clawed_coast	false
wh3_main_combi_province_the_cold_mires_crater		wh3_main_combi_province_the_cold_mires	false
wh3_main_combi_province_the_cracked_land_chasm		wh3_main_combi_province_the_cracked_land	false
wh3_main_combi_province_the_creeping_jungle_chasm		wh3_main_combi_province_the_creeping_jungle	false
wh3_main_combi_province_the_cursed_city_crater		wh3_main_combi_province_the_cursed_city	false
wh3_main_combi_province_the_daemonium_hills_fire		wh3_main_combi_province_the_daemonium_hills	false
wh3_main_combi_province_the_desolation_of_azgorh_crater		wh3_main_combi_province_the_desolation_of_azgorh	false
wh3_main_combi_province_the_dragon_isles_crater		wh3_main_combi_province_the_dragon_isles	false
wh3_main_combi_province_the_eternal_lagoon_chasm		wh3_main_combi_province_the_eternal_lagoon	false
wh3_main_combi_province_the_golden_pass_fire		wh3_main_combi_province_the_golden_pass	false
wh3_main_combi_province_the_great_canal_fire		wh3_main_combi_province_the_great_canal	false
wh3_main_combi_province_the_gwangee_valley_fire		wh3_main_combi_province_the_gwangee_valley	false
wh3_main_combi_province_the_haunted_forest_crater		wh3_main_combi_province_the_haunted_forest	false
wh3_main_combi_province_the_howling_wastes_crater		wh3_main_combi_province_the_howling_wastes	false
wh3_main_combi_province_the_ice_fire_plains_chasm		wh3_main_combi_province_the_ice_fire_plains	false
wh3_main_combi_province_the_isthmus_coast_fire		wh3_main_combi_province_the_isthmus_coast	false
wh3_main_combi_province_the_jungles_of_the_gods_crater		wh3_main_combi_province_the_jungles_of_the_gods	false
wh3_main_combi_province_the_lost_valley_crater		wh3_main_combi_province_the_lost_valley	false
wh3_main_combi_province_the_misty_hills_fire		wh3_main_combi_province_the_misty_hills	false
wh3_main_combi_province_the_night_forest_road_chasm		wh3_main_combi_province_the_night_forest_road	false
wh3_main_combi_province_the_noisome_tumour_crater		wh3_main_combi_province_the_noisome_tumour	false
wh3_main_combi_province_the_plain_of_bones_fire		wh3_main_combi_province_the_plain_of_bones	false
wh3_main_combi_province_the_plain_of_zharr_crater		wh3_main_combi_province_the_plain_of_zharr	false
wh3_main_combi_province_the_red_wastes_chasm		wh3_main_combi_province_the_red_wastes	false
wh3_main_combi_province_the_road_of_skulls_chasm		wh3_main_combi_province_the_road_of_skulls	false
wh3_main_combi_province_the_sacred_pools_crater		wh3_main_combi_province_the_sacred_pools	false
wh3_main_combi_province_the_shard_lands_fire		wh3_main_combi_province_the_shard_lands	false
wh3_main_combi_province_the_silver_road_chasm		wh3_main_combi_province_the_silver_road	false
wh3_main_combi_province_the_skull_road_chasm		wh3_main_combi_province_the_skull_road	false
wh3_main_combi_province_the_southern_wastes_chasm		wh3_main_combi_province_the_southern_wastes	false
wh3_main_combi_province_the_turtle_isles_fire		wh3_main_combi_province_the_turtle_isles	false
wh3_main_combi_province_the_vaults_crater		wh3_main_combi_province_the_vaults	false
wh3_main_combi_province_the_wasteland_fire		wh3_main_combi_province_the_wasteland	false
wh3_main_combi_province_the_witchs_wood_fire		wh3_main_combi_province_the_witchs_wood	false
wh3_main_combi_province_the_witchwood_fire		wh3_main_combi_province_the_witchwood	false
wh3_main_combi_province_the_wolf_lands_crater		wh3_main_combi_province_the_wolf_lands	false
wh3_main_combi_province_tilea_crater		wh3_main_combi_province_tilea	false
wh3_main_combi_province_tiranoc_chasm		wh3_main_combi_province_tiranoc	false
wh3_main_combi_province_titan_peaks_fire		wh3_main_combi_province_titan_peaks	false
wh3_main_combi_province_troll_country_crater		wh3_main_combi_province_troll_country	false
wh3_main_combi_province_trollheim_mountains_chasm		wh3_main_combi_province_trollheim_mountains	false
wh3_main_combi_province_unicorn_gate_fire		wh3_main_combi_province_unicorn_gate	false
wh3_main_combi_province_vampire_coast_chasm		wh3_main_combi_province_vampire_coast	false
wh3_main_combi_province_vanaheim_mountains_fire		wh3_main_combi_province_vanaheim_mountains	false
wh3_main_combi_province_volcanic_islands_fire		wh3_main_combi_province_volcanic_islands	false
wh3_main_combi_province_warpstone_desert_chasm		wh3_main_combi_province_warpstone_desert	false
wh3_main_combi_province_wastelands_of_jinshen_crater		wh3_main_combi_province_wastelands_of_jinshen	false
wh3_main_combi_province_western_badlands_fire		wh3_main_combi_province_western_badlands	false
wh3_main_combi_province_western_border_princes_crater		wh3_main_combi_province_western_border_princes	false
wh3_main_combi_province_western_great_bastion_crater		wh3_main_combi_province_western_great_bastion	false
wh3_main_combi_province_western_jungles_fire		wh3_main_combi_province_western_jungles	false
wh3_main_combi_province_winters_teeth_pass_crater		wh3_main_combi_province_winters_teeth_pass	false
wh3_main_combi_province_wissenland_crater		wh3_main_combi_province_wissenland	false
wh3_main_combi_province_yn_edri_eternos_fire		wh3_main_combi_province_argwylon	false
wh3_main_combi_province_yn_edri_eternos_fire		wh3_main_combi_province_talsyn	false
wh3_main_combi_province_yn_edri_eternos_fire		wh3_main_combi_province_torgovann	false
wh3_main_combi_province_yn_edri_eternos_fire		wh3_main_combi_province_wydrioth	false
wh3_main_combi_province_yn_edri_eternos_fire		wh3_main_combi_province_yn_edri_eternos	false
wh3_main_combi_province_zorn_uzkul_crater		wh3_main_combi_province_zorn_uzkul	false
