difficulty_level	faction	budget	group
1	wh2_dlc11_cst_shanty_shark_straight_seadogs	0	wh2_dlc11_cst_shanty_shark_straight_seadogs
2	wh2_dlc11_cst_shanty_shark_straight_seadogs	0	wh2_dlc11_cst_shanty_shark_straight_seadogs
3	wh2_dlc11_cst_shanty_shark_straight_seadogs	0	wh2_dlc11_cst_shanty_shark_straight_seadogs
4	wh2_dlc11_cst_shanty_shark_straight_seadogs	0	wh2_dlc11_cst_shanty_shark_straight_seadogs
0	wh2_main_rogue_abominations	2000	wh2_main_rogue_group_abominations
1	wh2_main_rogue_abominations	2000	wh2_main_rogue_group_abominations
2	wh2_main_rogue_abominations	2000	wh2_main_rogue_group_abominations
3	wh2_main_rogue_abominations	2000	wh2_main_rogue_group_abominations
4	wh2_main_rogue_abominations	2000	wh2_main_rogue_group_abominations
0	wh2_main_rogue_beastcatchas	2000	wh2_main_rogue_group_beastcatchas
1	wh2_main_rogue_beastcatchas	2000	wh2_main_rogue_group_beastcatchas
2	wh2_main_rogue_beastcatchas	2000	wh2_main_rogue_group_beastcatchas
3	wh2_main_rogue_beastcatchas	2000	wh2_main_rogue_group_beastcatchas
4	wh2_main_rogue_beastcatchas	2000	wh2_main_rogue_group_beastcatchas
0	wh2_main_rogue_bernhoffs_brigands	2000	wh2_main_rogue_group_bernhoffs_brigands
1	wh2_main_rogue_bernhoffs_brigands	2000	wh2_main_rogue_group_bernhoffs_brigands
2	wh2_main_rogue_bernhoffs_brigands	2000	wh2_main_rogue_group_bernhoffs_brigands
3	wh2_main_rogue_bernhoffs_brigands	2000	wh2_main_rogue_group_bernhoffs_brigands
4	wh2_main_rogue_bernhoffs_brigands	2000	wh2_main_rogue_group_bernhoffs_brigands
0	wh2_main_rogue_black_spider_tribe	2000	wh2_main_rogue_group_black_spider_tribe
1	wh2_main_rogue_black_spider_tribe	2000	wh2_main_rogue_group_black_spider_tribe
2	wh2_main_rogue_black_spider_tribe	2000	wh2_main_rogue_group_black_spider_tribe
3	wh2_main_rogue_black_spider_tribe	2000	wh2_main_rogue_group_black_spider_tribe
4	wh2_main_rogue_black_spider_tribe	2000	wh2_main_rogue_group_black_spider_tribe
0	wh2_main_rogue_boneclubbers_tribe	2000	wh2_main_rogue_group_boneclubbers_tribe
1	wh2_main_rogue_boneclubbers_tribe	2000	wh2_main_rogue_group_boneclubbers_tribe
2	wh2_main_rogue_boneclubbers_tribe	2000	wh2_main_rogue_group_boneclubbers_tribe
3	wh2_main_rogue_boneclubbers_tribe	2000	wh2_main_rogue_group_boneclubbers_tribe
4	wh2_main_rogue_boneclubbers_tribe	2000	wh2_main_rogue_group_boneclubbers_tribe
0	wh2_main_rogue_celestial_storm	2000	wh2_main_rogue_group_celestial_storm
1	wh2_main_rogue_celestial_storm	2000	wh2_main_rogue_group_celestial_storm
2	wh2_main_rogue_celestial_storm	2000	wh2_main_rogue_group_celestial_storm
3	wh2_main_rogue_celestial_storm	2000	wh2_main_rogue_group_celestial_storm
4	wh2_main_rogue_celestial_storm	2000	wh2_main_rogue_group_celestial_storm
0	wh2_main_rogue_college_of_pyrotechnics	2000	wh2_main_rogue_group_college_of_pyrotechnics
1	wh2_main_rogue_college_of_pyrotechnics	2000	wh2_main_rogue_group_college_of_pyrotechnics
2	wh2_main_rogue_college_of_pyrotechnics	2000	wh2_main_rogue_group_college_of_pyrotechnics
3	wh2_main_rogue_college_of_pyrotechnics	2000	wh2_main_rogue_group_college_of_pyrotechnics
4	wh2_main_rogue_college_of_pyrotechnics	2000	wh2_main_rogue_group_college_of_pyrotechnics
0	wh2_main_rogue_def_chs_vashnaar	10000	wh2_main_rogue_group_vashnaar
1	wh2_main_rogue_def_chs_vashnaar	10000	wh2_main_rogue_group_vashnaar
2	wh2_main_rogue_def_chs_vashnaar	10000	wh2_main_rogue_group_vashnaar
3	wh2_main_rogue_def_chs_vashnaar	10000	wh2_main_rogue_group_vashnaar
4	wh2_main_rogue_def_chs_vashnaar	10000	wh2_main_rogue_group_vashnaar
0	wh2_main_rogue_def_mengils_manflayers	2000	wh2_main_rogue_group_mengils_manflayers
1	wh2_main_rogue_def_mengils_manflayers	2000	wh2_main_rogue_group_mengils_manflayers
2	wh2_main_rogue_def_mengils_manflayers	2000	wh2_main_rogue_group_mengils_manflayers
3	wh2_main_rogue_def_mengils_manflayers	2000	wh2_main_rogue_group_mengils_manflayers
4	wh2_main_rogue_def_mengils_manflayers	2000	wh2_main_rogue_group_mengils_manflayers
0	wh2_main_rogue_doomseekers	2000	wh2_main_rogue_group_doomseekers
1	wh2_main_rogue_doomseekers	2000	wh2_main_rogue_group_doomseekers
2	wh2_main_rogue_doomseekers	2000	wh2_main_rogue_group_doomseekers
3	wh2_main_rogue_doomseekers	2000	wh2_main_rogue_group_doomseekers
4	wh2_main_rogue_doomseekers	2000	wh2_main_rogue_group_doomseekers
0	wh2_main_rogue_gerhardts_mercenaries	2000	wh2_main_rogue_group_gerhardts_mercenaries
1	wh2_main_rogue_gerhardts_mercenaries	2000	wh2_main_rogue_group_gerhardts_mercenaries
2	wh2_main_rogue_gerhardts_mercenaries	2000	wh2_main_rogue_group_gerhardts_mercenaries
3	wh2_main_rogue_gerhardts_mercenaries	2000	wh2_main_rogue_group_gerhardts_mercenaries
4	wh2_main_rogue_gerhardts_mercenaries	2000	wh2_main_rogue_group_gerhardts_mercenaries
0	wh2_main_rogue_hef_tor_elithis	2000	wh2_main_rogue_group_tor_elithis
1	wh2_main_rogue_hef_tor_elithis	2000	wh2_main_rogue_group_tor_elithis
2	wh2_main_rogue_hef_tor_elithis	2000	wh2_main_rogue_group_tor_elithis
3	wh2_main_rogue_hef_tor_elithis	2000	wh2_main_rogue_group_tor_elithis
4	wh2_main_rogue_hef_tor_elithis	2000	wh2_main_rogue_group_tor_elithis
0	wh2_main_rogue_hung_warband	2000	wh2_main_rogue_group_hung_warband
1	wh2_main_rogue_hung_warband	2000	wh2_main_rogue_group_hung_warband
2	wh2_main_rogue_hung_warband	2000	wh2_main_rogue_group_hung_warband
3	wh2_main_rogue_hung_warband	2000	wh2_main_rogue_group_hung_warband
4	wh2_main_rogue_hung_warband	2000	wh2_main_rogue_group_hung_warband
0	wh2_main_rogue_jerrods_errantry	2000	wh2_main_rogue_group_jerrods_errantry
1	wh2_main_rogue_jerrods_errantry	2000	wh2_main_rogue_group_jerrods_errantry
2	wh2_main_rogue_jerrods_errantry	2000	wh2_main_rogue_group_jerrods_errantry
3	wh2_main_rogue_jerrods_errantry	2000	wh2_main_rogue_group_jerrods_errantry
4	wh2_main_rogue_jerrods_errantry	2000	wh2_main_rogue_group_jerrods_errantry
0	wh2_main_rogue_mangy_houndz	2000	wh2_main_rogue_group_mangy_houndz
1	wh2_main_rogue_mangy_houndz	2000	wh2_main_rogue_group_mangy_houndz
2	wh2_main_rogue_mangy_houndz	2000	wh2_main_rogue_group_mangy_houndz
3	wh2_main_rogue_mangy_houndz	2000	wh2_main_rogue_group_mangy_houndz
4	wh2_main_rogue_mangy_houndz	2000	wh2_main_rogue_group_mangy_houndz
0	wh2_main_rogue_morrsliebs_howlers	2000	wh2_main_rogue_group_morrsliebs_howlers
1	wh2_main_rogue_morrsliebs_howlers	2000	wh2_main_rogue_group_morrsliebs_howlers
2	wh2_main_rogue_morrsliebs_howlers	2000	wh2_main_rogue_group_morrsliebs_howlers
3	wh2_main_rogue_morrsliebs_howlers	2000	wh2_main_rogue_group_morrsliebs_howlers
4	wh2_main_rogue_morrsliebs_howlers	2000	wh2_main_rogue_group_morrsliebs_howlers
0	wh2_main_rogue_pirates_of_the_far_sea	2000	wh2_main_rogue_group_pirates_of_the_far_sea
1	wh2_main_rogue_pirates_of_the_far_sea	2000	wh2_main_rogue_group_pirates_of_the_far_sea
2	wh2_main_rogue_pirates_of_the_far_sea	2000	wh2_main_rogue_group_pirates_of_the_far_sea
3	wh2_main_rogue_pirates_of_the_far_sea	2000	wh2_main_rogue_group_pirates_of_the_far_sea
4	wh2_main_rogue_pirates_of_the_far_sea	2000	wh2_main_rogue_group_pirates_of_the_far_sea
0	wh2_main_rogue_pirates_of_the_southern_ocean	2000	wh2_main_rogue_group_pirates_of_the_southern_ocean
1	wh2_main_rogue_pirates_of_the_southern_ocean	2000	wh2_main_rogue_group_pirates_of_the_southern_ocean
2	wh2_main_rogue_pirates_of_the_southern_ocean	2000	wh2_main_rogue_group_pirates_of_the_southern_ocean
3	wh2_main_rogue_pirates_of_the_southern_ocean	2000	wh2_main_rogue_group_pirates_of_the_southern_ocean
4	wh2_main_rogue_pirates_of_the_southern_ocean	2000	wh2_main_rogue_group_pirates_of_the_southern_ocean
0	wh2_main_rogue_pirates_of_trantio	2000	wh2_main_rogue_group_pirates_of_trantio
1	wh2_main_rogue_pirates_of_trantio	2000	wh2_main_rogue_group_pirates_of_trantio
2	wh2_main_rogue_pirates_of_trantio	2000	wh2_main_rogue_group_pirates_of_trantio
3	wh2_main_rogue_pirates_of_trantio	2000	wh2_main_rogue_group_pirates_of_trantio
4	wh2_main_rogue_pirates_of_trantio	2000	wh2_main_rogue_group_pirates_of_trantio
0	wh2_main_rogue_scions_of_tesseninck	2000	wh2_main_rogue_group_scions_of_tesseninck
1	wh2_main_rogue_scions_of_tesseninck	2000	wh2_main_rogue_group_scions_of_tesseninck
2	wh2_main_rogue_scions_of_tesseninck	2000	wh2_main_rogue_group_scions_of_tesseninck
3	wh2_main_rogue_scions_of_tesseninck	2000	wh2_main_rogue_group_scions_of_tesseninck
4	wh2_main_rogue_scions_of_tesseninck	2000	wh2_main_rogue_group_scions_of_tesseninck
0	wh2_main_rogue_scourge_of_aquitaine	2000	wh2_main_rogue_group_scourge_of_aquitaine
1	wh2_main_rogue_scourge_of_aquitaine	2000	wh2_main_rogue_group_scourge_of_aquitaine
2	wh2_main_rogue_scourge_of_aquitaine	2000	wh2_main_rogue_group_scourge_of_aquitaine
3	wh2_main_rogue_scourge_of_aquitaine	2000	wh2_main_rogue_group_scourge_of_aquitaine
4	wh2_main_rogue_scourge_of_aquitaine	2000	wh2_main_rogue_group_scourge_of_aquitaine
0	wh2_main_rogue_stuff_snatchers	2000	wh2_main_rogue_group_stuff_snatchers
1	wh2_main_rogue_stuff_snatchers	2000	wh2_main_rogue_group_stuff_snatchers
2	wh2_main_rogue_stuff_snatchers	2000	wh2_main_rogue_group_stuff_snatchers
3	wh2_main_rogue_stuff_snatchers	2000	wh2_main_rogue_group_stuff_snatchers
4	wh2_main_rogue_stuff_snatchers	2000	wh2_main_rogue_group_stuff_snatchers
0	wh2_main_rogue_teef_snatchaz	2000	wh2_main_rogue_group_teef_snatchaz
1	wh2_main_rogue_teef_snatchaz	2000	wh2_main_rogue_group_teef_snatchaz
2	wh2_main_rogue_teef_snatchaz	2000	wh2_main_rogue_group_teef_snatchaz
3	wh2_main_rogue_teef_snatchaz	2000	wh2_main_rogue_group_teef_snatchaz
4	wh2_main_rogue_teef_snatchaz	2000	wh2_main_rogue_group_teef_snatchaz
0	wh2_main_rogue_the_wandering_dead	2000	wh2_main_rogue_group_the_wandering_dead
1	wh2_main_rogue_the_wandering_dead	2000	wh2_main_rogue_group_the_wandering_dead
2	wh2_main_rogue_the_wandering_dead	2000	wh2_main_rogue_group_the_wandering_dead
3	wh2_main_rogue_the_wandering_dead	2000	wh2_main_rogue_group_the_wandering_dead
4	wh2_main_rogue_the_wandering_dead	2000	wh2_main_rogue_group_the_wandering_dead
0	wh2_main_rogue_troll_skullz	1000	wh2_main_rogue_group_troll_skullz
1	wh2_main_rogue_troll_skullz	1000	wh2_main_rogue_group_troll_skullz
2	wh2_main_rogue_troll_skullz	1000	wh2_main_rogue_group_troll_skullz
3	wh2_main_rogue_troll_skullz	1000	wh2_main_rogue_group_troll_skullz
4	wh2_main_rogue_troll_skullz	1000	wh2_main_rogue_group_troll_skullz
0	wh2_main_rogue_vauls_expedition	2000	wh2_main_rogue_group_vauls_expedition
1	wh2_main_rogue_vauls_expedition	2000	wh2_main_rogue_group_vauls_expedition
2	wh2_main_rogue_vauls_expedition	2000	wh2_main_rogue_group_vauls_expedition
3	wh2_main_rogue_vauls_expedition	2000	wh2_main_rogue_group_vauls_expedition
4	wh2_main_rogue_vauls_expedition	2000	wh2_main_rogue_group_vauls_expedition
0	wh2_main_rogue_vmp_heirs_of_mourkain	2000	wh2_main_rogue_group_heirs_of_mourkain
1	wh2_main_rogue_vmp_heirs_of_mourkain	2000	wh2_main_rogue_group_heirs_of_mourkain
2	wh2_main_rogue_vmp_heirs_of_mourkain	2000	wh2_main_rogue_group_heirs_of_mourkain
3	wh2_main_rogue_vmp_heirs_of_mourkain	2000	wh2_main_rogue_group_heirs_of_mourkain
4	wh2_main_rogue_vmp_heirs_of_mourkain	2000	wh2_main_rogue_group_heirs_of_mourkain
0	wh2_main_rogue_wef_hunters_of_kurnous	2000	wh2_main_rogue_group_hunters_of_kurnous
1	wh2_main_rogue_wef_hunters_of_kurnous	2000	wh2_main_rogue_group_hunters_of_kurnous
2	wh2_main_rogue_wef_hunters_of_kurnous	2000	wh2_main_rogue_group_hunters_of_kurnous
3	wh2_main_rogue_wef_hunters_of_kurnous	2000	wh2_main_rogue_group_hunters_of_kurnous
4	wh2_main_rogue_wef_hunters_of_kurnous	2000	wh2_main_rogue_group_hunters_of_kurnous
0	wh2_main_rogue_worldroot_rangers	2000	wh2_main_rogue_group_worldroot_rangers
1	wh2_main_rogue_worldroot_rangers	2000	wh2_main_rogue_group_worldroot_rangers
2	wh2_main_rogue_worldroot_rangers	2000	wh2_main_rogue_group_worldroot_rangers
3	wh2_main_rogue_worldroot_rangers	2000	wh2_main_rogue_group_worldroot_rangers
4	wh2_main_rogue_worldroot_rangers	2000	wh2_main_rogue_group_worldroot_rangers
0	wh2_main_rogue_wrath_of_nature	2000	wh2_main_rogue_group_wrath_of_nature
1	wh2_main_rogue_wrath_of_nature	2000	wh2_main_rogue_group_wrath_of_nature
2	wh2_main_rogue_wrath_of_nature	2000	wh2_main_rogue_group_wrath_of_nature
3	wh2_main_rogue_wrath_of_nature	2000	wh2_main_rogue_group_wrath_of_nature
4	wh2_main_rogue_wrath_of_nature	2000	wh2_main_rogue_group_wrath_of_nature
0	wh3_dlc23_rogue_karaz_a_karak_expedition	0	wh3_dlc23_rogue_karaz_a_karak_expedition
1	wh3_dlc23_rogue_karaz_a_karak_expedition	0	wh3_dlc23_rogue_karaz_a_karak_expedition
2	wh3_dlc23_rogue_karaz_a_karak_expedition	0	wh3_dlc23_rogue_karaz_a_karak_expedition
3	wh3_dlc23_rogue_karaz_a_karak_expedition	0	wh3_dlc23_rogue_karaz_a_karak_expedition
4	wh3_dlc23_rogue_karaz_a_karak_expedition	0	wh3_dlc23_rogue_karaz_a_karak_expedition
0	wh3_dlc23_rogue_sacred_host_of_tepok	0	wh3_dlc23_rogue_sacred_host_of_tepok
1	wh3_dlc23_rogue_sacred_host_of_tepok	0	wh3_dlc23_rogue_sacred_host_of_tepok
2	wh3_dlc23_rogue_sacred_host_of_tepok	0	wh3_dlc23_rogue_sacred_host_of_tepok
3	wh3_dlc23_rogue_sacred_host_of_tepok	0	wh3_dlc23_rogue_sacred_host_of_tepok
4	wh3_dlc23_rogue_sacred_host_of_tepok	0	wh3_dlc23_rogue_sacred_host_of_tepok
0	wh3_dlc23_rogue_the_cult_of_morgrim	0	wh3_dlc23_rogue_the_cult_of_morgrim
1	wh3_dlc23_rogue_the_cult_of_morgrim	0	wh3_dlc23_rogue_the_cult_of_morgrim
2	wh3_dlc23_rogue_the_cult_of_morgrim	0	wh3_dlc23_rogue_the_cult_of_morgrim
3	wh3_dlc23_rogue_the_cult_of_morgrim	0	wh3_dlc23_rogue_the_cult_of_morgrim
4	wh3_dlc23_rogue_the_cult_of_morgrim	0	wh3_dlc23_rogue_the_cult_of_morgrim
0	wh3_dlc25_rogue_da_mad_howlerz	5000	wh3_dlc25_rogue_da_mad_howlerz
1	wh3_dlc25_rogue_da_mad_howlerz	5000	wh3_dlc25_rogue_da_mad_howlerz
2	wh3_dlc25_rogue_da_mad_howlerz	5000	wh3_dlc25_rogue_da_mad_howlerz
3	wh3_dlc25_rogue_da_mad_howlerz	5000	wh3_dlc25_rogue_da_mad_howlerz
4	wh3_dlc25_rogue_da_mad_howlerz	5000	wh3_dlc25_rogue_da_mad_howlerz
0	wh3_main_rogue_alliance_of_order	2000	wh3_main_rogue_group_alliance_of_order
1	wh3_main_rogue_alliance_of_order	4000	wh3_main_rogue_group_alliance_of_order
2	wh3_main_rogue_alliance_of_order	8000	wh3_main_rogue_group_alliance_of_order
3	wh3_main_rogue_alliance_of_order	10000	wh3_main_rogue_group_alliance_of_order
4	wh3_main_rogue_alliance_of_order	10000	wh3_main_rogue_group_alliance_of_order
0	wh3_main_rogue_argfluxs_pyrocasters	2000	wh3_main_rogue_group_argfluxs_pyrocasters
1	wh3_main_rogue_argfluxs_pyrocasters	4000	wh3_main_rogue_group_argfluxs_pyrocasters
2	wh3_main_rogue_argfluxs_pyrocasters	8000	wh3_main_rogue_group_argfluxs_pyrocasters
3	wh3_main_rogue_argfluxs_pyrocasters	10000	wh3_main_rogue_group_argfluxs_pyrocasters
4	wh3_main_rogue_argfluxs_pyrocasters	10000	wh3_main_rogue_group_argfluxs_pyrocasters
0	wh3_main_rogue_doombreeds_followers	2000	wh3_main_rogue_group_doombreeds_followers
1	wh3_main_rogue_doombreeds_followers	4000	wh3_main_rogue_group_doombreeds_followers
2	wh3_main_rogue_doombreeds_followers	8000	wh3_main_rogue_group_doombreeds_followers
3	wh3_main_rogue_doombreeds_followers	10000	wh3_main_rogue_group_doombreeds_followers
4	wh3_main_rogue_doombreeds_followers	10000	wh3_main_rogue_group_doombreeds_followers
0	wh3_main_rogue_legion_of_gorehath	2000	wh3_main_rogue_group_legion_of_gorehath
1	wh3_main_rogue_legion_of_gorehath	4000	wh3_main_rogue_group_legion_of_gorehath
2	wh3_main_rogue_legion_of_gorehath	8000	wh3_main_rogue_group_legion_of_gorehath
3	wh3_main_rogue_legion_of_gorehath	10000	wh3_main_rogue_group_legion_of_gorehath
4	wh3_main_rogue_legion_of_gorehath	10000	wh3_main_rogue_group_legion_of_gorehath
0	wh3_main_rogue_scaberaxs_gluttons	2000	wh3_main_rogue_group_scaberaxs_gluttons
1	wh3_main_rogue_scaberaxs_gluttons	4000	wh3_main_rogue_group_scaberaxs_gluttons
2	wh3_main_rogue_scaberaxs_gluttons	8000	wh3_main_rogue_group_scaberaxs_gluttons
3	wh3_main_rogue_scaberaxs_gluttons	10000	wh3_main_rogue_group_scaberaxs_gluttons
4	wh3_main_rogue_scaberaxs_gluttons	10000	wh3_main_rogue_group_scaberaxs_gluttons
0	wh3_main_rogue_scriveners_of_fate	2000	wh3_main_rogue_group_scriveners_of_fate
1	wh3_main_rogue_scriveners_of_fate	4000	wh3_main_rogue_group_scriveners_of_fate
2	wh3_main_rogue_scriveners_of_fate	8000	wh3_main_rogue_group_scriveners_of_fate
3	wh3_main_rogue_scriveners_of_fate	10000	wh3_main_rogue_group_scriveners_of_fate
4	wh3_main_rogue_scriveners_of_fate	10000	wh3_main_rogue_group_scriveners_of_fate
0	wh3_main_rogue_shadow_legion	2000	wh3_main_rogue_group_shadow_legion
