bonus_value_id	effect	unit_set_ability
enable	wh2_dlc15_effect_ability_enable_mimic_waaagh	wh2_dlc15_effect_ability_enable_mimic_waaagh
enable	wh2_dlc15_effect_ability_enable_regeneration_tree_spirits	wh2_dlc15_regeneration_tree_spirits
enable	wh2_dlc15_effect_ability_enable_unending_volley	wh2_dlc15_effect_ability_enable_unending_volley_1
enable	wh2_dlc15_effect_army_enable_ability_frenzy_boyz_big_uns	wh2_dlc15_ability_enable_frenzy_all_boyz_and_big_uns
enable	wh2_dlc15_frenzy_goblin_inf	wh2_dlc15_frenzy_goblin_inf
enable	wh2_dlc15_regeneration_goblin_inf	wh2_dlc15_grn_regeneration_goblin
enable	wh2_dlc15_unit_ability_ghostly_protection_idol	wh2_dlc15_unit_ability_ghostly_protection_idol
enable	wh2_dlc15_unit_ability_ignore_pain_trolls_giants	wh2_dlc15_unit_ability_ignore_pain_trolls_giants
enable	wh2_dlc15_unit_ability_immense_power_idol	wh2_dlc15_unit_ability_immense_power_idol
enable	wh2_dlc15_unit_ability_immense_power_idol	wh2_dlc15_unit_ability_immense_power_idol_ror
enable	wh2_dlc15_unit_ability_journeys_end_slayers	wh2_dlc15_unit_ability_journeys_end_slayers
enable	wh2_dlc15_unit_ability_maternal_instinct_arachnarok_spiders	wh2_dlc15_unit_ability_maternal_instincts_arachnarok
enable	wh2_dlc15_unit_ability_monstrous_disease_troll_giant	wh2_dlc15_unit_ability_monstrous_disease_troll_giant
enable	wh2_dlc15_unit_ability_spiky_skin_goblin_inf	wh2_dlc15_spiky_skin_goblin_inf
enable	wh2_dlc16_ability_empowered_glamour	wh2_dlc16_glamour_lvl2_wef_elf_characters
enable	wh2_dlc16_ability_empowered_glamour	wh2_dlc16_glamour_lvl2_wef_elves
enable	wh2_dlc16_effect_ability_deathblow_for_tree_spirits	wh2_dlc16_deathblow_tree_spirits
enable	wh2_dlc16_effect_ability_enable_berserk_hidden_chs_marauders	wh2_dlc16_effect_ability_enable_berserk_hidden
enable	wh2_dlc16_effect_ability_enable_call_to_ceithin_har	wh2_dlc16_wef_sisters_call_to_ceithin_har
enable	wh2_dlc16_effect_ability_enable_call_to_gwindalor	wh2_dlc16_wef_sisters_call_to_gwindalor
enable	wh2_dlc16_effect_ability_enable_guardian_for_orion	wh2_dlc16_guardian_for_orion
enable	wh2_dlc16_effect_ability_enable_guardian_when_with_ariel_dummy	guardian_greatswords
enable	wh2_dlc16_effect_ability_enable_improved_scurry_away	wh2_dlc16_effect_ability_enable_improved_scurry_away
enable	wh2_dlc16_effect_ability_enable_rage_marauders_sigvald	wh2_dlc16_effect_ability_enable_rage_marauders_sigvald
enable	wh2_dlc16_effect_ability_enable_unending_volley_character	wh2_dlc16_effect_ability_enable_unending_volley_character
uses_mod	wh2_dlc16_effect_ability_mod_amount_of_uses_sisters_of_the_thorn_bound_spells	wh2_dlc16_curse_of_anraheir_sisters_of_the_thorn
uses_mod	wh2_dlc16_effect_ability_mod_amount_of_uses_sisters_of_the_thorn_bound_spells	wh2_dlc16_shield_of_thorns_sisters_of_the_thorn
recharge_mod	wh2_dlc16_effect_ability_mod_cooldown_sisters_of_the_thorn_bound_spells	wh2_dlc16_curse_of_anraheir_sisters_of_the_thorn
recharge_mod	wh2_dlc16_effect_ability_mod_cooldown_sisters_of_the_thorn_bound_spells	wh2_dlc16_shield_of_thorns_sisters_of_the_thorn
enable	wh2_dlc16_effect_bound_flock_of_doom_ancient_treemen	wh2_dlc16_bound_flock_of_doom_ancient_treemen
enable	wh2_dlc16_effect_drycha_faction_glamoured_elves	wh2_dlc16_glamour_wef_elf_characters
enable	wh2_dlc16_effect_drycha_faction_glamoured_elves	wh2_dlc16_glamour_wef_elves
enable	wh2_dlc16_effect_enable_ability_shadows_coil_glade_captain_unmounted	wh2_dlc16_wef_shadows_coil_unmounted_glade_captain
enable	wh2_dlc16_effect_enable_murder_of_spites_treemen	treemen_murder_of_spites
enable	wh2_dlc16_effect_enable_spell_bound_vampires_lesser_raise_dead	wh2_dlc16_spell_bound_vampires_lesser_raise_dead
enable	wh2_dlc16_effect_enable_spite_dryads_rank_7	wh2_dlc16_wef_annoyance_of_netlings_dryads_ror
enable	wh2_dlc16_effect_enable_spite_dryads_rank_7	wh2_dlc16_wef_annoyance_of_netlings_rank_7_dryads
enable	wh2_dlc16_effect_faction_effect_sisters_volley_of_kurnous	wh2_dlc16_wef_sisters_enable_hawk_riders_volley_of_kurnous
enable	wh2_dlc16_effect_frenzy_beasts	wh2_dlc16_frenzy_drycha_monsters
enable	wh2_dlc16_effect_heroic_killing_blow_glade_lords_captains	wh2_twa02_heroic_killing_blow_glade_lords_captains
enable	wh2_dlc16_effect_madness_of_khaine_wef_wardancers_bladesingers	wh2_dlc16_madness_of_khaine_wardancers_blade_singers
enable	wh2_dlc16_effect_poison_attacks_wef_tree_spirits	wh2_dlc16_poison_attacks_tree_spirits_not_dryad_ror
enable	wh2_dlc16_wef_berserk_tree_units	wh2_dlc16_wef_berserker_trees
enable	wh2_dlc17_ability_enable_frenzy_free_company_militia	wh2_dlc17_ability_enable_frenzy_free_company_militia
disable	wh2_dlc17_effect_ability_disable_locus_of_power	thorek_mounted_locus_of_power
enable	wh2_dlc17_effect_ability_enable_bloodgreed_upgraded_minotaurs	wh2_dlc17_bloodgreed_upgraded_minotaurs
enable	wh2_dlc17_effect_ability_enable_greater_locus_of_power	thorek_mounted_greater_locus_of_power
enable	wh2_dlc17_effect_ability_enable_guardian_hammerers	wh2_dlc17_guardian_hammerers
enable	wh2_dlc17_effect_ability_enable_guardian_lords_heroes	wh2_dlc17_guardian_ability_lords_heroes
enable	wh2_dlc17_effect_ability_enable_horrible_regeneration_chaos_spawn	wh2_dlc17_effect_ability_enable_horrible_regeneration
enable	wh2_dlc17_effect_ability_enable_horrible_regeneration_nor_trolls_skin_wolves	wh2_dlc17_effect_ability_enable_horrible_regeneration_nor_trolls_skin_wolves
enable	wh2_dlc17_effect_ability_enable_horrible_regeneration_rank7_spooky_units	wh2_dlc17_effect_ability_enable_horrible_regeneration_rank7_spooky_units
enable	wh2_dlc17_effect_ability_enable_horrible_regeneration_rank7_spooky_units	wh2_dlc17_effect_ability_enable_horrible_regeneration_ror_spooky_units
enable	wh2_dlc17_effect_ability_enable_primal_fury_upgraded	primal_fury_upgraded
enable	wh2_dlc17_effect_ability_enable_regeneration_fimir	wh2_dlc17_effect_ability_enable_regeneration_fimir
enable	wh2_dlc17_effect_ability_enable_regeneration_spawn_jabberslythe	wh2_dlc17_regeneration_spawn_jabberslythe
enable	wh2_dlc17_effect_ability_enable_regeneration_spawn_jabberslythe	wh2_dlc17_regeneration_spawn_jabberslythe_1
enable	wh2_dlc17_effect_ability_enable_the_hunger_fellbats_direwolves	wh2_dlc17_effect_ability_enable_the_hunger_fellbats_direwolves
enable	wh2_dlc17_effect_ability_enable_wayfarer_clerical_units	wh2_dlc17_effect_ability_enable_wayfarer_clerical_units
enable	wh2_dlc17_effect_ability_frenzy_throgg_focus_units	wh2_dlc17_effect_ability_frenzy_throgg_focus_units
enable	wh2_dlc17_effect_ability_upgrade_jabberslythe_aura	wh2_dlc17_effect_ability_upgrade_jabberslythe_aura
enable	wh2_dlc17_effect_cursed_attacks_vmp_rank7_spooky_units	wh2_dlc17_effect_cursed_attacks_vmp_rank7_spooky_units
enable	wh2_dlc17_effect_cursed_attacks_vmp_rank7_spooky_units	wh2_dlc17_effect_cursed_attacks_vmp_ror_spooky_units
enable	wh2_dlc17_effect_enable_ability_rune_of_stromni_redbeard_runesmiths	wh2_dlc17_effect_rune_stromni_redbeard_runesmiths
enable	wh2_dlc17_effect_enable_frenzy_bst_warhounds_harpies_razorgor_herd	wh2_dlc17_effect_enable_frenzy_bst_warhounds_harpies_razorgor_herd
enable	wh2_dlc17_vmp_ability_enable_wayfarer__isabella_focus	wh2_dlc17_vmp_ability_enable_wayfarer__isabella_focus
enable	wh2_dlc17_vmp_ability_enable_wayfarer__isabella_focus	wh2_dlc17_vmp_ability_enable_wayfarer_isabella_focus_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_dlc11_cst_cha_vampire_fleet_captain_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_dlc11_cst_cha_vampire_fleet_captain_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_dlc16_wef_cha_malicious_branchwraith_beasts_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_def_cha_sorceress_dark_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_def_cha_sorceress_dark_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_hef_cha_mage_high_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_hef_cha_mage_high_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_lzd_cha_skink_priest_beasts_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_lzd_cha_skink_priest_beasts_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_skv_cha_plague_priest_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_skv_cha_plague_priest_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh2_main_skv_cha_warlock_engineer_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_dlc23_chd_cha_daemonsmith_sorcerer_hashut_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_dlc25_ability_enable_greater_gate_nur_garrisons
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_dlc25_emp_wizard_death_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_dlc25_emp_wizard_death_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_cth_cha_astromancer_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_cth_cha_astromancer_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_ogr_cha_firebelly_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_ogr_cha_firebelly_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_sla_cha_alluress_shadow_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_sla_cha_alluress_shadow_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_sla_cha_alluress_slaanesh_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_sla_cha_alluress_slaanesh_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_sla_cha_herald_of_slaanesh_slaanesh_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_tze_cha_cultist_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_tze_cha_cultist_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_tze_cha_iridescent_horror_metal_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_tze_cha_iridescent_horror_metal_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_tze_cha_iridescent_horror_tzeentch_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh3_main_tze_cha_iridescent_horror_tzeentch_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_dlc03_bst_cha_bray_shaman_wild_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_dlc03_bst_cha_bray_shaman_wild_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_dlc05_wef_cha_spellsinger_life_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_dlc05_wef_cha_spellsinger_life_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_brt_cha_damsel_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_brt_cha_damsel_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_emp_cha_wizard_fire_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_emp_cha_wizard_fire_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_grn_cha_orc_shaman_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_grn_cha_orc_shaman_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_vmp_cha_necromancer_0_garrison_1
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_vmp_cha_necromancer_0_garrison_2
enable	wh2_main_effect_ability_enable_garrison_heroes	wh_main_vmp_cha_vampire_0_garrison_1
enable	wh2_twa03_effect_ability_abyssal_howl_hydra	wh2_twa03_abyssal_howl_hydra
enable	wh2_twa03_effect_ability_frost_breath_kharybdiss	wh2_twa03_frost_breath_kharybdiss
enable	wh2_twa03_effect_ability_murderous_prowess_monsters	wh2_twa03_murderous_prowess_indicator_monsters
enable	wh2_twa03_effect_ability_murderous_prowess_monsters	wh2_twa03_murderous_prowess_monsters
enable	wh2_twa03_effect_ability_murderous_prowess_monsters	wh2_twa03_ror_harpies_murderous_prowess
enable	wh2_twa03_effect_ability_murderous_prowess_monsters	wh2_twa03_ror_harpies_murderous_prowess_indicator
enable	wh2_twa03_effect_ability_murderous_prowess_monsters	wh2_twa03_ror_hydra_murderous_prowess
enable	wh2_twa03_effect_ability_murderous_prowess_monsters	wh2_twa03_ror_hydra_murderous_prowess_indicator
enable	wh2_twa03_effect_ability_regeneration_black_dragons	wh2_twa03_another_takes_its_place_black_dragon
enable	wh3_dlc20_effect_ability_acid_ichor_plaguebearers	wh3_dlc20_effect_ability_acid_ichor_plaguebearers
enable	wh3_dlc20_effect_ability_arcane_mirth_blue_horrors	wh3_dlc20_effect_ability_arcane_mirth_blue_horrors
enable	wh3_dlc20_effect_ability_bloodgreed_khorne_units	bloodgreed_khorne_units
enable	wh3_dlc20_effect_ability_cloud_of_flies_aspiring_champions	wh3_dlc20_effect_ability_cloud_of_flies_aspiring_champions
enable	wh3_dlc20_effect_ability_cloud_of_flies_aspiring_champions	wh3_dlc20_effect_ability_cloud_of_flies_chosen_mnur
enable	wh3_dlc20_effect_ability_enable_storm_rage_chs_dragon_ogres	wh3_dlc20_ability_enable_storm_rage_dragon_ogre
enable	wh3_dlc20_effect_ability_enable_storm_rage_chs_dragon_ogres	wh3_dlc20_ability_enable_storm_rage_dragon_ogre_shaggoths
enable	wh3_dlc20_effect_ability_feasting_on_fear_aspiring_champtions	wh3_dlc20_feasting_on_fear_aspiring_champions
enable	wh3_dlc20_effect_ability_feasting_on_fear_fiends_of_slaanesh	wh3_dlc20_effect_ability_feasting_on_fear_fiends_of_slaanesh
enable	wh3_dlc20_effect_ability_frenzy_aspiring_champions	wh3_dlc20_effect_ability_frenzy_aspiring_champions
enable	wh3_dlc20_effect_ability_gate_of_tzeentch_aspiring_champions	wh3_dlc20_effect_ability_gate_of_tzeentch_aspiring_champions
enable	wh3_dlc20_effect_ability_gaze_of_fate_tzeentch_characters	gaze_of_fate_tzeentch_characters
enable	wh3_dlc20_effect_ability_gift_of_chaos_aspiring_champions	wh3_dlc20_effect_ability_enable_gift_of_chaos_aspiring_champions
enable	wh3_dlc20_effect_ability_gorefeast_aspiring_champions	wh3_dlc20_effect_ability_gorefeast_aspiring_champions
enable	wh3_dlc20_effect_ability_gorefeast_chs_warhounds_manticores_rank_4	wh3_dlc20_effect_ability_gorefeast_hounds_manticores_rank_4
enable	wh3_dlc20_effect_ability_hellblade_aspiring_champtions	wh3_dlc20_hellblade_aspiring_champions
enable	wh3_dlc20_effect_ability_hellblade_aspiring_champtions	wh3_dlc20_hellblade_chosen_mkho
enable	wh3_dlc20_effect_ability_hellblade_aspiring_champtions	wh3_dlc20_hellblade_wrathmonger
enable	wh3_dlc20_effect_ability_hellblade_aspiring_champtions	wh3_dlc20_hellblade_wrathmonger_ror
enable	wh3_dlc20_effect_ability_hidden_in_time_aspiring_champions	wh3_dlc20_hidden_in_time_aspiring_champions
enable	wh3_dlc20_effect_ability_locus_of_fecundity_aspiring_champions	wh3_dlc20_locus_of_fecundity_aspiring_champions
enable	wh3_dlc20_effect_ability_portalglyph_undivided_characters	portalglyph_undivided_characters
enable	wh3_dlc20_effect_ability_rage_chs_dual_weapons_rank_4	wh3_dlc20_effect_ability_rage_chs_dual_weapons_rank_4_ror
enable	wh3_dlc20_effect_ability_rage_chs_dual_weapons_rank_4	wh3_dlc20_effect_ability_rage_rank_4_chs_dual_axes
enable	wh3_dlc20_effect_ability_regen_aspiring_champions	wh3_dlc20_effect_ability_regen_aspiring_champions
enable	wh3_dlc20_effect_ability_regeneration_nurgle_units	regeneration_nurgle_units
enable	wh3_dlc20_effect_ability_regeneration_rot_flies	wh3_dlc20_effect_ability_regeneration_rot_flies
enable	wh3_dlc20_effect_ability_revel_in_slaughter_aspiring_champions	wh3_dlc20_revel_in_slaughter_aspiring_champions
enable	wh3_dlc20_effect_ability_slime_trail_aspiring_champtions	wh3_dlc20_slime_trail_aspiring_champions
enable	wh3_dlc20_effect_ability_slime_trail_aspiring_champtions	wh3_dlc20_slime_trail_chosen_mnur
enable	wh3_dlc20_effect_ability_sonic_boom_slaanesh_characters	sonic_boom_slaanesh_characters
enable	wh3_dlc20_effect_ability_soulhunters_aspiring_champtions	wh3_dlc20_soulhunter_knights_msla
enable	wh3_dlc20_effect_ability_soulhunters_aspiring_champtions	wh3_dlc20_soulhunters_aspiring_champions
enable	wh3_dlc20_effect_ability_soulhunters_seeker_chariots	wh3_dlc20_effect_ability_soulhunters_seeker_chariots
enable	wh3_dlc20_effect_ability_trophy_heads_khorne_characters	trophy_heads_khorne_characters
enable	wh3_dlc20_effect_ability_virulent_contagion_upgraded_nurgle_characters	virulent_contagion_upgraded_nurgle_characters
enable	wh3_dlc20_effect_ability_wrath_of_khorne_bloodthirsters	wh3_dlc20_effect_ability_wrath_of_khorne_bloodthirsters
enable	wh3_dlc23_effect_ability_enable_arcane_conduit_chd_lammasu	arcane_conduit_chd_lammasu
enable	wh3_dlc23_effect_ability_enable_ballistics_calibration_chd_missile_infantry	ballistics_callibration_chd_missile_inf
enable	wh3_dlc23_effect_ability_enable_blazing_body_chd_warmachines_arty	blazing_body_chd_warmachines
enable	wh3_dlc23_effect_ability_enable_bloodgreed_chd_centaur_taurus	bloodgreed_chd_centaur_taurus
enable	wh3_dlc23_effect_ability_enable_bloodgreed_chd_kdaai	bloodgreed_chd_kdaai
enable	wh3_dlc23_effect_ability_enable_bloodgreed_chd_skullcracker	bloodgreed_chd_skullcracker
enable	wh3_dlc23_effect_ability_enable_daemonic_rebirth_kdaai_fireborn	daemonic_rebirth_kdaai_fireborn
enable	wh3_dlc23_effect_ability_enable_deathblow_chd_infernal_guard	deathblow_chd_infernal_guard
enable	wh3_dlc23_effect_ability_enable_dig_in_chd_missile_infantry	dig_in_chd_missile_inf
enable	wh3_dlc23_effect_ability_enable_enrage_chd_flying_beasts	enrage_chd_flying_beasts
enable	wh3_dlc23_effect_ability_enable_entrenchment_chd_missile_infantry	entrenchment_chd_missile_inf
enable	wh3_dlc23_effect_ability_enable_extra_powder_chd_missile_inf	extra_powder_chd_missile_inf
enable	wh3_dlc23_effect_ability_enable_extra_powder_chd_warmachines_arty	extra_powder_chd_warmachines_arty
enable	wh3_dlc23_effect_ability_enable_extra_reload_chd_missile_inf	extra_reload_chd_missile_inf
enable	wh3_dlc23_effect_ability_enable_extra_reload_chd_warmachines_arty	extra_reload_chd_warmachines_arty
enable	wh3_dlc23_effect_ability_enable_forgefire_chd_kdaai	forgefire_chd_kdaai
enable	wh3_dlc23_effect_ability_enable_forgefire_chd_warmachines	forgefire_chd_warmachines
enable	wh3_dlc23_effect_ability_enable_frenzy_chd_centaur_taurus	frenzy_chd_centaurs_taurus
enable	wh3_dlc23_effect_ability_enable_frenzy_chd_frenzy	frenzy_chd_flying_monsters
enable	wh3_dlc23_effect_ability_enable_frenzy_chd_lammasu	frenzy_chd_lammasu
enable	wh3_dlc23_effect_ability_enable_frenzy_chd_melee_inf	frenzy_chd_melee_inf
enable	wh3_dlc23_effect_ability_enable_glittering_scales_chd_melee_inf	glittering_scales_chd_melee_inf
enable	wh3_dlc23_effect_ability_enable_greater_arcane_conduit_chd_lammasu_rank7	greater_arcane_conduit_chd_lammasu
enable	wh3_dlc23_effect_ability_enable_hellbound_chd_warmachines_arty	hellbound_chd_warmachines_arty
enable	wh3_dlc23_effect_ability_enable_hungering_blades_chd_centaur_taurus	hungering_blades_chd_centaur
enable	wh3_dlc23_effect_ability_enable_hungering_blades_chd_kdaai_destroyer	hungering_blades_chd_kdaai_destroyer
