unit_class	unit_stat	unit_stat_threshold	bullet_point_enum	should_display	text_override
inf_mis	scalar_missile_range	0.5	att_poor	false	
inf_mis	scalar_missile_range	0.75	att_average_negative	false	
inf_mis	scalar_missile_range	1.25	att_good	false	
inf_mis	scalar_missile_range	1.5	att_excellent	false	
inf_mis	stat_ammo	0.49	att_low	false	
inf_mis	stat_ammo	0.5	att_low	false	
inf_mis	stat_ammo	0.75	att_average_negative	false	
inf_mis	stat_ammo	1.25	att_high	false	
inf_mis	stat_ammo	1.5	att_high	false	
inf_mis	stat_armour	0.49	att_very_poor	false	
inf_mis	stat_armour	0.5	att_poor	false	
inf_mis	stat_armour	0.75	att_average_negative	false	
inf_mis	stat_armour	1.25	att_good	false	
inf_mis	stat_armour	1.5	att_excellent	false	
inf_mis	stat_missile_block_chance	0.49	att_very_poor	false	
inf_mis	stat_missile_block_chance	0.5	att_poor	false	
inf_mis	stat_missile_block_chance	0.75	att_average_positive	false	
inf_mis	stat_missile_block_chance	1.5	att_good	false	
inf_mis	stat_missile_block_chance	2.0	att_excellent	false	
inf_mis	stat_morale	0.49	att_very_poor	false	
inf_mis	stat_morale	0.5	att_poor	false	
inf_mis	stat_morale	0.75	att_average_negative	false	
inf_mis	stat_morale	1.25	att_good	false	
inf_mis	stat_morale	1.5	att_excellent	false	
inf_mis	stat_reloading	0.49	att_very_poor	false	
inf_mis	stat_reloading	0.5	att_poor	false	
inf_mis	stat_reloading	0.75	att_average_negative	false	
inf_mis	stat_reloading	1.25	att_good	false	
inf_mis	stat_reloading	1.5	att_excellent	false	
inf_mis	stat_spotting_forest	0.49	att_very_poor	false	
inf_mis	stat_spotting_forest	0.5	att_poor	false	
inf_mis	stat_spotting_forest	0.75	att_average_negative	false	
inf_mis	stat_spotting_forest	1.25	att_good	false	
inf_mis	stat_spotting_forest	1.5	att_excellent	false	
inf_pik	stat_ammo	0.0	att_average_positive	false	ranged_attack
inf_pik	stat_armour	0.49	att_very_poor	false	
inf_pik	stat_armour	0.5	att_poor	false	
inf_pik	stat_armour	0.75	att_average_negative	false	
inf_pik	stat_armour	1.25	att_good	false	
inf_pik	stat_armour	1.5	att_excellent	false	
inf_pik	stat_charge_bonus	0.49	att_very_poor	false	
inf_pik	stat_charge_bonus	0.5	att_poor	false	
inf_pik	stat_charge_bonus	0.75	att_average_positive	false	
inf_pik	stat_charge_bonus	1.25	att_good	false	
inf_pik	stat_charge_bonus	1.5	att_excellent	false	
inf_pik	stat_melee_damage_ap	0.49	att_very_poor	false	
inf_pik	stat_melee_damage_ap	0.5	att_poor	false	
inf_pik	stat_melee_damage_ap	0.75	att_average_negative	false	
inf_pik	stat_melee_damage_ap	1.25	att_good	false	
inf_pik	stat_melee_damage_ap	1.5	att_excellent	false	
inf_pik	stat_missile_block_chance	0.49	att_very_poor	false	
inf_pik	stat_missile_block_chance	0.5	att_poor	false	
inf_pik	stat_missile_block_chance	0.75	att_average_positive	false	
inf_pik	stat_missile_block_chance	1.5	att_good	false	
inf_pik	stat_missile_block_chance	2.0	att_excellent	false	
inf_pik	stat_morale	0.49	att_very_poor	false	
inf_pik	stat_morale	0.5	att_poor	false	
inf_pik	stat_morale	0.75	att_average_negative	false	
inf_pik	stat_morale	1.25	att_good	false	
inf_pik	stat_morale	1.5	att_excellent	false	
inf_pik	stat_spotting_forest	0.49	att_very_poor	false	
inf_pik	stat_spotting_forest	0.5	att_poor	false	
inf_pik	stat_spotting_forest	0.75	att_average_negative	false	
inf_pik	stat_spotting_forest	1.25	att_good	false	
inf_pik	stat_spotting_forest	1.5	att_excellent	false	
inf_spr	stat_ammo	0.0	att_average_positive	false	ranged_attack
inf_spr	stat_armour	0.49	att_very_poor	false	
inf_spr	stat_armour	0.5	att_poor	false	
inf_spr	stat_armour	0.75	att_average_negative	false	
inf_spr	stat_armour	1.25	att_good	false	
inf_spr	stat_armour	1.5	att_excellent	false	
inf_spr	stat_bonus_vs_cavalry	0.49	att_very_poor	false	
inf_spr	stat_bonus_vs_cavalry	0.5	att_poor	false	
inf_spr	stat_bonus_vs_cavalry	0.75	att_average_negative	false	
inf_spr	stat_bonus_vs_cavalry	2.0	att_good	false	
inf_spr	stat_bonus_vs_cavalry	3.0	att_excellent	false	
inf_spr	stat_charge_bonus	0.49	att_very_poor	false	
inf_spr	stat_charge_bonus	0.5	att_poor	false	
inf_spr	stat_charge_bonus	0.75	att_average_positive	false	
inf_spr	stat_charge_bonus	1.25	att_good	false	
inf_spr	stat_charge_bonus	1.5	att_excellent	false	
inf_spr	stat_melee_damage_ap	0.49	att_very_poor	false	
inf_spr	stat_melee_damage_ap	0.5	att_poor	false	
inf_spr	stat_melee_damage_ap	0.75	att_average_negative	false	
inf_spr	stat_melee_damage_ap	1.25	att_good	false	
inf_spr	stat_melee_damage_ap	1.5	att_excellent	false	
inf_spr	stat_missile_block_chance	0.49	att_very_poor	false	
inf_spr	stat_missile_block_chance	0.5	att_poor	false	
inf_spr	stat_missile_block_chance	0.75	att_average_positive	false	
inf_spr	stat_missile_block_chance	1.5	att_good	false	
inf_spr	stat_missile_block_chance	2.0	att_excellent	false	
inf_spr	stat_morale	0.49	att_very_poor	false	
inf_spr	stat_morale	0.5	att_poor	false	
inf_spr	stat_morale	0.75	att_average_negative	false	
inf_spr	stat_morale	1.25	att_good	false	
inf_spr	stat_morale	1.5	att_excellent	false	
inf_spr	stat_spotting_forest	0.49	att_very_poor	false	
inf_spr	stat_spotting_forest	0.5	att_poor	false	
inf_spr	stat_spotting_forest	0.75	att_average_negative	false	
inf_spr	stat_spotting_forest	1.25	att_good	false	
inf_spr	stat_spotting_forest	1.5	att_excellent	false	
