m_character_trait_level_key	choice_key
wh3_main_trait_ice_court_ranger_hero	wh3_main_character_training_dilemma_frost_maiden_the_visit_second
wh3_main_trait_ice_court_blessed_are_the_footsoldiers	wh3_main_character_training_dilemma_ice_witch_a_gift_from_the_ice_court_first
wh3_main_trait_ice_court_blessed_cavalry	wh3_main_character_training_dilemma_ice_witch_a_gift_from_the_ice_court_second
wh3_main_trait_ice_court_fighter	wh3_main_character_training_dilemma_ice_witch_fight_fire_with_ice_first
wh3_main_trait_ice_court_martial_magician	wh3_main_character_training_dilemma_ice_witch_fight_fire_with_ice_second
wh3_main_trait_ice_court_magical_warrior	wh3_main_character_training_dilemma_ice_witch_fight_or_build_first
wh3_main_trait_ice_court_builder	wh3_main_character_training_dilemma_ice_witch_fight_or_build_second
wh3_main_trait_ice_court_better_swords_for_shielders	wh3_main_character_training_dilemma_ice_witch_guardians_of_the_ice_first
wh3_main_trait_ice_court_better_bows_for_bodyguards	wh3_main_character_training_dilemma_ice_witch_guardians_of_the_ice_second
wh3_main_trait_ice_court_sacker	wh3_main_character_training_dilemma_ice_witch_ice_raider_first
wh3_main_trait_ice_court_raider	wh3_main_character_training_dilemma_ice_witch_ice_raider_second
wh3_main_trait_ice_court_perfect_vigour	wh3_main_character_training_dilemma_ice_witch_icy_discipline_first
wh3_main_trait_ice_court_vanguard_deployer	wh3_main_character_training_dilemma_ice_witch_icy_discipline_second
wh3_main_trait_ice_court_ice_charioteer	wh3_main_character_training_dilemma_ice_witch_lessons_in_war_first
wh3_main_trait_ice_court_artillerist	wh3_main_character_training_dilemma_ice_witch_lessons_in_war_second
wh3_main_trait_ice_court_infantry_focused	wh3_main_character_training_dilemma_ice_witch_mothers_army_first
wh3_main_trait_ice_court_cavalry_focused	wh3_main_character_training_dilemma_ice_witch_mothers_army_second
wh3_main_trait_ice_court_growth_is_great	wh3_main_character_training_dilemma_ice_witch_provincial_aid_first
wh3_main_trait_ice_court_economist	wh3_main_character_training_dilemma_ice_witch_provincial_aid_second
wh3_main_trait_ice_court_scourge_of_the_corrupt	wh3_main_character_training_dilemma_ice_witch_provincial_matters_first
wh3_main_trait_ice_court_court_controller	wh3_main_character_training_dilemma_ice_witch_provincial_matters_second
wh3_main_trait_ice_court_glacial_blaster	wh3_main_character_training_dilemma_ice_witch_summon_the_ice_first
wh3_main_trait_ice_court_ice_shard_wielder	wh3_main_character_training_dilemma_ice_witch_summon_the_ice_second
wh3_main_trait_ice_court_martial_encouragement	wh3_main_character_training_dilemma_ice_witch_the_visit_first
wh3_main_trait_ice_court_ranger	wh3_main_character_training_dilemma_ice_witch_the_visit_second
wh3_main_trait_ice_court_agent_of_brutality	wh3_main_character_training_dilemma_ice_witch_tzarinas_favour_first
wh3_main_trait_ice_court_clerical_conspirator	wh3_main_character_training_dilemma_ice_witch_tzarinas_favour_second
wh3_main_trait_ice_court_stalker	wh3_main_character_training_dilemma_ice_witch_will_or_wild_first
wh3_main_trait_ice_court_unbreakable	wh3_main_character_training_dilemma_ice_witch_will_or_wild_second
