climate_type	season	weather_type	key	probability	heat_fatigue	cold_fatigue	spotting_scalar
emp_lowlands	season_winter	dry	wh_emp_lowlands_winter	100	0	0	1.0
emp_vmp	season_autumn	dry	wh_emp_vmp_autumn	100	0	0	1.0
emp_vmp	season_spring	dry	wh_emp_vmp_spring	100	0	0	1.0
emp_vmp	season_summer	dry	wh_emp_vmp_summer	100	0	0	1.0
emp_vmp	season_winter	dry	wh_emp_vmp_winter	100	0	0	1.0
grn_badlands	season_autumn	dry	wh_grn_badlands_autumn	100	0	0	1.0
grn_badlands	season_spring	dry	wh_grn_badlands_spring	100	0	0	1.0
grn_badlands	season_summer	dry	wh_grn_badlands_summer	100	0	0	1.0
grn_badlands	season_winter	dry	wh_grn_badlands_winter	100	0	0	1.0
grn_chs	season_autumn	dry	wh_grn_chs_autumn	100	0	0	1.0
grn_chs	season_spring	dry	wh_grn_chs_spring	100	0	0	1.0
grn_chs	season_summer	dry	wh_grn_chs_summer	100	0	0	1.0
grn_chs	season_winter	dry	wh_grn_chs_winter	100	0	0	1.0
hef	season_autumn	dry	wh_hef_autumn	100	0	0	1.0
hef	season_spring	dry	wh_hef_spring	100	0	0	1.0
hef	season_summer	dry	wh_hef_summer	100	0	0	1.0
hef	season_winter	dry	wh_hef_winter	100	0	0	1.0
iod	season_autumn	dry	wh_iod_autumn	100	0	0	1.0
iod	season_spring	dry	wh_iod_spring	100	0	0	1.0
iod	season_summer	dry	wh_iod_summer	100	0	0	1.0
iod	season_winter	dry	wh_iod_winter	100	0	0	1.0
kho	season_autumn	dry	wh_kho_autumn	100	0	0	1.0
kho	season_spring	dry	wh_kho_spring	100	0	0	1.0
kho	season_summer	dry	wh_kho_summer	100	0	0	1.0
kho	season_winter	dry	wh_kho_winter	100	0	0	1.0
ksl	season_autumn	dry	wh_ksl_autumn	100	0	0	1.0
ksl	season_spring	dry	wh_ksl_spring	100	0	0	1.0
ksl	season_summer	dry	wh_ksl_summer	100	0	0	1.0
ksl	season_winter	dry	wh_ksl_winter	100	0	0	1.0
lzd	season_autumn	dry	wh_lzd_autumn	100	0	0	1.0
lzd	season_spring	dry	wh_lzd_spring	100	0	0	1.0
lzd	season_summer	dry	wh_lzd_summer	100	0	0	1.0
lzd	season_winter	dry	wh_lzd_winter	100	0	0	1.0
mtn_pass_snow	season_autumn	dry	wh_mtn_pass_snow_autumn	100	0	0	1.0
mtn_pass_snow	season_spring	dry	wh_mtn_pass_snow_spring	100	0	0	1.0
mtn_pass_snow	season_summer	dry	wh_mtn_pass_snow_summer	100	0	0	1.0
mtn_pass_snow	season_winter	dry	wh_mtn_pass_snow_winter	100	0	0	1.0
mtn_pass	season_autumn	dry	wh_mtn_pass_autumn	100	0	0	1.0
mtn_pass	season_spring	dry	wh_mtn_pass_spring	100	0	0	1.0
mtn_pass	season_summer	dry	wh_mtn_pass_summer	100	0	0	1.0
mtn_pass	season_winter	dry	wh_mtn_pass_winter	100	0	0	1.0
nor_highlands	season_autumn	dry	wh_nor_highlands_autumn	100	0	0	1.0
nor_highlands	season_spring	dry	wh_nor_highlands_spring	100	0	0	1.0
nor_highlands	season_summer	dry	wh_nor_highlands_summer	100	0	0	1.0
nor_highlands	season_winter	dry	wh_nor_highlands_winter	100	0	0	1.0
nor_lowlands	season_autumn	dry	wh_nor_lowlands_autumn	100	0	0	1.0
nor_lowlands	season_spring	dry	wh_nor_lowlands_spring	100	0	0	1.0
nor_lowlands	season_summer	dry	wh_nor_lowlands_summer	100	0	0	1.0
nor_lowlands	season_winter	dry	wh_nor_lowlands_winter	100	0	0	1.0
nur	season_autumn	dry	wh_nur_autumn	100	0	0	1.0
nur	season_spring	dry	wh_nur_spring	100	0	0	1.0
nur	season_summer	dry	wh_nur_summer	100	0	0	1.0
nur	season_winter	dry	wh_nur_winter	100	0	0	1.0
ogr	season_autumn	dry	wh_ogr_autumn	100	0	0	1.0
ogr	season_spring	dry	wh_ogr_spring	100	0	0	1.0
ogr	season_summer	dry	wh_ogr_summer	100	0	0	1.0
ogr	season_winter	dry	wh_ogr_winter	100	0	0	1.0
skv	season_autumn	dry	wh_skv_autumn	100	0	0	1.0
skv	season_spring	dry	wh_skv_spring	100	0	0	1.0
skv	season_summer	dry	wh_skv_summer	100	0	0	1.0
skv	season_winter	dry	wh_skv_winter	100	0	0	1.0
sla	season_autumn	dry	wh_sla_autumn	100	0	0	1.0
sla	season_spring	dry	wh_sla_spring	100	0	0	1.0
sla	season_summer	dry	wh_sla_summer	100	0	0	1.0
sla	season_winter	dry	wh_sla_winter	100	0	0	1.0
tze	season_autumn	dry	wh_tze_autumn	100	0	0	1.0
tze	season_spring	dry	wh_tze_spring	100	0	0	1.0
tze	season_summer	dry	wh_tze_summer	100	0	0	1.0
tze	season_winter	dry	wh_tze_winter	100	0	0	1.0
vmp_marshlands	season_autumn	dry	wh_vmp_marshlands_autumn	100	0	0	1.0
vmp_marshlands	season_spring	dry	wh_vmp_marshlands_spring	100	0	0	1.0
vmp_marshlands	season_summer	dry	wh_vmp_marshlands_summer	100	0	0	1.0
vmp_marshlands	season_winter	dry	wh_vmp_marshlands_winter	100	0	0	1.0
wef_ash	season_autumn	dry	wh_wef_ash_autumn	100	0	0	1.0
wef_ash	season_spring	dry	wh_wef_ash_spring	100	0	0	1.0
wef_ash	season_summer	dry	wh_wef_ash_summer	100	0	0	1.0
wef_ash	season_winter	dry	wh_wef_ash_winter	100	0	0	1.0
wef_chs	season_autumn	dry	wh_wef_chs_autumn	100	0	0	1.0
wef_chs	season_spring	dry	wh_wef_chs_spring	100	0	0	1.0
wef_chs	season_summer	dry	wh_wef_chs_summer	100	0	0	1.0
wef_chs	season_winter	dry	wh_wef_chs_winter	100	0	0	1.0
wef_nit	season_autumn	dry	wh_wef_nit_autumn	100	0	0	1.0
wef_nit	season_spring	dry	wh_wef_nit_spring	100	0	0	1.0
wef_nit	season_summer	dry	wh_wef_nit_summer	100	0	0	1.0
wef_nit	season_winter	dry	wh_wef_nit_winter	100	0	0	1.0
wef_win	season_autumn	dry	wh_wef_win_autumn	100	0	0	1.0
wef_win	season_spring	dry	wh_wef_win_spring	100	0	0	1.0
wef_win	season_summer	dry	wh_wef_win_summer	100	0	0	1.0
wef_win	season_winter	dry	wh_wef_win_winter	100	0	0	1.0
wef	season_autumn	dry	wh_wef_autumn	100	0	0	1.0
wef	season_spring	dry	wh_wef_spring	100	0	0	1.0
wef	season_summer	dry	wh_wef_summer	100	0	0	1.0
wef	season_winter	dry	wh_wef_winter	100	0	0	1.0
