key	order	icon_file_path
wh3_main_ksl_boyar	1	UI\Common UI\unit_category_icons\commander.png
wh3_main_ksl_ice_witch	2	UI\Common UI\unit_category_icons\commander.png
wh3_main_nur_exalted_great_unclean_one	6	UI\Common UI\unit_category_icons\commander.png
wh3_main_nur_herald_of_nurgle	2	UI\Common UI\unit_category_icons\commander.png
wh3_main_ogr_slaughtermaster	2	UI\Common UI\unit_category_icons\commander.png
wh3_main_ogr_tyrant	1	UI\Common UI\unit_category_icons\commander.png
wh3_main_sla_exalted_keeper_of_secrets	7	UI\Common UI\unit_category_icons\commander.png
wh3_main_sla_herald_of_slaanesh	3	UI\Common UI\unit_category_icons\commander.png
wh3_main_tze_exalted_lord_of_change	8	UI\Common UI\unit_category_icons\commander.png
wh3_main_tze_herald_of_tzeentch	4	UI\Common UI\unit_category_icons\commander.png
