resource_cost	trade_resource
wh2_dlc09_ritual_crafting_tmb_weapon_golden_dagger	res_gold_idols
wh2_dlc09_ritual_crafting_tmb_weapon_inscribed_khopesh	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	res_rom_iron
wh2_dlc09_ritual_crafting_tmb_weapon_spear_of_pakth	res_rom_lead
wh2_dlc10_dwf_ritual_armour_anvil_of_the_deep	res_gold_idols
wh2_dlc10_dwf_ritual_armour_runecraft_da	res_dyes
wh2_dlc10_dwf_ritual_armour_runecraft_db	res_rom_iron
wh2_dlc10_dwf_ritual_armour_runecraft_ecb	res_rom_furs
wh2_dlc10_dwf_ritual_armour_runecraft_eda	res_rom_iron
wh2_dlc10_dwf_ritual_armour_runecraft_eda	res_rom_wine
wh2_dlc10_dwf_ritual_armour_runecraft_edb	res_dyes
wh2_dlc10_dwf_ritual_armour_runecraft_edb	res_rom_furs
wh2_dlc10_dwf_ritual_armour_runecraft_fca	res_gems
wh2_dlc10_dwf_ritual_armour_runecraft_fca	res_rom_iron
wh2_dlc10_dwf_ritual_armour_runecraft_fcb	res_gems
wh2_dlc10_dwf_ritual_armour_runecraft_fcb	res_rom_wine
wh2_dlc10_dwf_ritual_armour_runecraft_fda	res_dyes
wh2_dlc10_dwf_ritual_armour_runecraft_fda	res_rom_furs
wh2_dlc10_dwf_ritual_armour_runecraft_fda	res_rom_iron
wh2_dlc10_dwf_ritual_armour_runecraft_forgeproven_gromril_armour	res_gold_idols
wh2_dlc10_dwf_ritual_banner_runecraft_da	res_medicine
wh2_dlc10_dwf_ritual_banner_runecraft_db	res_rom_lead
wh2_dlc10_dwf_ritual_banner_runecraft_eca	res_animals
wh2_dlc10_dwf_ritual_banner_runecraft_ecb	res_rom_iron
wh2_dlc10_dwf_ritual_banner_runecraft_eda	res_rom_furs
wh2_dlc10_dwf_ritual_banner_runecraft_edb	res_dyes
wh2_dlc10_dwf_ritual_banner_runecraft_fca	res_rom_glass
wh2_dlc10_dwf_ritual_banner_runecraft_fca	res_rom_textiles
wh2_dlc10_dwf_ritual_banner_runecraft_fcb	res_rom_marble
wh2_dlc10_dwf_ritual_banner_runecraft_fda	res_rom_furs
wh2_dlc10_dwf_ritual_enchanted_item_belt_of_survival	res_rom_timber
wh2_dlc10_dwf_ritual_enchanted_item_boots_of_swiftness	res_spices
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	res_gold_idols
wh2_dlc10_dwf_ritual_enchanted_item_horn_of_the_ancestors	res_rom_textiles
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	res_gems
wh2_dlc10_dwf_ritual_enchanted_item_sceptre_of_stone	res_rom_timber
wh2_dlc10_dwf_ritual_talisman_ring_of_ancestral_wisdom	res_gold_idols
wh2_dlc10_dwf_ritual_talisman_runecraft_da	res_gems
wh2_dlc10_dwf_ritual_talisman_runecraft_eca	res_spices
wh2_dlc10_dwf_ritual_talisman_runecraft_ecb	res_rom_wine
wh2_dlc10_dwf_ritual_talisman_runecraft_eda	res_gems
wh2_dlc10_dwf_ritual_talisman_runecraft_eda	res_obsidian
wh2_dlc10_dwf_ritual_talisman_runecraft_edb	res_gold_idols
wh2_dlc10_dwf_ritual_talisman_runecraft_edb	res_rom_textiles
wh2_dlc10_dwf_ritual_talisman_runecraft_fca	res_rom_lead
wh2_dlc10_dwf_ritual_talisman_runecraft_fca	res_rom_marble
wh2_dlc10_dwf_ritual_talisman_runecraft_fcb	res_gold_idols
wh2_dlc10_dwf_ritual_talisman_runecraft_fcb	res_rom_lead
wh2_dlc10_dwf_ritual_talisman_runecraft_fcb	res_rom_marble
wh2_dlc10_dwf_ritual_talisman_runecraft_fda	res_dyes
wh2_dlc10_dwf_ritual_talisman_runecraft_fda	res_gems
wh2_dlc10_dwf_ritual_talisman_runecraft_fda	res_rom_lead
wh2_dlc10_dwf_ritual_weapon_elfbane	res_gems
wh2_dlc10_dwf_ritual_weapon_runecraft_da	res_gems
wh2_dlc10_dwf_ritual_weapon_runecraft_db	res_obsidian
wh2_dlc10_dwf_ritual_weapon_runecraft_eca	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_runecraft_ecb	res_rom_marble
wh2_dlc10_dwf_ritual_weapon_runecraft_eda	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_runecraft_eda	res_rom_timber
wh2_dlc10_dwf_ritual_weapon_runecraft_edb	res_obsidian
wh2_dlc10_dwf_ritual_weapon_runecraft_edb	res_rom_timber
wh2_dlc10_dwf_ritual_weapon_runecraft_fca	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_runecraft_fca	res_rom_marble
wh2_dlc10_dwf_ritual_weapon_runecraft_fcb	res_rom_lead
wh2_dlc10_dwf_ritual_weapon_runecraft_fcb	res_rom_marble
wh2_dlc10_dwf_ritual_weapon_runecraft_fda	res_obsidian
wh2_dlc10_dwf_ritual_weapon_runecraft_fda	res_rom_iron
wh2_dlc10_dwf_ritual_weapon_starbreaker	res_gems
wh3_main_ritual_crafting_tmb_liche_priest_capacity	res_rom_lead
wh3_main_ritual_crafting_tmb_liche_priest_capacity	res_spices
wh3_main_ritual_crafting_tmb_necrotect_capacity	res_gold_idols
wh3_main_ritual_crafting_tmb_necrotect_capacity	res_rom_marble
wh3_main_ritual_crafting_tmb_prince_capacity	res_obsidian
wh3_main_ritual_crafting_tmb_prince_capacity	res_rom_iron
wh3_main_tech_nur_15	res_rom_furs
wh3_main_tech_nur_22	res_animals
wh3_main_tech_nur_29	res_dyes
wh3_main_tech_nur_36	res_ivory
wh3_main_tech_nur_43	res_rom_wine
