armory_item_set	agent_subtype
wh3_main_dae_daemon_prince_set_khorne_body_8	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_khorne_body_9	wh3_main_dae_daemon_prince_khorne
wh3_main_dae_daemon_prince_set_nurgle_body_1	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_10	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_11	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_12	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_13	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_2	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_3	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_4	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_5	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_6	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_7	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_8	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_nurgle_body_9	wh3_main_dae_daemon_prince_nurgle
wh3_main_dae_daemon_prince_set_slaanesh_body_1	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_10	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_11	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_12	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_13	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_2	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_3	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_4	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_5	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_6	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_7	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_8	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_slaanesh_body_9	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_set_tzeentch_body_1	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_10	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_11	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_12	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_13	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_2	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_3	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_4	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_5	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_6	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_7	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_8	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_set_tzeentch_body_9	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_slaanesh	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_slaanesh_fe	wh3_main_dae_daemon_prince_slaanesh_fe
wh3_main_dae_daemon_prince_slaanesh_weapon_set_1	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_slaanesh_weapon_set_2	wh3_main_dae_daemon_prince_slaanesh
wh3_main_dae_daemon_prince_tzeentch	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_tzeentch_fe	wh3_main_dae_daemon_prince_tzeentch_fe
wh3_main_dae_daemon_prince_tzeentch_weapon_set_1	wh3_main_dae_daemon_prince_tzeentch
wh3_main_dae_daemon_prince_tzeentch_weapon_set_2	wh3_main_dae_daemon_prince_tzeentch
wh3_main_survival_dae_daemon_prince_khorne	wh3_survival_kho_cha_daemon_prince_of_khorne
wh3_main_survival_dae_daemon_prince_khorne_fe	wh3_survival_kho_cha_daemon_prince_of_khorne_fe
wh3_main_survival_dae_daemon_prince_nurgle	wh3_survival_nur_cha_daemon_prince_of_nurgle
wh3_main_survival_dae_daemon_prince_nurgle_fe	wh3_survival_nur_cha_daemon_prince_of_nurgle_fe
wh3_main_survival_dae_daemon_prince_slaanesh	wh3_survival_sla_cha_daemon_prince_of_slaanesh
wh3_main_survival_dae_daemon_prince_slaanesh_fe	wh3_survival_sla_cha_daemon_prince_of_slaanesh_fe
wh3_main_survival_dae_daemon_prince_tzeentch	wh3_survival_tze_cha_daemon_prince_of_tzeentch
wh3_main_survival_dae_daemon_prince_tzeentch_fe	wh3_survival_tze_cha_daemon_prince_of_tzeentch_fe
