domain	query	query_variables	query_invert_result	query_weight
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_skaven	false	1.0000
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	false	1.0000
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	false	1.0000
enemy_settlements_in_corrupted_province_near_our_settlements_range2	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_vampire	false	1.0000
enemy_settlements_of_human_player_scaled_by_diff	world_check_difficulty	queried_domain_source_value_between_1_3_scaled	false	1.0000
enemy_settlements_of_human_player	faction_to_locatable_check_distance_from_territory	queried_domain_source_to_target_scaled_50_300	true	1.0000
our_regions_with_high_quality_units_recruitable	faction_province_check_max_recruitable_unit_quality	value_between_0_40_scaled	false	1.0000
our_regions_with_high_variety_units_recruitable	faction_province_check_recruitable_unit_types	value_between_0_15_scaled	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_time	world_check_round_number	queried_domain_source_value_between_0_100_scaled	false	1.0000
regions_flagged_as_capture_if_owned_by_other_subcult_nonrazed_unkownfaction_scaled_by_time	world_check_round_number	queried_domain_source_value_between_0_100_scaled	false	1.0000
regions_near_region_flagged_as_capture_if_owned_by_other_subcult_nonrazed_enemy_scaled_by_time	world_check_round_number	queried_domain_source_value_between_0_100_scaled	false	1.0000
regions_with_disliked_owners_near_my_armies_scaled_by_po	faction_province_check_public_order	most_specific_value_between_25_100_scaled	false	1.0000
regions_with_disliked_owners_near_my_regions_scaled_by_po	faction_province_check_public_order	most_specific_value_between_25_100_scaled	false	1.0000
rifts_in_our_regions_if_highly_corrupted	province_check_pooled_resource	most_specific_value_min_50_province_corruption_chaos	false	1.0000
rifts_in_our_regions_if_highly_corrupted	province_check_pooled_resource	most_specific_value_min_50_province_corruption_khorne	false	1.0000
rifts_in_our_regions_if_highly_corrupted	province_check_pooled_resource	most_specific_value_min_50_province_corruption_nurgle	false	1.0000
rifts_in_our_regions_if_highly_corrupted	province_check_pooled_resource	most_specific_value_min_50_province_corruption_slaanesh	false	1.0000
rifts_in_our_regions_if_highly_corrupted	province_check_pooled_resource	most_specific_value_min_50_province_corruption_tzeentch	false	1.0000
rifts_near_our_regions_range_1_scaled_by_interaction_time	faction_check_last_rift_interaction	queried_domain_source_value_between_10_40_scaled	false	1.0000
rifts_near_our_regions_range_1_scaled_by_local_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_chaos	false	1.0000
rifts_near_our_regions_range_1_scaled_by_local_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_khorne	false	1.0000
rifts_near_our_regions_range_1_scaled_by_local_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_nurgle	false	1.0000
rifts_near_our_regions_range_1_scaled_by_local_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_slaanesh	false	1.0000
rifts_near_our_regions_range_1_scaled_by_local_chaos_corruption	province_check_pooled_resource	most_specific_value_between_25_100_scaled_province_corruption_tzeentch	false	1.0000
rifts_near_our_regions_range_3_if_player_is_in_chaos_realm_diff	world_check_difficulty	queried_domain_source_value_between_1_3_scaled	false	1.0000
rifts_near_our_regions_range_3_scaled_by_interaction_time_diff	faction_check_last_rift_interaction	queried_domain_source_value_between_10_30_scaled	false	1.0000
rifts_near_our_regions_range_3_scaled_by_interaction_time_diff	world_check_difficulty	queried_domain_source_value_between_1_3_scaled	false	1.0000
rifts_near_our_regions_range_3_scaled_by_interaction_time	faction_check_last_rift_interaction	queried_domain_source_value_between_10_30_scaled	false	1.0000
rifts_near_our_regions_range_3_scaled_by_player_progress_diff	world_check_difficulty	queried_domain_source_value_between_1_3_scaled	false	1.0000
rifts_near_our_regions_range_3_scaled_by_player_progress_diff	world_check_shared_state_value	queried_domain_source_value_between_1_3_scaled_shared_state_players_absolute_souls	false	1.0000
rifts_near_our_regions_range_3_scaled_by_player_soul_advantage_diff	faction_check_shared_state_value	queried_domain_source_value_between_-3_0_scaled_faction_shared_state_relative_souls	true	1.0000
rifts_near_our_regions_range_3_scaled_by_player_soul_advantage_diff	world_check_difficulty	queried_domain_source_value_between_1_3_scaled	false	1.0000
settlements_owned_by_top_3_threats	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	1.0000
top_3_threats	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	1.0000
undiscovered_factions_settlements_scaled_by_distance	faction_to_locatable_check_distance_from_territory	queried_domain_source_to_target_scaled_0_300	true	1.0000
