decision_item	decision_policy	query	query_variable_set	query_invert_result	query_weight
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_easy	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	20.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_easy	gds_random		false	5.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_easy	faction_check_if_human	queried_domain_target	false	-100.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_easy	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_max-15	true	-100.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_easy	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	40.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_easy	gds_random		false	5.0000
	changing_of_the_ways_actions_easy	decision_item_rounds_ago_that_any_was_chosen	bounds_max_20	false	-100.0000
	changing_of_the_ways_actions_easy	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
	changing_of_the_ways_actions_easy	random_with_min_max_behaviour	bounds_max_0.8	false	-100.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_hard	faction_check_if_human	queried_domain_target	false	-15.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_hard	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_max-15	true	-100.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_hard	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	20.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_hard	gds_random		false	5.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_hard	faction_check_if_human	queried_domain_target	false	-15.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_hard	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_max-15	true	-100.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_hard	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	40.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_hard	gds_random		false	5.0000
	changing_of_the_ways_actions_hard	decision_item_rounds_ago_that_any_was_chosen	bounds_max_20	false	-100.0000
	changing_of_the_ways_actions_hard	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
	changing_of_the_ways_actions_hard	random_with_min_max_behaviour	bounds_max_0.6	false	-100.0000
daemon_prince_ascension_ritual_khorne	daemon_prince_ascension_default	always_true		false	1.0000
daemon_prince_ascension_ritual_khorne	daemon_prince_ascension_default	gds_random	bounds_max_0.8	false	-100.0000
daemon_prince_ascension_ritual_nurgle	daemon_prince_ascension_default	always_true		false	1.0000
daemon_prince_ascension_ritual_nurgle	daemon_prince_ascension_default	gds_random	bounds_max_0.8	false	-100.0000
daemon_prince_ascension_ritual_slaanesh	daemon_prince_ascension_default	always_true		false	1.0000
daemon_prince_ascension_ritual_slaanesh	daemon_prince_ascension_default	gds_random	bounds_max_0.8	false	-100.0000
daemon_prince_ascension_ritual_tzeentch	daemon_prince_ascension_default	always_true		false	1.0000
daemon_prince_ascension_ritual_tzeentch	daemon_prince_ascension_default	gds_random	bounds_max_0.8	false	-100.0000
daemon_prince_ascension_ritual_undivided	daemon_prince_ascension_default	always_true		false	1.0000
daemon_prince_ascension_ritual_undivided	daemon_prince_ascension_default	gds_random	bounds_max_0.98	false	-100.0000
deploy_ogre_camp	deploy_ogre_camp_policy_default	always_true		false	0.2000
deploy_ogre_camp	deploy_ogre_camp_policy_default	faction_check_mobiles_in_stance	ogre_camp_stance_min_1	true	1.0000
deploy_ogre_camp	deploy_ogre_camp_policy_default	resource_mobile_check_enemy_army_nearby	enemy_army_strong	false	0.4000
deploy_ogre_camp	deploy_ogre_camp_policy_default	resource_mobile_check_pooled_resource	military_force_low_on_meat	true	0.2000
deploy_ogre_camp	deploy_ogre_camp_policy_default	resource_mobile_search_strongest_force_nearby	nearby_deployed_ogre_camp	false	-100.0000
deploy_ogre_camp	deploy_ogre_camp_policy_default	resource_mobile_search_territory	enemy_territory_range_0	false	0.4000
deploy_ogre_camp	deploy_ogre_camp_policy_default	resource_mobile_search_territory	enemy_territory_range_1	false	0.4000
deploy_ogre_camp	deploy_ogre_camp_policy_default	resource_mobile_search_territory	own_territory_range_0	false	-0.3000
festus_plague_recipe_target_own_army_buboes_0	festus_plague_create_plague_default	always_true		false	2.0000
festus_plague_recipe_target_own_army_buboes_0	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_buboes_1	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_buboes_1	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_buboes_2	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_buboes_2	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_buboes_3	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_buboes_3	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_buboes_4	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_buboes_4	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_buboes_5	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_buboes_5	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_0	festus_plague_create_plague_default	always_true		false	1.0000
festus_plague_recipe_target_own_army_pox_0	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_0	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_pox_0	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_pox_0	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_pox_1	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_pox_1	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_1	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_pox_1	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_pox_1	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_pox_2	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_pox_2	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_2	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_pox_2	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_pox_2	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_pox_3	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_pox_3	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_3	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_pox_3	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_pox_3	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_pox_4	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_pox_4	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_4	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_pox_4	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_pox_4	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_pox_5	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_pox_5	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_pox_5	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_pox_5	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_pox_5	festus_plague_create_plague_default	resource_mobile_search_strongest_force_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_rot_0	festus_plague_create_plague_default	always_true		false	1.0000
festus_plague_recipe_target_own_army_rot_0	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_rot_1	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_rot_1	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_rot_2	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_rot_2	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_rot_3	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_rot_3	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_rot_4	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_rot_4	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_rot_5	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_rot_5	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_0	festus_plague_create_plague_default	always_true		false	1.0000
festus_plague_recipe_target_own_army_shakes_0	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_0	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_shakes_0	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_shakes_0	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_shakes_1	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_shakes_1	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_1	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_shakes_1	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_shakes_1	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_shakes_2	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_shakes_2	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_2	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_shakes_2	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_shakes_2	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_shakes_3	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_shakes_3	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_3	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_shakes_3	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_shakes_3	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_shakes_4	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_shakes_4	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_4	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_shakes_4	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_shakes_4	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_army_shakes_5	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_army_shakes_5	festus_plague_create_plague_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
festus_plague_recipe_target_own_army_shakes_5	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_1	false	1.0000
festus_plague_recipe_target_own_army_shakes_5	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_2	false	1.0000
festus_plague_recipe_target_own_army_shakes_5	festus_plague_create_plague_default	resource_mobile_check_enemy_army_nearby	enemy_army_present_range_3	false	1.0000
festus_plague_recipe_target_own_settlement_ague_0	festus_plague_create_plague_default	always_true		false	2.0000
festus_plague_recipe_target_own_settlement_ague_1	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_settlement_ague_2	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_settlement_ague_3	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_settlement_ague_4	festus_plague_create_plague_default	always_true		false	5.0000
festus_plague_recipe_target_own_settlement_ague_5	festus_plague_create_plague_default	always_true		false	5.0000
wh3_main_ritual_kho_gg_1_upgraded	great_game_default	always_true		false	2.0000
wh3_main_ritual_kho_gg_1_upgraded	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_kho_gg_1_upgraded	great_game_default	resource_mobile_check_if_at_home		true	-100.0000
wh3_main_ritual_kho_gg_1_upgraded	great_game_default	resource_mobile_check_units	bounds_min_14	true	-100.0000
wh3_main_ritual_kho_gg_1	great_game_default	always_true		false	1.0000
wh3_main_ritual_kho_gg_1	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_kho_gg_1	great_game_default	resource_mobile_check_if_at_home		true	-100.0000
wh3_main_ritual_kho_gg_1	great_game_default	resource_mobile_check_units	bounds_min_14	true	-100.0000
wh3_main_ritual_kho_gg_2_upgraded	great_game_default	always_true		false	4.0000
wh3_main_ritual_kho_gg_2_upgraded	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_kho_gg_2_upgraded	great_game_default	resource_mobile_check_enemy_army_nearby		false	1.0000
wh3_main_ritual_kho_gg_2	great_game_default	always_true		false	3.0000
wh3_main_ritual_kho_gg_2	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_kho_gg_2	great_game_default	resource_mobile_check_enemy_army_nearby		false	1.0000
wh3_main_ritual_kho_gg_3_upgraded	great_game_default	always_true		false	6.0000
wh3_main_ritual_kho_gg_3_upgraded	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_kho_gg_3_upgraded	great_game_default	resource_mobile_check_enemy_army_nearby		false	1.0000
wh3_main_ritual_kho_gg_3	great_game_default	always_true		false	5.0000
wh3_main_ritual_kho_gg_3	great_game_default	faction_check_own_forces_in_enemy_regions		false	1.0000
wh3_main_ritual_kho_gg_3	great_game_default	faction_province_check_avg_settlement_level	avg_settlement_level_high	false	1.0000
wh3_main_ritual_kho_gg_3	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_kho_gg_3	great_game_default	resource_mobile_check_enemy_army_nearby		false	1.0000
wh3_main_ritual_kho_gg_4_upgraded	great_game_default	always_true		false	8.0000
wh3_main_ritual_kho_gg_4_upgraded	great_game_default	resource_mobile_check_average_unit_health_percentage	bounds_min_0.95	false	1.0000
wh3_main_ritual_kho_gg_4_upgraded	great_game_default	resource_mobile_check_units	bounds_min_14	false	1.0000
wh3_main_ritual_kho_gg_4	great_game_default	always_true		false	7.0000
wh3_main_ritual_kho_gg_4	great_game_default	resource_mobile_check_average_unit_health_percentage	bounds_min_0.95	false	1.0000
wh3_main_ritual_kho_gg_4	great_game_default	resource_mobile_check_units	bounds_min_14	false	1.0000
wh3_main_ritual_nur_gg_1_upgraded	great_game_default	always_true		false	2.0000
wh3_main_ritual_nur_gg_1_upgraded	great_game_default	resource_mobile_check_average_unit_health_percentage		true	1.0000
wh3_main_ritual_nur_gg_1_upgraded	great_game_default	resource_mobile_check_average_unit_health_percentage	bounds_min_0.8	false	-100.0000
wh3_main_ritual_nur_gg_1_upgraded	great_game_default	resource_mobile_check_if_at_home		true	-100.0000
wh3_main_ritual_nur_gg_1_upgraded	great_game_default	resource_mobile_check_units		false	0.5000
wh3_main_ritual_nur_gg_1	great_game_default	always_true		false	1.0000
wh3_main_ritual_nur_gg_1	great_game_default	resource_mobile_check_average_unit_health_percentage		true	1.0000
wh3_main_ritual_nur_gg_1	great_game_default	resource_mobile_check_average_unit_health_percentage	bounds_min_0.8	false	-100.0000
wh3_main_ritual_nur_gg_1	great_game_default	resource_mobile_check_if_at_home		true	-100.0000
wh3_main_ritual_nur_gg_1	great_game_default	resource_mobile_check_units		false	0.5000
wh3_main_ritual_nur_gg_2_upgraded	great_game_default	always_true		false	4.0000
wh3_main_ritual_nur_gg_2_upgraded	great_game_default	faction_check_own_forces_in_enemy_regions		false	1.0000
wh3_main_ritual_nur_gg_2_upgraded	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_nur_gg_2_upgraded	great_game_default	resource_mobile_check_if_plague_spreader_with_recipe		true	-100.0000
wh3_main_ritual_nur_gg_2	great_game_default	always_true		false	3.0000
wh3_main_ritual_nur_gg_2	great_game_default	faction_check_own_forces_in_enemy_regions		false	1.0000
wh3_main_ritual_nur_gg_2	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_nur_gg_2	great_game_default	resource_mobile_check_if_plague_spreader_with_recipe		true	-100.0000
wh3_main_ritual_nur_gg_3_upgraded	great_game_default	always_true		false	6.0000
wh3_main_ritual_nur_gg_3_upgraded	great_game_default	faction_province_check_avg_settlement_level	avg_settlement_level_high	true	1.0000
wh3_main_ritual_nur_gg_3	great_game_default	always_true		false	5.0000
wh3_main_ritual_nur_gg_3	great_game_default	faction_province_check_avg_settlement_level	avg_settlement_level_high	true	1.0000
wh3_main_ritual_nur_gg_4_upgraded	great_game_default	always_true		false	8.0000
wh3_main_ritual_nur_gg_4_upgraded	great_game_default	faction_check_own_forces_in_enemy_regions		false	1.0000
wh3_main_ritual_nur_gg_4_upgraded	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_nur_gg_4_upgraded	great_game_default	resource_mobile_check_enemy_army_nearby		false	1.0000
wh3_main_ritual_nur_gg_4	great_game_default	always_true		false	7.0000
wh3_main_ritual_nur_gg_4	great_game_default	faction_check_own_forces_in_enemy_regions		false	1.0000
wh3_main_ritual_nur_gg_4	great_game_default	resource_mobile_check_combat_potential	scaled_combat_potential	false	1.0000
wh3_main_ritual_nur_gg_4	great_game_default	resource_mobile_check_enemy_army_nearby		false	1.0000
wh3_main_ritual_sla_gg_1_upgraded	great_game_default	always_true		false	2.0000
wh3_main_ritual_sla_gg_1_upgraded	great_game_default	resource_mobile_check_average_unit_health_percentage	bounds_max_0.95	false	-100.0000
wh3_main_ritual_sla_gg_1	great_game_default	always_true		false	1.0000
wh3_main_ritual_sla_gg_1	great_game_default	resource_mobile_check_average_unit_health_percentage	bounds_max_0.95	false	-100.0000
wh3_main_ritual_sla_gg_2_upgraded	great_game_default	always_true		false	4.0000
wh3_main_ritual_sla_gg_2	great_game_default	always_true		false	3.0000
wh3_main_ritual_sla_gg_3_upgraded	great_game_default	always_true		false	6.0000
wh3_main_ritual_sla_gg_3_upgraded	great_game_default	resource_mobile_check_enemy_army_nearby	enemy_army_strong	false	2.0000
wh3_main_ritual_sla_gg_3	great_game_default	always_true		false	5.0000
wh3_main_ritual_sla_gg_3	great_game_default	resource_mobile_check_enemy_army_nearby	enemy_army_strong	false	2.0000
wh3_main_ritual_sla_gg_4_upgraded	great_game_default	always_true		false	8.0000
wh3_main_ritual_sla_gg_4	great_game_default	always_true		false	7.0000
wh3_main_ritual_tze_gg_1_upgraded	great_game_default	always_true		false	2.0000
wh3_main_ritual_tze_gg_1_upgraded	great_game_default	world_check_round_number	bounds_max_20	false	-200.0000
wh3_main_ritual_tze_gg_1	great_game_default	always_true		false	1.0000
wh3_main_ritual_tze_gg_1	great_game_default	world_check_round_number	bounds_max_20	false	-200.0000
wh3_main_ritual_tze_gg_2_upgraded	great_game_default	always_true		false	4.0000
wh3_main_ritual_tze_gg_2_upgraded	great_game_default	resource_mobile_search_strongest_force_nearby	enemy_army_strength_present_range_1	false	2.0000
wh3_main_ritual_tze_gg_2	great_game_default	always_true		false	3.0000
wh3_main_ritual_tze_gg_2	great_game_default	resource_mobile_search_strongest_force_nearby	enemy_army_strength_present_range_1	false	2.0000
wh3_main_ritual_tze_gg_3_upgraded	great_game_default	always_true		false	6.0000
wh3_main_ritual_tze_gg_3_upgraded	great_game_default	resource_mobile_check_enemy_army_nearby	enemy_army_strong	false	2.0000
wh3_main_ritual_tze_gg_3	great_game_default	always_true		false	5.0000
wh3_main_ritual_tze_gg_3	great_game_default	resource_mobile_check_enemy_army_nearby	enemy_army_strong	false	2.0000
wh3_main_ritual_tze_gg_4_upgraded	great_game_default	always_true		false	8.0000
wh3_main_ritual_tze_gg_4	great_game_default	always_true		false	7.0000
