operation_set	operation_effect_bundle
wh3_main_operation_set_dae_nurgle_280	wh3_main_bundle_dae_nurgle_01
wh3_main_operation_set_dae_nurgle_3080	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_pox_riders_of_nurgle_0
wh3_main_operation_set_dae_nurgle_3780	wh3_main_bundle_dae_nurgle_05
wh3_main_operation_set_dae_nurgle_4060	wh3_main_bundle_dae_nurgle_04
wh3_main_operation_set_dae_nurgle_420	wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_plaguebearers_0
wh3_main_operation_set_dae_nurgle_4340	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_0
wh3_main_operation_set_dae_nurgle_4480	wh3_main_bundle_dae_nurgle_07
wh3_main_operation_set_dae_nurgle_4760	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_1
wh3_main_operation_set_dae_nurgle_5040	wh3_main_bundle_dae_nurgle_08
wh3_main_operation_set_dae_nurgle_5320	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_soul_grinder_0
wh3_main_operation_set_dae_nurgle_5600	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_great_unclean_one_0
wh3_main_operation_set_dae_nurgle_700	wh3_main_bundle_dae_nurgle_06
wh3_main_operation_set_dae_nurgle_70	wh3_main_bundle_lock_recruitment_wh3_main_nur_inf_nurglings_0
wh3_main_operation_set_dae_nurgle_840	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_beast_of_nurgle_0
wh3_main_operation_set_dae_nurgle_980	wh3_main_bundle_dae_nurgle_faction_feature
wh3_main_operation_set_dae_slaanesh_1260	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_hellstriders_1
wh3_main_operation_set_dae_slaanesh_140	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_hellstriders_0
wh3_main_operation_set_dae_slaanesh_1680	wh3_main_bundle_lock_recruitment_wh3_main_sla_inf_daemonette_1
wh3_main_operation_set_dae_slaanesh_1820	wh3_main_bundle_dae_slaanesh_02
wh3_main_operation_set_dae_slaanesh_1960	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_seekers_of_slaanesh_0
wh3_main_operation_set_dae_slaanesh_2520	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_seeker_chariot_0
wh3_main_operation_set_dae_slaanesh_2800	wh3_main_bundle_dae_slaanesh_03
wh3_main_operation_set_dae_slaanesh_280	wh3_main_bundle_dae_slaanesh_01
wh3_main_operation_set_dae_slaanesh_2940	wh3_main_bundle_lock_recruitment_wh3_main_sla_cav_heartseekers_of_slaanesh_0
wh3_main_operation_set_dae_slaanesh_3500	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_fiends_of_slaanesh_0
wh3_main_operation_set_dae_slaanesh_3780	wh3_main_bundle_dae_slaanesh_05
wh3_main_operation_set_dae_slaanesh_4060	wh3_main_bundle_dae_slaanesh_04
wh3_main_operation_set_dae_slaanesh_420	wh3_main_bundle_lock_recruitment_wh3_main_sla_inf_daemonette_0
wh3_main_operation_set_dae_slaanesh_4340	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_hellflayer_0
wh3_main_operation_set_dae_slaanesh_4480	wh3_main_bundle_dae_slaanesh_07
wh3_main_operation_set_dae_slaanesh_4760	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_exalted_seeker_chariot_0
wh3_main_operation_set_dae_slaanesh_5040	wh3_main_bundle_dae_slaanesh_08
wh3_main_operation_set_dae_slaanesh_5320	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_soul_grinder_0
wh3_main_operation_set_dae_slaanesh_5600	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_keeper_of_secrets_0
wh3_main_operation_set_dae_slaanesh_700	wh3_main_bundle_dae_slaanesh_06
wh3_main_operation_set_dae_slaanesh_980	wh3_main_bundle_dae_slaanesh_faction_feature
wh3_main_operation_set_dae_tzeentch_140	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_screamers_0
wh3_main_operation_set_dae_tzeentch_1540	wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_pink_horrors_1
wh3_main_operation_set_dae_tzeentch_1820	wh3_main_bundle_dae_tzeentch_02
wh3_main_operation_set_dae_tzeentch_2100	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_flamers_0
wh3_main_operation_set_dae_tzeentch_2800	wh3_main_bundle_dae_tzeentch_03
wh3_main_operation_set_dae_tzeentch_280	wh3_main_bundle_dae_tzeentch_01
wh3_main_operation_set_dae_tzeentch_3080	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_exalted_flamer_0
wh3_main_operation_set_dae_tzeentch_3780	wh3_main_bundle_dae_tzeentch_05
wh3_main_operation_set_dae_tzeentch_4060	wh3_main_bundle_dae_tzeentch_04
wh3_main_operation_set_dae_tzeentch_4340	wh3_main_bundle_lock_recruitment_wh3_main_tze_cav_doom_knights_0
wh3_main_operation_set_dae_tzeentch_4480	wh3_main_bundle_dae_tzeentch_07
wh3_main_operation_set_dae_tzeentch_4760	wh3_main_bundle_lock_recruitment_wh3_main_tze_veh_burning_chariot_0
wh3_main_operation_set_dae_tzeentch_5040	wh3_main_bundle_dae_tzeentch_08
wh3_main_operation_set_dae_tzeentch_5320	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_soul_grinder_0
wh3_main_operation_set_dae_tzeentch_5600	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_lord_of_change_0
wh3_main_operation_set_dae_tzeentch_560	wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_pink_horrors_0
wh3_main_operation_set_dae_tzeentch_700	wh3_main_bundle_dae_tzeentch_06
wh3_main_operation_set_dae_tzeentch_70	wh3_main_bundle_lock_recruitment_wh3_main_tze_inf_blue_horrors_0
wh3_main_operation_set_dae_tzeentch_980	wh3_main_bundle_dae_tzeentch_faction_feature
wh3_main_operation_set_dae_undivided_4060	wh3_main_bundle_dae_undivided_01
wh3_main_operation_set_dae_undivided_4130	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_khornataurs_1
wh3_main_operation_set_dae_undivided_4200	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_0
wh3_main_operation_set_dae_undivided_4270	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_hellflayer_0
wh3_main_operation_set_dae_undivided_4340	wh3_main_bundle_lock_recruitment_wh3_main_tze_cav_doom_knights_0
wh3_main_operation_set_dae_undivided_4480	wh3_main_bundle_lock_recruitment_wh3_main_kho_cav_skullcrushers_0
wh3_main_operation_set_dae_undivided_4550	wh3_main_bundle_lock_recruitment_wh3_main_nur_cav_plague_drones_1
wh3_main_operation_set_dae_undivided_4620	wh3_main_bundle_lock_recruitment_wh3_main_sla_veh_exalted_seeker_chariot_0
wh3_main_operation_set_dae_undivided_4690	wh3_main_bundle_lock_recruitment_wh3_main_tze_veh_burning_chariot_0
wh3_main_operation_set_dae_undivided_4760	wh3_main_bundle_dae_undivided_02
wh3_main_operation_set_dae_undivided_4900	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_soul_grinder_0
wh3_main_operation_set_dae_undivided_4970	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_soul_grinder_0
wh3_main_operation_set_dae_undivided_5040	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_soul_grinder_0
wh3_main_operation_set_dae_undivided_5110	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_soul_grinder_0
wh3_main_operation_set_dae_undivided_5250	wh3_main_bundle_lock_recruitment_wh3_main_kho_mon_bloodthirster_0
wh3_main_operation_set_dae_undivided_5320	wh3_main_bundle_lock_recruitment_wh3_main_nur_mon_great_unclean_one_0
wh3_main_operation_set_dae_undivided_5390	wh3_main_bundle_lock_recruitment_wh3_main_sla_mon_keeper_of_secrets_0
wh3_main_operation_set_dae_undivided_5460	wh3_main_bundle_lock_recruitment_wh3_main_tze_mon_lord_of_change_0
wh3_main_operation_set_dae_undivided_5600	wh3_main_bundle_dae_undivided_03
