order	chain	ritual
2	wh2_dlc15_athel_tamarha_melee_mistwalkers	wh2_dlc15_athel_tamarha_melee_mistwalkers_3
0	wh2_dlc15_athel_tamarha_mist	wh2_dlc15_athel_tamarha_mist_1
1	wh2_dlc15_athel_tamarha_mist	wh2_dlc15_athel_tamarha_mist_2
2	wh2_dlc15_athel_tamarha_mist	wh2_dlc15_athel_tamarha_mist_3
0	wh2_dlc15_athel_tamarha_mistwalkers_recruitment	wh2_dlc15_athel_tamarha_mistwalkers_recruitment_1
1	wh2_dlc15_athel_tamarha_mistwalkers_recruitment	wh2_dlc15_athel_tamarha_mistwalkers_recruitment_2
2	wh2_dlc15_athel_tamarha_mistwalkers_recruitment	wh2_dlc15_athel_tamarha_mistwalkers_recruitment_3
0	wh2_dlc15_athel_tamarha_mistwalkers_upgrades	wh2_dlc15_athel_tamarha_mistwalkers_upgrades_1
1	wh2_dlc15_athel_tamarha_mistwalkers_upgrades	wh2_dlc15_athel_tamarha_mistwalkers_upgrades_2
2	wh2_dlc15_athel_tamarha_mistwalkers_upgrades	wh2_dlc15_athel_tamarha_mistwalkers_upgrades_3
0	wh2_dlc15_athel_tamarha_prison	wh2_dlc15_athel_tamarha_prison_1
1	wh2_dlc15_athel_tamarha_prison	wh2_dlc15_athel_tamarha_prison_2
0	wh2_dlc15_athel_tamarha_ranged_mistwalkers	wh2_dlc15_athel_tamarha_ranged_mistwalkers_1
1	wh2_dlc15_athel_tamarha_ranged_mistwalkers	wh2_dlc15_athel_tamarha_ranged_mistwalkers_2
2	wh2_dlc15_athel_tamarha_ranged_mistwalkers	wh2_dlc15_athel_tamarha_ranged_mistwalkers_3
0	wh2_dlc16_ritual_wef_forge_dragon_armour	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_armour	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_armour	wh2_dlc16_ritual_wef_forge_dragon_cuirass_level_3
0	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_enchanted_item	wh2_dlc16_ritual_wef_forge_dragon_pendant_level_3
0	wh2_dlc16_ritual_wef_forge_dragon_talisman	wh2_dlc16_ritual_wef_forge_dragon_mask_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_talisman	wh2_dlc16_ritual_wef_forge_dragon_mask_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_talisman	wh2_dlc16_ritual_wef_forge_dragon_mask_level_3
0	wh2_dlc16_ritual_wef_forge_dragon_weapon	wh2_dlc16_ritual_wef_forge_dragon_spear_level_1
1	wh2_dlc16_ritual_wef_forge_dragon_weapon	wh2_dlc16_ritual_wef_forge_dragon_spear_level_2
2	wh2_dlc16_ritual_wef_forge_dragon_weapon	wh2_dlc16_ritual_wef_forge_dragon_spear_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_armour	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_armour	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_armour	wh2_dlc16_ritual_wef_forge_dreaming_boots_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_enchanted_item	wh2_dlc16_ritual_wef_forge_dreaming_cloak_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_talisman	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_talisman	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_talisman	wh2_dlc16_ritual_wef_forge_dreaming_ring_level_3
0	wh2_dlc16_ritual_wef_forge_dreaming_weapon	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_1
1	wh2_dlc16_ritual_wef_forge_dreaming_weapon	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_2
2	wh2_dlc16_ritual_wef_forge_dreaming_weapon	wh2_dlc16_ritual_wef_forge_dreaming_bow_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_armour	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_armour	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_armour	wh2_dlc16_ritual_wef_forge_eagle_vambraces_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_enchanted_item	wh2_dlc16_ritual_wef_forge_eagle_quiver_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_talisman	wh2_dlc16_ritual_wef_forge_eagle_mask_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_talisman	wh2_dlc16_ritual_wef_forge_eagle_mask_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_talisman	wh2_dlc16_ritual_wef_forge_eagle_mask_level_3
0	wh2_dlc16_ritual_wef_forge_eagle_weapon	wh2_dlc16_ritual_wef_forge_eagle_bow_level_1
1	wh2_dlc16_ritual_wef_forge_eagle_weapon	wh2_dlc16_ritual_wef_forge_eagle_bow_level_2
2	wh2_dlc16_ritual_wef_forge_eagle_weapon	wh2_dlc16_ritual_wef_forge_eagle_bow_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_armour	wh2_dlc16_ritual_wef_forge_twilight_helm_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_armour	wh2_dlc16_ritual_wef_forge_twilight_helm_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_armour	wh2_dlc16_ritual_wef_forge_twilight_helm_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	wh2_dlc16_ritual_wef_forge_twilight_standard_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	wh2_dlc16_ritual_wef_forge_twilight_standard_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_enchanted_item	wh2_dlc16_ritual_wef_forge_twilight_standard_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_talisman	wh2_dlc16_ritual_wef_forge_twilight_horn_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_talisman	wh2_dlc16_ritual_wef_forge_twilight_horn_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_talisman	wh2_dlc16_ritual_wef_forge_twilight_horn_level_3
0	wh2_dlc16_ritual_wef_forge_twilight_weapon	wh2_dlc16_ritual_wef_forge_twilight_spear_level_1
1	wh2_dlc16_ritual_wef_forge_twilight_weapon	wh2_dlc16_ritual_wef_forge_twilight_spear_level_2
2	wh2_dlc16_ritual_wef_forge_twilight_weapon	wh2_dlc16_ritual_wef_forge_twilight_spear_level_3
0	wh2_dlc17_ritual_character_upgrades	wh2_dlc17_bst_ritual_upgrade_lord_level_5
1	wh2_dlc17_ritual_character_upgrades	wh2_dlc17_bst_ritual_upgrade_lord_level_10
2	wh2_dlc17_ritual_character_upgrades	wh2_dlc17_bst_ritual_upgrade_lord_level_15
0	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_1
1	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_2
2	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_3
3	wh2_dlc17_ritual_herdstone_upgrades	wh2_dlc17_bst_ritual_herdstone_upgrade_4
0	wh2_dlc17_ritual_unit_experience_upgrades	wh2_dlc17_bst_ritual_upgrade_horde_lvl_1
1	wh2_dlc17_ritual_unit_experience_upgrades	wh2_dlc17_bst_ritual_upgrade_horde_lvl_2
2	wh2_dlc17_ritual_unit_experience_upgrades	wh2_dlc17_bst_ritual_upgrade_horde_lvl_3
