campaign_group	resource	initial_amount
wh3_dlc20_feature_festus	wh3_dlc20_chs_authority_nurgle	0
wh3_dlc20_feature_festus	wh3_dlc20_chs_souls_spent_nur	0
wh3_dlc20_feature_festus	wh3_dlc20_chs_teleport_network_rift_resource	0
wh3_dlc20_feature_festus	wh3_dlc20_chs_teleport_network_traversal_festus	1
wh3_dlc20_feature_festus	wh3_main_nur_infections	50
wh3_dlc20_feature_valkia	wh3_dlc20_chs_authority_khorne	0
wh3_dlc20_feature_valkia	wh3_dlc20_chs_souls_spent_kho	0
wh3_dlc20_feature_valkia	wh3_dlc20_chs_teleport_network_rift_resource	0
wh3_dlc20_feature_valkia	wh3_dlc20_chs_teleport_network_traversal_valkia	1
wh3_dlc20_feature_vilitch	wh3_dlc20_chs_authority_tzeentch	0
wh3_dlc20_feature_vilitch	wh3_dlc20_chs_souls_spent_tze	0
wh3_dlc20_feature_vilitch	wh3_dlc20_chs_teleport_network_rift_resource	0
wh3_dlc20_feature_vilitch	wh3_dlc20_chs_teleport_network_traversal_vilitch	1
wh3_dlc20_feature_vilitch	wh3_main_tze_winds_of_magic_manipulation	0
wh3_main_corruption_campaigns	wh3_main_corruption_chaos	0
wh3_main_corruption_campaigns	wh3_main_corruption_khorne	0
wh3_main_corruption_campaigns	wh3_main_corruption_nurgle	0
wh3_main_corruption_campaigns	wh3_main_corruption_skaven	0
wh3_main_corruption_campaigns	wh3_main_corruption_slaanesh	0
wh3_main_corruption_campaigns	wh3_main_corruption_tzeentch	0
wh3_main_corruption_campaigns	wh3_main_corruption_vampiric	0
wh3_main_feature_belakor	wh3_main_ritual_belakor_gg_1_uses	0
wh3_main_feature_belakor	wh3_main_ritual_belakor_gg_2_uses	0
wh3_main_feature_belakor	wh3_main_ritual_belakor_gg_3_uses	0
wh3_main_feature_belakor	wh3_main_ritual_belakor_gg_4_uses	0
wh3_main_feature_cathay	wh3_main_cth_harmony	0
wh3_main_feature_daemons	wh3_main_dae_khorne_points	0
wh3_main_feature_daemons	wh3_main_dae_nurgle_points	0
wh3_main_feature_daemons	wh3_main_dae_slaanesh_points	0
wh3_main_feature_daemons	wh3_main_dae_tzeentch_points	0
wh3_main_feature_daemons	wh3_main_dae_undivided_points	0
wh3_main_feature_khorne	wh3_main_kho_skulls	5000
wh3_main_feature_kislev	wh3_main_ksl_devotion	100
wh3_main_feature_kislev	wh3_main_ksl_followers	0
wh3_main_feature_nurgle	wh3_main_nur_infections	50
wh3_main_feature_slaanesh	wh3_main_sla_devotees	300
wh3_main_feature_tzeentch	wh3_main_tze_grimoires	100
wh3_main_feature_tzeentch	wh3_main_tze_winds_of_magic_manipulation	0
wh3_main_feature_volkmar	wh3_main_emp_volkmar_books_destroyed	0
wh3_main_ogr_meat	wh3_main_ogr_meat	50
wh3_main_pooled_resource_seductive_influence_seducible_factions	wh3_main_sla_seductive_influence	0
wh3_main_realms_gameplay	wh3_main_enter_realm_cost	999
wh3_main_realms_gameplay	wh3_main_khorne_realm_points	0
wh3_main_realms_gameplay	wh3_main_realm_complete_khorne	0
wh3_main_realms_gameplay	wh3_main_realm_complete_nurgle	0
wh3_main_realms_gameplay	wh3_main_realm_complete_slaanesh	0
wh3_main_realms_gameplay	wh3_main_realm_complete_tzeentch	0
wh3_main_winds_of_magic	wh3_main_winds_of_magic	50
wh_dlc03_feature_beastmen	bst_dread	0
wh_dlc03_feature_beastmen	bst_herdstone_shard	0
wh_dlc03_feature_beastmen	bst_ruination	0
wh_dlc05_feature_wood_elves	wef_amber	0
wh_dlc05_feature_wood_elves	wef_worldroots_athel_loren	0
wh_dlc05_feature_wood_elves	wef_worldroots_emerald_pools	0
wh_dlc05_feature_wood_elves	wef_worldroots_gaean_vale	0
wh_dlc05_feature_wood_elves	wef_worldroots_gryphon_wood	0
wh_dlc05_feature_wood_elves	wef_worldroots_heart_of_the_jungle	0
wh_dlc05_feature_wood_elves	wef_worldroots_jungles_of_chian	0
wh_dlc05_feature_wood_elves	wef_worldroots_laurelorn	0
wh_dlc05_feature_wood_elves	wef_worldroots_naggarond_glade	0
wh_dlc05_feature_wood_elves	wef_worldroots_the_haunted_forest	0
wh_dlc05_feature_wood_elves	wef_worldroots_vale_of_webs	0
wh_dlc08_feature_norsca	nor_progress_crow	0
wh_dlc08_feature_norsca	nor_progress_eagle	0
wh_dlc08_feature_norsca	nor_progress_hound	0
wh_dlc08_feature_norsca	nor_progress_serpent	0
wh_main_feature_all	wh3_main_siege_supplies	0
wh_main_feature_all	wh3_main_siege_supplies_initial	0
wh_main_feature_bretonnia	brt_chivalry	98
wh_main_feature_chaos	wh3_dlc20_chs_authority_undivided	0
wh_main_feature_chaos	wh3_dlc20_chs_eye_of_the_gods	20
wh_main_feature_chaos	wh3_dlc20_chs_souls	1000
wh_main_feature_chaos	wh3_dlc20_chs_souls_spent_und	0
wh_main_feature_dwarfs	dwf_oathgold	0
wh_main_feature_empire_politics_loyalty	emp_loyalty	0
wh_main_feature_empire_politics	emp_imperial_authority	0
wh_main_feature_empire_politics	emp_prestige	100
wh_main_feature_greenskins	grn_salvage	30
wh_main_feature_greenskins	grn_waaagh	50
wh_main_feature_vampire_counts	vmp_blood_kiss	0
