mercenary_set	province
wh_main_vmp_province_pool	wh3_main_chaos_province_stirland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_sylvania
wh_main_vmp_province_pool	wh3_main_chaos_province_sylvania
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_talabecland
wh_main_vmp_province_pool	wh3_main_chaos_province_talabecland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_blasted_wastes
wh_main_vmp_province_pool	wh3_main_chaos_province_the_blasted_wastes
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_blood_marshes
wh_main_vmp_province_pool	wh3_main_chaos_province_the_blood_marshes
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_cliffs_of_death
wh_main_vmp_province_pool	wh3_main_chaos_province_the_cliffs_of_death
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_cold_mires
wh_main_vmp_province_pool	wh3_main_chaos_province_the_cold_mires
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_cursed_city
wh_main_vmp_province_pool	wh3_main_chaos_province_the_cursed_city
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_eternal_lagoon
wh_main_vmp_province_pool	wh3_main_chaos_province_the_eternal_lagoon
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_goromadny
wh_main_vmp_province_pool	wh3_main_chaos_province_the_goromadny
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_great_maw
wh_main_vmp_province_pool	wh3_main_chaos_province_the_great_maw
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_haunted_forest
wh_main_vmp_province_pool	wh3_main_chaos_province_the_haunted_forest
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_high_pass
wh_main_vmp_province_pool	wh3_main_chaos_province_the_high_pass
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_howling_wastes
wh_main_vmp_province_pool	wh3_main_chaos_province_the_howling_wastes
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_plain_of_zharr
wh_main_vmp_province_pool	wh3_main_chaos_province_the_plain_of_zharr
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_red_wastes
wh_main_vmp_province_pool	wh3_main_chaos_province_the_red_wastes
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_shard_lands
wh_main_vmp_province_pool	wh3_main_chaos_province_the_shard_lands
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_wasteland
wh_main_vmp_province_pool	wh3_main_chaos_province_the_wasteland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_witchs_wood
wh_main_vmp_province_pool	wh3_main_chaos_province_the_witchs_wood
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_the_wolf_lands
wh_main_vmp_province_pool	wh3_main_chaos_province_the_wolf_lands
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_troll_country
wh_main_vmp_province_pool	wh3_main_chaos_province_troll_country
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_trollheim_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_trollheim_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_vanaheim_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_vanaheim_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_warpstone_desert
wh_main_vmp_province_pool	wh3_main_chaos_province_warpstone_desert
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_wastelands_of_jinshen
wh_main_vmp_province_pool	wh3_main_chaos_province_wastelands_of_jinshen
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_western_great_bastion
wh_main_vmp_province_pool	wh3_main_chaos_province_western_great_bastion
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_wissenland
wh_main_vmp_province_pool	wh3_main_chaos_province_wissenland
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_worlds_edge_mountains
wh_main_vmp_province_pool	wh3_main_chaos_province_worlds_edge_mountains
wh3_dlc20_chs_province_pool	wh3_main_chaos_province_zorn_uzkul
wh_main_vmp_province_pool	wh3_main_chaos_province_zorn_uzkul
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_albion
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_albion
wh3_dlc20_chs_province_pool	wh3_main_combi_province_albion
wh_main_vmp_province_pool	wh3_main_combi_province_albion
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_ancient_giant_lands
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_ancient_giant_lands
wh3_dlc20_chs_province_pool	wh3_main_combi_province_ancient_giant_lands
wh_main_vmp_province_pool	wh3_main_combi_province_ancient_giant_lands
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_argwylon
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_argwylon
wh3_dlc20_chs_province_pool	wh3_main_combi_province_argwylon
wh_main_vmp_province_pool	wh3_main_combi_province_argwylon
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_ashen_coast
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_ashen_coast
wh3_dlc20_chs_province_pool	wh3_main_combi_province_ashen_coast
wh_main_vmp_province_pool	wh3_main_combi_province_ashen_coast
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_atalan_mountains
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_atalan_mountains
wh3_dlc20_chs_province_pool	wh3_main_combi_province_atalan_mountains
wh_main_vmp_province_pool	wh3_main_combi_province_atalan_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_avelorn
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_avelorn
wh3_dlc20_chs_province_pool	wh3_main_combi_province_avelorn
wh_main_vmp_province_pool	wh3_main_combi_province_avelorn
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_averland
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_averland
wh3_dlc20_chs_province_pool	wh3_main_combi_province_averland
wh_main_vmp_province_pool	wh3_main_combi_province_averland
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_axe_bite_pass
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_axe_bite_pass
wh3_dlc20_chs_province_pool	wh3_main_combi_province_axe_bite_pass
wh_main_vmp_province_pool	wh3_main_combi_province_axe_bite_pass
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_aymara_swamps
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_aymara_swamps
wh3_dlc20_chs_province_pool	wh3_main_combi_province_aymara_swamps
wh_main_vmp_province_pool	wh3_main_combi_province_aymara_swamps
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_barrier_idols
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_barrier_idols
wh3_dlc20_chs_province_pool	wh3_main_combi_province_barrier_idols
wh_main_vmp_province_pool	wh3_main_combi_province_barrier_idols
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_barrows_of_cuileux
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_barrows_of_cuileux
wh3_dlc20_chs_province_pool	wh3_main_combi_province_barrows_of_cuileux
wh_main_vmp_province_pool	wh3_main_combi_province_barrows_of_cuileux
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_bastonne
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_bastonne
wh3_dlc20_chs_province_pool	wh3_main_combi_province_bastonne
wh_main_vmp_province_pool	wh3_main_combi_province_bastonne
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_black_blood_pass
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_black_blood_pass
wh3_dlc20_chs_province_pool	wh3_main_combi_province_black_blood_pass
wh_main_vmp_province_pool	wh3_main_combi_province_black_blood_pass
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_black_mountains
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_black_mountains
wh3_dlc20_chs_province_pool	wh3_main_combi_province_black_mountains
wh_main_vmp_province_pool	wh3_main_combi_province_black_mountains
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_black_water
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_black_water
wh3_dlc20_chs_province_pool	wh3_main_combi_province_black_water
wh_main_vmp_province_pool	wh3_main_combi_province_black_water
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_blightwater
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_blightwater
wh3_dlc20_chs_province_pool	wh3_main_combi_province_blightwater
wh_main_vmp_province_pool	wh3_main_combi_province_blightwater
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_blood_river_valley
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_blood_river_valley
wh3_dlc20_chs_province_pool	wh3_main_combi_province_blood_river_valley
wh_main_vmp_province_pool	wh3_main_combi_province_blood_river_valley
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_bloodfire_falls
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_bloodfire_falls
wh3_dlc20_chs_province_pool	wh3_main_combi_province_bloodfire_falls
wh_main_vmp_province_pool	wh3_main_combi_province_bloodfire_falls
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_bone_road
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_bone_road
wh3_dlc20_chs_province_pool	wh3_main_combi_province_bone_road
wh_main_vmp_province_pool	wh3_main_combi_province_bone_road
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_broken_lands_of_tian_li
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_broken_lands_of_tian_li
wh3_dlc20_chs_province_pool	wh3_main_combi_province_broken_lands_of_tian_li
wh_main_vmp_province_pool	wh3_main_combi_province_broken_lands_of_tian_li
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_broken_teeth
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_broken_teeth
wh3_dlc20_chs_province_pool	wh3_main_combi_province_broken_teeth
wh_main_vmp_province_pool	wh3_main_combi_province_broken_teeth
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_caledor
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_caledor
wh3_dlc20_chs_province_pool	wh3_main_combi_province_caledor
wh_main_vmp_province_pool	wh3_main_combi_province_caledor
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_carcassonne
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_carcassonne
wh3_dlc20_chs_province_pool	wh3_main_combi_province_carcassonne
wh_main_vmp_province_pool	wh3_main_combi_province_carcassonne
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_celestial_lake
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_celestial_lake
wh3_dlc20_chs_province_pool	wh3_main_combi_province_celestial_lake
wh_main_vmp_province_pool	wh3_main_combi_province_celestial_lake
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_celestial_riverlands
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_celestial_riverlands
wh3_dlc20_chs_province_pool	wh3_main_combi_province_celestial_riverlands
wh_main_vmp_province_pool	wh3_main_combi_province_celestial_riverlands
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_central_great_bastion
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_central_great_bastion
wh3_dlc20_chs_province_pool	wh3_main_combi_province_central_great_bastion
wh_main_vmp_province_pool	wh3_main_combi_province_central_great_bastion
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_central_jungles
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_central_jungles
wh3_dlc20_chs_province_pool	wh3_main_combi_province_central_jungles
wh_main_vmp_province_pool	wh3_main_combi_province_central_jungles
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_chimera_plateau
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_chimera_plateau
wh3_dlc20_chs_province_pool	wh3_main_combi_province_chimera_plateau
wh_main_vmp_province_pool	wh3_main_combi_province_chimera_plateau
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_chrace
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_chrace
wh3_dlc20_chs_province_pool	wh3_main_combi_province_chrace
wh_main_vmp_province_pool	wh3_main_combi_province_chrace
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_coast_of_araby
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_coast_of_araby
wh3_dlc20_chs_province_pool	wh3_main_combi_province_coast_of_araby
wh_main_vmp_province_pool	wh3_main_combi_province_coast_of_araby
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_coast_of_lyonesse
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_coast_of_lyonesse
wh3_dlc20_chs_province_pool	wh3_main_combi_province_coast_of_lyonesse
wh_main_vmp_province_pool	wh3_main_combi_province_coast_of_lyonesse
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_copper_desert
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_copper_desert
wh3_dlc20_chs_province_pool	wh3_main_combi_province_copper_desert
wh_main_vmp_province_pool	wh3_main_combi_province_copper_desert
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_cothique
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_cothique
wh3_dlc20_chs_province_pool	wh3_main_combi_province_cothique
wh_main_vmp_province_pool	wh3_main_combi_province_cothique
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_crater_of_the_waking_dead
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_crater_of_the_waking_dead
wh3_dlc20_chs_province_pool	wh3_main_combi_province_crater_of_the_waking_dead
wh_main_vmp_province_pool	wh3_main_combi_province_crater_of_the_waking_dead
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_culchan_plains
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_culchan_plains
wh3_dlc20_chs_province_pool	wh3_main_combi_province_culchan_plains
wh_main_vmp_province_pool	wh3_main_combi_province_culchan_plains
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_dawns_landing
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_dawns_landing
wh3_dlc20_chs_province_pool	wh3_main_combi_province_dawns_landing
wh_main_vmp_province_pool	wh3_main_combi_province_dawns_landing
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_deadrock_gap
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_deadrock_gap
wh3_dlc20_chs_province_pool	wh3_main_combi_province_deadrock_gap
wh_main_vmp_province_pool	wh3_main_combi_province_deadrock_gap
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_deadwood
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_deadwood
wh3_dlc20_chs_province_pool	wh3_main_combi_province_deadwood
wh_main_vmp_province_pool	wh3_main_combi_province_deadwood
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_death_pass
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_death_pass
wh3_dlc20_chs_province_pool	wh3_main_combi_province_death_pass
wh_main_vmp_province_pool	wh3_main_combi_province_death_pass
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_devils_backbone
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_devils_backbone
wh3_dlc20_chs_province_pool	wh3_main_combi_province_devils_backbone
wh_main_vmp_province_pool	wh3_main_combi_province_devils_backbone
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_doom_glades
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_doom_glades
wh3_dlc20_chs_province_pool	wh3_main_combi_province_doom_glades
wh_main_vmp_province_pool	wh3_main_combi_province_doom_glades
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eagle_gate
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eagle_gate
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eagle_gate
wh_main_vmp_province_pool	wh3_main_combi_province_eagle_gate
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eastern_badlands
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eastern_badlands
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eastern_badlands
wh_main_vmp_province_pool	wh3_main_combi_province_eastern_badlands
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eastern_border_princes
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eastern_border_princes
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eastern_border_princes
wh_main_vmp_province_pool	wh3_main_combi_province_eastern_border_princes
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eastern_colonies
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eastern_colonies
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eastern_colonies
wh_main_vmp_province_pool	wh3_main_combi_province_eastern_colonies
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eastern_great_bastion
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eastern_great_bastion
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eastern_great_bastion
wh_main_vmp_province_pool	wh3_main_combi_province_eastern_great_bastion
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eastern_oblast
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eastern_oblast
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eastern_oblast
wh_main_vmp_province_pool	wh3_main_combi_province_eastern_oblast
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eastern_steppes
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eastern_steppes
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eastern_steppes
wh_main_vmp_province_pool	wh3_main_combi_province_eastern_steppes
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_eataine
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_eataine
wh3_dlc20_chs_province_pool	wh3_main_combi_province_eataine
wh_main_vmp_province_pool	wh3_main_combi_province_eataine
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_ellyrion
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_ellyrion
wh3_dlc20_chs_province_pool	wh3_main_combi_province_ellyrion
wh_main_vmp_province_pool	wh3_main_combi_province_ellyrion
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_estalia
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_estalia
wh3_dlc20_chs_province_pool	wh3_main_combi_province_estalia
wh_main_vmp_province_pool	wh3_main_combi_province_estalia
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_forest_of_arden
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_forest_of_arden
wh3_dlc20_chs_province_pool	wh3_main_combi_province_forest_of_arden
wh_main_vmp_province_pool	wh3_main_combi_province_forest_of_arden
wh2_dlc11_cst_vampire_pirate_province_pool	wh3_main_combi_province_forest_of_chalons
wh2_dlc16_wef_drycha_province_merc_pool	wh3_main_combi_province_forest_of_chalons
wh3_dlc20_chs_province_pool	wh3_main_combi_province_forest_of_chalons
wh_main_vmp_province_pool	wh3_main_combi_province_forest_of_chalons
