key	steam_id	game_expansion_key	awarded_via_script
WH3_ACHIEVEMENT_DIPLOMACY_CONCURRENT_ALLIANCES_2			false
WH3_ACHIEVEMENT_DIPLOMACY_CONCURRENT_ALLIANCES_3			false
WH3_ACHIEVEMENT_DIPLOMACY_CONCURRENT_TRADE_AGREEMENTS_2			false
WH3_ACHIEVEMENT_DIPLOMACY_CONCURRENT_TRADE_AGREEMENTS_3			false
WH3_ACHIEVEMENT_ECONOMY_INCOME_GROSS_1			false
WH3_ACHIEVEMENT_ECONOMY_INCOME_GROSS_2			false
WH3_ACHIEVEMENT_ECONOMY_INCOME_GROSS_3			false
WH3_ACHIEVEMENT_ENTER_REALM			true
WH3_ACHIEVEMENT_KHORNE_BLOODLETTING			true
WH3_ACHIEVEMENT_KHORNE_COLLECT_SKULLS			false
WH3_ACHIEVEMENT_KHORNE_CONSTRUCT_KHADEIUM_PARADOX			false
WH3_ACHIEVEMENT_KHORNE_RECRUIT_BLOODTHIRSTER			false
WH3_ACHIEVEMENT_KHORNE_REPLACE_HERALD			true
WH3_ACHIEVEMENT_KISLEV_MOTHERLAND			true
WH3_ACHIEVEMENT_KISLEV_OCCUPY_3_CITIES			false
WH3_ACHIEVEMENT_KISLEV_RECRUIT_ELEMENTAL_BEAR			false
WH3_ACHIEVEMENT_LOAN_ARMY			true
WH3_ACHIEVEMENT_MP_CAMPAIGN_START			true
WH3_ACHIEVEMENT_NURGLE_COLLECT_INFECTIONS			false
WH3_ACHIEVEMENT_NURGLE_RECRUIT_GREAT_UNCLEAN_ONE			false
WH3_ACHIEVEMENT_NURGLE_REPLACE_HERALD			true
WH3_ACHIEVEMENT_NURGLE_SPREAD_PLAGUE			true
WH3_ACHIEVEMENT_NURGLE_UNLOCK_PLAGUE_INGREDIENTS			true
WH3_ACHIEVEMENT_OGRES_CONSTRUCT_THE_FIRE_MOUTH			false
WH3_ACHIEVEMENT_OGRES_DEPLOY_CAMPS			true
WH3_ACHIEVEMENT_OGRES_DESTROY_CARAVAN			true
WH3_ACHIEVEMENT_OGRES_OFFER_TRIBUTE			true
WH3_ACHIEVEMENT_PROLOGUE_ARMY_CAP			true
WH3_ACHIEVEMENT_PROLOGUE_BATTLE_WIN			true
WH3_ACHIEVEMENT_PROLOGUE_BUILDING_CONSTRUCTION			true
WH3_ACHIEVEMENT_PROLOGUE_COMPLETE			true
WH3_ACHIEVEMENT_PROLOGUE_ITEMS			true
WH3_ACHIEVEMENT_PROLOGUE_SECOND_GENERAL			true
WH3_ACHIEVEMENT_PROLOGUE_SETTLEMENT_CAPTURE			true
WH3_ACHIEVEMENT_PROLOGUE_SETTLEMENT_UPGRADE			true
WH3_ACHIEVEMENT_PROLOGUE_SKILL_POINTS			true
WH3_ACHIEVEMENT_SLAANESH_CONSTRUCT_PANDEMOURNIUM			false
WH3_ACHIEVEMENT_SLAANESH_RECRUIT_KEEPER_OF_SECRETS			false
WH3_ACHIEVEMENT_SLAANESH_REPLACE_HERALD			true
WH3_ACHIEVEMENT_SLAANESH_SPREAD_GIFT			true
WH3_ACHIEVEMENT_SLAANESH_SUMMON_DISCIPLE_ARMY			true
WH3_ACHIEVEMENT_TZEENTCH_CONSTRUCT_SYMPOSIUM_OF_CHANGE			false
WH3_ACHIEVEMENT_TZEENTCH_COTW_SETTLEMENT			true
WH3_ACHIEVEMENT_TZEENTCH_RECRUIT_LORD_OF_CHANGE			false
WH3_ACHIEVEMENT_TZEENTCH_REPLACE_HERALD			true
WH3_ACHIEVEMENT_TZEENTCH_UNLOCK_ALL_COTW			false
WH3_ACHIEVEMENT_WINNING_CATHAY_1			false
WH3_ACHIEVEMENT_WINNING_CATHAY_2			false
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE_1			false
WH3_ACHIEVEMENT_WINNING_DAEMON_PRINCE_2			false
WH3_ACHIEVEMENT_WINNING_KHORNE_1			false
WH3_ACHIEVEMENT_WINNING_KHORNE_2			false
WH3_ACHIEVEMENT_WINNING_KISLEV_1			false
WH3_ACHIEVEMENT_WINNING_KISLEV_2			false
WH3_ACHIEVEMENT_WINNING_LEGENDARY			false
WH3_ACHIEVEMENT_WINNING_NURGLE_1			false
WH3_ACHIEVEMENT_WINNING_NURGLE_2			false
WH3_ACHIEVEMENT_WINNING_OGRES_1			false
WH3_ACHIEVEMENT_WINNING_OGRES_2			false
WH3_ACHIEVEMENT_WINNING_SLAANESH_1			false
WH3_ACHIEVEMENT_WINNING_SLAANESH_2			false
WH3_ACHIEVEMENT_WINNING_TZEENTCH_1			false
WH3_ACHIEVEMENT_WINNING_TZEENTCH_2			false
