army_special_ablility	faction
wh3_main_prisoners_dismember	wh3_main_ogr_blood_guzzlers
wh3_main_prisoners_dismember	wh3_main_ogr_bloodmaw
wh3_main_prisoners_dismember	wh3_main_ogr_crossed_clubs
wh3_main_prisoners_dismember	wh3_main_ogr_disciples_of_the_maw
wh3_main_prisoners_dismember	wh3_main_ogr_eyebiter
wh3_main_prisoners_dismember	wh3_main_ogr_feastmaster
wh3_main_prisoners_dismember	wh3_main_ogr_fleshgreeders
wh3_main_prisoners_dismember	wh3_main_ogr_fulg
wh3_main_prisoners_dismember	wh3_main_ogr_goldtooth
wh3_main_prisoners_dismember	wh3_main_ogr_lazarghs
wh3_main_prisoners_dismember	wh3_main_ogr_loose_tooth
wh3_main_prisoners_dismember	wh3_main_ogr_mountaineaters
wh3_main_prisoners_dismember	wh3_main_ogr_ogre_kingdoms
wh3_main_prisoners_dismember	wh3_main_ogr_rock_skulls
wh3_main_prisoners_dismember	wh3_main_ogr_sabreskin
wh3_main_prisoners_dismember	wh3_main_ogr_sons_of_the_mountain
wh3_main_prisoners_dismember	wh3_main_ogr_thunderguts
wh3_main_prisoners_dismember	wh3_main_ogr_treehammers
wh3_main_prisoners_dismember	wh3_main_ogre_flamegullets
wh3_main_prisoners_dismember	wh3_main_ogre_sharktooth
wh3_main_prisoners_dismember	wh3_main_ogre_the_famished
wh3_main_prisoners_massacre	wh3_main_ogr_blood_guzzlers
wh3_main_prisoners_massacre	wh3_main_ogr_bloodmaw
wh3_main_prisoners_massacre	wh3_main_ogr_crossed_clubs
wh3_main_prisoners_massacre	wh3_main_ogr_disciples_of_the_maw
wh3_main_prisoners_massacre	wh3_main_ogr_eyebiter
wh3_main_prisoners_massacre	wh3_main_ogr_feastmaster
wh3_main_prisoners_massacre	wh3_main_ogr_fleshgreeders
wh3_main_prisoners_massacre	wh3_main_ogr_fulg
wh3_main_prisoners_massacre	wh3_main_ogr_goldtooth
wh3_main_prisoners_massacre	wh3_main_ogr_lazarghs
wh3_main_prisoners_massacre	wh3_main_ogr_loose_tooth
wh3_main_prisoners_massacre	wh3_main_ogr_mountaineaters
wh3_main_prisoners_massacre	wh3_main_ogr_ogre_kingdoms
wh3_main_prisoners_massacre	wh3_main_ogr_rock_skulls
wh3_main_prisoners_massacre	wh3_main_ogr_sabreskin
wh3_main_prisoners_massacre	wh3_main_ogr_sons_of_the_mountain
wh3_main_prisoners_massacre	wh3_main_ogr_thunderguts
wh3_main_prisoners_massacre	wh3_main_ogr_treehammers
wh3_main_prisoners_massacre	wh3_main_ogre_flamegullets
wh3_main_prisoners_massacre	wh3_main_ogre_sharktooth
wh3_main_prisoners_massacre	wh3_main_ogre_the_famished
