key	campaign_key	faction_key	resource_filepath	is_benchmark
ngl_kugath	wh3_main_chaos	wh3_main_nur_poxmakers_of_nurgle	script/campaign/wh3_main_chaos/factions/wh3_main_nur_poxmakers_of_nurgle/managers/ngl_kugath.CindySceneManager	false
ogr_greasus	wh3_main_chaos	wh3_main_ogr_goldtooth	script/campaign/wh3_main_chaos/factions/wh3_main_ogr_goldtooth/managers/ogr_greasus.CindySceneManager	false
ogr_skrag	wh3_main_chaos	wh3_main_ogr_disciples_of_the_maw	script/campaign/wh3_main_chaos/factions/wh3_main_ogr_disciples_of_the_maw/managers/ogr_skrag.CindySceneManager	false
petrenko_attack_01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/petrenko_attack_01.CindySceneManager	false
prologue_intro_2	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/scenes/kislev_shelter_sh01.CindyScene	false
prologue_intro_3	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/managers/petrenko_siege_01.CindySceneManager	false
questbattlemarker_01	wh3_main_prologue	wh3_prologue_kislev_expedition	script/campaign/wh3_main_prologue/factions/wh3_prologue_kislev_expedition/_cutscene/scenes/questbattlemarker_01.CindyScene	false
realm_kh_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_kh_m01.CindySceneManager	false
realm_ng_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_ng_m01.CindySceneManager	false
realm_pre_kh_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_kh_m01.CindySceneManager	false
realm_pre_ng_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_ng_m01.CindySceneManager	false
realm_pre_sl_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_sl_m01.CindySceneManager	false
realm_pre_tz_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_pre_tz_m01.CindySceneManager	false
realm_sl_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_sl_m01.CindySceneManager	false
realm_tz_m01	wh3_main_chaos		script/campaign/wh3_main_chaos/realms/_cutscene/managers/realm_tz_m01.CindySceneManager	false
sla_nkari	wh3_main_chaos	wh3_main_sla_seducers_of_slaanesh	script/campaign/wh3_main_chaos/factions/wh3_main_sla_seducers_of_slaanesh/managers/sla_nkari.CindySceneManager	false
tze_kairos	wh3_main_chaos	wh3_main_tze_oracles_of_tzeentch	script/campaign/wh3_main_chaos/factions/wh3_main_tze_oracles_of_tzeentch/managers/tze_kairos.CindySceneManager	false
