resource	strategic_component	trade_falloff	trade_value	ownership_falloff	ownership_value
res_rom_oil	wh3_strategic_component_chaos_aggressive	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_chaos_aggressive	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_chaos_aggressive	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_chaos_aggressive	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_chaos_aggressive	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_chaos_vengeful	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_chaos	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_cowardly	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_default	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_gems	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_gold	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_furs	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_glass	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_iron	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_lead	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_marble	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_oil	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_textiles	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_timber	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_rom_wine	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_savage	wh3_strategic_component_defensive_holds_grudges	0.25	0.5	0.25	1.25
res_dyes	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_defensive	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_frenzied	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_noretreat	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_nurgle	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_opportunistic	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_gems	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_gold	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_furs	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_glass	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_iron	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_lead	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_marble	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_oil	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_textiles	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_timber	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_rom_wine	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_savage	wh3_strategic_component_prologue_bellicose	0.25	0.5	0.25	0.5
res_dyes	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_gems	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_gold	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_furs	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_glass	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_iron	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_lead	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_marble	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_oil	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_textiles	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_timber	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_rom_wine	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_savage	wh3_strategic_component_prologue_ignore_threat	0.25	0.5	0.25	0.5
res_dyes	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_gems	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_gold	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_furs	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_glass	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_iron	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_lead	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_marble	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_oil	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_textiles	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_timber	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_rom_wine	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_savage	wh3_strategic_component_prologue	0.25	0.5	0.25	0.5
res_dyes	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_rift_spawned	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_sentinel	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_vampire	0.25	0.5	0.25	1.0
res_dyes	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_gems	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_gold	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_furs	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_glass	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_iron	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_lead	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_marble	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_oil	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_textiles	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_timber	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_rom_wine	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
res_savage	wh3_strategic_component_vengeful	0.25	0.5	0.25	1.0
