unit_set	subculture	cap
mp_cap_unit_brt_inf_foot_squires		5
mp_cap_unit_brt_inf_foot_squires_ror_0		1
mp_cap_unit_brt_inf_grail_relique		5
mp_cap_unit_brt_inf_men_at_arms		5
mp_cap_unit_brt_inf_men_at_arms_polearms		5
mp_cap_unit_brt_inf_men_at_arms_shields		5
mp_cap_unit_brt_inf_peasant_bowmen		5
mp_cap_unit_brt_inf_peasant_bowmen_fire		5
mp_cap_unit_brt_inf_peasant_bowmen_pox		5
mp_cap_unit_brt_inf_peasant_mob		5
mp_cap_unit_brt_inf_spearmen_at_arms		5
mp_cap_unit_brt_inf_spearmen_at_arms_shields		5
mp_cap_unit_bst_cav_centigors		4
mp_cap_unit_bst_cav_centigors_great_weapons		4
mp_cap_unit_bst_cav_centigors_throwing_axes		4
mp_cap_unit_bst_cav_tuskgor_chariot		4
mp_cap_unit_bst_centigors_throwing_axes_ror		1
mp_cap_unit_bst_inf_bestigor_herd_ror_0		1
mp_cap_unit_bst_inf_bestigors		4
mp_cap_unit_bst_inf_centigors_ror_0		1
mp_cap_unit_bst_inf_chaos_warhounds_0		4
mp_cap_unit_bst_inf_chaos_warhounds_1		4
mp_cap_unit_bst_inf_cygor_ror_0		1
mp_cap_unit_bst_inf_gor_herd_0		5
mp_cap_unit_bst_inf_gor_herd_1		5
mp_cap_unit_bst_inf_gor_herd_ror_0		1
mp_cap_unit_bst_inf_harpies		4
mp_cap_unit_bst_inf_minotaurs_ror_0		1
mp_cap_unit_bst_inf_ungor_herd		5
mp_cap_unit_bst_inf_ungor_raiders		5
mp_cap_unit_bst_inf_ungor_spearmen_0		5
mp_cap_unit_bst_inf_ungor_spearmen_1		5
mp_cap_unit_bst_inf_ungor_spearmen_ror_0		1
mp_cap_unit_bst_mon_chaos_spawn		4
mp_cap_unit_bst_mon_cygor		2
mp_cap_unit_bst_mon_ghorgon		2
mp_cap_unit_bst_mon_ghorgon_ror		1
mp_cap_unit_bst_mon_giant		2
mp_cap_unit_bst_mon_jabberslythe		1
mp_cap_unit_bst_mon_jabberslythe_ror		1
mp_cap_unit_bst_mon_minotaurs_0		3
mp_cap_unit_bst_mon_minotaurs_1		3
mp_cap_unit_bst_mon_minotaurs_2		3
mp_cap_unit_bst_mon_razorgor_herd		4
mp_cap_unit_bst_veh_razorgor_chariot		4
mp_cap_unit_chs_art_hellcannon		2
mp_cap_unit_chs_art_hellcannon_ror_0		1
mp_cap_unit_chs_cav_chaos_chariot_msla_ror		1
mp_cap_unit_chs_cav_chaos_chariots		4
mp_cap_unit_chs_cav_chaos_knights		3
mp_cap_unit_chs_cav_chaos_knights_lances		3
mp_cap_unit_chs_cav_chaos_knights_ror		1
mp_cap_unit_chs_cav_marauder_horsemasters		4
mp_cap_unit_chs_cav_marauder_horsemen_javelins		4
mp_cap_unit_chs_cav_marauder_horsemen_mkho		4
mp_cap_unit_chs_cav_marauder_horsemen_mnur		4
mp_cap_unit_chs_cav_marauder_horsemen_msla		4
mp_cap_unit_chs_cav_marauder_horsemen_mtze		4
mp_cap_unit_chs_cav_marauder_horsemen_throwing_axes		4
mp_cap_unit_chs_cav_skullcrushers_mkho_ror		1
mp_cap_unit_chs_inf_aspiring_champions		3
mp_cap_unit_chs_inf_aspiring_champions_mtze_ror		1
mp_cap_unit_chs_inf_chaos_marauders		5
mp_cap_unit_chs_inf_chaos_marauders_dualweapons		5
mp_cap_unit_chs_inf_chaos_marauders_greatweapons		5
mp_cap_unit_chs_inf_chaos_marauders_hellscourges		5
mp_cap_unit_chs_inf_chaos_marauders_spears		5
mp_cap_unit_chs_inf_chaos_warhounds_0		4
mp_cap_unit_chs_inf_chaos_warhounds_1		4
mp_cap_unit_chs_inf_chaos_warriors		5
mp_cap_unit_chs_inf_chaos_warriors_dualweapons		5
mp_cap_unit_chs_inf_chaos_warriors_greatweapons		5
mp_cap_unit_chs_inf_chaos_warriors_halberds		5
mp_cap_unit_chs_inf_chaos_warriors_hellscourges		5
mp_cap_unit_chs_inf_chaos_warriors_ror		1
mp_cap_unit_chs_inf_chosen		3
mp_cap_unit_chs_inf_chosen_dualweapons		3
mp_cap_unit_chs_inf_chosen_greatweapons		3
mp_cap_unit_chs_inf_chosen_halberds		3
mp_cap_unit_chs_inf_chosen_hellscourges		3
mp_cap_unit_chs_inf_forsaken		5
mp_cap_unit_chs_inf_forsaken_ror_0		1
mp_cap_unit_chs_mon_chaos_spawn		4
mp_cap_unit_chs_mon_chaos_spawn_ror_0		1
mp_cap_unit_chs_mon_chaos_trolls_0		4
mp_cap_unit_chs_mon_chaos_trolls_1		4
mp_cap_unit_chs_mon_dragon_ogre_ror_0		1
mp_cap_unit_chs_mon_dragon_ogre_shaggoth		2
mp_cap_unit_chs_mon_dragon_ogres		3
mp_cap_unit_chs_mon_feral_manticore		2
mp_cap_unit_chs_mon_giant		2
mp_cap_unit_chs_mon_giant_mnur_ror		1
mp_cap_unit_chs_mon_warshrine		2
mp_cap_unit_chs_veh_gorebeast_chariot		3
mp_cap_unit_cst_art_carronade		4
mp_cap_unit_cst_art_mortar		4
mp_cap_unit_cst_art_queen_bess		1
mp_cap_unit_cst_cav_deck_droppers_0		4
mp_cap_unit_cst_cav_deck_droppers_1		4
mp_cap_unit_cst_cav_deck_droppers_2		4
mp_cap_unit_cst_cav_deck_droppers_ror_0		1
mp_cap_unit_cst_inf_deck_gunners_0		5
mp_cap_unit_cst_inf_deck_gunners_ror_0		1
mp_cap_unit_cst_inf_deckhands_mob_0		5
mp_cap_unit_cst_inf_deckhands_mob_1		5
mp_cap_unit_cst_inf_deckhands_syreens		5
mp_cap_unit_cst_inf_depth_guard_0		3
mp_cap_unit_cst_inf_depth_guard_1		3
mp_cap_unit_cst_inf_depth_guard_ror_0		1
mp_cap_unit_cst_inf_fellbats		4
mp_cap_unit_cst_inf_gunnery_mob_0		5
mp_cap_unit_cst_inf_gunnery_mob_1		5
mp_cap_unit_cst_inf_gunnery_mob_2		5
mp_cap_unit_cst_inf_gunnery_mob_3		5
mp_cap_unit_cst_inf_sartosa_free_company		5
mp_cap_unit_cst_inf_sartosa_militia		5
mp_cap_unit_cst_inf_scurvy_dogs		4
mp_cap_unit_cst_inf_zombie_deckhands_mob_ror_0		1
mp_cap_unit_cst_inf_zombie_gunnery_mob_ror_0		1
mp_cap_unit_cst_mon_animated_hulks		4
mp_cap_unit_cst_mon_bloated_corpse		5
mp_cap_unit_cst_mon_mournguls		4
mp_cap_unit_cst_mon_mournguls_ror_0		1
mp_cap_unit_cst_mon_necrofex_colossus		2
mp_cap_unit_cst_mon_necrofex_colossus_ror_0		1
mp_cap_unit_cst_mon_rotting_leviathan		2
mp_cap_unit_cst_mon_rotting_promethean_gunnery_mob_0		3
mp_cap_unit_cst_mon_rotting_prometheans		4
mp_cap_unit_cst_mon_rotting_prometheans_gunnery_mob_ror		1
mp_cap_unit_cst_mon_terrorgheist		2
mp_cap_unit_cth_art_fire_rain_rocket_battery_0		3
mp_cap_unit_cth_art_grand_cannon_0		4
mp_cap_unit_cth_cav_jade_lancers_0		4
mp_cap_unit_cth_cav_jade_longma_riders_0		3
mp_cap_unit_cth_cav_jade_longma_riders_ror_0		1
mp_cap_unit_cth_cav_peasant_horsemen_0		4
mp_cap_unit_cth_inf_crane_gunners_0		4
mp_cap_unit_cth_inf_dragon_guard_0		4
mp_cap_unit_cth_inf_dragon_guard_crossbowmen_0		4
mp_cap_unit_cth_inf_dragon_guard_ror_0		1
mp_cap_unit_cth_inf_iron_hail_gunners_0		5
mp_cap_unit_cth_inf_jade_warrior_crossbowmen_0		5
mp_cap_unit_cth_inf_jade_warrior_crossbowmen_1		5
mp_cap_unit_cth_inf_jade_warriors_0		5
mp_cap_unit_cth_inf_jade_warriors_1		5
mp_cap_unit_cth_inf_peasant_archers_0		5
mp_cap_unit_cth_inf_peasant_spearmen_1		5
mp_cap_unit_cth_mon_terracotta_sentinel_0		2
mp_cap_unit_cth_veh_sky_junk_0		2
mp_cap_unit_cth_veh_sky_lantern_0		2
mp_cap_unit_cth_veh_war_compass_0		2
mp_cap_unit_def_art_reaver_bolt_thrower		4
mp_cap_unit_def_cav_cold_one_chariot		4
mp_cap_unit_def_cav_cold_one_dread_knights		3
mp_cap_unit_def_cav_cold_one_knights		4
mp_cap_unit_def_cav_dark_riders_0		4
mp_cap_unit_def_cav_dark_riders_1		4
mp_cap_unit_def_cav_dark_riders_2		4
mp_cap_unit_def_cav_doomfire_warlocks		4
mp_cap_unit_def_cav_knights_of_the_ebon_claw_ror_0		1
mp_cap_unit_def_cav_raven_heralds_ror_0		1
mp_cap_unit_def_cav_scourgerunner_chariot		4
mp_cap_unit_def_cav_scourgerunner_chariot_ror		1
mp_cap_unit_def_cav_slaanesh_harvesters_ror_0		1
mp_cap_unit_def_inf_black_ark_corsairs_0		5
mp_cap_unit_def_inf_black_ark_corsairs_1		5
mp_cap_unit_def_inf_black_guard		3
mp_cap_unit_def_inf_blades_of_the_blood_queen_ror_0		1
mp_cap_unit_def_inf_bleakswords		5
mp_cap_unit_def_inf_darkshards_0		5
mp_cap_unit_def_inf_darkshards_1		5
mp_cap_unit_def_inf_dreadspears		5
mp_cap_unit_def_inf_har_ganeth_executioners		3
mp_cap_unit_def_inf_harpies_ror		1
mp_cap_unit_def_inf_shades		4
mp_cap_unit_def_inf_sisters_of_slaughter		4
mp_cap_unit_def_inf_sisters_of_the_singing_doom_ror_0		1
mp_cap_unit_def_inf_the_bolt_fiends_ror_0		1
mp_cap_unit_def_inf_the_hellebronai_ror_0		1
mp_cap_unit_def_inf_witch_elves		5
mp_cap_unit_def_mon_black_dragon		2
mp_cap_unit_def_mon_bloodwrack_medusa		2
mp_cap_unit_def_mon_bloodwrack_medusa_ror		1
mp_cap_unit_def_mon_chill_of_sontar_ror_0		1
mp_cap_unit_def_mon_feral_manticore		2
mp_cap_unit_def_mon_harpies		4
mp_cap_unit_def_mon_kharibdyss		2
mp_cap_unit_def_mon_war_hydra		2
mp_cap_unit_def_veh_bloodwrack_shrine_0		2
mp_cap_unit_def_veh_cold_one_chariot		4
mp_cap_unit_dwf_art_bolt_thrower		4
mp_cap_unit_dwf_art_cannon		4
mp_cap_unit_dwf_art_flame_cannon		3
mp_cap_unit_dwf_art_gob_lobber_0		1
mp_cap_unit_dwf_art_grudge_thrower		4
mp_cap_unit_dwf_art_organ_gun		4
mp_cap_unit_dwf_cha_master_engineer_ghost_0		1
mp_cap_unit_dwf_cha_rune_casters		2
mp_cap_unit_dwf_cha_runesmith_ghost_0		1
mp_cap_unit_dwf_cha_thane_ghost_0		1
mp_cap_unit_dwf_cha_thane_ghost_1		1
mp_cap_unit_dwf_inf_bugmans_rangers_0		5
mp_cap_unit_dwf_inf_dragonback_slayers_0		1
mp_cap_unit_dwf_inf_dwarf_warriors_0		5
mp_cap_unit_dwf_inf_dwarf_warriors_1		5
mp_cap_unit_dwf_inf_ekrund_miners_0		1
mp_cap_unit_dwf_inf_giant_slayers_0		3
mp_cap_unit_dwf_inf_hammerers_0		3
mp_cap_unit_dwf_inf_ironbreakers_0		3
mp_cap_unit_dwf_inf_irondrakes_0		5
mp_cap_unit_dwf_inf_irondrakes_1		5
mp_cap_unit_dwf_inf_longbeards_0		5
mp_cap_unit_dwf_inf_longbeards_1		5
mp_cap_unit_dwf_inf_miners_0		5
mp_cap_unit_dwf_inf_miners_1		5
mp_cap_unit_dwf_inf_mp_cap_warriors_dragonfire_pass_0		1
mp_cap_unit_dwf_inf_norgrimlings_ironbreakers_0		1
mp_cap_unit_dwf_inf_norgrimlings_irondrakes_0		1
mp_cap_unit_dwf_inf_old_grumblers_0		1
mp_cap_unit_dwf_inf_peak_gate_guard_0		1
mp_cap_unit_dwf_inf_quarrellers_0		5
mp_cap_unit_dwf_inf_quarrellers_1		5
mp_cap_unit_dwf_inf_rangers_0		5
mp_cap_unit_dwf_inf_rangers_1		5
mp_cap_unit_dwf_inf_slayers_0		5
mp_cap_unit_dwf_inf_thunderers_0		5
mp_cap_unit_dwf_inf_ulthars_raiders_0		1
mp_cap_unit_dwf_veh_gyrobomber_0		2
mp_cap_unit_dwf_veh_gyrocopter_0		4
mp_cap_unit_dwf_veh_gyrocopter_1		4
mp_cap_unit_dwf_veh_skyhammer_0		1
mp_cap_unit_emp_art_great_cannon		4
mp_cap_unit_emp_art_hammer_of_the_witches_0		1
mp_cap_unit_emp_art_helblaster_volley_gun		4
mp_cap_unit_emp_art_helstorm_rocket_battery		4
mp_cap_unit_emp_art_mortar		4
mp_cap_unit_emp_art_sunmaker_0		1
mp_cap_unit_emp_cav_demigryph_knights_0		3
mp_cap_unit_emp_cav_demigryph_knights_1		3
mp_cap_unit_emp_cav_empire_knights		4
mp_cap_unit_emp_cav_knights_of_the_blazing_sun		4
mp_cap_unit_emp_cav_outriders_0		4
mp_cap_unit_emp_cav_outriders_1		4
mp_cap_unit_emp_cav_pistoliers		4
mp_cap_unit_emp_cav_reiksguard		4
mp_cap_unit_emp_cav_royal_altdorf_gryphites_0		1
mp_cap_unit_emp_cav_zintlers_reiksguard_0		1
mp_cap_unit_emp_inf_archers		5
mp_cap_unit_emp_inf_archers_ror_0		1
mp_cap_unit_emp_inf_crossbowmen		5
mp_cap_unit_emp_inf_flagellants_0		5
mp_cap_unit_emp_inf_free_company_militia		5
mp_cap_unit_emp_inf_greatswords		5
mp_cap_unit_emp_inf_halberdiers		5
mp_cap_unit_emp_inf_handgunners		5
mp_cap_unit_emp_inf_huntsmen		5
mp_cap_unit_emp_inf_huntsmen_ror_0		1
mp_cap_unit_emp_inf_sigmars_sons_0		1
mp_cap_unit_emp_inf_silver_bullets_0		1
mp_cap_unit_emp_inf_spearmen_0		5
mp_cap_unit_emp_inf_spearmen_1		5
mp_cap_unit_emp_inf_stirlands_revenge_0		1
mp_cap_unit_emp_inf_swordsmen_0		5
mp_cap_unit_emp_inf_swordsmen_ror_0		1
mp_cap_unit_emp_inf_tattersouls_0		1
mp_cap_unit_emp_veh_luminark_of_hysh		2
mp_cap_unit_emp_veh_steam_tank		1
mp_cap_unit_emp_veh_templehof_luminark_0		1
mp_cap_unit_emp_veh_war_wagon_0		4
mp_cap_unit_emp_veh_war_wagon_1		4
mp_cap_unit_emp_veh_war_wagon_ror_0		1
mp_cap_unit_grn_art_doom_diver_catapult		4
mp_cap_unit_grn_art_hammer_of_gork_0		1
mp_cap_unit_grn_art_rock_lobber		4
mp_cap_unit_grn_cav_broken_tusks_mob_0		1
mp_cap_unit_grn_cav_deff_creepers_0		1
mp_cap_unit_grn_cav_durkits_squigs_0		1
mp_cap_unit_grn_cav_fores_goblin_spider_rider_archers		4
mp_cap_unit_grn_cav_forest_goblin_spider_riders		4
mp_cap_unit_grn_cav_goblin_wolf_rider_archers		4
mp_cap_unit_grn_cav_goblin_wolf_riders		4
mp_cap_unit_grn_cav_mogrubbs_marauders_0		1
mp_cap_unit_grn_cav_moon_howlers_0		1
mp_cap_unit_grn_cav_night_goblin_squig_hoppers		4
mp_cap_unit_grn_cav_orc_boar_boyz		4
mp_cap_unit_grn_cav_orc_boar_boyz_big_uns		4
mp_cap_unit_grn_cav_savage_orc_boar_boyz		4
mp_cap_unit_grn_cav_savage_orc_boar_boyz_big_uns		4
mp_cap_unit_grn_cav_teef_robbers_0		1
mp_cap_unit_grn_inf_black_orcs		3
mp_cap_unit_grn_inf_da_eight_peaks_loonies_0		1
mp_cap_unit_grn_inf_da_rusty_arrers_0		1
mp_cap_unit_grn_inf_da_warlords_boyz_0		1
mp_cap_unit_grn_inf_goblin_archers		5
mp_cap_unit_grn_inf_goblins		5
mp_cap_unit_grn_inf_krimson_killerz_0		1
mp_cap_unit_grn_inf_nasty_skulkers		5
mp_cap_unit_grn_inf_night_goblin_archers		5
mp_cap_unit_grn_inf_night_goblin_archers_fanatics		5
mp_cap_unit_grn_inf_night_goblins		5
mp_cap_unit_grn_inf_night_goblins_fanatics		5
mp_cap_unit_grn_inf_orc_arrer_boyz		5
mp_cap_unit_grn_inf_orc_boyz		5
mp_cap_unit_grn_inf_orc_boyz_big_uns		5
mp_cap_unit_grn_inf_savage_orc_arrer_boyz		5
mp_cap_unit_grn_inf_savage_orc_boyz_big_uns		5
mp_cap_unit_grn_inf_savage_orcs		5
mp_cap_unit_grn_mon_arachnarok_spider		2
mp_cap_unit_grn_mon_giant		2
mp_cap_unit_grn_mon_river_trolls		4
mp_cap_unit_grn_mon_river_trolls_ror_0		1
mp_cap_unit_grn_mon_rogue_idol		2
mp_cap_unit_grn_mon_rogue_idol_ror_0		1
mp_cap_unit_grn_mon_squig_herd		4
mp_cap_unit_grn_mon_stone_trolls		4
mp_cap_unit_grn_mon_trolls		4
mp_cap_unit_grn_mon_venom_queen_0		1
mp_cap_unit_grn_veh_goblin_wolf_chariot		4
mp_cap_unit_grn_veh_orc_boar_chariot		4
mp_cap_unit_grn_veh_pump_wagons		4
mp_cap_unit_grn_veh_snotling_pump_wagon_ror_0		1
mp_cap_unit_hef_art_eagle_claw_bolt_thrower		4
mp_cap_unit_hef_cav_dragon_princes		3
mp_cap_unit_hef_cav_ellyrian_reaver_archers		4
mp_cap_unit_hef_cav_ellyrian_reavers		4
mp_cap_unit_hef_cav_silver_helms		4
mp_cap_unit_hef_cav_silver_helms_shields		4
mp_cap_unit_hef_cav_the_fireborn_ror_0		1
mp_cap_unit_hef_cav_the_heralds_of_the_wind_ror_0		1
mp_cap_unit_hef_inf_archers		5
mp_cap_unit_hef_inf_archers_1		5
mp_cap_unit_hef_inf_archers_ror_0		1
mp_cap_unit_hef_inf_everqueens_court_guards_ror_0		1
mp_cap_unit_hef_inf_keepers_of_the_flame_ror_0		1
mp_cap_unit_hef_inf_lothern_sea_guard		5
mp_cap_unit_hef_inf_lothern_sea_guard_shields		5
mp_cap_unit_hef_inf_phoenix_guard		3
mp_cap_unit_hef_inf_rangers		5
mp_cap_unit_hef_inf_shadow_walkers		4
mp_cap_unit_hef_inf_shadow_warriors		5
mp_cap_unit_hef_inf_silverin_guard		5
mp_cap_unit_hef_inf_sisters_of_avelorn		4
mp_cap_unit_hef_inf_spearmen		5
mp_cap_unit_hef_inf_swordmasters		3
mp_cap_unit_hef_inf_the_grey_ror_0		1
mp_cap_unit_hef_inf_the_scions_of_mathlann_ror_0		1
mp_cap_unit_hef_inf_the_silverpelts_ror_0		1
mp_cap_unit_hef_inf_the_storm_riders_ror_0		1
mp_cap_unit_hef_inf_white_lions		5
mp_cap_unit_hef_mon_arcane_phoenix		2
mp_cap_unit_hef_mon_arcane_phoenix_ror_0		1
mp_cap_unit_hef_mon_flamespyre_phoenix		2
mp_cap_unit_hef_mon_frostheart_phoenix		2
mp_cap_unit_hef_mon_great_eagle		2
mp_cap_unit_hef_mon_moon_dragon		2
mp_cap_unit_hef_mon_star_dragon		1
mp_cap_unit_hef_mon_sun_dragon		2
mp_cap_unit_hef_mon_war_lions		4
mp_cap_unit_hef_mon_war_lions_of_chrace_ror_0		1
mp_cap_unit_hef_veh_ithilmar_chariot		4
mp_cap_unit_hef_veh_lion_chariot		3
mp_cap_unit_hef_veh_tiranoc_chariot		4
mp_cap_unit_kho_cav_bloodcrushers_0		3
mp_cap_unit_kho_cav_bloodcrushers_ror_0		1
mp_cap_unit_kho_cav_skullcrushers_0		3
mp_cap_unit_kho_inf_bloodletters_0		5
mp_cap_unit_kho_inf_bloodletters_1		3
mp_cap_unit_kho_inf_bloodletters_ror_0		1
mp_cap_unit_kho_inf_chaos_furies_0		4
mp_cap_unit_kho_inf_flesh_hounds_of_khorne_0		4
mp_cap_unit_kho_mon_bloodthirster_0		1
mp_cap_unit_kho_mon_khornataurs_0		3
mp_cap_unit_kho_mon_khornataurs_1		3
mp_cap_unit_kho_mon_soul_grinder_0		2
mp_cap_unit_kho_veh_blood_shrine_0		2
mp_cap_unit_kho_veh_skullcannon_0		2
mp_cap_unit_ksl_cav_gryphon_legion_0		3
mp_cap_unit_ksl_cav_horse_archers_0		4
mp_cap_unit_ksl_cav_horse_raiders_0		4
mp_cap_unit_ksl_cav_war_bear_riders_1		3
mp_cap_unit_ksl_cav_war_bear_riders_ror_0		1
mp_cap_unit_ksl_cav_winged_lancers_0		4
mp_cap_unit_ksl_inf_armoured_kossars_0		5
mp_cap_unit_ksl_inf_armoured_kossars_1		5
mp_cap_unit_ksl_inf_ice_guard_0		3
mp_cap_unit_ksl_inf_ice_guard_1		3
mp_cap_unit_ksl_inf_kossars_0		5
mp_cap_unit_ksl_inf_kossars_1		5
mp_cap_unit_ksl_inf_streltsi_0		5
mp_cap_unit_ksl_inf_tzar_guard_0		4
mp_cap_unit_ksl_inf_tzar_guard_1		4
mp_cap_unit_ksl_inf_tzar_guard_ror_0		1
mp_cap_unit_ksl_mon_elemental_bear_0		1
mp_cap_unit_ksl_mon_snow_leopard_0		3
mp_cap_unit_ksl_veh_heavy_war_sled_0		3
mp_cap_unit_ksl_veh_light_war_sled_0		4
mp_cap_unit_ksl_veh_little_grom_0		2
mp_cap_unit_lzd_cav_cold_one_riders		4
mp_cap_unit_lzd_cav_cold_one_spear_riders		4
mp_cap_unit_lzd_cav_cold_one_spearriders_ror_0		1
mp_cap_unit_lzd_cav_feral_cold_ones		4
mp_cap_unit_lzd_cav_horned_ones		3
mp_cap_unit_lzd_cav_ripperdactyl_riders		4
mp_cap_unit_lzd_cav_ripperdactyl_riders_ror_0		1
mp_cap_unit_lzd_cav_terradon_riders_0		4
mp_cap_unit_lzd_cav_terradon_riders_1		4
mp_cap_unit_lzd_cav_terradon_riders_ror_0		1
mp_cap_unit_lzd_inf_chameleon_skinks		5
mp_cap_unit_lzd_inf_chameleon_stalkers		5
mp_cap_unit_lzd_inf_red_crested_skinks		5
mp_cap_unit_lzd_inf_saurus_spears_0		5
mp_cap_unit_lzd_inf_saurus_spears_1		5
mp_cap_unit_lzd_inf_saurus_warriors_0		5
mp_cap_unit_lzd_inf_saurus_warriors_1		5
mp_cap_unit_lzd_inf_saurus_warriors_ror_0		1
mp_cap_unit_lzd_inf_skink_cohort_0		5
mp_cap_unit_lzd_inf_skink_cohort_1		5
mp_cap_unit_lzd_inf_skink_red_crested_ror_0		1
mp_cap_unit_lzd_inf_skink_skirmishers		5
mp_cap_unit_lzd_inf_temple_guard		3
mp_cap_unit_lzd_inf_temple_guards_ror_0		1
mp_cap_unit_lzd_mon_ancient_salamander		2
mp_cap_unit_lzd_mon_ancient_stegadon_ror_0		1
mp_cap_unit_lzd_mon_bastiladon		2
mp_cap_unit_lzd_mon_carnosaur		2
mp_cap_unit_lzd_mon_carnosaur_ror		1
mp_cap_unit_lzd_mon_coatl		2
mp_cap_unit_lzd_mon_coatl_ror		1
mp_cap_unit_lzd_mon_dread_saurian		1
mp_cap_unit_lzd_mon_dread_saurian_ror_0		1
mp_cap_unit_lzd_mon_kroxigors		4
mp_cap_unit_lzd_mon_razordon_hunting_pack		4
mp_cap_unit_lzd_mon_razordon_pack_ror_0		1
mp_cap_unit_lzd_mon_sacred_kroxigors		3
mp_cap_unit_lzd_mon_sacred_kroxigors_ror_0		1
mp_cap_unit_lzd_mon_salamander_hunting_pack		4
mp_cap_unit_lzd_mon_salamander_pack_ror_0		1
mp_cap_unit_lzd_mon_stegadon		2
mp_cap_unit_lzd_mon_troglodon		2
mp_cap_unit_lzd_mon_troglodon_ror		1
mp_cap_unit_nor_cav_marauder_horsemasters		4
mp_cap_unit_nor_cav_marauder_horsemen_0		4
mp_cap_unit_nor_cav_marauder_horsemen_1		4
mp_cap_unit_nor_inf_chaos_marauders_ror_0		1
mp_cap_unit_nor_inf_ice_wolves		4
mp_cap_unit_nor_inf_marauder_berserkers		5
mp_cap_unit_nor_inf_marauder_berserkers_ror_0		1
mp_cap_unit_nor_inf_marauder_champions_0		4
mp_cap_unit_nor_inf_marauder_champions_1		4
mp_cap_unit_nor_inf_marauder_hunters_0		5
mp_cap_unit_nor_inf_marauder_hunters_1		5
mp_cap_unit_nor_inf_marauder_spearmen		5
mp_cap_unit_nor_inf_marauders_0		5
mp_cap_unit_nor_inf_marauders_1		5
mp_cap_unit_nor_inf_norscan_warhounds		4
mp_cap_unit_nor_mon_armoured_skin_wolves		4
mp_cap_unit_nor_mon_fimir_ror_0		1
mp_cap_unit_nor_mon_fimir_warriors_0		3
mp_cap_unit_nor_mon_fimir_warriors_1		3
mp_cap_unit_nor_mon_frost_wyrm		2
mp_cap_unit_nor_mon_frost_wyrm_ror_0		1
mp_cap_unit_nor_mon_giant		2
mp_cap_unit_nor_mon_ice_trolls		4
mp_cap_unit_nor_mon_mammoths		2
mp_cap_unit_nor_mon_manticore		2
mp_cap_unit_nor_mon_marauder_warwolves_ror_0		1
mp_cap_unit_nor_mon_skin_wolves		4
mp_cap_unit_nor_mon_skin_wolves_ror_0		1
mp_cap_unit_nor_mon_trolls		4
mp_cap_unit_nor_mon_war_mammoth_ror_0		1
mp_cap_unit_nor_mon_war_mammoth_ror_1		1
mp_cap_unit_nor_veh_ice_wolves_chariot		4
mp_cap_unit_nor_veh_marauder_chariot		4
mp_cap_unit_nur_cav_plague_drones_0		3
mp_cap_unit_nur_cav_plague_drones_1		3
mp_cap_unit_nur_cav_pox_riders_of_nurgle_0		4
mp_cap_unit_nur_cav_pox_riders_of_nurgle_ror_0		1
mp_cap_unit_nur_inf_chaos_furies_0		4
mp_cap_unit_nur_inf_nurglings_0		5
mp_cap_unit_nur_inf_plaguebearers_0		5
mp_cap_unit_nur_inf_plaguebearers_1		3
mp_cap_unit_nur_inf_plaguebearers_ror_0		1
mp_cap_unit_nur_mon_beast_of_nurgle_0		4
mp_cap_unit_nur_mon_great_unclean_one_0		2
