deal_component	personality_component	is_player	peace_opponent_strength_modifier	last_stand_opponent_strength_modifier	war_opponent_strength_modifier	total_war_opponent_strength_modifier	tension_opponent_strength_modifier	peace_opponent_context_modifier	last_stand_opponent_context_modifier	war_opponent_context_modifier	total_war_opponent_context_modifier	tension_opponent_context_modifier
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_highelf_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_kislev_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_lizardmen_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
WAR	wh3_deal_eval_norsca	false	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0
WAR	wh3_deal_eval_norsca	true	1.0	1.0	1.0	1.0	1.0	6.0	-1.0	0.0	0.0	2.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_norsca_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_ogre_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
WAR	wh3_deal_eval_skaven	false	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0
WAR	wh3_deal_eval_skaven	true	1.0	1.0	1.0	1.0	1.0	6.0	-1.0	0.0	0.0	2.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_skaven_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_slaanesh_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_tombkings_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
WAR	wh3_deal_eval_vampire	false	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0
WAR	wh3_deal_eval_vampire	true	1.0	1.0	1.0	1.0	1.0	6.0	-1.0	0.0	0.0	2.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_vampire_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
WAR	wh3_deal_eval_vampirecoast	false	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0
WAR	wh3_deal_eval_vampirecoast	true	1.0	1.0	1.0	1.0	1.0	6.0	-1.0	0.0	0.0	2.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_vampirecoast_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
OFFER_JOIN_CONFEDERATION	wh3_deal_eval_woodelf_minor	false	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
