key	distance	fov	phi	theta	target_x	target_y	target_z	environment_file
cth_sentinel	5.0	28.0	190.0	190.0	-0.08000001	9.0	0.0	Porthole/advisor/default_porthole.lighting
cth_shugengan_lord	0.88	28.0	180.0	180.0	0.13	1.5	0.0	Porthole/advisor/default_porthole.lighting
dae_dp	2.4	28.0	185.0	185.0	0.0	2.95	0.0	Porthole/advisor/default_porthole.lighting
def_black_guard	1.0	28.0	190.0	200.0	0.0	1.65	0.0	Porthole/advisor/default_porthole.lighting
def_harpy	1.0	28.0	180.0	190.0	-0.050000004	1.5499998	0.0	Porthole/advisor/default_porthole.lighting
def_medusa	1.0	40.0	200.0	170.0	0.050000004	1.75	0.0	Porthole/advisor/default_porthole.lighting
def_war_hydra	16.0	28.0	180.0	190.0	0.0	5.0	0.0	Porthole/advisor/default_porthole.lighting
default	1.0	28.0	180.0	180.0	0.0	1.5	0.0	Porthole/advisor/default_porthole.lighting
dwf_cannon	4.0	28.0	195.0	220.0	-0.45	1.2	0.0	Porthole/advisor/default_porthole.lighting
dwf_flame_cannon	3.8	28.0	195.0	200.0	-0.35	1.2	0.0	Porthole/advisor/default_porthole.lighting
dwf_grudgethrower	4.5	28.0	170.0	200.0	0.0	1.2	0.0	Porthole/advisor/default_porthole.lighting
dwf_gyrobomber	8.4	28.0	179.0	205.0	-0.4	0.8999999	0.0	Porthole/advisor/default_porthole.lighting
dwf_gyrocopter	6.0	28.0	150.0	220.0	-0.4	0.8999999	0.0	Porthole/advisor/default_porthole.lighting
dwf_lord_units	1.2	28.0	180.0	190.0	-0.030000001	1.2	0.0	Porthole/advisor/default_porthole.lighting
dwf_organ_gun	4.0	28.0	195.0	200.0	-0.2	1.2	0.0	Porthole/advisor/default_porthole.lighting
dwf_runelord_anvil	0.75	28.0	180.0	200.0	0.15	2.6	0.0	Porthole/advisor/default_porthole.lighting
dwf_thorgrim	0.7	28.0	180.0	180.0	0.0	2.55	0.0	Porthole/advisor/default_porthole.lighting
dwf_warrior_15_degrees	1.2	28.0	180.0	195.0	-0.02	1.1	0.0	Porthole/advisor/default_porthole.lighting
dwf_warrior_30_degrees	1.2	28.0	180.0	210.0	-0.050000004	1.1	0.0	Porthole/advisor/default_porthole.lighting
dwf_warrior_45_degrees	1.2	28.0	180.0	225.0	-0.08000001	1.1	0.0	Porthole/advisor/default_porthole.lighting
emp_art_mortar	3.2	28.0	160.0	215.0	-0.1	1.2	0.0	Porthole/advisor/default_porthole.lighting
emp_demigryph_knights	3.8	28.0	180.0	220.0	-0.8999999	1.9	0.0	Porthole/advisor/default_porthole.lighting
emp_general_foot	1.0	28.0	190.0	195.0	0.02	1.53	0.0	Porthole/advisor/default_porthole.lighting
emp_great_cannon	5.5	28.0	195.0	215.0	-1.1	1.7	0.0	Porthole/advisor/default_porthole.lighting
emp_hellblaster	4.0	28.0	190.0	220.0	-0.8	1.3	0.0	Porthole/advisor/default_porthole.lighting
emp_helstorm	4.0	28.0	190.0	220.0	-0.8	1.3	0.0	Porthole/advisor/default_porthole.lighting
emp_hunter_kalara	1.0	28.0	190.0	190.0	0.050000004	1.5499998	0.0	Porthole/advisor/default_porthole.lighting
emp_luminark	7.0	28.0	190.0	220.0	0.2	2.5	0.0	Porthole/advisor/default_porthole.lighting
emp_markus_wulfhart	1.0	28.0	180.0	190.0	0.050000004	1.5	0.0	Porthole/advisor/default_porthole.lighting
emp_mortar	3.2	28.0	150.0	220.0	-0.35	1.0	0.0	Porthole/advisor/default_porthole.lighting
emp_reiksguard	4.2	28.0	200.0	200.0	-0.45	2.3	0.0	Porthole/advisor/default_porthole.lighting
emp_soldier_15_degrees	1.0	28.0	180.0	195.0	0.02	1.53	0.0	Porthole/advisor/default_porthole.lighting
emp_soldier_30_degrees	1.0	28.0	180.0	210.0	0.0	1.53	0.0	Porthole/advisor/default_porthole.lighting
emp_steam_tank	8.5	28.0	190.0	200.0	-0.2	3.0	0.0	Porthole/advisor/default_porthole.lighting
furies	2.0	28.0	180.0	180.0	-0.16	2.1	0.0	Porthole/advisor/default_porthole.lighting
grn_aracknarok	3.5	28.0	200.0	200.0	-0.1	1.0	0.0	Porthole/advisor/default_porthole.lighting
grn_boar_chariot	10.0	28.0	150.0	220.0	-0.8	0.4	0.0	Porthole/advisor/default_porthole.lighting
grn_doom_diver	4.5	28.0	190.0	220.0	0.0	1.6	0.0	Porthole/advisor/default_porthole.lighting
grn_feral_hydrah_waaagh	7.2	32.0	195.0	195.0	-1.1	2.0	0.0	Porthole/advisor/default_porthole.lighting
grn_giant	5.3	28.0	210.0	190.0	-0.3	9.1	0.0	Porthole/advisor/default_porthole.lighting
grn_goblin_15_degrees	1.6	28.0	180.0	165.0	0.08000001	0.8	0.0	Porthole/advisor/default_porthole.lighting
grn_goblin_45_degrees	1.6	28.0	180.0	200.0	-0.1	0.8	0.0	Porthole/advisor/default_porthole.lighting
grn_goblin_spider_rider	3.2	28.0	210.0	210.0	-0.25	1.1	0.0	Porthole/advisor/default_porthole.lighting
grn_goblin_wolf_rider	3.4	30.0	200.0	200.0	-0.2	1.3	0.0	Porthole/advisor/default_porthole.lighting
grn_gork_idol	3.0	36.0	230.0	190.0	-0.3	3.5	4.0	Porthole/advisor/default_porthole.lighting
grn_grom	2.0	28.0	190.0	190.0	0.0	1.95	0.0	Porthole/advisor/default_porthole.lighting
grn_orc_0_degrees	1.7	28.0	180.0	180.0	0.1	1.4	0.0	Porthole/advisor/default_porthole.lighting
grn_orc_30_degrees	1.7	28.0	180.0	210.0	-0.15	1.4	0.0	Porthole/advisor/default_porthole.lighting
grn_orc_45_degrees	1.7	28.0	180.0	225.0	-0.42	1.4	0.0	Porthole/advisor/default_porthole.lighting
grn_orc_boar_rider	4.1	28.0	200.0	200.0	-0.3	1.8	0.0	Porthole/advisor/default_porthole.lighting
grn_river_troll_hag	5.0	30.0	200.0	200.0	-0.5	2.7	0.0	Porthole/advisor/default_porthole.lighting
grn_river_trolls	5.0	30.0	200.0	200.0	-0.2	3.0	0.0	Porthole/advisor/default_porthole.lighting
grn_rock_lobber	5.0	28.0	200.0	210.0	0.0	1.5	0.0	Porthole/advisor/default_porthole.lighting
grn_snot_wagon	3.0	60.0	185.0	220.0	-0.5	1.5	0.0	Porthole/advisor/default_porthole.lighting
grn_squig_herd	2.0	28.0	180.0	200.0	-0.050000004	0.65	0.0	Porthole/advisor/default_porthole.lighting
grn_squig_hopper	2.5	28.0	180.0	210.0	0.0	0.95	0.0	Porthole/advisor/default_porthole.lighting
grn_stone_troll	4.0	28.0	200.0	180.0	0.45	3.75	0.0	Porthole/advisor/default_porthole.lighting
grn_troll	4.0	28.0	200.0	180.0	0.35	3.7	0.0	Porthole/advisor/default_porthole.lighting
grn_warboss	1.6	28.0	185.0	180.0	0.1	1.4	0.0	Porthole/advisor/default_porthole.lighting
grn_wolf_chariot	8.0	28.0	180.0	220.0	-0.8	1.0	0.0	Porthole/advisor/default_porthole.lighting
hef_dragon	12.0	28.0	200.0	210.0	-2.7	6.5	0.0	Porthole/advisor/default_porthole.lighting
hef_general_foot	1.0	28.0	190.0	195.0	0.02	1.62	0.0	Porthole/advisor/default_porthole.lighting
hef_great_eagle	3.8	28.0	200.0	212.0	-0.2	2.2	0.0	Porthole/advisor/default_porthole.lighting
hef_handmaiden_30_B	1.0	28.0	180.0	190.0	0.050000004	1.52	0.0	Porthole/advisor/default_porthole.lighting
hef_handmaidens_30	1.0	28.0	180.0	210.0	0.0	1.52	0.0	Porthole/advisor/default_porthole.lighting
hef_phoenix	3.5	28.0	180.0	200.0	0.0	2.0	0.0	Porthole/advisor/default_porthole.lighting
hef_war_lion	6.0	28.0	170.0	200.0	-0.5	2.3	0.0	Porthole/advisor/default_porthole.lighting
kho_bloodletters	1.5499998	28.0	185.0	195.0	0.0	1.0	0.0	Porthole/advisor/default_porthole.lighting
kho_cav	5.2	28.0	215.0	190.0	-0.1	1.9	0.0	Porthole/advisor/default_porthole.lighting
kho_flesh_hounds	7.0	28.0	180.0	210.0	-1.8	1.8	0.0	Porthole/advisor/default_porthole.lighting
kho_general_15_degrees	2.6	28.0	195.0	195.0	0.28	2.9	0.0	Porthole/advisor/default_porthole.lighting
kho_general_foot	1.8	28.0	190.0	185.0	0.0	1.3499999	0.0	Porthole/advisor/default_porthole.lighting
kho_spawn_of_khorne	5.0	28.0	200.0	200.0	-0.6	3.1499999	0.0	Porthole/advisor/default_porthole.lighting
kho_warhound	2.6	28.0	190.0	210.0	-0.7	0.8	0.0	Porthole/advisor/default_porthole.lighting
kho_warriors	1.4	28.0	185.0	185.0	0.120000005	1.65	0.0	Porthole/advisor/default_porthole.lighting
kho_warriors_2	1.6	28.0	185.0	185.0	0.16	1.6	0.0	Porthole/advisor/default_porthole.lighting
ksl_armoured_kossars_1	1.4	28.0	190.0	195.0	0.07000001	1.6	0.0	Porthole/advisor/default_porthole.lighting
ksl_boris_foot	1.0	28.0	190.0	195.0	0.1	1.7	0.0	Porthole/advisor/default_porthole.lighting
ksl_boyar_foot	1.0	28.0	190.0	195.0	0.0	1.7	0.0	Porthole/advisor/default_porthole.lighting
ksl_elemental_bear	4.0	28.0	195.0	190.0	0.1	1.7	0.0	Porthole/advisor/default_porthole.lighting
ksl_general_foot	1.0	28.0	190.0	195.0	0.0	1.7	0.0	Porthole/advisor/default_porthole.lighting
ksl_gryphon_legion_0	3.8	28.0	200.0	200.0	-0.4	2.3	0.0	Porthole/advisor/default_porthole.lighting
ksl_ice_guard	0.8	28.0	180.0	195.0	0.07000001	1.57	0.0	Porthole/advisor/default_porthole.lighting
ksl_infantry_15_degrees	1.0	28.0	180.0	195.0	0.02	1.7	0.0	Porthole/advisor/default_porthole.lighting
ksl_katarina	0.8999999	28.0	190.0	195.0	-0.08000001	1.6	0.0	Porthole/advisor/default_porthole.lighting
ksl_kostaltyn_foot	1.0	28.0	195.0	185.0	0.050000004	1.5	0.0	Porthole/advisor/default_porthole.lighting
ksl_patriarch	0.8999999	28.0	180.0	180.0	0.050000004	1.58	0.0	Porthole/advisor/default_porthole.lighting
ksl_snow_leopard	6.3	28.0	180.0	190.0	-0.5	2.2	0.0	Porthole/advisor/default_porthole.lighting
ksl_soldier_15_degrees	1.4	28.0	190.0	195.0	0.02	1.6	0.0	Porthole/advisor/default_porthole.lighting
ksl_streltsi	1.1	28.0	195.0	195.0	0.1	1.6	0.0	Porthole/advisor/default_porthole.lighting
ksl_tsar_guard	1.1	28.0	195.0	195.0	0.1	1.65	0.0	Porthole/advisor/default_porthole.lighting
ksl_tsar_guard_1	1.1	28.0	195.0	195.0	0.19	1.65	0.0	Porthole/advisor/default_porthole.lighting
ksl_war_bear_riders	5.0	28.0	195.0	195.0	0.1	2.1	0.0	Porthole/advisor/default_porthole.lighting
ksl_winged_lancers	2.8	40.0	185.0	192.0	-0.2	2.0	0.0	Porthole/advisor/default_porthole.lighting
liz_bastiladon	8.0	28.0	200.0	185.0	-0.4	2.3	0.0	Porthole/advisor/default_porthole.lighting
liz_carnosaur	7.0	28.0	200.0	200.0	-0.95	4.0	0.0	Porthole/advisor/default_porthole.lighting
liz_coatl	11.0	28.0	180.0	230.0	-3.7	8.0	2.5	Porthole/advisor/default_porthole.lighting
liz_cold_one_riders	3.5	28.0	200.0	200.0	-0.3	2.2	0.0	Porthole/advisor/default_porthole.lighting
liz_dread_saurian	20.0	20.0	190.0	190.0	-0.5	4.5	5.0	Porthole/advisor/default_porthole.lighting
liz_feral_cold_ones	4.0	28.0	200.0	210.0	-0.6	1.8499999	0.0	Porthole/advisor/default_porthole.lighting
liz_kroxigor	3.8	28.0	180.0	200.0	-0.7	2.1	0.0	Porthole/advisor/default_porthole.lighting
liz_kroxigor_lord	3.5	28.0	180.0	190.0	-0.4	2.1	0.0	Porthole/advisor/default_porthole.lighting
liz_oxyotl	1.8	28.0	180.0	185.0	-0.050000004	0.76	0.0	Porthole/advisor/default_porthole.lighting
liz_sacred_kroxigors	1.0	30.0	180.0	200.0	0.4	2.5	2.0	Porthole/advisor/default_porthole.lighting
liz_salamander_hunting_pack	4.6	28.0	190.0	200.0	-1.1	1.2	0.0	Porthole/advisor/default_porthole.lighting
liz_saurus_0_degrees	1.8	28.0	180.0	180.0	0.0	1.1	0.0	Porthole/advisor/default_porthole.lighting
liz_skink_0_degrees	1.7	28.0	180.0	180.0	0.3	0.95	0.0	Porthole/advisor/default_porthole.lighting
liz_stegadon	8.0	28.0	200.0	185.0	-0.4	2.6	0.0	Porthole/advisor/default_porthole.lighting
liz_terradon	3.5	28.0	180.0	200.0	0.0	4.0	0.0	Porthole/advisor/default_porthole.lighting
nor_fimir	2.8	28.0	180.0	190.0	-0.35	2.0	0.0	Porthole/advisor/default_porthole.lighting
nor_frost_wyrm	18.0	28.0	174.0	214.0	-3.3	2.7	0.0	Porthole/advisor/default_porthole.lighting
nor_skin_wolves	2.0	28.0	180.0	210.0	-0.2	1.6	0.0	Porthole/advisor/default_porthole.lighting
nor_war_mammoth	15.0	28.0	190.0	210.0	-1.5	7.8	0.0	Porthole/advisor/default_porthole.lighting
nur_beast_of_nurgle	4.0	28.0	195.0	195.0	-0.07000001	3.4	0.0	Porthole/advisor/default_porthole.lighting
nur_great_unclean_one	3.8	28.0	190.0	200.0	-0.2	4.2	0.0	Porthole/advisor/default_porthole.lighting
nur_herald_of_nurgle	1.5	28.0	185.0	185.0	0.030000001	1.8	0.0	Porthole/advisor/default_porthole.lighting
nur_ku_gath	3.2	28.0	195.0	195.0	-0.07000001	5.0	0.0	Porthole/advisor/default_porthole.lighting
nur_plague_toads	5.8	28.0	185.0	195.0	-0.3	1.5	0.0	Porthole/advisor/default_porthole.lighting
nur_plaguebearers_15_degrees	1.2	28.0	190.0	195.0	-0.060000002	1.74	0.0	Porthole/advisor/default_porthole.lighting
nur_pox_riders	5.5	28.0	210.0	200.0	-0.4	2.8	0.0	Porthole/advisor/default_porthole.lighting
nur_soul_grinder	4.2	28.0	195.0	195.0	-0.1	3.55	0.0	Porthole/advisor/default_porthole.lighting
nur_spawn_of_nurgle	5.5	28.0	190.0	200.0	-0.4	2.7	0.0	Porthole/advisor/default_porthole.lighting
ogr_giant	5.5	28.0	210.0	190.0	-0.3	9.4	0.0	Porthole/advisor/default_porthole.lighting
ogr_gorgers	2.0	28.0	205.0	175.0	-0.1	1.4	0.0	Porthole/advisor/default_porthole.lighting
ogr_greasus	2.0	30.0	180.0	180.0	0.04	2.2	0.0	Porthole/advisor/default_porthole.lighting
ogr_leadbelcher	1.3	30.0	180.0	200.0	-0.2	2.85	0.0	Porthole/advisor/default_porthole.lighting
ogr_mournfang_cav	8.0	28.0	200.0	200.0	-0.030000001	3.4	0.0	Porthole/advisor/default_porthole.lighting
ogr_sabretusk	6.0	30.0	185.0	185.0	-0.2	2.4	0.0	Porthole/advisor/default_porthole.lighting
ogr_skrag	4.0	28.0	180.0	180.0	-0.060000002	2.5	0.0	Porthole/advisor/default_porthole.lighting
ogr_stonehorn	16.0	30.0	200.0	200.0	-0.2	7.0	0.0	Porthole/advisor/default_porthole.lighting
ogre_infantry	1.5	30.0	180.0	180.0	-0.030000001	2.9	0.0	Porthole/advisor/default_porthole.lighting
ogre_tyrant	1.5	30.0	180.0	180.0	0.04	2.9	0.0	Porthole/advisor/default_porthole.lighting
skv_brood_horror	8.0	20.0	185.0	198.0	-1.0	1.4	0.0	Porthole/advisor/default_porthole.lighting
skv_clan_rats	1.6	28.0	180.0	190.0	0.18	1.1	0.0	Porthole/advisor/default_porthole.lighting
skv_clan_rats_20_degrees	1.6	28.0	180.0	200.0	0.1	1.1	0.0	Porthole/advisor/default_porthole.lighting
skv_doomwheel	9.0	28.0	190.0	210.0	-0.6	2.4	0.0	Porthole/advisor/default_porthole.lighting
skv_ghoritch	1.0	20.0	200.0	200.0	0.5	1.7	2.0	Porthole/advisor/default_porthole.lighting
skv_hellpit_abomination	10.0	28.0	190.0	200.0	-2.0	5.6	0.0	Porthole/advisor/default_porthole.lighting
skv_jezzails	16.0	5.0	185.0	200.0	-0.2	1.0	0.0	Porthole/advisor/default_porthole.lighting
skv_packmaster	1.6	28.0	180.0	190.0	0.18	1.1	0.0	Porthole/advisor/default_porthole.lighting
skv_packmaster_foot	1.6	28.0	180.0	185.0	0.0	1.1	0.0	Porthole/advisor/default_porthole.lighting
skv_plague_monks	1.6	28.0	180.0	200.0	0.050000004	1.0499998	0.0	Porthole/advisor/default_porthole.lighting
skv_rat_ogres	3.0	28.0	190.0	190.0	-0.5	1.9	0.0	Porthole/advisor/default_porthole.lighting
skv_ratling_guns	3.0	20.0	180.0	200.0	0.0	1.0	0.0	Porthole/advisor/default_porthole.lighting
skv_throt	1.0	28.0	190.0	190.0	0.050000004	1.1	0.7	Porthole/advisor/default_porthole.lighting
skv_warp_grinders	7.0	10.0	180.0	180.0	0.3	0.8999999	0.0	Porthole/advisor/default_porthole.lighting
skv_warp_lightning_cannon	8.0	28.0	190.0	195.0	-0.6	4.6	0.0	Porthole/advisor/default_porthole.lighting
skv_warpfire_thrower	2.5	28.0	180.0	200.0	-0.2	1.2	0.0	Porthole/advisor/default_porthole.lighting
skv_wind_mortars	7.0	9.0	180.0	190.0	0.3	1.0	0.7	Porthole/advisor/default_porthole.lighting
skv_wolf_rats	2.0	25.0	180.0	200.0	0.050000004	0.7	1.0	Porthole/advisor/default_porthole.lighting
sla_cav	4.0	20.0	193.0	190.0	-0.1	1.9	0.0	Porthole/advisor/default_porthole.lighting
sla_daemonette	0.96	28.0	190.0	195.0	-0.02	1.62	0.0	Porthole/advisor/default_porthole.lighting
sla_fiends	6.2	28.0	200.0	190.0	-0.14	3.2	0.0	Porthole/advisor/default_porthole.lighting
sla_general_foot	1.0	28.0	190.0	180.0	0.0	1.6	0.0	Porthole/advisor/default_porthole.lighting
sla_keeper_of_secrets	2.5	28.0	190.0	185.0	0.0	4.8	0.0	Porthole/advisor/default_porthole.lighting
sla_nkari	2.7	28.0	210.0	185.0	-0.050000004	4.9	0.0	Porthole/advisor/default_porthole.lighting
sla_soldier_15_degrees	1.3	28.0	180.0	190.0	0.060000002	1.6	0.0	Porthole/advisor/default_porthole.lighting
sla_soldier_default	1.3	28.0	180.0	190.0	0.050000004	1.5	0.0	Porthole/advisor/default_porthole.lighting
tmb_bone_giant	4.9	28.0	200.0	200.0	-0.25	8.85	0.0	Porthole/advisor/default_porthole.lighting
tmb_carrion	4.0	28.0	180.0	200.0	-0.4	2.5	0.0	Porthole/advisor/default_porthole.lighting
tmb_general	0.8999999	28.0	190.0	200.0	0.0	1.5499998	0.0	Porthole/advisor/default_porthole.lighting
tmb_hierotitan	5.0	28.0	190.0	200.0	0.0	9.0	0.0	Porthole/advisor/default_porthole.lighting
tmb_necro_knights	6.0	28.0	180.0	205.0	-0.6	3.0	0.0	Porthole/advisor/default_porthole.lighting
tmb_necrosphinx	5.5	28.0	190.0	205.0	-0.7	7.8	0.0	Porthole/advisor/default_porthole.lighting
tmb_skeleton_warriors	0.8	28.0	180.0	200.0	0.0	1.5499998	0.0	Porthole/advisor/default_porthole.lighting
tmb_stalkers	3.5	28.0	190.0	190.0	-0.3	2.6	0.0	Porthole/advisor/default_porthole.lighting
tmb_tomb_guard	0.8999999	28.0	180.0	200.0	0.0	1.5499998	0.0	Porthole/advisor/default_porthole.lighting
tmb_tomb_scorpion	5.0	28.0	190.0	195.0	-0.5	0.7	0.0	Porthole/advisor/default_porthole.lighting
tmb_ushabti	1.6	28.0	180.0	205.0	0.0	3.1499999	0.0	Porthole/advisor/default_porthole.lighting
tmb_warsphinx	8.5	28.0	190.0	205.0	-1.2	6.0	0.0	Porthole/advisor/default_porthole.lighting
tze_burning_chariot	7.5	28.0	190.0	200.0	-0.2	3.0	0.0	Porthole/advisor/default_porthole.lighting
tze_cultist	0.8	28.0	190.0	195.0	-0.02	1.6	0.0	Porthole/advisor/default_porthole.lighting
tze_flamers	2.2	28.0	180.0	195.0	-0.14	2.44	0.0	Porthole/advisor/default_porthole.lighting
tze_herald_of_tzeentch	2.6	28.0	200.0	200.0	-0.1	1.2	0.0	Porthole/advisor/default_porthole.lighting
tze_horrors_15_degrees	2.1799998	28.0	197.0	195.0	0.0	1.0599998	0.0	Porthole/advisor/default_porthole.lighting
tze_horrors_20_degrees	2.3	28.0	185.0	200.0	-0.050000004	1.0499998	0.0	Porthole/advisor/default_porthole.lighting
tze_kairos_fateweaver	5.5	28.0	180.0	180.0	-0.3	3.4	0.0	Porthole/advisor/default_porthole.lighting
tze_screamers	2.0	28.0	170.0	200.0	-0.2	1.3499999	0.0	Porthole/advisor/default_porthole.lighting
tze_soul_grinder	4.4	28.0	195.0	195.0	-0.35	3.8	0.0	Porthole/advisor/default_porthole.lighting
